Unnamed: 0,0,1,2
0,United States,458000000.0,Instagram
1,Portugal,401000000.0,Cristiano Ronaldo
2,India,177000000.0,Virat Kohli
3,Trinidad & Tobago,168000000.0,Nicki Minaj
4,Brazil,167000000.0,Neymar
5,Senegal,124600000.0,Khaby Lame
6,Barbados,116000000.0,Rihanna
7,Canada,114264755.0,Justin Bieber
8,Sweden,110000000.0,PewDiePie
9,Colombia,109548855.0,Shakira
10,Spain,108000000.0,Real Madrid CF
11,Ukraine,80500000.0,Kids Diana Show
12,United Kingdom,77000000.0,Dua Lipa
13,Thailand,71000000.0,Lisa
14,Turkey,55300000.0,CZN Burak
15,South Korea,51600000.0,Rosé
16,New Zealand,51600000.0,Rosé
17,South Africa,50430902.0,Elon Musk
18,Mexico,47000000.0,Dominik Lipa
19,Germany,44000000.0,Younes Zarou
20,Philippines,41500000.0,Colours
21,Ireland,40910748.0,Niall Horan
22,Japan,40400000.0,Jun'ya
23,Kazakhstan,36100000.0,Alina Kim
24,Russia,34300000.0,Kirya Kolesnikov
25,Belarus,32300000.0,Vlad Bumaga
26,Indonesia,27600000.0,Atta Halilintar
27,France,20713291.0,David Guetta
28,Australia,19800000.0,Sia
29,Saudi Arabia,19788601.0,Aaidh ibn Abdullah al-Qarni
30,China,19397905.0,His Holiness the Dalai Lama 14 Tendzin Gyatso
31,Vatican City,18863146.0,Vatican City
32,Italy,18000000.0,Michele Maganza
33,Greece,16680670.0,Tom Hanks
34,Uruguay,16638945.0,Luis Suárez
35,Moldova,16100000.0,Marmok
36,Norway,15881703.0,El Rubius
37,Bahrain,15559091.0,Jacqueline Fernandez
38,Sri Lanka,15559091.0,Jacqueline Fernandez
39,Lebanon,15260472.0,Elissa
40,Argentina,14698124.0,Sergio Agüero
41,Kuwait,14615539.0,Mishary Rashid Al-Afasy
42,Malaysia,14500000.0,Les Copaque Production 
43,Venezuela,14400000.0,Marialejandra Marrero
44,Netherlands,13800000.0,Nikkie Tutorials
45,Egypt,13747728.0,Mohamed Salah
46,Pakistan,13117509.0,Imran Khan
47,Switzerland,12724141.0,Roger Federer
48,Cuba,12189731.0,Camila Cabello
49,Chile,11723484.0,Germán Garmendia
50,Gabon,11381218.0,Ludacris
51,United Arab Emirates,10800000.0,Mohamed Beiraghdary
52,Guatemala,10505440.0,Ricardo Arjona
53,Republic of the Congo,10480952.0,World Health Organization
54,Denmark,10480952.0,World Health Organization
55,Jordan,10447906.0,Queen Rania of Jordan
56,Austria,10100000.0,Red Bull
57,Vietnam,9430000.0,Sơn Tùng M-TP
58,Serbia,8786350.0,Novak Djokovic
59,Qatar,8780000.0,Al Jazeera
60,Nigeria,8674748.0,Davido
61,Algeria,8050000.0,Soolking
62,Morocco,7775170.0,Gad Elmaleh
63,Dominican Republic,7680446.0,Juan Luis Guerra
64,Iraq,7453395.0,Kadim Al Sahir
65,Croatia,7225581.0,Lorde
66,Belgium,7172160.0,Eden Hazard
67,Bulgaria,7158072.0,Nina Dobrev
68,Zimbabwe,7087393.0,Ismail ibn Musa Menk
69,Romania,6770000.0,Inna
70,Syria,6520000.0,Sama TV
71,Taiwan,6295322.0,Mark Yi En Tuan
72,Yemen,6158755.0,Habib Ali al-Jufri
73,Tunisia,5863279.0,Hend Sabry
74,El Salvador,5819997.0,Fernanfloo
75,Slovakia,5638019.0,David Dobrik
76,Tanzania,5300000.0,Jux
77,Jamaica,4921824.0,Usain Bolt
78,Poland,4500000.0,Friz
79,Bangladesh,4196112.0,Rola
80,Peru,3833731.0,Gian Marco
81,Haiti,3780789.0,Wyclef Jean
82,Ecuador,3743752.0,Rafael Correa Delgado
83,Kenya,3655304.0,William Ruto
84,Singapore,3414516.0,Razer Inc.
85,Palestinian Territories,3202013.0,Mohammed Assaf
86,Panama,3147582.0,Miguel Bosé
87,Israel,3080000.0,Nuseir Yassin
88,Iran,3060000.0,Patrick Bet-David
89,Democratic Republic of the Congo,2983253.0,Gims
90,Sierra Leone,2979956.0,Idris Elba
91,Costa Rica,2895190.0,Keylor Navas
92,Ghana,2700585.0,Shatta Wale
93,Latvia,2506731.0,Mikhail Zadornov
94,Uganda,2494788.0,Yoweri Museveni
95,Finland,2360390.0,Nico Rosberg
96,Rwanda,2241844.0,Paul Kagame
97,Monaco,2207436.0,AS Monaco FC
98,Côte d’Ivoire,2154742.0,Didier Drogba
99,Eswatini,2089685.0,Amanda du-Pont
100,Somalia,1840000.0,Chunkz
101,Czech Republic,1811952.0,Petr āEEEech
102,Cameroon,1811548.0,Joel Embiid
103,Equatorial Guinea,1790000.0,Vicente Ndongo
105,Tajikistan,1730989.0,BBC Persian Television
106,Afghanistan,1730989.0,BBC Persian Television
107,Armenia,1718804.0,Dan Bilzerian
108,Georgia,1658920.0,Tina Kandelaki
109,Albania,1603207.0,Eliza Dushku
111,Bosnia and Herzegovina,1510304.0,Edin Džeko
112,Kyrgyzstan,1450000.0,Azattyk 
