0,1,2,3,4,5,6,7
Country or area,Subregion,Region,Internet users,-1.0,Population.mw-parser-output .nobold{font-weightnormal}(2018)[13][14],Sources,Year
China,Eastern Asia,Asia,"988,990,000",69.3,"1,427,647,786",[15],2020
India,Southern Asia,Asia,"833,710,000",61.6,"1,352,642,280",[16],2021
United States,Northern America,Americas,"312,320,000",95.5,"327,096,265",[17][failed verification],2021
Indonesia,South-eastern Asia,Asia,"212,354,070",79.3,"267,670,543",[18][19],2020
Brazil,South America,Americas,"160,010,801",76.4,"209,469,323",[20][failed verification],2021
Niger,Western Africa,Africa,"136,203,231",69.5,"195,874,685",[21],2020
Russia,Eastern Europe,Europe,"124,000,000",85.1,"145,734,038",[22][23][failed verification],2021
Pakistan,Southern Asia,Asia,"118,800,000",55.6,"213,756,286",[24][25],2021
Bangladesh,Southern Asia,Asia,"116,140,000",69.8,"166,303,498",[26],2021
Japan,Eastern Asia,Asia,"116,350,000",91.5,"127,202,192",[27][failed verification],2021
Mexico,Central America,Americas,"89,000,000",69.0,"128,972,439",[28][failed verification],2021
Iran,Southern Asia,Asia,"78,086,663",95.5,"81,800,188",[29],2020
Germany,Western Europe,Europe,"77,794,405",93.6,"83,124,418",[30][failed verification],2021
Philippines,South-eastern Asia,Asia,"73,003,313",68.5,"106,651,394",[31][failed verification],2021
Viet Nam,South-eastern Asia,Asia,"68,172,134",71.4,"95,545,962",[32][failed verification],2021
Ireland,Northern Europe,Europe,"65,001,016",96.8,"67,141,684",[33][failed verification],2021
Turkey,Western Asia,Asia,"62,075,879",75.4,"82,340,088",[34][failed verification],2021
France,Western Europe,Europe,"59,470,000",91.5,"64,990,511",[35],2021
Egypt,Northern Africa,Africa,"54,740,141",55.6,"98,423,598",[36][failed verification],2021
Republic of Korea,Eastern Asia,Asia,"49,421,084",96.6,"51,171,706",[37][failed verification],2021
Spain,Southern Europe,Europe,"42,400,756",90.8,"46,692,858",[38][failed verification],2021
Thailand,South-eastern Asia,Asia,"36,513,941",52.6,"69,428,453",[39][failed verification],2021
