0,1,2
China,209,Mount Everest
Nepal,209,Mount Everest
Saudi Arabia,205,Mecca
France,166,Eiffel Tower
India,162,Taj Mahal
Tanzania,159,Mount Kilimanjaro
Greece,143,Crete
Italy,142,Colosseum
United States,134,Statue of Liberty
Germany,134,Berlin Wall
Peru,134,Machu Picchu
Canada,127,Niagara Falls
Spain,124,Tenerife
Turkey,123,Hagia Sophia
United Kingdom,122,Stonehenge
Bolivia,122,Titicaca
Japan,122,Mount Fuji
Ecuador,120,Galapagos Islands
United Arab Emirates,119,Burj Khalifa
Cambodia,117,Angkor Wat
Vatican City,112,St. Peter's Basilica
Poland,109,Auschwitz
Jordan,108,Petra
Egypt,107,Great Pyramid of Giza
Iran,99,Persepolis
Mexico,99,Chichen Itza
Argentina,93,Iguacu Falls
Australia,93,Sydney Opera House
Brazil,93,Iguacu Falls
Russia,90,Moscow Kremlin
Venezuela,90,Angel Falls
Israel,86,Israel Museum
Indonesia,84,Borobudur
Malaysia,84,Petronas Towers
Switzerland,84,Matterhorn
Vietnam,76,Son Doong Cave
South Africa,63,Table Mountain
Belgium,62,Manneken Pis
Netherlands,62,Rijksmuseum
Czech Republic,59,Prague Castle
Sri Lanka,56,Sigiriya
Denmark,54,Kronborg Castle
Portugal,54,Belem Tower
Sweden,54,Drottningholm Palace
Austria,52,Hofburg Palace
Ukraine,50,Saint Sophia Cathedral
Bulgaria,50,Alexander Nevsky Cathedral
Slovenia,49,Postojna Cave
Chile,46,Torres del Paine National Park
Ireland,46,Cliffs of Moher
Belarus,42,Brest Fortress
Hungary,42,Buda Castle
Armenia,41,Matenadaran
Iceland,40,Icelandic Phallological Museum
Taiwan,39,National Palace Museum
Finland,39,Helsinki Cathedral
Thailand,38,Wat Phra Kaeo
Azerbaijan,38,National Art Museum of Azerbaijan
Norway,38,Oslo Opera House
South Korea,38,Gyeongbokgung
Singapore,34,Marina Bay
Senegal,33,Lake Retba
Slovakia,33,Most SNP
Kazakhstan,32,Otrar
Nigeria,32,Sukur
Romania,31,Peles Castle
Tunisia,31,Bardo National Museum
Iraq,31,National Museum of Iraq
Colombia,30,Tierradentro
Morocco,30,Jemaa el-Fnaa
Serbia,29,National Museum of Serbia
Palestinian Territories,29,Tower of David
Monaco,28,Oceanographic Museum
Afghanistan,27,National Museum of Afghanistan
Estonia,26,Kumu
North Korea,26,Mount Kumgang Tourist Region
New Zealand,26,Museum of New Zealand Te Papa Tongarewa
Croatia,25,Museum of Broken Relationships
Lithuania,25,Grutas Park
Qatar,24,Museum of Islamic Art
Latvia,24,Latvian National Museum of Art
Syria,24,National Museum in Damascus
Bosnia and Herzegovina,23,National Museum of Bosnia and Herzegovina
Lebanon,22,Jeita Grotto
Georgia,21,Joseph Stalin Museum
Albania,20,Gjergj Kastrioti Skenderbeu National Museum
Cyprus,20,Cyprus Museum
Philippines,20,National Museum of the Philippines
Bahrain,19,Beit Al Quran
Cuba,19,Museum of the Revolution
North Macedonia,19,Porta Macedonia
Liechtenstein,18,Kunstmuseum Liechtenstein
Brunei,17,Brunei Museum
Bangladesh,17,Bangladesh National Museum
Ethiopia,17,National Museum of Ethiopia
Malta,17,Popeye Village
Uzbekistan,16,Amir Timur Museum
Montenegro,16,National Museum of Montenegro
Luxembourg,15,Grand Duke Jean Museum of Modern Art
Pakistan,15,Lahore Museum
Turkmenistan,14,"Independence Monument, Ashgabat"
Tajikistan,14,Tajikistan National Museum
Bahamas,14,Atlantis Paradise Island Bahamas
Sudan,14,National Museum of Sudan
Uruguay,13,National Museum of Visual Arts
Costa Rica,13,National Museum of Costa Rica
Mongolia,13,Choijin Lama Temple
Eritrea,12,National Museum of Eritrea
Dominican Republic,12,Alcazar de Colon
Kenya,11,Karen Blixen Museum
Jamaica,11,Bob Marley Museum
Zimbabwe,10,National Gallery of Zimbabwe
Ghana,10,National Museum of Ghana
Burundi,10,Burundi National Museum
Bhutan,10,National Museum of Bhutan
Chad,10,Chad National Museum
Kiribati,10,Te Umanibong
Mali,10,National Museum of Mali
Libya,10,Red Castle Museum
Moldova,10,Water Tower of Chisincu
Sao Tome & Principe,9,Sao Sebastiao Museum
Zambia,9,Lusaka National Museum
Vanuatu,9,Vanuatu Cultural Centre
Angola,9,National Museum of Slavery
Guyana,9,Guyana Zoo
Gambia,9,Gambia National Museum
Belize,9,Belize Botanic Gardens
Cameroon,9,Donga River
Kuwait,9,Kuwait National Museum
Mauritania,9,National Museum of Mauritania
Laos,9,Pak Ou Caves
Myanmar,9,Yangon Zoological Gardens
Rwanda,8,Ethnographic Museum
Algeria,8,Bardo National Museum
