Unnamed: 0,0,1,2
1,China,2980.0,National People's Congress
2,United Kingdom,650.0,Parliament of the United Kingdom
3,Italy,630.0,Italian Parliament
4,France,577.0,French Parliament
5,Egypt,596.0,Parliament of Egypt
6,India,543.0,Parliament of India
7,Germany,736.0,–
8,Thailand,500.0,National  Assembly of Thailand
10,Indonesia,575.0,People's Consultative Assembly
11,Japan,465.0,National Diet
12,North Korea,687.0,Supreme People's Assembly
13,Morocco,395.0,Parliament of Morocco
14,Myanmar,440.0,Assembly of the Union
15,Ethiopia,547.0,Federal Parliamentary Assembly
16,Mexico,500.0,Congress of the Union
17,Russia,450.0,Federal Assembly
18,Cuba,612.0,National Assembly of People's Power
19,Democratic Republic of the Congo,500.0,Parliament of the Democratic Republic of the Congo
20,Spain,350.0,Cortes Generales
21,Algeria,462.0,Parliament of Algeria
22,Turkey,600.0,Grand National Assembly of Turkey
23,Brazil,513.0,National Congress of Brazil
24,Poland,460.0,Parliament of Poland
25,United States,435.0,United States Congress
26,Sudan,450.0,National Legislature
27,Vietnam,500.0,National Assembly
28,South Africa,400.0,Parliament of South Africa
29,Nigeria,360.0,National Assembly
30,Romania,329.0,Parliament of Romania
31,Ukraine,450.0,Verkhovna Rada
32,Pakistan,342.0,Parliament of Pakistan
33,Canada,338.0,Parliament of Canada
34,Kenya,349.0,Parliament of Kenya
35,Yemen,301.0,Parliament of Yemen
36,South Sudan,332.0,National Legislature
37,Uganda,529.0,Parliament of Uganda
38,Tanzania,357.0,National Assembly
39,Côte d’Ivoire,255.0,Parliament of Ivory Coast
40,Afghanistan,250.0,National Assembly
41,Zimbabwe,270.0,Parliament of Zimbabwe
42,Sweden,349.0,Riksdag
43,Nepal,275.0,Federal Parliament of Nepal
44,Argentina,257.0,National Congress of Argentina
45,Somalia,275.0,Federal Parliament of Somalia
46,Philippines,304.0,Congress of the Philippines
47,Iraq,325.0,Council of Representatives of Iraq
48,Bangladesh,300.0,Jatiya Sangsad
49,Greece,300.0,Hellenic Parliament
50,South Korea,300.0,National Assembly
51,Malaysia,222.0,Parliament of Malaysia
52,Iran,290.0,Islamic Consultative Assembly
53,Czech Republic,200.0,Parliament of the Czech Republic
54,Cameroon,180.0,Parliament of Cameroon
55,Ghana,275.0,Parliament of Ghana
56,Colombia,166.0,Congress of Colombia
57,Mozambique,250.0,Assembly of the Republic
58,Serbia,250.0,National Assembly
59,Uzbekistan,150.0,Oliy Majlis
60,Syria,250.0,People's Assembly of Syria
61,Switzerland,200.0,Federal Assembly
62,Austria,183.0,Austrian Parliament
63,Bulgaria,240.0,National Assembly
64,Portugal,230.0,Assembly of the Republic
65,Australia,151.0,Parliament of Australia
66,Ireland,160.0,Oireachtas
67,Netherlands,150.0,States General of the Netherlands
68,Sri Lanka,225.0,Parliament of Sri Lanka
69,Gabon,120.0,Parliament of Gabon
70,Belgium,150.0,Belgian Federal Parliament
71,Angola,220.0,National Assembly
72,Tunisia,217.0,Assembly of the Representatives of the People
73,Dominican Republic,183.0,Congress of the Dominican Republic
74,Republic of the Congo,139.0,Parliament of the Republic of the Congo
75,Jordan,150.0,Parliament of Jordan
76,Finland,200.0,Parliament of Finland
77,Libya,200.0,House of Representatives
78,Hungary,199.0,National Assembly
79,Malawi,193.0,National Assembly
80,Chad,188.0,National Assembly
81,Cambodia,123.0,Parliament of Cambodia
82,Madagascar,151.0,Parliament of Madagascar
83,Denmark,179.0,Folketing
84,Belarus,110.0,National Assembly of Belarus
85,Equatorial Guinea,100.0,Parliament of Equatorial Guinea
86,Norway,169.0,Storting
87,Bolivia,130.0,Plurinational Legislative Assembly
88,Venezuela,165.0,National Assembly
89,Mali,160.0,National Assembly
90,Chile,155.0,National Congress of Chile
