Unnamed: 0,0,1,2
0,Afghanistan,15.0,Battle of Parwan
1,Albania,65.0,Battle of Actium
2,Algeria,14.0,Bombardment of Algiers (1816)
3,Andorra,39.0,Battle of Guadalete
4,Angola,4.0,Capture of Luanda
5,Antigua & Barbuda,1.0,Action of 10 February 1809
6,Argentina,37.0,May Revolution
7,Armenia,18.0,Battle of Artaxata
8,Australia,7.0,Australian frontier wars
9,Austria,63.0,Battle of Vienna
10,Azerbaijan,11.0,Battle of Shamkor
11,Bahrain,4.0,Afsharid Conquests in the Persian Gulf & Oman
12,Bangladesh,8.0,Battle of Negapatam
13,Barbados,3.0,Bussa's rebellion
14,Belarus,30.0,Union of Krewo
15,Belgium,88.0,Battle of Waterloo
16,Belize,5.0,Battle of St. George's Caye
17,Benin,8.0,Battle of Guinea
18,Bhutan,7.0,Battle of Five Lamas
19,Bolivia,7.0,Battle of Huaqui
20,Bosnia and Herzegovina,27.0,Serbian Revolution
21,Brazil,26.0,Dutch Brazil
22,Bulgaria,43.0,Treaty of Küçük Kaynarca
23,Cambodia,4.0,Cambodian Rebellion
24,Cameroon,8.0,Battle of Guinea
25,Canada,30.0,Battle of the Plains of Abraham
26,Cape Verde,8.0,Battle of Porto Praya
27,Chile,24.0,Arauco War
28,Colombia,23.0,Battle of Boyacá
29,Comoros,1.0,Action of 3 July 1810
30,Costa Rica,2.0,Action of 17 February 1783
31,Côte d’Ivoire,8.0,Battle of Guinea
32,Croatia,27.0,Serbian Revolution
33,Cuba,7.0,Battle of Havana (1748)
34,Cyprus,2.0,Siege of Citium
35,Czech Republic,70.0,Battle of Austerlitz
36,Denmark,38.0,Treaty of Roskilde
37,Dominica,6.0,Invasion of Dominica
38,Dominican Republic,5.0,Battle of the Mona Passage
39,Ecuador,15.0,Battle of Pichincha h
40,Egypt,43.0,Battle of the Nile
41,El Salvador,4.0,Battle of Acajutla
42,Equatorial Guinea,8.0,Battle of Guinea
43,Estonia,43.0,Battle of the Ice
44,Ethiopia,9.0,Battle of Wayna Daga
45,Finland,47.0,Treaty of Nystad
46,France,65.0,Battle of Tours
47,Gabon,8.0,Battle of Guinea
48,Georgia,25.0,Battle of Didgori
49,Germany,74.0,Peace of Westphalia
50,Ghana,8.0,Battle of Guinea
51,Greece,76.0,Battle of Thermopylae
52,Grenada,9.0,Battle of Grenada
53,Guatemala,5.0,1717 Guatemala earthquake
54,Guinea,2.0,Action of 7 February 1813
55,Haiti,10.0,Battle of Vertières
56,Honduras,5.0,Spanish conquest of Honduras
57,Hungary,65.0,Battle of Mohács
58,Iceland,12.0,Papar
59,India,52.0,Battle of Plassey
60,Indonesia,32.0,Toba catastrophe theory
61,Iran,38.0,Battle of Chaldiran
62,Iraq,59.0,Battle of Gaugamela
63,Israel,55.0,Battle of Hattin
64,Italy,65.0,Battle of Actium
65,Jamaica,2.0,Action of 17 February 1783
66,Japan,45.0,Mongol invasions of Japan
67,Jordan,31.0,Battle of Mu'tah
68,Kazakhstan,11.0,Battle of Jaxartes
