0,1
Afghanistan,900.0
Cuba,350.0
Vanuatu,260.82
Papua New Guinea,253.44
Namibia,243.57
Ethiopia,202.5
Turkmenistan,200.0
Angola,190.0
Uzbekistan,170.0
Tajikistan,168.78
Greenland,164.69
Burundi,151.17
Laos,150.0
Bermuda,136.66
Bolivia,124.62
Myanmar,115.0
Republic of the Congo,112.79
Cayman Islands,111.67
Madagascar,106.67
Seychelles,97.98
French Polynesia,95.59
British Virgin Islands,93.0
Faroe Islands,91.49
Qatar,90.85
Mauritius,84.81
Nigeria,81.14
Somalia,80.0
Zambia,80.0
Brunei,79.9
Gibraltar,78.15
Saint Lucia,74.0
United Arab Emirates,73.49
New Zealand,72.74
Ghana,72.2
Djibouti,71.82
Maldives,71.79
Haiti,71.67
Gabon,69.73
Reunion,68.28
Guam,68.0
Mozambique,66.9
Dominican Republic,66.61
Gambia,65.62
Eswatini,64.81
Kuwait,64.31
Oman,63.59
Syria,62.66
Iceland,61.96
Equatorial Guinea,60.0
Andorra,59.62
Bahrain,59.35
South Africa,59.12
Lebanon,58.78
Costa Rica,58.75
Australia,58.02
Botswana,57.38
Ecuador,55.24
Zimbabwe,55.0
Saudi Arabia,54.67
Dominica,54.44
Cambodia,54.0
Paraguay,53.84
New Caledonia,53.81
Norway,53.31
Peru,53.23
Venezuela,53.04
Iraq,52.98
Barbados,52.5
Suriname,52.21
Uganda,52.04
Switzerland,51.72
Puerto Rico,51.53
Lesotho,50.92
Iran,50.23
Kyrgyzstan,50.0
Senegal,50.0
Isle of Man,49.88
Ireland,49.55
Egypt,48.83
Luxembourg,48.48
Cyprus,48.36
Honduras,47.88
El Salvador,47.83
Belgium,47.09
Belize,46.75
Spain,46.71
Grenada,46.39
United States,45.72
Kenya,45.23
Monaco,44.61
Nicaragua,44.6
Malaysia,44.08
Cape Verde,44.08
Canada,43.3
Guernsey,43.22
Guatemala,43.1
Jordan,42.64
Philippines,42.42
Sudan,40.92
Trinidad & Tobago,40.88
France,40.77
Aruba,40.0
Bahamas,40.0
Yemen,39.89
Chile,38.66
Curacao,38.04
Bangladesh,37.76
Panama,37.7
Guyana,37.5
Rwanda,37.47
Japan,36.58
Mongolia,35.83
Jersey,35.75
Cameroon,35.68
Uruguay,35.09
Sweden,34.96
Italy,34.89
Argentina,34.53
Azerbaijan,34.5
Algeria,34.19
Colombia,33.83
Slovenia,33.28
Denmark,32.9
Singapore,32.73
Netherlands,32.55
Brazil,32.5
Tanzania,32.47
Bhutan,32.19
United Kingdom,31.97
Montenegro,31.28
Portugal,30.42
Germany,29.92
Mexico,29.73
Indonesia,29.31
Jamaica,29.12
Finland,28.22
Pakistan,27.12
Malta,27.0
Austria,26.9
Croatia,26.84
Tunisia,26.83
Nepal,26.72
Greece,26.6
Turkey,25.54
Israel,25.27
Albania,25.27
Kazakhstan,24.98
South Korea,24.75
Morocco,24.24
Hong Kong,24.18
Libya,23.51
Estonia,23.09
Serbia,21.91
Armenia,21.86
Taiwan,21.73
Belarus,20.86
Czech Republic,20.44
China,19.93
Thailand,19.79
Bosnia and Herzegovina,19.53
India,18.58
Latvia,18.19
Slovakia,18.02
Hungary,17.27
Georgia,17.13
Sri Lanka,17.03
Fiji,16.91
Poland,16.68
Vietnam,13.91
Republic of Macedonia,13.53
Lithuania,12.84
Bulgaria,11.7
Russia,11.47
Moldova,10.21
Romania,9.97
Ukraine,7.72
Mali,2.0
