0,1
Macao,316.31
Uruguay,276.29
Canada,212.44
Austria,168.71
Portugal,162.87
Croatia,140.7
Israel,131.46
San Marino,126.43
Bahamas,124.21
Australia,123.59
Aruba,117.34
Peru,117.24
Japan,116.94
Thailand,108.14
Luxembourg,99.18
Spain,96.54
UK,96.28
Georgia,95.39
Brazil,94.47
Seychelles,92.53
Kazakhstan,92.46
Switzerland,91.65
Ukraine,91.24
Bulgaria,89.18
Italy,88.47
China,81.44
Kuwait,81.21
Turkey,80.37
Slovenia,79.78
Montenegro,77.06
Brunei,73.1
Namibia,72.95
Panama,72.71
Iceland,70.43
Armenia,67.12
Poland,66.82
Costa Rica,64.83
Greece,64.05
Argentina,62.99
Slovakia,62.83
Romania,62.72
Estonia,62.61
Mexico,62.26
Saudi Arabia,62.04
Samoa,61.96
Hungary,59.22
Czechia,59.01
Bosnia & Herz.,58.19
Latvia,57.87
Belarus,57.3
North Macedonia,56.69
Vanuatu,56.56
Ant.& Barb.,54.35
Singapore,54.33
Malaysia,54.28
New Zealand,53.89
Serbia,53.39
Moldova,53.16
Qatar,52.41
Uzbekistan,52.01
UA Emirates,51.7
Cape Verde,51.17
Hong Kong,51.17
Fiji,50.48
Chile,48.79
Indonesia,48.09
Belize,47.84
Mongolia,45.79
Malta,45.44
Bhutan,45.21
Ireland,44.91
Tr.&Tobago,44.08
South Africa,43.55
Bolivia,43.26
Saint Lucia,42.84
Mauritius,42.52
Suriname,42.48
Kyrgyzstan,42.31
Swaziland,41.67
Denmark,41.03
Grenada,40.62
Colombia,40.02
Maldives,39.95
Jamaica,39.69
Cyprus,39.29
Domin. Rep.,37.92
Azerbaijan,37.43
Guatemala,36.91
Finland,36.75
Botswana,36.31
El Salvador,36.28
Albania,35.26
Lebanon,33.72
Tunisia,33.22
Netherlands,33.2
Cambodia,31.61
Jordan,31.48
Lithuania,30
Barbados,29.99
Philippines,29.37
Morocco,28.92
Laos,28.06
Dominica,27.71
Egypt,27.56
Norway,27.15
Vietnam,27.05
Paraguay,25.87
Honduras,25.09
Palestine,23.24
Tajikistan,23.12
Nicaragua,21.66
India,21.44
Guyana,20.59
Nepal,20.26
Angola,17.77
Djibouti,16.63
Nigeria,16.15
Lesotho,13.86
R. of Congo,11.88
Bangladesh,11.45
Ghana,11.37
Micronesia,11.21
Pakistan,11.11
Mauritania,10.94
Algeria,9.3
Gambia,9.16
Mozambique,9.06
Zambia,8.81
Papua N.G.,7.89
Ivory Coast,7.34
Kenya,6.94
Togo,6.94
Senegal,6.83
G.-Bissau,6.81
Iraq,6.07
Zimbabwe,6.05
Comoros,5.51
Mali,4.64
Burkina Faso,4.5
Malawi,4.41
Benin,4.26
Rwanda,4.18
Liberia,3.8
Uganda,3.7
Madagascar,3.16
Guinea,2.57
Chad,2.29
Niger,1.9
