0,1
Venezuela,5358.34
Zimbabwe,183.31
Sudan,100.9
South Sudan,73.91
Argentina,40.85
Lebanon,39.55
Iran,30.05
Yemen,26.77
Suriname,24.53
Angola,22.64
Democratic Republic of the Congo,18.09
Ethiopia,17.18
Liberia,17.15
Haiti,16.81
Sierra Leone,14.77
Turkey,14.38
Nigeria,14.03
Uzbekistan,13.95
Egypt,13.69
Zambia,12.25
Libya,10.2
Guinea,10.08
Ghana,9.7
Malawi,9.65
Turkmenistan,9.29
Ukraine,9.11
São Tomé and Príncipe,7.88
Uruguay,7.8
Tajikistan,7.1
Gambia,6.93
Pakistan,6.89
Kazakhstan,6.61
Madagascar,6.6
Belarus,6.25
Mozambique,6.22
Tunisia,6.14
Myanmar,5.81
Kenya,5.81
Georgia,5.59
Bangladesh,5.58
Mongolia,5.5
Lesotho,5.04
Kyrgyzstan,5.03
Azerbaijan,5.02
Sri Lanka,4.97
India,4.7
Mexico,4.67
Nepal,4.6
Jamaica,4.57
Papua New Guinea,4.46
Nicaragua,4.4
Eswatini,4.36
Brazil,4.35
Moldova,4.34
South Africa,4.34
Bhutan,4.24
Honduras,4.14
Algeria,4.14
Namibia,4.08
Russia,4.07
Dominican Republic,4.05
Guatemala,3.97
Seychelles,3.91
Vanuatu,3.85
Tonga,3.82
Tanzania,3.76
Rwanda,3.75
Barbados,3.51
Philippines,3.5
Botswana,3.4
Afghanistan,3.38
Colombia,3.36
Romania,3.35
Hungary,3.3
Laos,3.24
Paraguay,3.12
Uganda,3.11
Vietnam,3.02
Mauritius,3.01
Iceland,2.91
Central African Republic,2.89
Chile,2.8
Tuvalu,2.75
Poland,2.74
Indonesia,2.7
Czech Republic,2.67
Armenia,2.62
Gabon,2.56
Cambodia,2.54
Lithuania,2.52
Mauritania,2.51
Estonia,2.5
United States,2.46
Nauru,2.39
Serbia,2.31
Peru,2.25
Slovakia,2.21
Solomon Islands,2.2
Latvia,2.17
Jordan,2.16
Norway,2.14
China,2.0
United Kingdom,2.0
New Zealand,1.95
Burundi,1.95
Austria,1.94
Canada,1.94
Bulgaria,1.92
Bahamas,1.86
Chad,1.85
Guyana,1.85
Bolivia,1.83
Hong Kong,1.79
Albania,1.78
Cameroon,1.78
Australia,1.78
Equatorial Guinea,1.72
Netherlands,1.72
Belgium,1.71
Kosovo,1.71
Luxembourg,1.69
Kuwait,1.69
Sweden,1.66
Germany,1.65
Costa Rica,1.6
North Macedonia,1.58
Benin,1.55
Fiji,1.54
Antigua and Barbuda,1.54
Republic of the Congo,1.52
Senegal,1.52
Macau,1.51
Iraq,1.47
Ivory Coast,1.46
Montenegro,1.42
France,1.41
Djibouti,1.39
Malaysia,1.36
Saint Vincent and the Grenadines,1.35
Andorra,1.31
South Korea,1.31
Puerto Rico,1.31
Spain,1.25
Niger,1.24
Saudi Arabia,1.24
Slovenia,1.23
Federated States of Micronesia,1.22
Malta,1.2
Togo,1.2
Timor-Leste,1.16
Samoa,1.13
Trinidad and Tobago,1.11
Aruba,1.1
Croatia,1.1
Finland,1.08
Palau,1.07
El Salvador,1.07
Comoros,1.05
Cape Verde,1.05
Burkina Faso,1.02
Belize,0.97
San Marino,0.96
Maldives,0.96
Italy,0.94
Oman,0.94
Morocco,0.92
Taiwan,0.91
Denmark,0.85
Kiribati,0.85
Mali,0.84
Portugal,0.82
Grenada,0.82
Guinea-Bissau,0.77
Brunei,0.76
Saint Lucia,0.76
Bosnia and Herzegovina,0.71
Dominica,0.7
Ireland,0.65
Bahrain,0.63
United Arab Emirates,0.61
Singapore,0.59
Israel,0.55
Cyprus,0.52
Thailand,0.49
Palestine,0.43
Japan,0.35
Switzerland,0.31
Panama,0.24
Greece,0.21
Marshall Islands,0.13
Ecuador,0.02
Qatar,-0.04
St. Kitts and Nevis,-0.45
Eritrea,-6.98
