0,1
Switzerland,67.5
Sweden,64.5
United States,62.4
Singapore,61.2
United Kingdom,61.0
South Korea,60.9
Finland,59.4
Netherlands,58.8
Germany,58.1
Denmark,57.1
China,56.3
France,55.4
Japan,54.1
Canada,52.9
Israel,52.7
Estonia,52.3
Austria,50.3
Hong Kong,50.1
Ireland,50.0
Luxembourg,49.1
Norway,49.1
Iceland,48.5
Australia,48.1
Belgium,47.7
New Zealand,45.9
Italy,45.3
Cyprus,45.1
Spain,44.9
Malta,44.8
Czech Republic,44.0
Portugal,43.7
United Arab Emirates,42.8
Malaysia,40.5
Slovenia,40.2
Lithuania,40.1
Hungary,39.6
Turkey,39.0
Bulgaria,38.5
India,38.3
Poland,37.0
Thailand,36.9
Latvia,36.4
Croatia,36.3
Vietnam,36.2
Greece,36.2
Slovakia,34.3
Saudi Arabia,33.9
Romania,33.4
Qatar,32.9
Brazil,32.7
Chile,32.6
Serbia,32.3
Philippines,31.1
Indonesia,30.6
Mauritius,30.6
Mexico,30.4
Georgia,30.4
North Macedonia,29.9
Russia,29.7
Ukraine,29.5
Colombia,29.2
Uruguay,29.1
Armenia,29.0
Iran,28.9
Montenegro,28.9
Morocco,28.8
Mongolia,28.7
Moldova,28.7
South Africa,28.3
Costa Rica,28.3
Kuwait,28.1
Bahrain,27.6
Jordan,27.5
Oman,27.1
Peru,26.7
Argentina,26.4
Barbados,26.1
Kazakhstan,25.7
Jamaica,25.7
Bosnia and Herzegovina,25.5
Tunisia,25.4
Panama,24.7
Uzbekistan,24.7
Albania,24.5
Belarus,24.2
Egypt,23.7
Botswana,23.1
Brunei,22.8
Sri Lanka,22.6
Cape Verde,22.3
Pakistan,22.0
Senegal,22.0
Paraguay,21.9
Lebanon,21.5
Azerbaijan,21.3
Kenya,21.0
Dominican Republic,20.8
El Salvador,20.6
Kyrgyzstan,20.4
Bolivia,20.2
Ghana,20.0
Namibia,20.0
Cambodia,19.9
Rwanda,19.7
Ecuador,19.3
Bangladesh,19.1
Tajikistan,18.6
Trinidad and Tobago,18.4
Nepal,18.1
Madagascar,17.9
Laos,17.8
Ivory Coast,17.5
Nigeria,17.1
Honduras,16.7
Algeria,16.2
Zambia,15.7
Togo,15.6
Zimbabwe,15.6
Benin,15.4
Tanzania,15.3
Uganda,14.9
Guatemala,14.6
Cameroon,14.4
Nicaragua,14.0
Myanmar,13.8
Mauritania,13.2
Burundi,13.2
Mozambique,13.1
Burkina Faso,12.8
Ethiopia,12.3
Mali,11.8
Niger,11.2
Angola,10.2
