0,1,2
Afghanistan,30,Islamic Emirate of Afghanistan
Albania,19,Republic of Albania
Algeria,39,People’s Democratic Republic of Algeria
American Samoa,14,American Samoa
Andorra,23,Principality of Andorra
Angola,18,Republic of Angola
Antigua And Barbuda,19,Antigua and Barbuda
Argentina,18,Argentine Republic
Armenia,19,Republic of Armenia
Australia,25,Commonwealth of Australia
Austria,19,Republic of Austria
Azerbaijan,22,Republic of Azerbaijan
Bahamas,27,Commonwealth of the Bahamas
Bahrain,18,Kingdom of Bahrain
Bangladesh,31,People’s Republic of Bangladesh
Barbados,8,Barbados
Belarus,19,Republic of Belarus
Belgium,18,Kingdom of Belgium
Belize,6,Belize
Benin,17,Republic of Benin
Bermuda,41,Bermuda (alt: the Bermudas; Somers Isles)
Bhutan,17,Kingdom of Bhutan
Bolivia,30,Plurinational State of Bolivia
Bosnia And Herzegovina,22,Bosnia and Herzegovina
Botswana,20,Republic of Botswana
Brazil,29,Federative Republic of Brazil
Brunei,17,Brunei Darussalam
Bulgaria,20,Republic of Bulgaria
Burkina Faso,12,Burkina Faso
Burundi,19,Republic of Burundi
Cambodia,19,Kingdom of Cambodia
Cameroon,20,Republic of Cameroon
Canada,18,Dominion of Canada
Cape Verde,22,Republic of Cabo Verde
Central African Republic,24,Central African Republic
Chad,16,Republic of Chad
Chile,17,Republic of Chile
China,26,People’s Republic of China
Colombia,20,Republic of Colombia
Comoros,20,Union of the Comoros
Cook Islands,12,Cook Islands
Costa Rica,22,Republic of Costa Rica
Croatia,19,Republic of Croatia
Cuba,16,Republic of Cuba
Cyprus,18,Republic of Cyprus
Czech Republic,14,Czech Republic
Denmark,18,Kingdom of Denmark
Djibouti,20,Republic of Djibouti
Dominica,24,Commonwealth of Dominica
Dominican Republic,18,Dominican Republic
Dr Congo,32,Democratic Republic of the Congo
Ecuador,19,Republic of Ecuador
Egypt,22,Arab Republic of Egypt
El Salvador,23,Republic of El Salvador
Equatorial Guinea,29,Republic of Equatorial Guinea
Eritrea,16,State of Eritrea
Estonia,19,Republic of Estonia
Eswatini,19,Kingdom of Eswatini
Ethiopia,39,Federal Democratic Republic of Ethiopia
Faroe Islands,13,Faroe Islands
Fiji,16,Republic of Fiji
Finland,19,Republic of Finland
France,38,French Republic (République française)
French Polynesia,38,French Polynesia (Polynésie française)
Gabon,17,Gabonese Republic
Gambia,22,Republic of the Gambia
Georgia,19,Republic of Georgia
Germany,27,Federal Republic of Germany
Ghana,17,Republic of Ghana
Greece,17,Hellenic Republic
Grenada,7,Grenada
Guam,4,Guam
Guatemala,21,Republic of Guatemala
Guinea,18,Republic of Guinea
Guinea Bissau,25,Republic of Guinea-Bissau
Guyana,31,Co‑operative Republic of Guyana
Haiti,17,Republic of Haiti
Honduras,20,Republic of Honduras
Hong Kong,73,Hong Kong Special Administrative Region of the People's Republic of China
Hungary,40,"Hungary (formerly ""Republic of Hungary"")"
Iceland,19,Republic of Iceland
India,17,Republic of India
Indonesia,21,Republic of Indonesia
Iran,24,Islamic Republic of Iran
Iraq,16,Republic of Iraq
Ireland,19,Republic of Ireland
Israel,15,State of Israel
Italy,34,Italian Republic/Republic of Italy
Ivory Coast,25,Republic of Côte d’Ivoire
Jamaica,7,Jamaica
Japan,5,Japan
Jordan,27,Hashemite Kingdom of Jordan
Kazakhstan,22,Republic of Kazakhstan
Kenya,17,Republic of Kenya
Kiribati,20,Republic of Kiribati
Kuwait,15,State of Kuwait
Kyrgyzstan,15,Kyrgyz Republic
Laos,32,Lao People’s Democratic Republic
Latvia,18,Republic of Latvia
Lebanon,17,Lebanese Republic
Lesotho,18,Kingdom of Lesotho
Liberia,19,Republic of Liberia
Libya,14,State of Libya
Liechtenstein,29,Principality of Liechtenstein
Lithuania,21,Republic of Lithuania
Luxembourg,25,Grand Duchy of Luxembourg
Macau,69,Macao Special Administrative Region of the People's Republic of China
Madagascar,22,Republic of Madagascar
Malawi,18,Republic of Malawi
Malaysia,22,Federation of Malaysia
Maldives,20,Republic of Maldives
Mali,16,Republic of Mali
Malta,17,Republic of Malta
Marshall Islands,32,Republic of the Marshall Islands
Mauritania,30,Islamic Republic of Mauritania
Mauritius,21,Republic of Mauritius
Mexico,21,United Mexican States
Micronesia,30,Federated States of Micronesia
Moldova,19,Republic of Moldova
