0,1
Australia,1145
Mexico,1015
India,889
Brazil,868
Indonesia,799
Guinea,699
Colombia,657
China,631
South Africa,569
United States (USA),558
Peru,542
Vietnam,537
Malaysia,519
Thailand,495
Ecuador,493
Argentina,475
Madagascar,454
Venezuela,419
Papua New Guinea,410
Iran,382
Myanmar,373
Philippines,371
Mali,369
Congo,358
Tanzania,356
Bolivia,324
Angola,319
Congo (DRC),316
Cameroon,289
Panama,284
Kenya,284
Guatemala,283
Namibia,283
Honduras,282
Sudan,279
Costa Rica,269
Oman,253
Sri Lanka,251
Niger,251
Ethiopia,244
Somalia,234
South Sudan,226
Mozambique,225
Laos,219
Pakistan,215
Nigeria,207
Central African Republic,205
Cambodia,200
Nicaragua,195
Paraguay,193
Zambia,191
Ghana,187
Zimbabwe,186
Cuba,180
Guyana,177
Uganda,174
French Guiana,172
Cote d'lvoire (Ivory Coast),161
Botswana,161
Togo,159
New Caledonia,158
Suriname,158
Georgia,158
Turkey,154
El Salvador,153
Dominica,152
Chile,149
Bangladesh,145
Nepal,143
Belize,139
Singapore,135
Dominican Republic,135
Benin,134
Gabon,133
Chad,130
Malawi,127
Senegal,126
Haiti,125
Saudi Arabia,122
Jordan,120
Taiwan,118
Iraq,118
Egypt,118
Equatorial Guinea,117
Yemen,117
Afghanistan,116
Algeria,111
Morocco,109
Liberia,108
Japan,106
Eswatini (Swaziland),100
Sierra Leone,100
South Georgia and the South Sandwich Islands,100
Mauritania,98
Eritrea,96
Israel,95
Turkmenistan,90
Gambia,89
Bhutan,89
Solomon Islands,88
New Zealand,85
Burkina Faso,83
Rwanda,82
Uruguay,80
Puerto Rico,77
Greece,77
Spain,77
United Arab Emirates,74
Hong Kong,71
Tunisia,71
Libya,68
Burundi,67
Western Sahara,66
Guinea-Bissau,65
Uzbekistan,64
Azerbaijan,63
Italy,62
Lebanon,57
Armenia,56
Kyrgyzstan,56
Tajikistan,55
Kazakhstan,54
France,53
Jamaica,52
Canada,51
Bahamas,48
Fiji,44
Portugal,43
Brunei,42
Micronesia,41
Albania,41
Croatia,41
Bulgaria,41
Montenegro,40
Kuwait,39
Qatar,38
Vanuatu,38
Seychelles,35
Palau,35
Djibouti,35
Grenada,35
Cyprus,34
Saint Lucia,33
Guadeloupe,33
Mongolia,32
Martinique,31
Cape Verde,31
Trinidad and Tobago,30
Mauritius,30
Tonga,30
Guam,28
Serbia,27
Romania,27
Cayman Islands,27
Ukraine,25
Slovenia,24
South Korea,24
Samoa,22
Cook Islands,22
Ireland,21
Mayotte,21
Netherlands,19
Lesotho,19
Aruba,19
Anguilla,19
Switzerland,18
Austria,18
North Korea,18
Germany,18
Reunion,18
São Tomé and Príncipe,17
Hungary,16
Northern Mariana Islands,16
Moldova,15
Montserrat,15
Slovakia,14
Malta,14
Gibraltar,14
North Macedonia,13
Czech Republic,13
Cocos (Keeling) Island,13
Marshall Islands,12
Turks and Caicos Islands,12
Maldives,11
Belgium,11
Poland,11
Bahrain,11
Barbados,11
Bermuda,10
Antigua and Barbuda,10
Andorra,10
Nauru,10
East Timor (Timor-Leste),9
Bosnia and Herzegovina,9
Norway,9
French Polynesia,9
Comoros,9
Lithuania,8
Liechtenstein,8
Christmas Island,8
Sweden,7
Latvia,7
Belarus,7
Wallis and Futuna,7
Netherlands Antilles,7
Denmark,6
Finland,6
Saint Kitts and Nevis,6
Estonia,6
Tuvalu,6
United Kingdom,5
Saint Vincent and the Grenadines,5
American Samoa,4
Saint Helena,4
Niue,4
Monaco,4
Tokelau,4
British Indian Ocean Territory,4
Saint Pierre and Miquelon,3
Kiribati,3
Norfolk Island,3
Russia,2
Pitcairn,2
Macau,2
