0,1
Macau,343.11
Hong Kong,287.85
Gaza Strip,215.58
United Arab Emirates,197.65
Seychelles,196.79
British Virgin Islands,194.19
Antigua and Barbuda,190.57
Thailand,185.69
Montenegro,183.96
Anguilla,178.73
Kuwait,171.96
Botswana,171.26
Lithuania,170.74
Russia,164.65
South Africa,164
Turkmenistan,161.14
Costa Rica,160.14
Maldives,156.07
Trinidad and Tobago,155.57
Singapore,153.69
Philippines,152.43
Mauritius,150.55
Cayman Islands,149.64
Estonia,148.14
Saint Kitts and Nevis,146.73
Falkland Islands (Islas Malvinas),146.15
El Salvador,145.7
Malta,142.9
West Bank,142.6
Iran,140.83
Vietnam,140.05
Japan,139.58
Suriname,138.67
Poland,138.23
Nepal,138.09
Malaysia,137.81
Uruguay,137.71
Kazakhstan,137.35
"Gambia, The",136.94
Qatar,136.21
Slovakia,135.67
Mongolia,135.66
Oman,135.55
Gabon,134.87
Georgia,134.65
"Korea, South",133.97
Palau,133.89
Aruba,133.53
Luxembourg,133.34
Kyrgyzstan,133.12
New Zealand,133
Italy,132.94
Ghana,131.46
Chile,131.25
Ukraine,130.76
Colombia,130.45
Panama,130.28
Argentina,129.75
Finland,128.86
Germany,128.61
Cambodia,128.11
Netherlands,126.82
Brunei,126.73
Morocco,126.72
Indonesia,126.49
Switzerland,126.35
Liechtenstein,126.11
Sweden,125.32
Tunisia,125.24
Israel,124.94
Denmark,124.9
Czech Republic,123.46
Belarus,123.26
Taiwan,123.08
United States,122.81
Armenia,122.71
Peru,122.63
Jersey,121.37
Slovenia,120.84
Iceland,120.72
Gibraltar,120.04
China,119.98
Austria,119.36
Saudi Arabia,118.61
Romania,117.51
Spain,117.46
Fiji,117.24
Bulgaria,116.97
United Kingdom,116.97
Puerto Rico,116.8
Portugal,116.75
Guatemala,116.75
Faroe Islands,115.77
Greenland,114.57
Sri Lanka,114.29
Andorra,114.02
Greece,113.8
San Marino,113.7
Lesotho,113.65
Bahrain,113.41
Burma,112.88
Bosnia and Herzegovina,112.13
Mali,111.75
Namibia,111.09
France,110.23
Latvia,109.88
Tajikistan,109.85
Australia,109.09
Syria,108.85
"Bahamas, The",108.44
Barbados,108.36
East Timor,107.75
Algeria,107.71
Guam,107.43
Senegal,107.21
Croatia,107.18
Cape Verde,106.94
Hungary,106.37
Norway,106.27
Guernsey,106.26
Azerbaijan,106.17
Paraguay,105.71
Dominica,105.65
Ireland,104.29
French Polynesia,103.43
Bermuda,102.69
Jamaica,102.63
Mauritania,101.94
Grenada,101.69
Kenya,101.51
Saint Lucia,101.39
Bangladesh,100.56
Uzbekistan,100.32
Montserrat,100.07
Bolivia,99.38
Belgium,99.11
Macedonia,98.5
Brazil,98.18
Guinea,98.06
Burkina Faso,97.58
Serbia,96.82
Turkey,96.4
New Caledonia,94.83
Bhutan,94.59
Mexico,94.15
Nauru,94.14
Zambia,93.66
"Congo, Republic of the",93.21
Saint Vincent and the Grenadines,93.07
Iraq,92.85
Egypt,92.83
Swaziland,92.81
Canada,91.79
Albania,91.04
Moldova,90.35
Ecuador,90.16
Libya,89.72
Zimbabwe,88.43
Nicaragua,87.59
Vanuatu,86.92
Monaco,86.38
Nigeria,85.98
Cook Islands,85.23
Benin,84.77
Sierra Leone,84.06
India,83.35
Dominican Republic,82.53
Guyana,82.38
Guinea-Bissau,80.74
Tanzania,80.01
Cameroon,79.52
Jordan,75.93
Sao Tome and Principe,75.88
Togo,75.25
Sudan,75.06
Rwanda,74.98
Pakistan,74.82
Honduras,71.83
Solomon Islands,70.08
Tuvalu,69.75
Comoros,66.61
Saint Helena,66.5
Lebanon,66.09
Belize,64.18
Samoa,63.2
Laos,59.97
Tonga,59.53
Venezuela,58.18
Afghanistan,57.96
Haiti,56.81
Burundi,56
Uganda,55.39
Liberia,55.06
Yemen,54.07
Cuba,53.45
Somalia,47.74
Papua New Guinea,46.86
Chad,46.56
Mozambique,46.49
Malawi,46.23
Kiribati,45.98
Angola,45.03
Equatorial Guinea,44.12
"Congo, Democratic Republic of the",41.43
Djibouti,40.35
Madagascar,39.61
Niger,39.18
Ethiopia,35.28
South Sudan,32.57
Kosovo,32.09
Central African Republic,31.58
Marshall Islands,27.17
"Micronesia, Federated States of",20.87
Eritrea,20.17
"Korea, North",14.9
