0,1
Vatican City,1
Monaco,6050
Switzerland,5461
Denmark,5110
Falkland Islands,5000
Norway,4654
Iceland,4622
Singapore,4232
Sweden,4141
Australia,4109
Cyprus,4087
Finland,3948
Macau,3736
Luxembourg,3554
Netherlands,3534
Ireland,3309
New Zealand,3286
Hong Kong,3273
Slovenia,3228
Liechtenstein,3193
Canada,3184
Austria,3044
Belgium,2976
United Kingdom,2959
Estonia,2865
Portugal,2821
French Southern and Antarctic Lands,2500
Israel,2402
Czech Republic,2358
Saint Kitts and Nevis,2241
Grenada,2212
Spain,2202
Italy,2159
Germany,2097
Greenland,2048
Croatia,2010
Malta,1974
Greece,1884
United States,1875
Qatar,1815
South Korea,1762
Taiwan,1677
Lithuania,1667
France,1664
Slovakia,1597
Brunei,1584
San Marino,1484
Faroe Islands,1378
Poland,1364
Latvia,1349
Hungary,1250
Bermuda,1218
Palau,1169
Serbia,1158
Malaysia,1135
Seychelles,1119
United Arab Emirates,1061
Saudi Arabia,1037
Svalbard and Jan Mayen,1021
Japan,1016
Montenegro,1006
British Indian Ocean Territory,1000
Bulgaria,956
Chile,871
Anguilla,867
Iran,863
Russia,819
Romania,810
Montserrat,800
Tunisia,710
Bahrain,710
New Caledonia,676
"Saint Helena, Ascension and Tristan da Cunha",667
Tokelau,666
Turkey,635
Lebanon,628
French Polynesia,600
Jordan,587
Oman,562
Barbados,542
North Macedonia,540
Uruguay,535
China,527
Fiji,522
Cook Islands,521
Georgia,511
Kuwait,502
Guam,494
Bosnia and Herzegovina,474
South Africa,472
Iraq,454
Andorra,453
French Guiana,442
Ukraine,434
Brazil,416
Cayman Islands,410
Armenia,396
Mauritius,356
Gibraltar,353
Samoa,350
Argentina,341
Botswana,332
Trinidad and Tobago,320
Thailand,312
Ecuador,308
Tonga,301
Egypt,298
Colombia,296
Dominica,292
Federated States of Micronesia,284
American Samoa,282
Saint Vincent and the Grenadines,280
Kazakhstan,279
Costa Rica,279
Belarus,272
Puerto Rico,265
Bhutan,265
Wallis and Futuna,264
Morocco,259
Nauru,254
Turks and Caicos Islands,247
Maldives,238
Antigua and Barbuda,232
Northern Mariana Islands,232
Mexico,231
Palestine,230
Bahamas,219
Albania,216
Moldova,211
Namibia,205
British Virgin Islands,200
Aruba,198
Mongolia,194
Cuba,187
Guadeloupe,187
Tuvalu,187
Panama,182
Indonesia,181
Vietnam,177
Algeria,176
Jamaica,175
Azerbaijan,174
Vanuatu,173
Saint Pierre and Miquelon,167
Peru,164
Martinique,155
United States Virgin Islands,149
Kiribati,141
India,138
Ghana,136
Sri Lanka,128
Marshall Islands,128
Pakistan,127
Eswatini,125
Cape Verde,119
Belize,114
Suriname,100
Uzbekistan,99
Libya,97
Gambia,92
Guyana,91
Kenya,86
Cameroon,86
Gabon,85
Solomon Islands,85
Nepal,84
Saint Lucia,78
Kyrgyzstan,76
Zimbabwe,71
Republic of the Congo,68
Réunion,66
Nigeria,63
Rwanda,55
Paraguay,55
Senegal,54
Uganda,53
Ethiopia,52
Philippines,51
Malawi,50
Benin,50
Venezuela,49
Bangladesh,48
Lesotho,46
Zambia,44
Mayotte,43
Laos,42
São Tomé and Príncipe,42
Syria,40
Bolivia,38
Tanzania,37
Honduras,37
Djibouti,36
Yemen,35
Guinea-Bissau,35
Cambodia,34
Tajikistan,34
Dominican Republic,33
Timor-Leste,31
Burkina Faso,30
Togo,28
Sudan,27
Papua New Guinea,25
Sierra Leone,25
Guatemala,24
Comoros,24
Ivory Coast,23
Nicaragua,21
Mozambique,20
Mauritania,20
Eritrea,20
Myanmar,18
Mali,16
El Salvador,16
Madagascar,15
Liberia,15
Central African Republic,12
Guinea,11
Haiti,11
Afghanistan,9
North Korea,9
Burundi,9
Equatorial Guinea,9
Niger,8
Somalia,6
Democratic Republic of the Congo,5
Angola,5
Chad,4
South Sudan,3
Turkmenistan,2
