0,1,2,3,4,5,6,7,8
Afghanistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156.0,Bactrian princess and wife of Alexander the Great,"Roxana (c. 340 BC – 310 BC, Ancient Greek: Ῥωξάνη; Old Iranian: *Raṷxšnā- ""shining, radiant, brilliant""; sometimes Roxanne, Roxanna, Rukhsana, Roxandra and Roxane) was a Sogdian or a Bactrian princess whom Alexander the Great married after defeating Darius, ruler of the Achaemenid Empire, and invading Persia. The exact date of her birth is unknown, but she was probably in her early teens at the time of her wedding to Alexander the Great.",https://en.wikipedia.org/wiki/Roxana
Albania,39,Safiye Sultan,http://www.wikidata.org/entity/Q437197,wd:Q437197,3715355.0,"Haseki Sultan of Murad III, mother of Mehmed III","Safiye Sultan (Ottoman Turkish: صفیه سلطان; ""pure"" c. 1550 – after 20 April 1619) was the Haseki Sultan (chief consort) of Murad III and Valide Sultan of the Ottoman Empire as the mother of Mehmed III and the grandmother of Sultans: Ahmed I and Mustafa I. Safiye was also one of the eminent figures during the era known as the Sultanate of Women. She lived in the Ottoman Empire as a courtier during the reigns of seven sultans: Suleiman the Magnificent, Selim II, Murad III, Mehmed III, Ahmed I, Mustafa I, and Osman II.
After the death of Selim II in 1574, Prince Murad took the throne as the new sultan in Constantinople under the name of Murad III.  Safiye was by his side and moved with him to Topkapi Palace, and less than a year into his reign she received the title of Haseki Sultan (chief consort), which placed her above the princesses.  Nurbanu, her Mother-in-law, who was with them as the Sultan's mother, was upset with Safiye's influence on Murad and wanted to replace her with another concubine of the harem. Finally, the conflict between Safiye and Nurbanu reached a crisis and Murad sent Safiye to Eski Saray. That she lived there for a year after Nurbanu's death, but Murad brought her back to him.
After 1585, she became the most powerful one in harem. Moreover, she was not contented with harem, she began to intervene in state affairs and she became one of the powerful figures of the Murad reign.  She strengthened her position in the court when she became the Valide Sultan (Sultan’s mother) upon the ascension of her son Mehmed III on the throne in 1595, after the death of Murad III. As Valide Sultan, her personal purse was three times that of the Sultan, the highest level of salary for a person in the empire. During her son's reign, Mehmed would consult her on matters if it was important and he did not make a decision if it was not her consent. People and civil servants appealed to her when they needed some help, since they knew how influential she was on the Ottoman court; sometimes they would even throw themselves in front of her carriage for help. She was the most influential in directing everything related to the empire and the terms of appointments and dismissals of everyone in the Empire, even the Grand Vizier and Shaykh al-Islam. When Mehmed III went on the campaign of Eğri in 1596, he left a treasure of one billion akçe to her service, and he gave her the power to audit important matters in his absence. She distributed alms to the poor, orphans, and widows upon the fall of Eğri Castle.
Safiye Sultan did not only interfere in interior affairs but also in foreign affairs of the empire. It is known that she corresponded by letters with foreign kings and queens and established diplomatic relations with them. Like her mother-in-law Nurbanu, she supported a pro-Venetian policy in foreign politics. But in the last years of her son's reign, her meddling in state affairs caused three destructive rebellions and made her immensely hated by the soldiers and the people. Upon the death of Mehmed III in 1603, she was sent to Eski Saray on January 9, 1604, and lived there in retirement without political influence until her death on April 20, 1619. She was laid to rest in the tomb of Murad III.

",https://en.wikipedia.org/wiki/Safiye_Sultan_(mother_of_Mehmed_III)
Algeria,40,Monica of Hippo,http://www.wikidata.org/entity/Q234689,wd:Q234689,740416.0,Christian saint; mother of St. Augustine,"Monica (c. 332 – 387) was an early North African Christian saint and the mother of Augustine of Hippo. She is remembered and honored in the Catholic and Orthodox Churches, albeit on different feast days, for her outstanding Christian virtues, particularly the suffering caused by her husband's adultery, and her prayerful life dedicated to the reformation of her son, who wrote extensively of her pious acts and life with her in his Confessions. Popular Christian legends recall Monica weeping every night for her son Augustine.",https://en.wikipedia.org/wiki/Saint_Monica
Andorra,5,Sara la Goda,http://www.wikidata.org/entity/Q6121781,wd:Q6121781,70741594.0,8th century Visigothic noblewoman,"Sara al-Qutiyya (Arabic: سارة القوطية; Spanish: Sara la Goda) or Sara the Goth (fl. 8th century) was a Visigothic noblewoman, who was the grand-daughter of king Wittiza. After the death of her father she travelled to Damascus from al-Andalus and successfully petitioned Hisham ibn Abd al-Malik to restore lands to her family that had been appropriated by her uncle. The historian Ibn al-Qutiyya was her great-grandson.",https://en.wikipedia.org/wiki/Sara_al-Qutiyya
Angola,37,Nzingha Mbande,http://www.wikidata.org/entity/Q467650,wd:Q467650,419490.0,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),"Nzinga Ana de Sousa Mbande (c. 1583 – 17 December 1663) was a Southwest African ruler who served as queen of the Ambundu Kingdoms of Ndongo (1624–1663) and Matamba (1631–1663), located in present-day northern Angola.Born into the ruling family of Ndongo, Nzinga received military and political training as a child, and she demonstrated an aptitude for defusing political crises as an ambassador to the Portuguese Empire. She later assumed power over Ndongo after the death of her father and brother, who both served as kings, and would go on to conquer Matamba. She ruled during a period of rapid growth in the African slave trade and encroachment of the Portuguese Empire into South West Africa, in attempts to control the slave trade. Nzinga fought for the independence and stature of her kingdoms against the Portuguese in a reign that lasted 37 years.
In the centuries since her death, Nzinga has been increasingly recognized as a major historical figure in Angola and in the wider Atlantic Creole culture. She is remembered for her intelligence, her political and diplomatic wisdom, and her military tactics.",https://en.wikipedia.org/wiki/Nzinga_of_Ndongo_and_Matamba
Antigua and Barbuda,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020.0,Native American woman captured by Martin Frobisher,"Arnaq  or Egnock (died November 1577) was the name given by the English to an Inuk woman from what is now Baffin Island, Nunavut, who was taken hostage by Sir Martin Frobisher on his second journey to find the Northwest Passage. She, her infant son (named by the English as Nutaaq) and an Inuk man named as Kalicho were among the first Inuit and first indigenous people from North America to visit England and among the best documented of the Tudor period. They were brought back to the English port of Bristol at the end of September 1577 and died in November of the same year.",https://en.wikipedia.org/wiki/Arnaq
Argentina,12,María Antonia de Paz y Figueroa,http://www.wikidata.org/entity/Q6003369,wd:Q6003369,47660604.0,"Argentinian nun, foundress, blessed","María Antonia de Paz y Figueroa (1730 – 6 March 1799), religious name María Antonia of Saint Joseph, was an Argentinian Roman Catholic religious sister who later established the Daughters of the Divine Savior. She later became known as ""Mama Antula"".
She was – on the account of her model Christian life of heroic virtue – proclaimed to be venerable in 2010. One miracle required for her beatification received the approval of Pope Francis on 3 March 2016; it allowed for her beatification in Santiago del Estero on 27 August 2016 in which Cardinal Angelo Amato presided over the celebration.

",https://en.wikipedia.org/wiki/Mar%C3%ADa_Antonia_de_Paz_y_Figueroa
Armenia,9,Stephanie of Armenia,http://www.wikidata.org/entity/Q959494,wd:Q959494,27927714.0,"first-born daughter of Leo I, King of Armenia","Stephanie of Armenia (after 1195 – June 1220), also known as Rita, was a member of the Rubenid dynasty and claimant to the throne of the Armenian Kingdom of Cilicia.
Stephanie was the only child of Leo I, King of Armenia, by his first wife Isabelle. Stephanie's maternal family is disputed. It is believed that her mother was a niece of Sybille, wife of Bohemond III of Antioch. Others  believe that her mother was of Austrian and German origins. Stephanie was brought up by her paternal grandmother Rita of Barbaron. She was around ten years old when her mother died, who had not borne Leo any more children. Around 1210 Stephanie's father remarried to Sibylla, daughter of Isabella I of Jerusalem. From this marriage she gained a half-sister, Isabella.
In April 1214, Stephanie married John of Brienne. John had only recently lost his first wife Maria, Queen of Jerusalem, who was a sister of Stephanie's stepmother Sibylla. Stephanie was a bad stepmother to John's daughter, Queen Isabella II of Jerusalem, on whose behalf John ruled Jerusalem as regent. Stephanie herself gave birth in 1216 to a son named John.In May, 1219 Stephanie's father died. He had made the barons swear an oath of allegiance to his great-nephew Raymond-Roupen, who became his heir. However, on his death bed King Leo changed the succession. He made his daughter Isabelle  his heir and released the barons from their oath of allegiance. Stephanie was still alive at the time and would have had more right because she was the older daughter. Also, Stephanie had a son. Stephanie's husband, John pressed the claim on behalf of his wife. Raymond-Roupen also pressed his claim on the throne.
John left the Fifth Crusade in February 1220 intending to visit Cilicia to press his family's claim. In June, however, Stephanie died; it was gossiped that John had beaten her to death after she tried to poison her stepdaughter, Isabella. Stephanie's young son died shortly afterwards. John of Brienne had no longer a claim on the throne of Cilicia.",https://en.wikipedia.org/wiki/Stephanie_of_Armenia
Australia,1,Emily Dobson,http://www.wikidata.org/entity/Q24087933,wd:Q24087933,56542169.0,Australian philanthropist (1842-1934),Emily Dobson (10 October 1842 – 5 June 1934) was an Australian philanthropist. She was known for her work supporting women's charities.,https://en.wikipedia.org/wiki/Emily_Dobson
Austria,120,Marie Antoinette,http://www.wikidata.org/entity/Q47365,wd:Q47365,45109.0,last Queen of France prior to the French Revolution,"Marie Antoinette (; French: [maʁi ɑ̃twanɛt] (listen); Marie Antoinette Josèphe Jeanne; 2 November 1755 – 16 October 1793) was the last queen of France before the French Revolution. She was born an Archduchess of Austria, and was the penultimate child and youngest daughter of Empress Maria Theresa and Emperor Francis I. She became dauphine of France in May 1770 at age 14 upon her marriage to Louis-Auguste, heir apparent to the French throne. On 10 May 1774, her husband ascended the throne as Louis XVI and she became queen.
Marie Antoinette's position at court improved when, after eight years of marriage, she started having children. She became increasingly unpopular among the people, however, with the French libelles accusing her of being profligate, promiscuous, allegedly having illegitimate children, and harboring sympathies for France's perceived enemies—particularly her native Austria. The false accusations of the Affair of the Diamond Necklace damaged her reputation further. During the Revolution, she became known as Madame Déficit because the country's financial crisis was blamed on her lavish spending and her opposition to the social and financial reforms of Turgot and Necker.
Several events were linked to Marie Antoinette during the Revolution after the government had placed the royal family under house arrest in the Tuileries Palace in October 1789. The June 1791 attempted flight to Varennes and her role in the War of the First Coalition had disastrous effects on French popular opinion. On 10 August 1792, the attack on the Tuileries forced the royal family to take refuge at the Assembly, and they were imprisoned in the Temple Prison on 13 August. On 21 September 1792, the monarchy was abolished. Louis XVI was executed by guillotine on 21 January 1793. Marie Antoinette's trial began on 14 October 1793; she was convicted two days later by the Revolutionary Tribunal of high treason and executed, also by guillotine, at the Place de la Révolution.",https://en.wikipedia.org/wiki/Marie_Antoinette
