0,1
Angola,2012
Botswana,1992
Egypt,1973
Eswatini,1993
Gabon,2019
Ghana,2011
Ivory Coast,2018
Kenya,2011
Lesotho,2012
Madagascar,2019
Malawi,2012
Mauritius,1983
Morocco,2001
Mozambique,2007
Namibia,1992
Nigeria,2009
Rwanda,2020
Senegal,2019
South Africa,1971
Sudan,2019
Tanzania,2013
Tunisia,2018
Uganda,2013
Zambia,2011
Zimbabwe,1991
Armenia,2007
Azerbaijan,2011
Bahrain,1973
Bangladesh,2006
Brunei,1992
China,1987
Cambodia,2008
Georgia,2010
Hong Kong,1973
India,1995
Indonesia,1979
Iraq,2015
Israel,1993
Japan,1970
Jordan,1973
Kazakhstan,2008
Kuwait,1973
Kyrgyzstan,2017
Lebanon,1973
Macau,2001
Malaysia,1973
Maldives,2018
Mongolia,2013
Myanmar,2015
Nepal,2009
Oman,1977
Pakistan,1960
Palestine,2011
Philippines,1967
Qatar,1976
Saudi Arabia,1975
Singapore,1977
South Korea,1984
Sri Lanka,1995
Taiwan,1985
Tajikistan,2021
Thailand,1984
Turkey,1989
United Arab Emirates,1975
Uzbekistan,2018
Vietnam,1997
Yemen,2002
Country/Region,error
Antigua and Barbuda,error
Argentina,2010
Aruba,error
Bahamas,1967
Barbados,1971
Bolivia,2914
Bonaire,1992
Brazil,1973
Cayman Islands,1976
Chile,1992
Colombia,1993
Costa Rica,1970
Cuba,2004
Curaçao,error
Dominica,2010
Dominican Republic,1997
Ecuador,1975
El Salvador,2004
French Guiana,error
Grenada,error
Guadeloupe,error
Guatemala,2009
Guyana,1994
Honduras,2004
Jamaica,2010
Martinique,error
Panama,1969
Paraguay,2014
Peru,1981
Puerto Rico,1967
Saint Kitts and Nevis,error
Saint Lucia,error
Sint Maarten,error
Saint Vincent and the Grenadines,1986
Suriname,1996
Trinidad and Tobago,1973
United States Virgin Islands,error
Venezuela,1973
Albania,2016
Austria,1970
Belarus,2015
Belgium,2019
Bosnia and Herzegovina,2022
Bulgaria,1994
Croatia,2011
Cyprus,2013
Czech Republic,1995
Denmark,1970
Estonia,2019
Finland,2021
France,1991
Germany,1968
Greece,1992
Hungary,1992
Iceland,1980
Ireland,1971
Italy,1970
Kosovo,2016
Latvia,2014
Lithuania,2007
Luxembourg,2019
Malta,1997
Moldova,2008
Montenegro,2023
Netherlands,1972
North Macedonia,2018
Poland,1992
Portugal,1994
Romania,1997
Serbia,2007
Slovakia,2006
Slovenia,2018
Spain,1970
Sweden,1981
Switzerland,1980
Ukraine,1999
United Kingdom,1965
Bermuda,1975
Canada,1953
Mexico,1965
United States,1930
American Samoa,1984
Australia,1968
Guam,1975
New Zealand,1971
Northern Mariana Islands,1986
Andorra,1979
Norway,1980
Russia,1993
Fiji,2001
Iran,1973
Syria,2006
