0,1,2
United States,458000000.0,Instagram
Portugal,401000000.0,Cristiano Ronaldo
India,177000000.0,Virat Kohli
Trinidad & Tobago,168000000.0,Nicki Minaj
Brazil,167000000.0,Neymar
Senegal,124600000.0,Khaby Lame
Barbados,116000000.0,Rihanna
Canada,114264755.0,Justin Bieber
Sweden,110000000.0,PewDiePie
Colombia,109548855.0,Shakira
Spain,108000000.0,Real Madrid CF
Ukraine,80500000.0,Kids Diana Show
United Kingdom,77000000.0,Dua Lipa
Thailand,71000000.0,Lisa
Turkey,55300000.0,CZN Burak
South Korea,51600000.0,Rosé
New Zealand,51600000.0,Rosé
South Africa,50430902.0,Elon Musk
Mexico,47000000.0,Dominik Lipa
Germany,44000000.0,Younes Zarou
Philippines,41500000.0,Colours
Ireland,40910748.0,Niall Horan
Japan,40400000.0,Jun'ya
Kazakhstan,36100000.0,Alina Kim
Russia,34300000.0,Kirya Kolesnikov
Belarus,32300000.0,Vlad Bumaga
Indonesia,27600000.0,Atta Halilintar
France,20713291.0,David Guetta
Australia,19800000.0,Sia
Saudi Arabia,19788601.0,Aaidh ibn Abdullah al-Qarni
China,19397905.0,His Holiness the Dalai Lama 14 Tendzin Gyatso
Vatican City,18863146.0,Vatican City
Italy,18000000.0,Michele Maganza
Greece,16680670.0,Tom Hanks
Uruguay,16638945.0,Luis Suárez
Moldova,16100000.0,Marmok
Norway,15881703.0,El Rubius
Bahrain,15559091.0,Jacqueline Fernandez
Sri Lanka,15559091.0,Jacqueline Fernandez
Lebanon,15260472.0,Elissa
Argentina,14698124.0,Sergio Agüero
Kuwait,14615539.0,Mishary Rashid Al-Afasy
Malaysia,14500000.0,"Les Copaque Production "
Venezuela,14400000.0,Marialejandra Marrero
Netherlands,13800000.0,Nikkie Tutorials
Egypt,13747728.0,Mohamed Salah
Pakistan,13117509.0,Imran Khan
Switzerland,12724141.0,Roger Federer
Cuba,12189731.0,Camila Cabello
Chile,11723484.0,Germán Garmendia
Gabon,11381218.0,Ludacris
United Arab Emirates,10800000.0,Mohamed Beiraghdary
Guatemala,10505440.0,Ricardo Arjona
