0,1,2,3,4
Afghanistan,101.0,Kabul Markaz Residential Tower 1,"Kabul Tower, also referred to as the MOC Tower and Telecom Tower, is an 18-story brutalist high-rise building in Kabul, Afghanistan built in the 1970s. With a height of 87 metres (285 ft) to the tip and an architectural height of 75 metres (246 ft), the Kabul Tower was for a long time the tallest building in Afghanistan until being eclipsed by the Kabul Markaz Residential Tower 1 in 2020. Kabul Tower is a government office building and serves as the Headquarters of the  Ministry of Communications and Information Technology",https://en.wikipedia.org/wiki/Kabul_Tower
Albania,112.0,Arena Center Tower,"Golden 1 Center is an indoor arena, located in downtown Sacramento, California, United States. It sits partially on the site of the former Downtown Plaza shopping center. The publicly owned arena is part of a business and entertainment district called Downtown Commons (DoCo), which includes a $250 million 16-story mixed-use tower.
The arena, which replaced ARCO Arena as the home of the Sacramento Kings of the National Basketball Association, hosts concerts, conventions and other sporting and entertainment events. Capacity is expandable to about 19,000 to accommodate concert audiences. 34 luxury suites were sold to include all events year-round. Suite partners have access to three exclusive clubs on the premium level including two skyboxes that overlook the concourse and have a direct view of the outside. In addition to the luxury suites, there are also 48 loft-style suites.",https://en.wikipedia.org/wiki/Golden_1_Center
Algeria,270.0,Djamaâ El Djazaïr,"Djamaa el Djazaïr (Arabic: جامع الجزائر), also known as the Great Mosque of Algiers (French: Grande mosquée d'Alger), is a mosque in Algiers, Algeria. It houses the world's tallest minaret and is the third-largest mosque in the world after the Great Mosque of Mecca and Al-Masjid an-Nabawi of Medina in Saudi Arabia.",https://en.wikipedia.org/wiki/Djamaa_el_Djaza%C3%AFr
Andorra,80.0,Caldea,"Caldea is a spa resort in Escaldes-Engordany, Andorra.
Finished in 1994, it has 18 floors. At 6,000m² it is one of Europe's largest spas, and at 80 metres in height, it is Andorra's tallest building.",https://en.wikipedia.org/wiki/Caldea
Angola,145.0,IMOB Business Tower,"This article ranks the tallest buildings on the African continent by height. Initially, only a small number of major financial and commercial centers boasted large skylines, such as Cairo, Johannesburg, Lagos and Nairobi. However, since the 2000s, skyscrapers have been constructed in many other African cities, including Durban, Cape Town, Maputo, Abuja, Addis Ababa, Dar es Salaam, Alexandria, Harare, Abidjan, Luanda and Port Louis.
Between 1973 and 2019, the tallest skyscraper in Africa was Johannesburg's Carlton Centre, which stands 223 m (732 ft) tall. It was surpassed by The Leonardo, also in Johannesburg, which stands 234 m (768 ft) tall. Since 2021, the tallest skyscraper is Iconic Tower in New Administrative Capital, Egypt, which is 393.8 m (1,292 ft) tall. The tallest skyscraper currently under construction in Africa is the F Tower in Abidjan, Côte d'Ivoire, which will reach 400 m (1,300 ft) in height - work by PFO Africa and BESIX started in 2021.

",https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Africa
Antigua & Barbuda,21.0,St. John's Cathedral,"The Cathedral of St. John the Divine (sometimes referred to as St. John's and also nicknamed St. John the Unfinished) is the cathedral of the Episcopal Diocese of New York. It is at 1047 Amsterdam Avenue in the Morningside Heights neighborhood of Manhattan in New York City, between West 110th Street (also known as Cathedral Parkway) and West 113th Street.
The cathedral is an unfinished building, with only two-thirds of the proposed building completed, due to several major stylistic changes, work interruptions, and unstable ground on the site. The original design, in the Byzantine Revival and Romanesque Revival styles, began construction in 1892. After the opening of the crossing in 1909, the overall plan was changed to a Gothic Revival design. The completion of the nave was delayed until 1941 due to various funding shortfalls, and little progress has occurred since then, except for an addition to the tower at the nave's southwest corner. After a large fire damaged part of the cathedral in 2001, it was renovated and rededicated in 2008. The towers above the western elevation of the facade, as well as the southern transept and a proposed steeple above the crossing, have not been completed.
Despite being incomplete, the Cathedral of St. John the Divine is the world's sixth-largest church by area and either the largest or second-largest Anglican cathedral. The floor area of St. John's is 121,000 sq ft (11,200 m2), spanning a length of 601 feet (183 m), while the roof height of the nave is 177 feet (54 m). Since the cathedral's interior is so large, it has been used for hundreds of events and art exhibitions. In addition, the Cathedral of St. John the Divine has been involved in various advocacy initiatives throughout its history.
The cathedral close includes numerous buildings: the Leake & Watts Orphan Asylum Building, the cathedral proper, the St. Faith's House, the Choir School, the Deanery, and the Bishop's House. The buildings are designed in several different styles and were built over prolonged periods of construction, with the Leake & Watts Orphan Asylum predating the cathedral itself. The cathedral close was collectively designated an official city landmark by the New York City Landmarks Preservation Commission in 2017.",https://en.wikipedia.org/wiki/Cathedral_of_St._John_the_Divine
Argentina,235.0,Alvear Tower,"The Alvear Tower is a residential and hotel skyscraper on Azucena Villaflor Avenue, east of Dock Two in the upscale Puerto Madero section of Buenos Aires. The skyscraper is the tallest building in Argentina.
A mixed-use development, the 54-story, 70,000 m2 (753,000 sq ft) building includes 175 condominiums totalling 34,000 m2 (366,000 sq ft), as well as a five star hotel. The building's residential floor plans are notable for their variety—ranging from 100 m (330 ft) to 500 m (1,600 ft)—, as well as their 3.3 m (11 ft) ceilings.",https://en.wikipedia.org/wiki/Alvear_Tower
Armenia,85.0,Elite Plaza Business Center,"Elite Plaza Business Center, also referred to as the Khorenatsi 15, is a business center in the financial center of Armenia's capital Yerevan opened in February 2013. With its 18 floors and 21,700 sq.m. of office space Elite Plaza is the largest business center in Armenia.",https://en.wikipedia.org/wiki/Elite_Plaza_Business_Center
Australia,322.5,Q1,error,error
Austria,220.0,DC Tower 1,"The DC Towers (also known as Donau City Towers) is a pair of tower in Vienna's Donaucity. The Donau City Towers was designed by the French star architect Dominique Perrault.
DC Tower 1 is complete and the first tenants moved into the offices in October 2013. Construction of DC Tower 2 on Vienna's Donauplatte will rise up to 180 metres, the construction would be within the immediate vicinity of DC Tower 1, Austria's tallest building, which has already been completed. The new landmark will house offices, shops and rental flats.
DC Tower 1 is 220 metres high (250 metres including the antenna spire) which makes it the tallest skyscraper in Austria as it will be 18 metres higher than Millennium Tower, which was leading that ranking before. The DC Tower 1 was officially finished with an opening ceremony on 26 February 2014 by Buzz Aldrin. DC Tower 2 is expected to be 180 metres high which will make it Vienna's fourth tallest building.Due to the global financial crisis 2007, ground breaking had to be delayed several times. Eventually construction was started on 17 June 2010. After slightly more than three years, DC Tower 1 is outwardly complete, while works inside the building are on-going. Work will start on DC Tower 2 after DC Tower 1 has been fully completed. Most of the available floor space will be used for offices. Baxter International has been confirmed as one of the largest tenants at DC Towers. The upper floors will be used for sky lofts, while the first 15 floors will house a four-star hotel operated by the Spanish Sol Meliá Group. There will also be a restaurant in one of the top floors. As of June 2012 tenants have been confirmed for 50 percent of the floor space according to the owner WED (Wiener Entwicklungsgesellschaft für den Donauraum).",https://en.wikipedia.org/wiki/DC_Towers
Azerbaijan,277.0,Baku Tower,"Baku Tower is a skyscraper in Baku, Azerbaijan. It has 52 above ground floors and a height of 277 metres (909 ft). Construction started in 2014, and ended in 2020. Baku Tower is primarily used for office space. The address of Baku Tower is 109 Heydar Aliyev Avenue. The building is made out of reinforced concrete and steel.",https://en.wikipedia.org/wiki/Baku_Tower
Bahamas,93.0,Atlantis Royal Tower East,"Atlantis The Palm, Dubai is a luxury hotel resort located at the apex of the Palm Jumeirah in the United Arab Emirates. It was the first resort to be built on the island and is themed on the myth of Atlantis but includes distinct Arabian elements. The resort opened on September 24, 2008 as a joint venture between Kerzner International Holdings Limited and Istithmar World.","https://en.wikipedia.org/wiki/Atlantis_The_Palm,_Dubai"
