0,1,2,3,4
Afghanistan,0.8424687,Kabul,"Kabul (; Pashto: کابل, romanized: Kābəl, IPA: ; Persian: کابل, romanized: Kābol, IPA: ) is the capital and largest city of Afghanistan, located in the eastern section of the country. It is also a municipality, forming part of the greater Kabul Province, and it is divided into 22 districts. According to estimates in 2021, the population of Kabul was 4.6 million and it serves as Afghanistan's political, cultural and economical center. Rapid urbanization has made Kabul the world's 75th largest city.Kabul is located high up in a narrow valley between the Hindu Kush mountains and bounded by the Kabul River, with an elevation of 1,790 metres (5,873 ft) making it one of the highest capitals in the world. The city is said to be over 3,500 years old, mentioned since at least the time of the Achaemenid Empire. Located at crossroads in Asia – roughly halfway between Istanbul in the west and Hanoi in the east – it is in a strategic location along the trade routes of South and Central Asia, and a key location of the ancient Silk Road. It was so that it was compared to a meeting place between Tartary, India and Persia. The city had also been under the rule of various other dynasties and empires including the Seleucids, Kushans, the Hindu Shahi and Turk Shahis, Samanids, Khwarazmians, Timurids, Mongols and others. In the 16th century, Kabul served as an initial summer capital of the Mughal Empire, during which time it increasingly prospered and was of significance to the empire. It briefly passed to Persian Afsharid control following Nader Shah's invasion of India, until finally becoming part of the Afghan Durrani Empire in 1747. Kabul became the capital of Afghanistan in 1776 during the reign of Timur Shah Durrani, the son of Ahmad Shah Durrani. In the 19th century, the British occupied the city, but after establishing foreign relations, they were compelled to withdraw all forces from Afghanistan.
Kabul is known for its historical gardens, bazaars, and palaces, well known examples being the Gardens of Babur and Darul Aman Palace. In the latter half of the 20th century, it became a stop on the hippie trail attracting tourists, while the city also gained the nickname Paris of Central Asia. This period of tranquility ended as Kabul was occupied by the Soviets in 1979, while a civil war in the 1990s between various rebel groups destroyed much of the city. From 2001, the city was occupied by a coalition of forces including NATO until August 2021 when Kabul was seized by the Taliban's forces.",https://en.wikipedia.org/wiki/Kabul
Albania,18.136417,Tirana,"Tirana ( (listen) tih-RAH-nə, Albanian: ; Gheg Albanian: Tirona) is the capital and largest city of Albania. It is located in the centre of the country, enclosed by mountains and hills with Dajti rising to the east and a slight valley to the northwest overlooking the Adriatic Sea in the distance. Due to its location at the Plain of Tirana and the close proximity to the Mediterranean Sea, the city is particularly influenced by a Mediterranean seasonal climate. It is among the wettest and sunniest cities in Europe, with 2,544 hours of sun per year.Tirana was founded as a city in 1614 by the Ottoman Albanian general Sylejman Pasha Bargjini and flourished by then around the Old Mosque and the türbe. The area that today corresponds to the city's territory has been continuously inhabited since the Iron Age. It was inhabited by Illyrians, and was most likely the core of the Illyrian Kingdom of the Taulantii, which in Classical Antiquity was centred in the hinterland of Epidamnus. Following the Illyrian Wars it was annexed by Rome and became an integral part of the Roman Empire. The heritage of that period is still evident and represented by the Mosaics of Tirana. Later, in the 5th and 6th centuries, an Early Christian basilica was built around this site.
After the Roman Empire split into East and West in the 4th century, its successor the Byzantine Empire took control over most of Albania, and built the Petrelë Castle in the reign of Justinian I. The city was fairly unimportant until the 20th century, when the Congress of Lushnjë proclaimed it as Albania's capital, after the Albanian Declaration of Independence in 1912.
Classified as a gamma-world-city, Tirana is the most important economic, financial, political and trade centre in Albania due to its significant location in the centre of the country and its modern air, maritime, rail and road transportation. It is the seat of power of the Government of Albania, with the official residences of the President and Prime Minister of Albania, and the Parliament of Albania. The city was announced as the European Youth Capital for 2022.

",https://en.wikipedia.org/wiki/Tirana
Algeria,1.8970605,Algiers,"Algiers ( al-JEERZ; Arabic: الجزائر; Berber: Dzayer; French: Alger) is the capital and largest city of Algeria. The city's population at the 2008 Census was 2,988,145 and in 2020 was estimated to be around 4,500,000. An estimate puts the population of the larger metropolitan city to be around 8,000,000. Algiers is located on the Mediterranean Sea and in the north-central portion of Algeria.Algiers is situated on the west side of a bay of the Mediterranean Sea. The modern part of the city is built on the level ground by the seashore; the old part, the ancient city of the deys, climbs the steep hill behind the modern town and is crowned by the Casbah or citadel, 122 metres (400 ft) above the sea. The casbah and the two quays form a triangle.",https://en.wikipedia.org/wiki/Algiers
Angola,2.2714078,Luanda,"Luanda () is the capital and largest city in Angola. It is Angola's primary port, and its major industrial, cultural and urban centre. Located on Angola's northern Atlantic coast, Luanda is Angola's administrative centre, its chief seaport, and also the capital of the Luanda Province. Luanda and its metropolitan area is the most populous Portuguese-speaking capital city in the world and the most populous Lusophone city outside Brazil, with over 8.3 million inhabitants in 2020 (a third of Angola's population). 
Among the oldest colonial cities of Africa, it was founded in January 1576 as São Paulo da Assunção de Loanda by Portuguese explorer Paulo Dias de Novais. The city served as the centre of the slave trade to Brazil before its prohibition. At the start of the Angolan Civil War in 1975, most of the white Portuguese left as refugees, principally for Portugal. Luanda's population increased greatly from refugees fleeing the war, but its infrastructure was inadequate to handle the increase. This also caused the exacerbation of slums, or musseques, around Luanda. The city is undergoing a major reconstruction, with many large developments taking place that will alter its cityscape significantly.
The industries present in the city include the processing of agricultural products, beverage production, textile, cement, new car assembly plants, construction materials, plastics, metallurgy, cigarettes and shoes. The city is also notable as an economic centre for oil, and a refinery is located in the city. Luanda has been considered one of the most expensive cities in the world for expatriates. The inhabitants of Luanda are mostly members of the ethnic group of the Ambundu, but in recent times there has been an increase of the number of the Bakongo and the Ovimbundu. There exists a European population, consisting mainly of Portuguese. Luanda was the main host city for the matches of the 2010 African Cup of Nations.",https://en.wikipedia.org/wiki/Luanda
Argentina,14.433396,Buenos Aires,"Buenos Aires ( or ; Spanish pronunciation:  (listen)), officially the Autonomous City of Buenos Aires (Spanish: Ciudad Autónoma de Buenos Aires), is the capital and largest city of Argentina. The city is located on the western shore of the Río de la Plata, on South America's southeastern coast. ""Buenos Aires"" can be translated as ""fair winds"" or ""good airs"", but the former was the meaning intended by the founders in the 16th century, by the use of the original name ""Real de Nuestra Señora Santa María del Buen Ayre"", named after the Madonna of Bonaria in Sardinia, Italy.
The city of Buenos Aires is neither part of Buenos Aires Province nor the Province's capital; rather, it is an autonomous district. In 1880, after decades of political infighting, Buenos Aires was federalized and removed from Buenos Aires Province. The city limits were enlarged to include the towns of Belgrano and Flores; both are now neighborhoods of the city. The 1994 constitutional amendment granted the city autonomy, hence its formal name of Autonomous City of Buenos Aires. Its citizens first elected a Chief of Government in 1996; previously, the Mayor was directly appointed by the President of Argentina.
The Greater Buenos Aires conurbation, which also includes several Buenos Aires Province districts, constitutes the fourth-most populous metropolitan area in the Americas, with a population of around 15.6 million. It is also the second largest city south of the Tropic of Capricorn. Buenos Aires' quality of life was ranked 91st in the world in 2018, being one of the best in Latin America. In 2012, it was the most visited city in South America, and the second-most visited city of Latin America.It is known for its preserved eclectic European architecture and rich cultural life. Is a multicultural city that is home to multiple ethnic and religious groups, contributing to its culture as well as to the dialect spoken in the city and in some other parts of the country. This is because since the 19th century, the city, and the country in general, has been a major recipient of millions of immigrants from all over the world, making it a melting pot where several ethnic groups live together. Thus, Buenos Aires is considered one of the most diverse cities of the Americas. Buenos Aires held the 1st FIBA World Championship in 1950 and 11th FIBA World Championship in 1990, the 1st Pan American Games in 1951, was the site of two venues in the 1978 FIFA World Cup and one in the 1982 FIVB Men's World Championship. Most recently, Buenos Aires had a venue in the 2001 FIFA World Youth Championship and in the 2002 FIVB Volleyball Men's World Championship, hosted the 125th IOC Session in 2013, the 2018 Summer Youth Olympics and the 2018 G20 summit.",https://en.wikipedia.org/wiki/Buenos_Aires
Armenia,7.6129394,Yerevan,"Yerevan (UK:  YERR-ə-VAN, US:  -⁠VAHN, Armenian: Երևան  (listen), sometimes spelled Erevan) is the capital and largest city of Armenia and one of the world's oldest continuously inhabited cities. Situated along the Hrazdan River, Yerevan is the administrative, cultural, and industrial center of the country. It has been the capital since 1918, the fourteenth in the history of Armenia and the seventh located in or around the Ararat Plain. The city also serves as the seat of the Araratian Pontifical Diocese; the largest diocese of the Armenian Apostolic Church and one of the oldest dioceses in the world.The history of Yerevan dates back to the 8th century BC, with the founding of the fortress of Erebuni in 782 BC by King Argishti I at the western extreme of the Ararat plain. Erebuni was ""designed as a great administrative and religious centre, a fully royal capital."" By the late ancient Armenian Kingdom, new capital cities were established and Yerevan declined in importance. Under Iranian and Russian rule, it was the center of the Erivan Khanate from 1736 to 1828 and the Erivan Governorate from 1850 to 1917, respectively. After World War I, Yerevan became the capital of the First Republic of Armenia as thousands of survivors of the Armenian genocide in the Ottoman Empire arrived in the area. The city expanded rapidly during the 20th century as Armenia became part of the Soviet Union. In a few decades, Yerevan was transformed from a provincial town within the Russian Empire to Armenia's principal cultural, artistic, and industrial center, as well as becoming the seat of national government.
With the growth of the Armenian economy, Yerevan has undergone major transformation. Much construction has been done throughout the city since the early 2000s, and retail outlets such as restaurants, shops, and street cafés, which were rare during Soviet times, have multiplied. As of 2011, the population of Yerevan was 1,060,138, just over 35% of Armenia's total population. According to the official estimate of 2016, the current population of the city is 1,073,700. Yerevan was named the 2012 World Book Capital by UNESCO. Yerevan is an associate member of Eurocities.Of the notable landmarks of Yerevan, Erebuni Fortress is considered to be the birthplace of the city, the Katoghike Tsiranavor church is the oldest surviving church of Yerevan and Saint Gregory Cathedral is the largest Armenian cathedral in the world, Tsitsernakaberd is the official memorial to the victims of the Armenian Genocide, and several opera houses, theatres, museums, libraries, and other cultural institutions. Yerevan Opera Theatre is the main spectacle hall of the Armenian capital, the National Gallery of Armenia is the largest art museum in Armenia and shares a building with the History Museum of Armenia, and the Matenadaran repository contains one of the largest depositories of ancient books and manuscripts in the world.",https://en.wikipedia.org/wiki/Yerevan
Australia,22.41224,Canberra,"Canberra ( (listen) KAN-bə-rə)
is the capital city of Australia. Founded following the federation of the colonies of Australia as the seat of government for the new nation, it is Australia's largest inland city and the eighth-largest city overall. Unusual among Australian cities, it is an entirely planned city. The city is located at the northern end of the Australian Capital Territory at the northern tip of the Australian Alps, the country's highest mountain range. As of June 2020, Canberra's estimated population was 431,380.The area chosen for the capital had been inhabited by Indigenous Australians for up to 21,000 years, with the principal group being the Ngunnawal people. European settlement commenced in the first half of the 19th century, as evidenced by surviving landmarks such as St John's Anglican Church and Blundells Cottage. On 1 January 1901, federation of the colonies of Australia was achieved. Following a long dispute over whether Sydney or Melbourne should be the national capital, a compromise was reached: the new capital would be built in New South Wales, so long as it was at least 100 miles (160 km) from Sydney. The capital city was founded and formally named as Canberra in 1913. A blueprint by American architects Walter Burley Griffin and Marion Mahony Griffin was selected after an international design contest, and construction commenced in 1913. The Griffins' plan featured geometric motifs and was centred on axes aligned with significant topographical landmarks such as Black Mountain, Mount Ainslie, Capital Hill and City Hill. Canberra's mountainous location makes it the only mainland Australian city where snow-capped mountains can be seen in winter; although snow in the city itself is rare.
As the seat of the Government of Australia, Canberra is home to many important institutions of the federal government, national monuments and museums. This includes Parliament House, Government House, the High Court and the headquarters of numerous government agencies. It is the location of many social and cultural institutions of national significance such as the Australian War Memorial, the Australian National University, the Royal Australian Mint, the Australian Institute of Sport, the National Gallery, the National Museum and the National Library. The city is home to many important institutions of the Australian Defence Force including the Royal Military College Duntroon and the Australian Defence Force Academy. It hosts all foreign embassies in Australia as well as regional headquarters of many international organisations, not-for-profit groups, lobbying groups and professional associations.
Canberra has been ranked among the world's best cities to live and visit. Although the Commonwealth Government remains the largest single employer in Canberra, it is no longer the majority employer. Other major industries have developed in the city, including in health care, professional services, education and training, retail, accommodation and food, and construction. Compared to the national averages, the unemployment rate is lower and the average income higher; tertiary education levels are higher, while the population is younger. At the 2016 Census, 32% of Canberra's inhabitants were reported as having been born overseas.Canberra's design is influenced by the garden city movement and incorporates significant areas of natural vegetation. Its design can be viewed from its highest point at the Telstra Tower and the summit of Mount Ainslie. Other notable features include the National Arboretum, born out of the 2003 Canberra bushfires, and Lake Burley Griffin, named for the city's architects. Highlights in the annual calendar of cultural events include Floriade, the largest flower festival in the Southern Hemisphere, the Enlighten Festival, Skyfire, the National Multicultural Festival and Summernats. Canberra's main sporting venues are Canberra Stadium and Manuka Oval. The city is served with domestic and international flights at Canberra Airport, while interstate train and coach services depart from Canberra Railway Station and the Jolimont Centre respectively. City Interchange is the main hub of Canberra's bus and light rail transport network.",https://en.wikipedia.org/wiki/Canberra
Austria,38.635593,Vienna,"Vienna ( (listen) vee-EN-ə; Austrian German: Wien  (listen); Austro-Bavarian: Wean ) is the national capital, largest city, and one of nine states of Austria. Vienna is Austria's most populous city, with about 2 million inhabitants (2.6 million within the metropolitan area, nearly one third of the country's population), and its cultural, economic, and political center. It is the 6th-largest city by population within city limits in the European Union.
Until the beginning of the 20th century, Vienna was the largest German-speaking city in the world, and before the splitting of the Austro-Hungarian Empire in World War I, the city had 2 million inhabitants. Today, it is the second-largest German-speaking city after Berlin. Vienna is host to many major international organizations, including the United Nations, OPEC and the OSCE. The city is located in the eastern part of Austria and is close to the borders of the Czech Republic, Slovakia and Hungary. These regions work together in a European Centrope border region. Along with nearby Bratislava, Vienna forms a metropolitan region with 3 million inhabitants. In 2001, the city center was designated a UNESCO World Heritage Site. In July 2017 it was moved to the list of World Heritage in Danger. Additionally, Vienna is known as the ""City of Music"" due to its musical legacy, as many famous classical musicians such as Beethoven and Mozart called Vienna home. Vienna is also said to be the ""City of Dreams"" because it was home to the world's first psychoanalyst, Sigmund Freud. Vienna's ancestral roots lie in early Celtic and Roman settlements that transformed into a Medieval and Baroque city. It is well known for having played a pivotal role as a leading European music center, from the age of Viennese Classicism through the early part of the 20th century. The historic center of Vienna is rich in architectural ensembles, including Baroque palaces and gardens, and the late-19th-century Ringstraße lined with grand buildings, monuments and parks.Vienna is known for its high quality of life. In a 2005 study of 127 world cities, the Economist Intelligence Unit ranked the city first (in a tie with Vancouver and San Francisco) for the world's most livable cities. Between 2011 and 2015, Vienna was ranked second, behind Melbourne. Monocle's 2015 ""Quality of Life Survey"" ranked Vienna second on a list of the top 25 cities in the world ""to make a base within"". Monocle's 2012 ""Quality of Life Survey"" ranked Vienna fourth on a list of the top 25 cities in the world ""to make a base within"" (up from sixth in 2011 and eighth in 2010). The UN-Habitat classified Vienna as the most prosperous city in the world in 2012–2013. The city was ranked 1st globally for its culture of innovation in 2007 and 2008, and sixth globally (out of 256 cities) in the 2014 Innovation Cities Index, which analyzed 162 indicators in covering three areas: culture, infrastructure, and markets. Vienna regularly hosts urban planning conferences and is often used as a case study by urban planners. Between 2005 and 2010, Vienna was the world's number-one destination for international congresses and conventions. It attracts over 6.8 million tourists a year.",https://en.wikipedia.org/wiki/Vienna
Azerbaijan,2.8875241,Baku,"Baku (US: , UK: ; Azerbaijani: Bakı  (listen)) is the capital and largest city of Azerbaijan, as well as the largest city on the Caspian Sea and of the Caucasus region. Baku is located 28 metres (92 ft) below sea level, which makes it the lowest lying national capital in the world and also the largest city in the world located below sea level. Baku lies on the southern shore of the Absheron Peninsula, alongside the Bay of Baku. At the beginning of 2009, Baku's urban population was estimated at just over two million people. Officially, about 25% of all inhabitants of the country live in Baku's metropolitan area. Baku is the sole metropolis in Azerbaijan.
Baku is divided into twelve administrative raions and 48 townships. Among these are the townships on the islands of the Baku Archipelago, and the town of Oil Rocks built on stilts in the Caspian Sea, 60 kilometres (37 miles) away from Baku. The Inner City of Baku, along with the Shirvanshah's Palace and Maiden Tower, were inscribed as a UNESCO World Heritage Site in 2000. According to the Lonely Planet's ranking, Baku is also among the world's top ten destinations for urban nightlife.The city is the scientific, cultural, and industrial centre of Azerbaijan. Many sizeable Azerbaijani institutions have their headquarters there. The Baku International Sea Trade Port is capable of handling two million tonnes of general and dry bulk cargoes per year. In recent years, Baku has become an important venue for international events. It hosted the 57th Eurovision Song Contest in 2012, the 2015 European Games, 4th Islamic Solidarity Games, the European Grand Prix in 2016, the Azerbaijan Grand Prix since 2017, hosted the final of the 2018–19 UEFA Europa League, and was one of the host cities for UEFA Euro 2020.
The city is renowned for its harsh winds, which is reflected in its nickname, the ""City of Winds"".",https://en.wikipedia.org/wiki/Baku
Bahrain,11.811474,Manama,"Manama (Arabic: المنامة al-Manāma, Bahrani pronunciation: ) is the capital and largest city of Bahrain, with an approximate population of 200,000 people as of 2020. Long an important trading center in the Persian Gulf, Manama is home to a very diverse population.  After periods of Portuguese and Persian control and invasions from the ruling dynasties of Saudi Arabia and Oman, Bahrain established itself as an independent nation in 1971 after a period of British hegemony.
Although the current twin cities of Manama and Muharraq appear to have been founded simultaneously in the 1800s, Muharraq took prominence due to its defensive location and was thus the capital of Bahrain until 1923. Manama became the mercantile capital and was the gateway to the main Bahrain Island. In the 20th century, Bahrain's oil wealth helped spur fast growth and in the 1990s a concerted diversification effort led to expansion in other industries and helped transform Manama into an important financial hub in the Middle East. Manama was designated as the 2012 capital of Arab culture by the Arab League, and a beta global city by the Globalization and World Cities Research Network in 2018.",https://en.wikipedia.org/wiki/Manama
