0,1
Samoa,-3
Comoros,-1.045
St. Kitts and Nevis,-0.972
Aruba,-0.265
Macau,-0.25
Japan,-0.17
Sweden,-0.036
Ecuador,-0.007
Switzerland,0
Equatorial Guinea,0.5
Marshall Islands,0.6
Malta,0.7
San Marino,0.839
Thailand,0.86
Bahrain,1
Palau,1
Trinidad and Tobago,1.04
China,1.066
Fiji,1.1
Djibouti,1.155
Portugal,1.194
Nauru,1.2
Bolivia,1.269
Palestine,1.304
Costa Rica,1.343
Denmark,1.4
Morocco,1.4
Israel,1.408
Slovenia,1.414
Tonga,1.414
Maldives,1.43
Panama,1.445
Dominica,1.451
Cape Verde,1.5
Indonesia,1.551
Singapore,1.56
Antigua and Barbuda,1.584
Timor-Leste,1.596
Taiwan,1.6
Jordan,1.647
Italy,1.659
Cyprus,1.671
Andorra,1.698
Bosnia and Herzegovina,1.819
Albania,1.854
Finland,1.892
Hong Kong,1.9
Ireland,1.9
Guinea-Bissau,1.904
Saint Vincent and the Grenadines,1.953
France,1.962
Republic of the Congo,1.983
Montenegro,1.993
Gabon,2
United Arab Emirates,2.023
Vietnam,2.034
Uganda,2.161
South Korea,2.188
United Kingdom,2.191
Cameroon,2.3
Rwanda,2.4
Solomon Islands,2.423
Senegal,2.441
Austria,2.45
Tuvalu,2.456
Barbados,2.468
Cambodia,2.475
Brunei,2.5
Malaysia,2.5
Australia,5.1
Grenada,2.513
Saint Lucia,2.525
Qatar,2.526
Federated States of Micronesia,2.55
Norway,2.6
Chad,2.627
Mauritania,2.663
Togo,2.747
Niger,2.901
New Zealand,2.962
Moldova,2.969
Benin,3
Burkina Faso,3
Ivory Coast,3
Oman,3
Serbia,3.01
Bahamas,3.021
Mali,3.044
Belize,3.1
North Macedonia,3.118
Kosovo,3.134
Peru,3.145
Canada,3.152
Kuwait,3.162
Saudi Arabia,3.229
Tanzania,3.235
Guyana,3.24
Kiribati,3.307
Paraguay,3.484
El Salvador,3.564
Nepal,3.598
Papua New Guinea,3.63
Central African Republic,3.654
Puerto Rico,3.957
Namibia,4.042
Myanmar,4.128
Nicaragua,4.132
Chile,4.191
Iceland,4.258
Eswatini,4.295
Philippines,4.304
Eritrea,4.306
Azerbaijan,4.4
South Africa,4.414
Egypt,4.502
Honduras,4.567
Guatemala,4.759
Laos,4.9
Sri Lanka,5.115
Mauritius,5.145
Mexico,5.373
Mongolia,5.4
Vanuatu,5.413
India,5.557
Bangladesh,5.558
Burundi,5.573
Jamaica,5.605
Colombia,5.622
Tunisia,5.73
Botswana,5.803
Lesotho,5.831
Liberia,5.867
Russia,5.937
Kenya,8
Madagascar,6
Mozambique,6.176
Bhutan,6.271
Iraq,6.44
Algeria,6.471
Armenia,6.947
Gambia,7.035
United States,7.123
Croatia,7.3[4]
Uruguay,7.515
Kazakhstan,7.536
Dominican Republic,7.806
Luxembourg,7.9[4]
Tajikistan,7.95
Greece,8.0[4]
São Tomé and Príncipe,8.324
Hungary,8.6[4]
Pakistan,8.901
Belarus,9.231
Georgia,9.269
Ghana,9.284
Belgium,9.3[4]
Democratic Republic of the Congo,9.393
Malawi,9.456
Ukraine,9.516
Romania,9.6[4]
Seychelles,9.962
Spain,9.8[4]
Germany,10[4]
Brazil,10.06
Bulgaria,10.5[4]
Uzbekistan,10.967
Sierra Leone,11.348
Latvia,11.5[4]
Guinea,11.6
Netherlands,12[4]
Turkmenistan,12.45
Kyrgyzstan,12.997
Slovakia,14[4]
Lithuania,15.6[4]
Poland,16.1[6]
Haiti,16.166
Nigeria,16.91
Czech Republic,17.8[4]
Libya,21.11
Zambia,22.8
South Sudan,23
Angola,24.387
Estonia,24.8[4]
Ethiopia,25.203
Iran,30.6
Yemen,40.745
Suriname,54.388
Turkey,64.27
Zimbabwe,92.54
Argentina,94.8
Sudan,194.6
Lebanon,224.39
Venezuela,"1,588.00"
