0,1
Indonesia,777
Brazil,776
China,710
Mexico,582
Peru,567
Colombia,525
Congo (DRC),508
United States (USA),444
Ecuador,441
India,436
Kenya,410
Bolivia,410
Venezuela,407
Argentina,407
Tanzania,404
Australia,381
Cameroon,370
Uganda,367
Vietnam,355
Malaysia,355
Myanmar,353
Thailand,344
Angola,333
South Africa,323
Ethiopia,316
Nigeria,315
Papua New Guinea,291
Cote d'lvoire (Ivory Coast),278
Ghana,275
Guinea,267
Mozambique,266
Laos,261
Central African Republic,261
Zambia,260
Panama,257
Madagascar,257
Guyana,256
Costa Rica,252
South Sudan,244
Guatemala,243
Honduras,238
Philippines,234
Congo,232
Suriname,231
Canada,222
Nicaragua,220
French Guiana,219
Namibia,217
Iran,214
Liberia,212
Zimbabwe,212
Rwanda,211
Malawi,210
Sierra Leone,204
Benin,203
Cambodia,203
Gabon,202
Pakistan,202
Togo,201
Sudan,200
Nepal,196
Senegal,194
Equatorial Guinea,187
Somalia,187
Brunei,183
Paraguay,180
Burundi,175
Kazakhstan,174
Botswana,172
Turkey,170
El Salvador,160
Chile,159
Mali,159
Belize,155
Japan,153
Bangladesh,152
Chad,150
Mongolia,148
Guinea-Bissau,143
Bhutan,141
Burkina Faso,140
Eswatini (Swaziland),138
France,138
Gambia,136
Niger,136
Afghanistan,135
Spain,130
Morocco,130
Uruguay,128
Italy,127
Eritrea,126
Trinidad and Tobago,125
Sri Lanka,121
Mauritania,117
Israel,116
Greece,115
Egypt,114
Azerbaijan,112
North Korea,112
Ukraine,112
Georgia,111
Algeria,109
Taiwan,107
Germany,107
Turkmenistan,107
Syria,105
Portugal,103
Djibouti,102
Croatia,102
Romania,102
Iraq,100
Uzbekistan,99
Armenia,98
Bulgaria,96
Saudi Arabia,96
Bosnia and Herzegovina,94
Jordan,94
Albania,92
South Korea,92
Poland,92
Singapore,91
Austria,91
Yemen,91
Slovenia,90
Kyrgyzstan,89
Serbia,88
Tunisia,88
Montenegro,87
Slovakia,87
Oman,87
Libya,87
Switzerland,86
United Kingdom,85
Hungary,84
Tajikistan,84
Norway,83
North Macedonia,82
Belgium,82
Lesotho,81
Lebanon,80
Netherlands,80
Sweden,80
Solomon Islands,79
Czech Republic,78
Moldova,74
Belarus,72
Denmark,71
Latvia,68
Cuba,65
Lithuania,65
Liechtenstein,65
East Timor (Timor-Leste),64
Finland,64
Estonia,64
Luxembourg,60
Dominican Republic,59
United Arab Emirates,58
Haiti,56
Hong Kong,55
Ireland,53
Jamaica,49
New Zealand,49
Kuwait,42
Puerto Rico,41
Cyprus,41
Grenada,41
Bahamas,40
Dominica,37
New Caledonia,37
Qatar,37
Guadeloupe,37
Saint Vincent and the Grenadines,36
Comoros,36
Greenland,35
Saint Lucia,34
Antigua and Barbuda,34
Martinique,33
Barbados,33
Vanuatu,33
Falkland Island (Malvinas),33
Aruba,32
Cayman Islands,32
Saint Kitts and Nevis,32
Cape Verde,32
São Tomé and Príncipe,32
Seychelles,31
Virgin Islands U.S.,31
Montserrat,31
Iceland,31
Saint Helena,30
Fiji,29
Bermuda,29
Mauritius,28
Turks and Caicos Islands,28
Anguilla,28
Saint Pierre and Miquelon,27
Maldives,26
Samoa,26
Mayotte,26
Bahrain,25
Reunion,25
Palau,24
Micronesia,24
Malta,24
Northern Mariana Islands,23
Guam,23
Cook Islands,23
Tonga,22
Kiribati,22
Antarctica,22
French Polynesia,21
American Samoa,21
South Georgia and the South Sandwich Islands,21
Niue,21
Tuvalu,21
Cocos (Keeling) Island,21
Nauru,21
Marshall Islands,20
Pitcairn,20
Christmas Island,18
Norfolk Island,13
Tokelau,13
