Brazil,56215
China,32200
Colombia,51220
Mexico,26071
South Africa,23420
Peru,17144
Australia,15638
Indonesia,29375
Ecuador,19362
Myanmar,7000
United States (USA),19473
Venezuela,21073
India,18664
Bolivia,17367
Malaysia,15500
Russia,11400
Madagascar,9505
Costa Rica,12119
Papua New Guinea,11544
Panama,9915
Argentina,9372
Philippines,8931
Tanzania,10008
Turkey,8650
Congo (DRC),11007
Guatemala,8681
Vietnam,10500
Iran,8000
Honduras,5680
Guyana,6409
Cameroon,8260
Kenya,6506
Ethiopia,6603
Thailand,11625
Cuba,6522
Nepal,6973
Laos,8286
Brunei,6000
Kazakhstan,6000
Cambodia,5000
Pakistan,4950
Spain,5050
Nicaragua,7590
El Salvador,2911
Dominican Republic,5657
Japan,5565
Bhutan,5468
Italy,5599
Greece,4992
French Guiana,5625
Paraguay,7851
Haiti,5242
Gabon,6651
Chile,5284
Ukraine,5100
Bangladesh,5000
Suriname,5018
Uganda,6500
France,4630
Tajikistan,5000
Azerbaijan,4300
Uzbekistan,4800
Croatia,4288
Belize,2894
Georgia,4350
Mozambique,5692
Serbia,4082
Canada,3270
Kyrgyzstan,4500
Cote d'lvoire (Ivory Coast),3660
Nigeria,4715
Malawi,3765
Sri Lanka,3314
Zambia,4747
Jamaica,3308
Solomon Islands,3172
Sudan,3137
Morocco,3675
Togo,3085
Equatorial Guinea,3250
Ghana,3725
Zimbabwe,4440
Portugal,5050
Central African Republic,3602
Guinea,3000
Benin,2500
Congo,6000
Liberia,2200
New Zealand,2382
Singapore,2282
Trinidad and Tobago,2259
Angola,5185
Rwanda,2288
Sierra Leone,2090
Senegal,2086
Somalia,3028
Gambia,974
Mali,1741
Seychelles,850
Guinea-Bissau,1000
Palau,500
Afghanistan,5000
Iraq,4500
Namibia,4481
Taiwan,4442
Chad,4318
South Sudan,4000
Bulgaria,3750
North Macedonia,3674
New Caledonia,3645
South Korea,3632
Slovakia,3619
Armenia,3600
Romania,3515
Eswatini (Swaziland),3500
Bosnia and Herzegovina,3500
United Kingdom,3445
Hong Kong,3300
Algeria,3139
Syria,3100
Puerto Rico,2912
Uruguay,2911
Slovenia,2900
Yemen,2900
Turkmenistan,2900
North Korea,2898
Mongolia,2850
Norway,2800
Burundi,2788
Germany,2660
Jordan,2622
Lebanon,2600
Fiji,2600
Switzerland,2590
Austria,2580
Montenegro,2550
Albania,2450
Israel,2380
Poland,2300
Saudi Arabia,2285
Hungary,2250
Egypt,2250
Czech Republic,2100
Tunisia,2100
Lesotho,2096
Libya,2088
Sweden,2000
Cyprus,1750
Guadeloupe,1709
Belarus,1650
Latvia,1648
Eritrea,1619
Denmark,1583
Netherlands,1581
Estonia,1538
Liechtenstein,1531
Bermuda,1500
Lithuania,1498
Niger,1400
Bahamas,1350
Belgium,1340
Luxembourg,1300
Finland,1300
Micronesia,1239
Dominica,1228
Malta,1200
Comoros,1200
Oman,1100
Mauritania,1100
East Timor (Timor-Leste),983
Botswana,920
Ireland,900
Cape Verde,891
French Polynesia,881
Burkina Faso,879
Vanuatu,870
Reunion,850
Djibouti,820
São Tomé and Príncipe,806
Barbados,700
Mauritius,691
Cayman Islands,650
Guam,600
United Arab Emirates,598
Maldives,583
Greenland,575
Samoa,541
Iceland,438
Tonga,419
Kuwait,402
Bahrain,357
Qatar,355
