0,1,2
Afghanistan,315421300.0,Arabic
Albania,6200000.0,Albanian
Algeria,315421300.0,Arabic
Andorra,5100000.0,Catalan
Angola,254300000.0,Portuguese
Antigua & Barbuda,753359540.0,English
Argentina,480000000.0,Spanish
Armenia,6700000.0,Armenian
Australia,753359540.0,English
Austria,76540740.0,German
Azerbaijan,23000000.0,Azerbaijani
Bahrain,315421300.0,Arabic
Bangladesh,300000000.0,Bengali
Barbados,753359540.0,English
Belarus,154000000.0,Russian
Belgium,208157220.0,French
Belize,753359540.0,English
Benin,208157220.0,French
Bhutan,237080.0,Dzongkha
Bolivia,480000000.0,Spanish
Bosnia and Herzegovina,9000000.0,Serbian
Botswana,753359540.0,English
Brazil,254300000.0,Portuguese
Brunei,753359540.0,English
Bulgaria,9000000.0,Bulgarian
Burkina Faso,208157220.0,French
Burundi,753359540.0,English
Cambodia,16600000.0,Khmer
Cameroon,753359540.0,English
Canada,753359540.0,English
Cape Verde,254300000.0,Portuguese
Central African Republic,208157220.0,French
Chad,315421300.0,Arabic
Chile,480000000.0,Spanish
Colombia,480000000.0,Spanish
Comoros,315421300.0,Arabic
Costa Rica,480000000.0,Spanish
Croatia,7000000.0,Croatian
Cuba,480000000.0,Spanish
Cyprus,82231620.0,Turkish
Czech Republic,10700000.0,Czech
Democratic Republic of the Congo,208157220.0,French
Djibouti,315421300.0,Arabic
Dominica,753359540.0,English
Dominican Republic,480000000.0,Spanish
Timor-Leste,254300000.0,Portuguese
Ecuador,480000000.0,Spanish
Egypt,315421300.0,Arabic
El Salvador,480000000.0,Spanish
Equatorial Guinea,480000000.0,Spanish
Eritrea,753359540.0,English
Estonia,1251770.0,Estonian
Eswatini,753359540.0,English
Ethiopia,21900000.0,Amharic
Micronesia,753359540.0,English
Fiji,753359540.0,English
Finland,9244250.0,Swedish
France,208157220.0,French
Gabon,208157220.0,French
Georgia,3700000.0,Georgian
Germany,76540740.0,German
Ghana,753359540.0,English
Greece,13100000.0,Greek
Grenada,753359540.0,English
Guatemala,480000000.0,Spanish
Guinea,208157220.0,French
Guinea-Bissau,254300000.0,Portuguese
Guyana,753359540.0,English
Haiti,208157220.0,French
Honduras,480000000.0,Spanish
Hungary,12600000.0,Hungarian
Iceland,358000.0,Icelandic
India,753359540.0,English
Indonesia,199000000.0,Indonesian
Iran,45000000.0,Persian
Iraq,315421300.0,Arabic
Israel,9303950.0,Hebrew
Italy,64800000.0,Italian
Côte d’Ivoire,208157220.0,French
Jamaica,753359540.0,English
Japan,128000000.0,Japanese
Jordan,315421300.0,Arabic
Kazakhstan,154000000.0,Russian
Kenya,753359540.0,English
Denmark,6000000.0,Danish
Netherlands,23100000.0,Dutch
Kiribati,753359540.0,English
Kuwait,315421300.0,Arabic
Kyrgyzstan,154000000.0,Russian
Laos,5225552.0,Lao
Latvia,1500000.0,Latvian
Lebanon,315421300.0,Arabic
Lesotho,753359540.0,English
Liberia,753359540.0,English
Libya,315421300.0,Arabic
Liechtenstein,76540740.0,German
Lithuania,4000000.0,Lithuanian
Luxembourg,208157220.0,French
Madagascar,208157220.0,French
Malawi,753359540.0,English
Malaysia,77000000.0,Malay
Maldives,340500.0,Dhivehi
Mali,208157220.0,French
Malta,753359540.0,English
Marshall Islands,753359540.0,English
Mauritania,315421300.0,Arabic
Mauritius,753359540.0,English
Mexico,480000000.0,Spanish
Moldova,24300000.0,Romanian
Monaco,208157220.0,French
Mongolia,7000000.0,Mongolian
Montenegro,232600.0,Montenegrin
Morocco,315421300.0,Arabic
Mozambique,254300000.0,Portuguese
Myanmar,32900000.0,Burmese
Namibia,753359540.0,English
Nauru,753359540.0,English
Nepal,15800000.0,Nepali
New Zealand,753359540.0,English
Nicaragua,480000000.0,Spanish
Niger,208157220.0,French
Nigeria,753359540.0,English
North Korea,77300000.0,Korean
North Macedonia,6200000.0,Albanian
Norway,5200000.0,Norwegian
Oman,315421300.0,Arabic
Pakistan,753359540.0,English
Palau,753359540.0,English
Panama,480000000.0,Spanish
Papua New Guinea,753359540.0,English
Paraguay,480000000.0,Spanish
China,1299877520.0,Chinese
Peru,480000000.0,Spanish
Philippines,753359540.0,English
Poland,39700000.0,Polish
Portugal,254300000.0,Portuguese
Qatar,315421300.0,Arabic
Ireland,753359540.0,English
Republic of the Congo,208157220.0,French
Romania,24300000.0,Romanian
Russia,154000000.0,Russian
Rwanda,753359540.0,English
Samoa,753359540.0,English
San Marino,64800000.0,Italian
São Tomé & Príncipe,254300000.0,Portuguese
Saudi Arabia,315421300.0,Arabic
Senegal,208157220.0,French
Serbia,9000000.0,Serbian
Seychelles,753359540.0,English
Sierra Leone,753359540.0,English
Singapore,897071810.0,Standard Mandarin
Slovakia,6000000.0,Slovak
Slovenia,2400000.0,Slovene
Solomon Islands,753359540.0,English
