0,1,2,3,4
Afghanistan,77.0,Buddhas of Bamiyan,"The Buddhas of Bamiyan were two 6th-century monumental statues, Salsal and Shahmama (in the Hazaragi dialect of Dari Persian), which were carved into the side of a cliff in the Bamyan valley of central Afghanistan, 130 kilometres (81 mi) northwest of Kabul at an elevation of 2,500 metres (8,200 ft). Carbon dating of the structural components of the Buddhas has determined that the smaller 38 m (125 ft) ""Eastern Buddha"" was built around 570 AD, and the larger 55 m (180 ft) ""Western Buddha"" was built around 618 AD, which would date both to the time when the Hephthalites ruled the region.The statues represented a later evolution of the classic blended style of ancient art in Afghanistan. The statues consisted of the male Salsal (""light shines through the universe"") and the shorter female Shamama (""Queen Mother""), as they were called by the locals. The main bodies were hewn directly from the sandstone cliffs, but details were modeled in mud mixed with straw, coated with stucco. This coating, the majority of which wore away long ago, was painted to enhance the expressions of the faces, hands, and folds of the robes; the larger one was painted carmine red and the smaller one was painted multiple colors. The lower parts of the statues' arms were constructed from the same mud-straw mix supported on wooden armatures. It is believed that the upper parts of their faces were made from great wooden masks. The rows of holes that can be seen in photographs held wooden pegs that stabilized the outer stucco.
The Buddhas are surrounded by numerous caves and surfaces decorated with paintings. It is thought that the period of florescence was from the 6th to 8th century AD, until the onset of Muslim conquests. These works of art are considered as an artistic synthesis of Buddhist art and Gupta art from India, with influences from the Sasanian Empire and the Byzantine Empire, as well as the country of Tokharistan.On orders from Mullah Omar, the statues were destroyed in March 2001, after the Taliban government declared that they were idols. International and local opinion strongly condemned the destruction of the Buddhas.",https://en.wikipedia.org/wiki/Buddhas_of_Bamiyan
Albania,40.0,Apollonia,"Apollonia (Ancient Greek, Koine Greek: Ἀπολλωνία, ἡ; city-ethnic: Ἀπολλωνιάτης, Apolloniates; Latin: Apollonia; Albanian: Apollonia or Apolonia) was an Ancient Greek trade colony which developed into an independent polis, and later a Roman city in southern Illyria in classical antiquity. It was located on the right bank of the Aoös/Vjosë river, approximately 10 km from the eastern coast of the Adriatic Sea. Its ruins are situated in the county of Fier, close to the village of Pojan, in Albania.
Apollonia was founded around 600 BC by Ancient Greek colonists from Corinth and possibly Corcyra as a trading settlement after an invitation by local Illyrians on a largely abandoned coastal site. It was perhaps the most important of the several classical towns known as Apollonia. Corinthian colonial policy seems to have been relatively liberal, and was more focused towards resource extraction so as to support the growing Corinthian population, rather than exploitation or expulsion of the local Illyrian population. Apollonia gradually gained political independence from Corinth and was organized as a polis under an oligarchic system. According to Aristotle, In Apollonia's oligarchy, a small Greek elite class largely descended from the original colonists ruled over a largely local Illyrian population.Apollonia flourished in the Roman period. From the 2nd century BC it became an important military staging ground for the Roman armies. It was home to a renowned school of philosophy, acquiring fame as a cultural center, and by the end of the Republican period it became a major center of Greek learning. The reputation of Apollonia attracted many brilliant students from different parts of the empire, including Augustus, the first Roman emperor. The city began to decline in the 3rd century AD when its harbor started silting up as a result of an earthquake. It was abandoned in the 4th century AD.The name of the city is mentioned among the modern bishoprics of the Orthodox Autocephalous Church of Albania (Apollonia and Fier). Apollonia is also a titular see of the Latin Church. The ruins were designated as an archaeological park on 7 April 2003 by the government of Albania.",https://en.wikipedia.org/wiki/Apollonia_(Illyria)
Algeria,38.0,Casbah of Algiers,"The Casbah (Arabic: قصبة, qaṣba, meaning citadel) is the citadel of Algiers in Algeria and the traditional quarter clustered around it. In 1992, the United Nations Educational, Scientific and Cultural Organization (UNESCO) proclaimed Kasbah of Algiers a World Cultural Heritage site, as ""There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.""",https://en.wikipedia.org/wiki/Casbah_of_Algiers
Andorra,27.0,Estadi Comunal d'Andorra la Vella,"The Estadi Comunal d'Andorra la Vella is a small football stadium in Andorra la Vella, the capital of Andorra. The stadium has a capacity of 1300.The stadium also has a running track. The Estadi Comunal d'Andorra la Vella and the Camp d’Esports d’Aixovall together host all games from Andorra's two highest football competitions, the Primera Divisió and the Segona Divisió.It also hosted all Andorra national football team games until the opening of the Estadi Nacional in 2014.",https://en.wikipedia.org/wiki/Estadi_Comunal_d%27Andorra_la_Vella
Angola,20.0,Benguela railway,"The Benguela Railway (Portuguese: Caminho de Ferro de Benguela (CFB)) is a Cape gauge railway line that runs through Angola from west to east, being the largest and most important modal of the type in the country. It also connects to Tenke in Democratic Republic of the Congo, to the Cape to Cairo Railway (connects the city of Kindu-DRC to the city of Port Elizabeth-SAR).
Its logistical facility is the port of Lobito on the Atlantic coast, from where it exports all types of products, including minerals (from the Copperbelt region), food, industrial components, live loads, etc.From the Angolan section of Lobito to Luau, it is run by the Empresa do Caminho de Ferro de Benguela-E.P. 
It crosses the Luao River, which defines the border, to Dilolo.
From there to Tenke, and beyond in Congo, it is operated by the Société nationale des Chemins de fer du Congo.",https://en.wikipedia.org/wiki/Benguela_railway
Antigua & Barbuda,20.0,Nelson's Dockyard,"Nelson's Dockyard is a cultural heritage site and marina in English Harbour, located in Saint Paul Parish on the island of Antigua, in Antigua and Barbuda.
It is part of Nelson's Dockyard National Park, which also contains Clarence House and Shirley Heights, and is a UNESCO World Heritage Site.
It is named after Admiral Horatio Nelson, who lived in the Royal Navy Dockyard from 1784 through 1787.
Nelson's Dockyard is also home to some of Antigua's sailing and yachting events such as Antigua Sailing Week and the Antigua Charter Yacht Meeting, as well as the 2015 and 2016 International Optimist North American Championships.",https://en.wikipedia.org/wiki/Nelson%27s_Dockyard
Argentina,52.0,Cueva de las Manos,"Cueva de las Manos (Spanish for Cave of the Hands or Cave of Hands) is a cave and complex of rock art sites in the province of Santa Cruz, Argentina, 163 km (101 mi) south of the town of Perito Moreno. It is named for the hundreds of paintings of hands stenciled, in multiple collages, on the rock walls. The art was created in several waves between 7,300 BC and 700 AD, during the Archaic period of pre-Columbian South America. The age of the paintings was calculated from the remains of bone pipes used for spraying the paint on the wall of the cave to create the artwork, radiocarbon dating of the artwork, and stratigraphic dating.
The site is considered by some scholars to be the best material evidence of early South American hunter-gatherer groups. Argentine surveyor and archaeologist Carlos J. Gradin and his team conducted the most important research on the site in 1964, when they began excavating sites during a 30-year study of cave art in and around Cueva de las Manos. The site is a National Historic Monument in Argentina and a UNESCO World Heritage Site.",https://en.wikipedia.org/wiki/Cueva_de_las_Manos
Armenia,45.0,Geghard,"Geghard (Armenian: Գեղարդ, meaning ""spear"") is a medieval monastery in the Kotayk province of Armenia, being partially carved out of the adjacent mountain, surrounded by cliffs. It is listed as a UNESCO World Heritage Site with enhanced protection status.
While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury.
The spectacular towering cliffs surrounding the monastery are part of the Azat River gorge, and are included together with the monastery in the World Heritage Site listing. Some of the churches within the monastery complex are entirely dug out of the cliff rocks, others are little more than caves, while others are elaborate structures, with both architecturally complex walled sections and rooms deep inside the cliff. The combination, together with numerous engraved and free-standing khachkars is a unique sight, being one of the most frequented tourist destinations in Armenia.
Most visitors to Geghard also choose to visit the nearby pagan Temple of Garni,  located further down the Azat River. Visiting both sites in one trip is so common that they are often referred to in unison as Garni-Geghard.",https://en.wikipedia.org/wiki/Geghard
Australia,94.0,Sydney Opera House,"The Sydney Opera House is a multi-venue performing arts centre in Sydney. Located on the banks of Sydney Harbour, it is widely regarded as one of the world's most famous and distinctive buildings and a masterpiece of 20th century architecture.Designed by Danish architect Jørn Utzon, but completed by an Australian architectural team headed by Peter Hall, the building was formally opened on 20 October 1973 after a gestation beginning with Utzon's 1957 selection as winner of an international design competition. The Government of New South Wales, led by the premier, Joseph Cahill, authorised work to begin in 1958 with Utzon directing construction. The government's decision to build Utzon's design is often overshadowed by circumstances that followed, including cost and scheduling overruns as well as the architect's ultimate resignation.The building and its surrounds occupy the whole of Bennelong Point on Sydney Harbour, between Sydney Cove and Farm Cove, adjacent to the Sydney central business district and the Royal Botanic Gardens, and near to the Sydney Harbour Bridge.
The building comprises multiple performance venues, which together host well over 1,500 performances annually, attended by more than 1.2 million people. Performances are presented by numerous performing artists, including three resident companies: Opera Australia, the Sydney Theatre Company and the Sydney Symphony Orchestra. As one of the most popular visitor attractions in Australia, the site is visited by more than eight million people annually, and approximately 350,000 visitors take a guided tour of the building each year. The building is managed by the Sydney Opera House Trust, an agency of the New South Wales State Government.
On 28 June 2007, the Sydney Opera House became a UNESCO World Heritage Site, having been listed on the (now defunct) Register of the National Estate since 1980, the National Trust of Australia register since 1983, the City of Sydney Heritage Inventory since 2000, the New South Wales State Heritage Register since 2003, and the Australian National Heritage List since 2005. The Opera House was also a finalist in the New7Wonders of the World campaign list.",https://en.wikipedia.org/wiki/Sydney_Opera_House
Austria,64.0,Schönbrunn Palace,"Schönbrunn Palace (German: Schloss Schönbrunn ; Central Bavarian: Schloss Scheenbrunn) was the main summer residence of the Habsburg rulers, located in Hietzing, Vienna. The name Schönbrunn (meaning “beautiful spring”) has its roots in an artesian well from which water was consumed by the court.
The 1,441-room Rococo palace is one of the most important architectural, cultural, and historic monuments in the country. The history of the palace and its vast gardens spans over 300 years, reflecting the changing tastes, interests, and aspirations of successive Habsburg monarchs. It has been a major tourist attraction since the mid-1950s. 

",https://en.wikipedia.org/wiki/Sch%C3%B6nbrunn_Palace
