0,1,2,3,4
Venezuela,16,Merida State Symphony Orchestra,"The Mérida State Symphony Orchestra (Spanish: Orquesta Sinfónica del Estado Mérida or OSEM) is a symphony orchestra based in the Venezuelan city of Mérida. A non-profit organization, it was founded in 1991 by the Venezuelan pianist and educator José Antonio Abreu.",https://en.wikipedia.org/wiki/M%C3%A9rida_State_Symphony_Orchestra
China,2,Peking opera orchestra,"Peking opera, or Beijing opera (Chinese: 京劇; pinyin: Jīngjù), is the most dominant form of Chinese opera, which combines music, vocal performance, mime, dance and acrobatics. It arose in Beijing in the mid-Qing dynasty (1644–1912) and became fully developed and recognized by the mid-19th century. The form was extremely popular in the Qing court and has come to be regarded as one of the cultural treasures of China. Major performance troupes are based in Beijing, Tianjin and Shanghai. The art form is also preserved in Taiwan, where it is also known as Guójù (Chinese: 國劇; lit. 'National opera'). It has also spread to other regions such as the United States and Japan.Peking opera features four main role types, sheng (gentlemen), dan (women), jing (rough men), and chou (clowns). Performing troupes often have several of each variety, as well as numerous secondary and tertiary performers. With their elaborate and colorful costumes, performers are the only focal points on Peking opera's characteristically sparse stage. They use the skills of speech, song, dance and combat in movements that are symbolic and suggestive, rather than realistic. Above all else, the skill of performers is evaluated according to the beauty of their movements. Performers also adhere to a variety of stylistic conventions that help audiences navigate the plot of the production. The layers of meaning within each movement must be expressed in time with music. The music of Peking opera can be divided into the xīpí (西皮) and èrhuáng (二黄) styles. Melodies include arias, fixed-tune melodies and percussion patterns. The repertoire of Peking opera includes over 1,400 works, which are based on Chinese history, folklore and, increasingly, contemporary life.Traditional Peking opera was denounced as ""feudalistic"" and ""bourgeois"" during the Cultural Revolution (1966–1976) and replaced mostly with the revolutionary operas until the period's end. After the Cultural Revolution, these transformations were largely undone. In recent years, Peking opera has responded to sagging audience numbers by attempting reforms, including improving performance quality, adapting new performance elements, shortening works, and performing new and original plays.",https://en.wikipedia.org/wiki/Peking_opera
Cambodia,1,Angkor National Youth Orchestra,"The Angkor Youth Orchestra (ANYO) (established in 2006 or 2007) is a Cambodian youth orchestra. Its first performance was at the Angkor Wat temple complex. It is the first establishment for orchestral classical music in Cambodia since the Sangkum Reahniyum Era (1953–1970). The Orchestra is supervised by two musicians: Tep Kuntheareth and Ram Daravong.
Under the coordination of the Cambodian cabinet and with the support of Gunma Junior Orchestra and Shinichi Minami, ANYO has been receiving donations and grown gradually to become a symphony orchestra.
The previous headquarters of ANYO were at the Secondary School of Fine Arts (Cambodia). For current headquarters please check the external link.
ANYO is composed of Cambodian teachers (educated in the former USSR) and young musicians with a total number of around 60 or 70. Most of the musicians come from the Royal University of Fine Arts. Others pay to be taught music and are automatically included in ANYO. Instruments include violins, violas, cellos, double basses and clarinets.
ANYO is still recruiting new musicians and receiving new students.",https://en.wikipedia.org/wiki/Angkor_National_Youth_Orchestra
Bangladesh,5,Miles,"The mile, sometimes the international mile or statute mile to distinguish it from other miles, is a British imperial unit and United States customary unit of distance; both are based on the older English unit of length equal to 5,280 English feet, or 1,760 yards. The statute mile was standardised between the British Commonwealth and the United States by an international agreement in 1959, when it was formally redefined with respect to SI units as exactly 1,609.344 metres.
With qualifiers, mile is also used to describe or translate a wide range of units derived from or roughly equivalent to the Roman mile, such as the nautical mile (now 1.852 km exactly), the Italian mile (roughly 1.852 km), and the Chinese mile (now 500 m exactly). The Romans divided their mile into 5,000 Roman feet but the greater importance of furlongs in Elizabethan-era England meant that the statute mile was made equivalent to 8 furlongs or 5,280 feet in 1593. This form of the mile then spread across the British Empire, some successor states of which continue to employ the mile. The US Geological Survey now employs the metre for official purposes, but legacy data from its 1927 geodetic datum has meant that a separate US survey mile (6336/3937 km) continues to see some use, although it was officially phased out in 2022. While most countries replaced the mile with the kilometre when switching to the International System of Units (SI), the international mile continues to be used in some countries, such as Liberia, the United Kingdom, the United States, and a number of countries with fewer than one million inhabitants, most of which are UK or US territories or have close historical ties with the UK or US.",https://en.wikipedia.org/wiki/Mile
Belarus,32,3+2,"Christopher Juel Barriere (July 11, 1972 – November 10, 2016), professionally known as 3-2, was an American rapper and a member of southern hip hop groups Convicts, Blac Monks, Southside Playaz and Screwed Up Click. He achieved success by his time with Rap-A-Lot Records. Barriere was fatally shot in the head at a gas station in Houston.",https://en.wikipedia.org/wiki/3-2
Faroe Islands,28,Tyr,"Týr (; Old Norse: Týr, pronounced [tyːr]) is a god in Germanic mythology, a valorous and powerful member of the Æsir and patron of warriors and mythological heroes. In Norse mythology, which provides most of the surviving narratives about gods among the Germanic peoples, Týr sacrifices his hand to the monstrous wolf Fenrir, who bites it off when he realizes the gods have bound him. Týr is foretold of being consumed by the similarly monstrous dog Garmr during the events of Ragnarök.
The interpretatio romana generally renders the god as Mars, the ancient Roman war god, and it is through that lens that most Latin references to the god occur. For example, the god may be referenced as Mars Thingsus (Latin 'Mars of the Assembly [Thing]') on 3rd century Latin inscription, reflecting a strong association with the Germanic thing, a legislative body among the ancient Germanic peoples. By way of the opposite process of interpretatio germanica, Tuesday is named after Týr ('Týr's day'), rather than Mars, in English and other Germanic languages.
In Old Norse sources, Týr is alternately described as the son of the jötunn Hymir (in Hymiskviða) or of the god Odin (in Skáldskaparmál). Lokasenna makes reference to an unnamed and otherwise unknown consort, perhaps also reflected in the continental Germanic record (see Zisa).
Due to the etymology of the god's name and the shadowy presence of the god in the extant Germanic corpus, some scholars propose that Týr may have once held a more central place among the deities of early Germanic mythology.

",https://en.wikipedia.org/wiki/T%C3%BDr
Brazil,60,Sepultura,"Sepultura (Portuguese: [ˌsepuwˈtuɾɐ], ""grave"") is a Brazilian heavy metal band from Belo Horizonte. Formed in 1984 by brothers Max and Igor Cavalera, the band was a major force in the groove metal, thrash metal and death metal genres during the late 1980s and early 1990s, with their later experiments drawing influence from alternative metal, world music, nu metal, hardcore punk, and industrial metal. Sepultura has also been credited as one of the second wave of thrash metal acts from the late 1980s to early-to-mid-1990s.The band has had several lineup changes throughout its 39-year career, with Max and Igor Cavalera departing in 1996 and 2006, respectively. Sepultura's current lineup consists of vocalist Derrick Green (who replaced Max in 1997), guitarist Andreas Kisser, bassist Paulo Jr. and drummer Eloy Casagrande (who replaced Igor's successor Jean Dolabella in 2011). Since Igor Cavalera's departure in 2006, there have been no original members left in the band. Although Paulo Jr. joined Sepultura shortly after its formation in late 1984 and is the longest serving member, he did not play on any of the band's studio albums until Chaos A.D. (1993). Kisser, who replaced onetime guitarist Jairo Guedz, has appeared on all of Sepultura's albums since their second full-length Schizophrenia (1987); he also recorded bass guitar until Chaos A.D..Sepultura has released fifteen studio albums to date, the latest being Quadra (2020). Their most successful records are Beneath the Remains (1989), Arise (1991), Chaos A.D. (1993), and Roots (1996). Sepultura has sold over three million units in the United States and almost 20 million worldwide, gaining multiple gold and platinum records around the globe, including in countries as diverse as France, Australia, Indonesia, United States, Cyprus, and their native Brazil.

",https://en.wikipedia.org/wiki/Sepultura
Latvia,31,Musiqq,"Musiqq is a Latvian pop music duo from Liepāja formed by Marats Ogļezņevs and Emīls Balceris. The duo first gained exposure in June 2009 with the release of their first single “Klimata kontrole”(""Climate control""), but on October 1 their second single ""Abrakadabra"" came out, which was a radio hit in Latvia and ""SEB Musical Bank 2009"" winner. Their debut album ""Šī ir tikai mūzika""(""This is just music"") was released in March 2010, which included radio hits such as ""Abrakadabra"", ""Dzimšanas diena"" (""Birthday"") and ""Klimata kontrole"" (""Climate control""). Both singers were awarded as ""Gada Liepājnieks""(""Liepajnieks of the year"" is a prize awarded for those, who have invested their time, effort and talent into making the city a better place) in nomination ""'Music"" and received three Copyright infinity prizes, because their songs are the most played on the radio, television and concerts. Musiqq represented Latvia in 2011 Eurovision Song Contest Düsseldorf with the song ""Angel in Disguise"".They are also known as Latvian rap duo called ""Bermudu Divstūris"", which formed in 2011. The name of the rap duo is a play on Bermuda Triangle, the literal translation being ""The Bermuda Digon"". As ""Bermudu Divstūris"" the band has released three studio albums and in 2014 it received The Golden Microphine award as ""Best hip-hop or dance album"".

",https://en.wikipedia.org/wiki/Musiqq
Aruba,5,Pete Philly and Perquisite,"Pete Philly & Perquisite  was a hip hop duo  from Amsterdam, Netherlands consisting of Pedro Philip Monzón  (born May 28, 1980 in Aruba) as the MC/vocalist and Pieter ""Perquisite"" Perquin  (born 1982 in Amsterdam) as the cellist, producer and composer of all the music. Their music is best described as hip hop with influences from jazz, broken beat and soul. They usually performed live together with DJ PCM (Misha van der Winkel), Remco Keijzer on saxophone, EWI and flute, Kasper Kalf on double-bass and Ruben Hein on keys.",https://en.wikipedia.org/wiki/Pete_Philly_and_Perquisite
Spain,38,Las Ketchup,"Las Ketchup is a Spanish girl group founded by flamenco record producer Manuel ""Queco"" Ruiz. The group, which consists of sisters Lucía, Lola, and Pilar Muñoz (later to be joined by a fourth sister Rocío), is best known for the 2002 hit single, ""The Ketchup Song (Aserejé)"", a single that sold over seven million copies worldwide. The group's debut studio album, Hijas del Tomate, has sold over two million copies worldwide, but the second did not achieve the same success. 
They represented Spain at Eurovision Song Contest 2006 in Athens with the song ""Un Blodymary"". The group has not released any singles since 2006, but still performs together publicly around Spain and other countries.

",https://en.wikipedia.org/wiki/Las_Ketchup
