0,1,2,3,4
Afghanistan,91.0,Mazar-i-Sharif,"Mazār-i-Sharīf (Persian/Pashto: مزارشریف ; ), also called Mazār-e Sharīf, or just Mazār, is the fourth-largest city of Afghanistan, with a  population estimate of 500,207 people. It is the capital of Balkh province and is linked by highways with Kunduz in the east, Kabul in the southeast, Herat in the southwest and Termez, Uzbekistan in the north. It is about 55 km (34 mi) from the Uzbek border. The city is also a tourist attraction because of its famous shrines as well as the Islamic and Hellenistic archeological sites. The ancient city of Balkh is also nearby.
The region around Mazar-i-Sharif has been historically part of Greater Khorasan and was controlled by the Tahirids followed by the Saffarids, Samanids, Ghaznavids, Ghurids, Ilkhanates, Timurids, and Khanate of Bukhara until 1751 when it became part of the Durrani Empire (although under autonomous emirs). Eventually the city passed to a few local rulers before becoming part of Afghanistan in 1849.
Mazar-i-Sharif is the regional hub of northern Afghanistan, located in close proximity to both Uzbekistan and Tajikistan. It is also home to an international airport. It has the highest percentage of built-up land (91%) of all the Afghan provincial capitals, and it has additional built-up area extending beyond the municipal boundary but forming a part of the larger urban area. It is also the lowest-lying major city in the country, about 357 metres (1,171 ft) above sea level. The city was spared the devastation that occurred in the country's other large cities during the Soviet–Afghan War and subsequent civil war, and was long regarded as one of the safest cities in the country.On 14 August 2021, Mazar-i-Sharif was seized by Taliban fighters, becoming the twenty-fifth provincial capital to be captured by the Taliban as part of the wider 2021 Taliban offensive.",https://en.wikipedia.org/wiki/Mazar-i-Sharif
Albania,205.0,Tirana,"Tirana ( (listen) tih-RAH-nə, Albanian: ; Gheg Albanian: Tirona) is the capital and largest city of Albania. It is located in the centre of the country, enclosed by mountains and hills with Dajti rising to the east and a slight valley to the northwest overlooking the Adriatic Sea in the distance. Due to its location at the Plain of Tirana and the close proximity to the Mediterranean Sea, the city is particularly influenced by a Mediterranean seasonal climate. It is among the wettest and sunniest cities in Europe, with 2,544 hours of sun per year.Tirana was founded as a city in 1614 by the Ottoman Albanian general Sylejman Pasha Bargjini and flourished by then around the Old Mosque and the türbe. The area that today corresponds to the city's territory has been continuously inhabited since the Iron Age. It was inhabited by Illyrians, and was most likely the core of the Illyrian Kingdom of the Taulantii, which in Classical Antiquity was centred in the hinterland of Epidamnus. Following the Illyrian Wars it was annexed by Rome and became an integral part of the Roman Empire. The heritage of that period is still evident and represented by the Mosaics of Tirana. Later, in the 5th and 6th centuries, an Early Christian basilica was built around this site.
After the Roman Empire split into East and West in the 4th century, its successor the Byzantine Empire took control over most of Albania, and built the Petrelë Castle in the reign of Justinian I. The city was fairly unimportant until the 20th century, when the Congress of Lushnjë proclaimed it as Albania's capital, after the Albanian Declaration of Independence in 1912.
Classified as a gamma-world-city, Tirana is the most important economic, financial, political and trade centre in Albania due to its significant location in the centre of the country and its modern air, maritime, rail and road transportation. It is the seat of power of the Government of Albania, with the official residences of the President and Prime Minister of Albania, and the Parliament of Albania. The city was announced as the European Youth Capital for 2022.

",https://en.wikipedia.org/wiki/Tirana
Algeria,77.0,Constantine,"Constantine (Arabic: قسنطينة Qusanṭīnah), also spelled Qacentina or Kasantina, is the capital of Constantine Province in northeastern Algeria. During Roman times it was called Cirta and was renamed ""Constantina"" in honor of emperor Constantine the Great. It was the capital of the French department of Constantine until 1962. Located somewhat inland, Constantine is about 80 kilometres (50 miles) from the Mediterranean coast, on the banks of the Rhumel River.
Constantine is regarded as the capital of eastern Algeria and the commercial center of its region, and it has a population of about 450,000 (938,475 with the agglomeration), making it the third largest city in the country after Algiers and Oran. There are several museums and historical sites located around the city. Constantine is often referred to as the ""City of Bridges"" due to the numerous picturesque bridges connecting the various hills, valleys, and ravines that the city is built on and around.
Constantine was named the Arab Capital of Culture in 2015.","https://en.wikipedia.org/wiki/Constantine,_Algeria"
Andorra,178.0,Andorra la Vella,"Andorra la Vella is the capital of the Principality of Andorra. It is located high in the east Pyrenees, between France and Spain. It is also the name of the parish that surrounds the capital.
As of 2015, the city has a population of 22,886, and the urban area, which includes Escaldes-Engordany plus satellite villages, has over 40,000 inhabitants.
The principal industry is tourism, although the country also earns foreign income from being a tax haven. Furniture and brandies are local products. Being at an elevation of 1,023 m (3,356 ft), it is the highest capital city in Europe and a popular ski resort.",https://en.wikipedia.org/wiki/Andorra_la_Vella
Angola,54.0,Lobito,"Lobito is a municipality in Angola. It is located in Benguela Province, on the Atlantic Coast north of the Catumbela Estuary. The Lobito municipality had a population of 393,079 in 2014.",https://en.wikipedia.org/wiki/Lobito
Antigua & Barbuda,122.0,Saint John's,"St. John's is the capital and largest city of Antigua and Barbuda, part of the West Indies in the Caribbean Sea. With a population of 22,219, St. John's is the commercial centre of the nation and the chief port of the island of Antigua.","https://en.wikipedia.org/wiki/St._John%27s,_Antigua_and_Barbuda"
Argentina,93.0,La Plata,"La Plata (Spanish pronunciation: ) is the capital city of Buenos Aires Province, Argentina. According to the 2010 census , it has a population of 654,324 and its metropolitan area, the Greater La Plata, has 787,294 inhabitants.
La Plata was planned and developed to serve as the provincial capital after the city of Buenos Aires was federalized in 1880. It was officially founded by Governor Dardo Rocha on 19 November 1882. Its construction is fully documented in photographs by Tomás Bradley Sutton. La Plata was briefly known as Ciudad Eva Perón (Eva Perón City) between 1952 and 1955.
The city is home to two important first division football teams: Estudiantes de La Plata and Gimnasia y Esgrima La Plata.",https://en.wikipedia.org/wiki/La_Plata
Armenia,92.0,Gyumri,"Gyumri (Armenian: Գյումրի, pronounced ) is an urban municipal community and the second-largest city in Armenia, serving as the administrative center of Shirak Province in the northwestern part of the country. By the end of the 19th century, when the city was known as Alexandropol, it was one of the largest cities of Russian-ruled Eastern Armenia with a population similar to that of Yerevan. It was renamed to Leninakan during the Soviet period. The city's population grew above 200,000 prior to the 1988 Spitak earthquake, when it was devastated. As of the 2011 census, the city had a population of 121,976, down from 150,917 reported at the 2001 census.
Gyumri is the seat of the Diocese of Shirak of the Armenian Apostolic Church.",https://en.wikipedia.org/wiki/Gyumri
Australia,191.0,Canberra,"Canberra ( (listen) KAN-bə-rə)
is the capital city of Australia. Founded following the federation of the colonies of Australia as the seat of government for the new nation, it is Australia's largest inland city and the eighth-largest city overall. Unusual among Australian cities, it is an entirely planned city. The city is located at the northern end of the Australian Capital Territory at the northern tip of the Australian Alps, the country's highest mountain range. As of June 2020, Canberra's estimated population was 431,380.The area chosen for the capital had been inhabited by Indigenous Australians for up to 21,000 years, with the principal group being the Ngunnawal people. European settlement commenced in the first half of the 19th century, as evidenced by surviving landmarks such as St John's Anglican Church and Blundells Cottage. On 1 January 1901, federation of the colonies of Australia was achieved. Following a long dispute over whether Sydney or Melbourne should be the national capital, a compromise was reached: the new capital would be built in New South Wales, so long as it was at least 100 miles (160 km) from Sydney. The capital city was founded and formally named as Canberra in 1913. A blueprint by American architects Walter Burley Griffin and Marion Mahony Griffin was selected after an international design contest, and construction commenced in 1913. The Griffins' plan featured geometric motifs and was centred on axes aligned with significant topographical landmarks such as Black Mountain, Mount Ainslie, Capital Hill and City Hill. Canberra's mountainous location makes it the only mainland Australian city where snow-capped mountains can be seen in winter; although snow in the city itself is rare.
As the seat of the Government of Australia, Canberra is home to many important institutions of the federal government, national monuments and museums. This includes Parliament House, Government House, the High Court and the headquarters of numerous government agencies. It is the location of many social and cultural institutions of national significance such as the Australian War Memorial, the Australian National University, the Royal Australian Mint, the Australian Institute of Sport, the National Gallery, the National Museum and the National Library. The city is home to many important institutions of the Australian Defence Force including the Royal Military College Duntroon and the Australian Defence Force Academy. It hosts all foreign embassies in Australia as well as regional headquarters of many international organisations, not-for-profit groups, lobbying groups and professional associations.
Canberra has been ranked among the world's best cities to live and visit. Although the Commonwealth Government remains the largest single employer in Canberra, it is no longer the majority employer. Other major industries have developed in the city, including in health care, professional services, education and training, retail, accommodation and food, and construction. Compared to the national averages, the unemployment rate is lower and the average income higher; tertiary education levels are higher, while the population is younger. At the 2016 Census, 32% of Canberra's inhabitants were reported as having been born overseas.Canberra's design is influenced by the garden city movement and incorporates significant areas of natural vegetation. Its design can be viewed from its highest point at the Telstra Tower and the summit of Mount Ainslie. Other notable features include the National Arboretum, born out of the 2003 Canberra bushfires, and Lake Burley Griffin, named for the city's architects. Highlights in the annual calendar of cultural events include Floriade, the largest flower festival in the Southern Hemisphere, the Enlighten Festival, Skyfire, the National Multicultural Festival and Summernats. Canberra's main sporting venues are Canberra Stadium and Manuka Oval. The city is served with domestic and international flights at Canberra Airport, while interstate train and coach services depart from Canberra Railway Station and the Jolimont Centre respectively. City Interchange is the main hub of Canberra's bus and light rail transport network.",https://en.wikipedia.org/wiki/Canberra
Austria,149.0,Salzburg,"Salzburg (Austrian German: , German:  (listen); literally ""Salt-Castle""; Austro-Bavarian: Soizbuag) is the fourth-largest city in Austria. In 2020, it had a population of 156,872.The town is on the site of the Roman settlement of Iuvavum. Salzburg was founded as an episcopal see in 696 and became a seat of the archbishop in 798. Its main sources of income were salt extraction, trade and gold-mining. The fortress of Hohensalzburg, one of the largest medieval fortresses in Europe, dates from the 11th century. In the 17th century, Salzburg became a center of the Counter-Reformation, with monasteries and numerous Baroque churches built.
Salzburg's historic center (German: Altstadt) is renowned for its Baroque architecture and is one of the best-preserved city-centers north of the Alps. The historic center was enlisted as a UNESCO World Heritage Site in 1996. The city has three universities and a large population of students. Tourists also visit Salzburg to tour the historic center and the scenic Alpine surroundings. Salzburg is also the birthplace of the 18th-century composer Wolfgang Amadeus Mozart, who is considered one of the greatest composers of all time.",https://en.wikipedia.org/wiki/Salzburg
Azerbaijan,100.0,Stepanakert,"Stepanakert (Armenian: Ստեփանակերտ, romanized: Step'anakert, Eastern Armenian pronunciation: ), or Khankendi (Azerbaijani: Xankəndi, Azerbaijani:  (listen)), is the de facto capital and the largest city of the  breakaway state Republic of Artsakh, though internationally recognized as part of Azerbaijan. The city is located in a valley on the eastern slopes of the Karabakh mountain range, on the left bank of the Qarqarchay river.The area that would become Stepanakert was originally an Armenian settlement named Vararakn. During the Soviet period, the city was made the capital of the Nagorno-Karabakh Autonomous Oblast, becoming a hub for economic and industrial activity. In addition, the city became a hotbed for political activity, serving as the center for Armenian demonstrations calling for the unification of Nagorno-Karabakh with Armenia. Stepanakert suffered extensive damage following the dissolution of the Soviet Union and the outbreak of the First Nagorno-Karabakh War and passed into the hands of local Armenians with the establishment of the Republic of Artsakh.
The city is a regional center of education and culture, being home to Artsakh University, musical schools, and a palace of culture. The economy is based on the service industry and has varied enterprises, food processing, wine making, and silk weaving being the most important. As of 2021, the population of Stepanakert is 75,000.",https://en.wikipedia.org/wiki/Stepanakert
Bahrain,150.0,Manama,"Manama (Arabic: المنامة al-Manāma, Bahrani pronunciation: ) is the capital and largest city of Bahrain, with an approximate population of 200,000 people as of 2020. Long an important trading center in the Persian Gulf, Manama is home to a very diverse population.  After periods of Portuguese and Persian control and invasions from the ruling dynasties of Saudi Arabia and Oman, Bahrain established itself as an independent nation in 1971 after a period of British hegemony.
Although the current twin cities of Manama and Muharraq appear to have been founded simultaneously in the 1800s, Muharraq took prominence due to its defensive location and was thus the capital of Bahrain until 1923. Manama became the mercantile capital and was the gateway to the main Bahrain Island. In the 20th century, Bahrain's oil wealth helped spur fast growth and in the 1990s a concerted diversification effort led to expansion in other industries and helped transform Manama into an important financial hub in the Middle East. Manama was designated as the 2012 capital of Arab culture by the Arab League, and a beta global city by the Globalization and World Cities Research Network in 2018.",https://en.wikipedia.org/wiki/Manama
Bangladesh,61.0,Sylhet,"Sylhet (Bengali: সিলেট) is a metropolitan city in northeastern Bangladesh. It is the administrative seat of the Sylhet Division. Located on the north bank of the Surma River at the eastern tip of Bengal, Sylhet has a subtropical climate and lush highland terrain. The city has a population of more than half a million and is one of the largest cities in Bangladesh after Khulna, Chittagong and Dhaka.Sylhet is one of Bangladesh's most important spiritual and cultural centres. Furthermore, it is one of the most economically important cities after Dhaka and Chittagong. The city produces the highest amount of tea and natural gas.
In 1303, the Sultan of Lakhnauti Shamsuddin Firoz Shah conquered Sylhet by defeating Gour Govinda. Sylhet was a realm of the Bengal Sultanate. In the 16th-century, Sylhet was controlled by the Baro-Bhuyan zamindars and later became a sarkar (district) of the Mughal Empire. Sylhet emerged as the Mughals' most significant imperial outpost in the east, and its importance remained as such throughout the seventeenth century. British rule began in the 18th century under the administration of the East India Company. Sylhet became a key source of lascars in the British Empire with its ancient seafaring tradition. The Sylhet municipal board was established in 1867. The Sylhet municipal board was established in 1867. Originally part of the Bengal Presidency and later Eastern Bengal and Assam; the town was part of Colonial Assam between 1874 and 1947 when following a referendum and the partition of British India, it became part of East Bengal. The Sylhet City Corporation was constituted in 2001. The Government of Bangladesh designated Sylhet a metropolitan area in 2009.The hinterland of the Sylhet valley is the largest oil and gas-producing region in Bangladesh. It is also the largest hub of tea production in Bangladesh. It is notable for its high-quality cane and agarwood. The city is served by the Osmani International Airport, which is named after General Bangabir M A G Osmani, the Commander-in-Chief of the Mukti Bahini during the Bangladesh Liberation War. People from Sylhet form a significant portion of the Bangladeshi diaspora, particularly in the United Kingdom and the United States and other countries in the Middle East.",https://en.wikipedia.org/wiki/Sylhet
Barbados,127.0,Bridgetown,"Bridgetown (UN/LOCODE: BB BGI) is the capital and largest city of Barbados. Formerly The Town of Saint Michael, the Greater Bridgetown area is located within the parish of Saint Michael. Bridgetown is sometimes locally referred to as ""The City"", but the most common reference is simply ""Town"". As of 2014, its metropolitan population stands at roughly 110,000.
The Bridgetown port, found along Carlisle Bay (at 13.106°N 59.632°W﻿ / 13.106; -59.632﻿ (Bridgetown port)) lies on the southwestern coast of the island. Parts of the Greater Bridgetown area (as roughly defined by the Ring Road Bypass or more commonly known as the ABC Highway), sit close to the borders of the neighbouring parishes Christ Church and St. James. The Grantley Adams International Airport for Barbados, is located 16 kilometres (10 mi) southeast of Bridgetown city centre, and has daily flights to major cities in the United Kingdom, United States, Canada and the Caribbean. There is no longer a local municipal government, but it is a constituency of the national Parliament.  During the short-lived 1950s-1960s Federation of the British West Indian Territories, Bridgetown was one of three capital cities within the region being considered to be the Federal capital of the region.The present-day location of the city was established by English settlers in 1628; a previous settlement under the authority of Sir William Courten was at St. James Town. Bridgetown is a major West Indies tourist destination, and the city acts as an important financial, informatics, convention centre, and cruise ship port of call in the Caribbean region. On 25 June 2011, ""Historic Bridgetown and its Garrison"" was added as a World Heritage Site of UNESCO.",https://en.wikipedia.org/wiki/Bridgetown
Belarus,100.0,Vitebsk,"Vitebsk or Viciebsk (Russian: Витебск, ; Belarusian: Ві́цебск, ; Yiddish: וויטעבסק, Vitebsk), is a city in Belarus. The capital of the Vitebsk Region, it has 366,299 inhabitants, making it the country's fourth-largest city. It is served by Vitebsk Vostochny Airport and Vitebsk Air Base.

",https://en.wikipedia.org/wiki/Vitebsk
Belgium,219.0,City of Brussels,"The City of Brussels (French: Ville de Bruxelles  or alternatively Bruxelles-Ville ; Dutch: Stad Brussel  or Brussel-Stad) is the largest municipality and historical centre of the Brussels-Capital Region, as well as the capital of Belgium. It is also the administrative centre of the European Union, and is thus often dubbed, along with the region, the EU's capital city.
Besides the central historic town located within the Pentagon, the City of Brussels covers some of the city's immediate outskirts within the greater Brussels-Capital Region, namely Haren, Laeken, and Neder-Over-Heembeek to the north, as well as the Avenue Louise/Louizalaan and the Bois de la Cambre/Ter Kamerenbos park to the south-east, where it borders municipalities in Flanders.
As of 1 January 2017, the City of Brussels had a total population of 176,545. The total area is 32.61 km2 (12.59 sq mi) which gives a population density of 5,475 inhabitants per square kilometre (14,180/sq mi). As of 2007, there were approximately 50,000 registered non-Belgians in the City of Brussels. In common with all of Brussels' municipalities, it is legally bilingual (French–Dutch).",https://en.wikipedia.org/wiki/City_of_Brussels
Belize,133.0,Belmopan,"Belmopan () is the capital city of Belize. Its population in 2010 was 16,451. In addition to being the smallest capital city in the continental Americas by population, Belmopan is the third-largest settlement in Belize, behind Belize City and San Ignacio. Founded as a planned community in 1970, Belmopan is one of the newest national capital cities in the world. Since 2000, Belmopan has been one of two settlements in Belize to hold official city status, along with Belize City.
Belmopan is located in Cayo District at an altitude of 76 metres (249 feet) above sea level. Belmopan was constructed just to the east of the Belize River, 80 km (50 mi) inland from the former capital, the port of Belize City, after that city's near destruction by Hurricane Hattie in 1961. The government was moved to Belmopan in 1970. Its National Assembly Building is designed to resemble a Pre-Columbian Maya temple.",https://en.wikipedia.org/wiki/Belmopan
Bhutan,156.0,Thimphu,"Thimphu (; Dzongkha: ཐིམ་ཕུག ) is the capital and largest city of Bhutan. It is situated in the western central part of Bhutan, and the surrounding valley is one of Bhutan's dzongkhags, the Thimphu District. The ancient capital city of Punakha was replaced as capital by Thimphu in 1955, and in 1961 Thimphu was declared as the capital of the Kingdom of Bhutan by the 3rd Druk Gyalpo Jigme Dorji Wangchuck.
The city extends in a north–south direction on the west bank of the valley formed by the Wang Chhu, which flows out into India as the Raidāk River. Thimphu is the fifth highest capital in the world by altitude and ranges in altitude from 2,248 metres (7,375 feet) to 2,648 metres (8,688 feet). Unusually for a capital city, Thimphu does not have its own airport, instead relying on the Paro Airport (connected by road some 52 kilometres (32 miles) away).
Thimphu, as the political and economic center of Bhutan, has a dominant agricultural and livestock base, which contributes 45% of the country's GNP. Tourism, though a contributor to the economy, is strictly regulated, maintaining a balance between the traditional, development and modernization. Thimphu contains most of the important political buildings in Bhutan, including the National Assembly of the newly-formed parliamentary democracy and Dechencholing Palace, the official residence of the King, located to the north of the city. Thimphu is coordinated by the ""Thimphu Structure Plan, 2002-2027"", an urban development plan with the objective of protecting the fragile ecology of the valley. Some of this development was undertaken with financial assistance from the World Bank and Asian Development Bank.
The culture of Bhutan is fully reflected in Thimphu in literature, religion, customs, and national dress code, the monastic practices of the monasteries, music, and dance, and in the media. Tshechu is an important festival when mask dances, popularly known as Cham dances, are performed in the courtyards of the Tashichho Dzong in Thimphu. It is a four-day festival held every year in September or October, on dates corresponding to the Bhutanese calendar.

",https://en.wikipedia.org/wiki/Thimphu
Bolivia,136.0,Sucre,"Sucre (Spanish: ) is the constitutional capital of Bolivia, the capital of the Chuquisaca Department and the 6th most populated city in Bolivia. Located in the south-central part of the country, Sucre lies at an elevation of 2,810 meters (9,214 feet). This relatively high altitude gives the city a subtropical highland climate with cool temperatures year-round.
Its pre-Columbian name was Chuquisaca; during the Spanish Empire it was called La Plata. Before the arrival of the Spanish, the city of Chuquisaca had its own autonomy with respect to the Inca Empire (the Charcas were the only people that did not pay the ransom for the Inca captive). Today, the region is of predominantly Quechua background, with some Aymara communities and influences.
Today Sucre remains a city of major national importance and is an educational and government center, being the location of the Bolivian Supreme Court. Its pleasant climate and low crime rates have made the city popular amongst foreigners and Bolivians alike. Notably, Sucre contains one of the best preserved Hispanic colonial and republican historic city centres in the Western Hemisphere. This architectural heritage and the millenarian history of the Charcas region has led to Sucre's designation as a UNESCO World Heritage Site.
Sucre has held an important place in Bolivian history from its place as an important center in the Real Audencia de Charcas, and later as the first capital of Bolivia before the fall of silver's importance as a global mineral commodity. Some regional tension remains from the historical transfer of capital functions to Nuestra Señora de La Paz, and even today the issue features an important role in local culture and political ideology.
Today Sucre is well known for its role in national judicial functions, its local culture and history, renowned architectural urban fabric, and local industries such as chocolate, textiles, and concrete.",https://en.wikipedia.org/wiki/Sucre
