0,1,2,3,4,5,6,7,8
Afghanistan,7,Abdullah Shah,http://www.wikidata.org/entity/Q3603414,wd:Q3603414,742108.0,Mass murderer,"Abdullah Shah (1965–2004) was an Afghan serial killer found guilty in Kabul of killing more than 20 people, including his wife. His sanctioned execution was the first in Afghanistan since the fall of the Taliban in late 2001.Shah served under Zardad Khan—even earning the nickname Zardad's dog— who served under Gulbuddin Hekmatyar in the civil war in Afghanistan (1992–1996). Shah and Zardad robbed travellers on the road from Kabul to Jalalabad. 
Shah was first convicted in special court proceedings in October 2002. Nine people testified against him at the trial, including another wife he tried to set on fire. The bodies of many of Shah's victims were found in a well in Paghman District.The execution took place in the Pul-e-Charkhi jail. Interim president Hamid Karzai signed the death warrant. At the execution, Shah was shot in the back of the head. Witnesses present included representatives of the Afghan police, the Attorney General's office and doctors.
Amnesty International protested against the execution claiming Afghanistan avoided basic standards of fairness. The organization added that Shah was probably silenced so he could not testify against commanders allied to the government. It said he was not provided a defense attorney, the trial was secret, a confession was obtained under torture and the first judge in his case was dismissed for taking a bribe. The second judge came under pressure from the Supreme Court to impose the sentence.",https://en.wikipedia.org/wiki/Abdullah_Shah
Albania,7,Arnaut Mami,http://www.wikidata.org/entity/Q3284983,wd:Q3284983,43456929.0,Albanian privateer,"Arnaut Mami or Mahomed the Albanian (fl. 1572–76) was an Ottoman Albanian commander and admiral of the Ottoman fleet and the squadron admiral and the supreme commander of all Islamic vessels in North Africa and Pasha Algiers, known as the most formidable corsair of that period for his terrorizing of the narrow seas. He was also captain general of Ottoman galleys in Algiers.  He was called Arnaut after his Albanian origin.
On the morning of 26 September 1575, Arnaut's ship attacked the galley Sol on the Catalan coast, with  Miguel de Cervantes aboard.  After significant resistance, in which the captain and many crew members were killed, the surviving passengers were taken to Algiers as captives.  After five years as a slave, Cervantes was released when his family paid the ransom.",https://en.wikipedia.org/wiki/Arnaut_Mami
Algeria,10,Henri Parot,http://www.wikidata.org/entity/Q3121580,wd:Q3121580,9646182.0,member of ETA,"Henri Parot (born 6 May 1958) is a member of the Basque separatist group ETA. He was born in Algiers in 1958, the son of a Basque-French marriage that migrated to Algeria. When the Algerian War ended and he was three years old, he returned to France and in the Basque-French city of Bayona when he was 16 years old, where he learned the Basque language.
He was arrested on April 2, 1990, in Seville after an exchange of gunfire with the Spanish police. In 1990, he was given a 4,797 year sentence for 26 murders and 166 attempted murders between 1978 and 1990. He was also convicted of involvement in the 1987 Zaragoza Barracks bombing which killed eleven people, including five children.",https://en.wikipedia.org/wiki/Henri_Parot
Angola,1,António Geraldo Fulgêncio Lopes,http://www.wikidata.org/entity/Q109151502,wd:Q109151502,,,--,--
Antigua and Barbuda,15,Lelouch,http://www.wikidata.org/entity/Q952328,wd:Q952328,9714027.0,fictional main character of the anime series Code Geass: Lelouch of the Rebellion,"Lelouch vi Britannia (Japanese: ルルーシュ・ヴィ・ブリタニア, Hepburn: Rurūshu vi Buritania), whose alias is Lelouch Lamperouge (ルルーシュ・ランペルージ, Rurūshu Ranperūji), is the main protagonist of the Sunrise anime series Code Geass: Lelouch of the Rebellion. In the series, Lelouch is a former prince from the superpower Britannia who is given the power of the ""Geass"" by a witch known as C.C. Using the Geass and his genius-level intellect, Lelouch becomes the leader of the resistance movement known as The Black Knights under his alter ego Zero (ゼロ) to destroy the Holy Britannian Empire, an imperial monarchy that has been conquering various countries under control from his father. 
Besides Code Geass, Lelouch has appeared in multiple related adaptations and spin-offs, such as Nightmare of Nunually, as a superpowered human, Akito the Exiled as a brainwashed strategist, and Code Geass: Lelouch of the Re;surrection (2019) leading his forces as an alternate sequel to the original television series. He is also present in the Super Robot Wars crossover video games which depict alternate scenarios to his role in the Code Geass series too.
Lelouch was designed by the group of manga artists Clamp, who aimed to create a stylish and visually appealing character. Director Gorō Taniguchi handled the character alongside writer Ichirō Ōkouchi and agreed the film Code Geass: Lelouch of the Re;surrection as his final appearance in the franchise. He is voiced by Jun Fukuyama and his younger self is voiced by Sayaka Ohara. In the English dub he is voiced by Johnny Yong Bosch and Michelle Ruff young.
The character of Lelouch has been recognized as one of Japan's most popular characters during the time Code Geass aired, appearing at the top of several polls. Publications for anime and manga saw Lelouch as an interesting character. His voice actors Fukuyama and Bosch have been praised for their work as Lelouch's voice.

",https://en.wikipedia.org/wiki/Lelouch_Lamperouge
Argentina,15,Iosif Grigulevich,http://www.wikidata.org/entity/Q1376516,wd:Q1376516,2534551.0,Soviet spy and Costa Rican diplomat,"Iosif Romualdovich Grigulevich (Russian: Иосиф Ромуальдович Григулевич; May 5, 1913 – June 2, 1988) was a Soviet secret police (NKVD) operative active between 1937 and 1953, when he played a role in assassination plots against Communist and Bolshevik individuals who were not loyal to Joseph Stalin. This included the murders of claimed and actual Trotskyists during the Spanish Civil War including Andreu Nin Pérez, and an initial, failed assassination attempt against Leon Trotsky in Mexico.Under the false identity of Teodoro B. Castro, a wealthy Costa Rican expatriate living in Rome, Grigulevich served as the ambassador of Costa Rica to both Italy and Yugoslavia (1952–1954). His mission was to assassinate Yugoslav leader Josip Broz Tito but the mission was aborted following Stalin's death in 1953. Grigulevich then settled in Moscow, where he worked as an expert on the history of Latin America and on the Roman Catholic Church.
He was a member of the Soviet Academy of Sciences, served as editor-in-chief of the magazine Obshchestvennye nauki i sovremennost (""Social Sciences Today""), and published many books and articles about Latin American subjects.",https://en.wikipedia.org/wiki/Iosif_Grigulevich
Armenia,4,Valery Asratyan,http://www.wikidata.org/entity/Q374378,wd:Q374378,14615561.0,Soviet murderer,"Valery Georgievich Asratyan (Armenian: Վալերի Հասրաթյան, Russian: Вале́рий Гео́ргиевич Асратя́н, c. 1958 – 1996) was a Soviet suspected serial killer, convicted for the killing of two women in Moscow between 1988 and 1990. Asratyan, a previously convicted serial rapist and child molester, committed over 20 rapes of girls and young women during the 1980s. Later posing as a film director, Asratyan used anesthesia to render victims unconscious, killing several out of fear of being sent to prison before being apprehended in 1990.
Asratyan was sentenced to death and executed at Butyrka Prison in 1996.",https://en.wikipedia.org/wiki/Valery_Asratyan
Australia,43,Ned Kelly,http://www.wikidata.org/entity/Q301816,wd:Q301816,157456.0,Australian bushranger (1854–1880),"Edward Kelly (December 1854 – 11 November 1880) was an Australian bushranger, outlaw, gang leader and convicted police-murderer. One of the last bushrangers, he is known for wearing a suit of bulletproof armour during his final shootout with the police.
Kelly was born in the then-British colony of Victoria as the third of eight children to Irish parents. His father, a transported convict, died shortly after serving a six-month prison sentence, leaving Kelly, then aged 12, as the eldest male of the household. The Kellys were a poor selector family who saw themselves as downtrodden by the Squattocracy and as victims of persecution by the Victoria Police. While a teenager, Kelly was arrested for associating with bushranger Harry Power and served two prison terms for a variety of offences, the longest stretch being from 1871 to 1874 on a conviction of receiving a stolen horse. He later joined the ""Greta Mob"", a group of bush larrikins known for stock theft. A violent confrontation with a policeman occurred at the Kelly family's home in 1878, and Kelly was indicted for his attempted murder. Fleeing to the bush, Kelly vowed to avenge his mother, who was imprisoned for her role in the incident. After he, his younger brother Dan, and two associates—Joe Byrne and Steve Hart—shot dead three policemen, the government of Victoria proclaimed them outlaws.
Kelly and his gang eluded the police for two years, thanks in part to the support of an extensive network of sympathisers. The gang's crime spree included raids on Euroa and Jerilderie, and the killing of Aaron Sherritt, a sympathiser turned police informer. In a manifesto letter, Kelly—denouncing the police, the Victorian government and the British Empire—set down his own account of the events leading up to his outlawry. Demanding justice for his family and the rural poor, he threatened dire consequences against those who defied him. In 1880, when his attempt to derail and ambush a police train failed, he and his gang, dressed in armour fashioned from stolen plough mouldboards, engaged in a final gun battle with the police at Glenrowan. Kelly, the only survivor, was severely wounded by police fire and captured. Despite thousands of supporters attending rallies and signing a petition for his reprieve, Kelly was tried, convicted and sentenced to death by hanging, which was carried out at the Old Melbourne Gaol.
Historian Geoffrey Serle called Kelly and his gang ""the last expression of the lawless frontier in what was becoming a highly organised and educated society, the last protest of the mighty bush now tethered with iron rails to Melbourne and the world"". In the century after his death, Kelly became a cultural icon, inspiring numerous works in the arts and popular culture, and is the subject of more biographies than any other Australian. Kelly continues to cause division in his homeland: some celebrate him as Australia's equivalent of Robin Hood, while others regard him as a murderous villain undeserving of his folk hero status. Journalist Martin Flanagan wrote: ""What makes Ned a legend is not that everyone sees him the same—it's that everyone sees him. Like a bushfire on the horizon casting its red glow into the night.""",https://en.wikipedia.org/wiki/Ned_Kelly
Austria,22,Jack Unterweger,http://www.wikidata.org/entity/Q44556,wd:Q44556,2011705.0,Austrian serial killer,"Johann ""Jack"" Unterweger (16 August 1950  – 29 June 1994) was an Austrian serial killer who committed murder in several countries – Austria, West Germany, Czechoslovakia, and the United States. Initially convicted in 1974 of a single murder, Unterweger began to write extensively while in prison. His work gained the attention of the Austrian literary elite, who took it as evidence that he had been rehabilitated.
After significant lobbying, Unterweger was released on parole in 1990. Upon his release, he became a minor celebrity and worked as a playwright and journalist, but within months he resumed killing women. Unterweger hanged himself in prison after being convicted of nine more murders in June 1994.",https://en.wikipedia.org/wiki/Jack_Unterweger
Azerbaijan,4,Rovshan Lankaransky,http://www.wikidata.org/entity/Q3572854,wd:Q3572854,38586116.0,"Azerbaijani crime boss, thief in the law","Rovshan Janiyev (Azerbaijani: Rövşən Rafiq oğlu Canıyev, Russian: Ровшан Рафик оглы Джаниев; 27 January 1975 – 18 August 2016), also known as Rovshan Lankaransky (Azerbaijani: Rövşən Lənkəranski, Russian: Ровшан Ленкоранский), was a Talysh influential Azerbaijani gangster.",https://en.wikipedia.org/wiki/Rovshan_Janiyev
Bangladesh,3,Roshu Kha,http://www.wikidata.org/entity/Q21084631,wd:Q21084631,47466793.0,Bangladeshi serial killer,"Roshu Kha, also called Rasu Khan, is a Bangladeshi confessed serial killer. Arrested in 2009, he admitted to killing 11 female garment workers in Chandpur District. He was sentenced to death in 2015 for the 2008 rape and murder of a 19-year-old woman.",https://en.wikipedia.org/wiki/Roshu_Kha
Barbados,26,Stede Bonnet,http://www.wikidata.org/entity/Q444908,wd:Q444908,1290566.0,early 18th-century Barbadian pirate,"Stede Bonnet (1688 – 10 December 1718) was an early 18th-century English/Barbadian pirate, also known as the Gentleman Pirate for the reason that he was a moderately wealthy landowner before turning to a life of crime. Bonnet was born into a wealthy English family on the island of Barbados, and inherited the family estate after his father's death in 1694. Despite his lack of sailing experience, Bonnet decided he should turn to piracy in the winter of 1716 or spring of 1717. He bought a sailing vessel, the Revenge, and travelled with his paid crew along the Eastern Seaboard of what is now the United States, capturing other vessels and burning other Barbadian ships. 
Bonnet set sail for Nassau in the Bahamas, to the haven for pirates known as the ""Republic of Pirates"", but he was seriously wounded en route during an encounter with a Spanish warship. After arriving in Nassau, Bonnet met Edward Teach, better known as the infamous pirate Blackbeard. Incapable of leading his crew, Bonnet temporarily ceded his ship's command to Blackbeard. Before separating in December 1717, Blackbeard and Bonnet plundered and captured merchant ships along the East Coast. After Bonnet failed to capture the Protestant Caesar, his crew abandoned him to join Blackbeard aboard the Queen Anne's Revenge. Bonnet stayed on Blackbeard's ship as a guest, and did not command a crew again until summer 1718, when he was pardoned by North Carolina governor Charles Eden and received clearance to undertake privateering against Spanish shipping interests. Bonnet was tempted to resume his piracy but did not want to lose his pardon, so he adopted the alias ""Captain Thomas"" and changed his ship's name to Royal James. He had returned to piracy by July 1718.
In August 1718, Bonnet anchored Royal James on an estuary of the Cape Fear River to careen and repair the ship. In late August and September, Colonel William Rhett, with the authorization of South Carolina's governor Robert Johnson, led a naval expedition against pirates on the river. Rhett's and Bonnet's men engaged in combat for hours, but the outnumbered pirates ultimately surrendered. Rhett arrested the pirates and brought them to Charles Town (now Charleston, South Carolina) in early October. Bonnet escaped on 24 October, but was soon recaptured on Sullivan's Island. On 10 November, Bonnet was brought to trial and charged with two acts of piracy. Judge Nicholas Trott sentenced him to death. Bonnet wrote to Governor Johnson to ask for clemency, but Johnson endorsed the judge's decision, and Bonnet was hanged in Charles Town on 10 December 1718.",https://en.wikipedia.org/wiki/Stede_Bonnet
Belarus,32,Meyer Lansky,http://www.wikidata.org/entity/Q312167,wd:Q312167,150259.0,American Gangster,"Meyer Lansky (born Maier Suchowljansky; July 4, 1902 – January 15, 1983), known as the ""Mob's Accountant"", was an American organized crime figure who, along with his associate Charles ""Lucky"" Luciano, was instrumental in the development of the National Crime Syndicate in the United States.A member of the Jewish mob, Lansky developed a gambling empire that stretched around the world. He was said to own points (percentages) in casinos in Las Vegas, Cuba, The Bahamas and London. Lansky additionally had a strong influence with the Italian-American Mafia and played a large role in the consolidation of the criminal underworld. The full extent of this role has been the subject of some debate, as Lansky himself denied many of the accusations against him.Despite nearly 50 years as a member/participant in organized crime, Lansky was never found guilty of anything more serious than illegal gambling. He has a legacy of being one of the most financially successful gangsters in American history. Before he fled Cuba, he was said to be worth an estimated $20 million (equivalent to $166 million in 2021). When he died in 1983, his family learned that his estate was worth around US$57,000 (equivalent to $155,079 in 2021).",https://en.wikipedia.org/wiki/Meyer_Lansky
