0,1,2,3,4
Ethiopia,225,coffee,"The Colombian coffee region (Spanish: Eje Cafetero), also known as the Coffee Triangle (Spanish: Triángulo del Café) is a part of the Paisa region in the rural area of Colombia. It is famous for growing and producing the majority of Colombian coffee. There are four departments in the area: Caldas, Quindío, Risaralda and the north municipalities of Tolima and Valle del Cauca. The most visited cities are Manizales, Armenia, Pereira, and Ibagué.

",https://en.wikipedia.org/wiki/Colombian_coffee_growing_axis
Italy,136,pizza,"Chicago-style pizza is pizza prepared according to several styles developed in Chicago, widely referred to as deep-dish pizza due to its cooking style. The pan in which it is baked gives the pizza its characteristically high edge which provides ample space for large amounts of cheese and a chunky tomato sauce. Chicago-style pizza may be prepared in deep-dish style and as a stuffed pizza.

",https://en.wikipedia.org/wiki/Chicago-style_pizza
United States,132,Coca-Cola,"Cola chicken is a chicken dish popular in Hong Kong, prepared with chicken and cola soft drink as main ingredients. The cola is typically mixed with another ingredient, such as soy sauce, barbecue sauce or ketchup. It can be prepared with regular or diet cola. As the dish cooks, the sauce reduces, accentuating the cola flavor and creating a glaze in the process. It is sometimes prepared as a chicken wing dish. It can have a sticky texture, depending on how it is prepared. Cola chicken has been described as a dish that has flavor elements of sweet and sour, and the cola has been described as imparting a rich flavor to the chicken meat.There have been two accounts regarding the origin of the dish. According to one, a cook in Jinan, Shandong accidentally tipped over a can of Coca-Cola into a pot of braised chicken wings. He discovered the unique taste of cola with chicken and soy sauce, and soon it became popular. In another story, cola chicken was already made in Western countries with tomato sauce. It was introduced to Taiwan, where tomato sauce was replaced with soy sauce.",https://en.wikipedia.org/wiki/Cola_chicken
Sweden,110,vodka,"Penne alla vodka (Italian pronunciation: [ˈpen.ne al.la (v)ˈvɔd.ka]) is a pasta dish made primarily with vodka and penne pasta (or similar shapes such as rigatoni), usually accompanied with heavy cream, crushed tomatoes or tomato sauce, onions, and sometimes small meats and vegetables like sausage, pancetta or peas. The pure alcohol apparently helps intensify and accentuate flavors in the dish, among other claims. 
The recipe became very popular in Italy and in the United States around the 1980s, when it was offered to discotheque customers. The recipe thus became an icon of the fashionable cuisine of the time, which preferred the use of cream in first courses. Penne alla vodka remains popular in Italian-American cuisine.",https://en.wikipedia.org/wiki/Penne_alla_vodka
Poland,110,vodka,"Penne alla vodka (Italian pronunciation: [ˈpen.ne al.la (v)ˈvɔd.ka]) is a pasta dish made primarily with vodka and penne pasta (or similar shapes such as rigatoni), usually accompanied with heavy cream, crushed tomatoes or tomato sauce, onions, and sometimes small meats and vegetables like sausage, pancetta or peas. The pure alcohol apparently helps intensify and accentuate flavors in the dish, among other claims. 
The recipe became very popular in Italy and in the United States around the 1980s, when it was offered to discotheque customers. The recipe thus became an icon of the fashionable cuisine of the time, which preferred the use of cream in first courses. Penne alla vodka remains popular in Italian-American cuisine.",https://en.wikipedia.org/wiki/Penne_alla_vodka
Russia,110,vodka,"Penne alla vodka (Italian pronunciation: [ˈpen.ne al.la (v)ˈvɔd.ka]) is a pasta dish made primarily with vodka and penne pasta (or similar shapes such as rigatoni), usually accompanied with heavy cream, crushed tomatoes or tomato sauce, onions, and sometimes small meats and vegetables like sausage, pancetta or peas. The pure alcohol apparently helps intensify and accentuate flavors in the dish, among other claims. 
The recipe became very popular in Italy and in the United States around the 1980s, when it was offered to discotheque customers. The recipe thus became an icon of the fashionable cuisine of the time, which preferred the use of cream in first courses. Penne alla vodka remains popular in Italian-American cuisine.",https://en.wikipedia.org/wiki/Penne_alla_vodka
Ukraine,110,vodka,"Penne alla vodka (Italian pronunciation: [ˈpen.ne al.la (v)ˈvɔd.ka]) is a pasta dish made primarily with vodka and penne pasta (or similar shapes such as rigatoni), usually accompanied with heavy cream, crushed tomatoes or tomato sauce, onions, and sometimes small meats and vegetables like sausage, pancetta or peas. The pure alcohol apparently helps intensify and accentuate flavors in the dish, among other claims. 
The recipe became very popular in Italy and in the United States around the 1980s, when it was offered to discotheque customers. The recipe thus became an icon of the fashionable cuisine of the time, which preferred the use of cream in first courses. Penne alla vodka remains popular in Italian-American cuisine.",https://en.wikipedia.org/wiki/Penne_alla_vodka
Japan,108,sushi,"Sushi (すし, 寿司, 鮨, 鮓, pronounced [sɯɕiꜜ] or [sɯꜜɕi]) is a Japanese dish of prepared vinegared rice (鮨飯, sushi-meshi), usually with some sugar and salt, accompanied by a  variety of ingredients (ねた, neta), such as seafood, often raw, and vegetables. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice,"" also referred to as shari (しゃり), or sumeshi (酢飯).The inventor of modern sushi is believed to be Hanaya Yohei, who invented nigiri-zushi, a type of sushi most known today, in which seafood is placed on hand-pressed vinegared rice, around 1824 in the Edo period (1603–1867). It was the fast food of the chōnin class in the Edo period.Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.
Sushi is sometimes confused with sashimi, a similar dish in Japanese cuisine that consists of thinly sliced raw fish or occasionally meat.",https://en.wikipedia.org/wiki/Sushi
Ireland,102,whisky,"Balmoral chicken is a popular Scottish dish featuring chicken breast stuffed with haggis, wrapped in bacon and served with a whisky or peppercorn sauce. Balmoral chicken is named after Balmoral castle in Aberdeenshire. As a dish featuring haggis it is a popular choice for a Burns supper, a national holiday to celebrate the life of poet Robert Burns.

",https://en.wikipedia.org/wiki/Balmoral_chicken
Germany,98,hamburger,"A hamburger, or simply burger, is a food consisting of fillings—usually a patty of ground meat, typically beef—placed inside a sliced bun or bread roll. Hamburgers are often served with cheese, lettuce, tomato, onion, pickles, bacon, or chilis; condiments such as ketchup, mustard, mayonnaise, relish, or a ""special sauce,"" often a variation of Thousand Island dressing; and are frequently placed on sesame seed buns. A hamburger patty topped with cheese is called a cheeseburger.The term burger can also be applied to the meat patty on its own, especially in the United Kingdom, where the term patty is rarely used or can even refer to ground beef. Since the term hamburger usually implies beef, for clarity burger may be prefixed with the type of meat or meat substitute used, as in beef burger, turkey burger, bison burger, portobello burger, or veggie burger. In Australia and New Zealand, a piece of chicken breast on a bun is known as a chicken burger, which would generally not be considered to be a burger in the United States; Americans would generally call it a chicken sandwich, but in Australian English and New Zealand English a sandwich requires sliced bread (not a bun), so it would not be considered a sandwich.Hamburgers are typically sold at fast-food restaurants, diners, and specialty and high-end restaurants. There are many international and regional variations of hamburgers.

",https://en.wikipedia.org/wiki/Hamburger
Belgium,85,French-fried potatoes,Fried potatoes are a dish or a component of other dishes (such as Bauernfrühstück) essentially consisting of potatoes  which have been fried or deep-fried in hot cooking oil often with the addition of salt and other seasonings. They are often served as a side dish.,https://en.wikipedia.org/wiki/Fried_potatoes
France,85,French-fried potatoes,Fried potatoes are a dish or a component of other dishes (such as Bauernfrühstück) essentially consisting of potatoes  which have been fried or deep-fried in hot cooking oil often with the addition of salt and other seasonings. They are often served as a side dish.,https://en.wikipedia.org/wiki/Fried_potatoes
Spain,78,cider,"Apple cider (also called sweet cider, soft cider, or simply cider) is the name used in the United States and Canada for an unfiltered, unsweetened, non-alcoholic beverage made from apples. Though typically referred to simply as ""cider"" in the United States, it is not to be confused with the alcoholic beverage known as cider in other places, which is called ""hard cider"" in the US. Outside of the United States and Canada, it is commonly referred to as cloudy apple juice to distinguish it from clearer, filtered apple juice and hard cider.
Fresh liquid cider is extracted from the whole apple itself, including the apple core, trimmings from apples, and oddly sized or shaped “imperfect” apples, or apple culls. Fresh cider is opaque due to fine apple particles in suspension and generally tangier than commercially cooked and filtered apple juice, but this depends somewhat on the variety of apples used. Cider is sometimes pasteurized or exposed to UV light to kill bacteria and extend its shelf life, but traditional raw untreated cider is still common. Some companies have begun adding preservatives and boiling cider, so that it can be shelf stable and stored without refrigeration. In either form, apple cider is seasonally produced in autumn. It is traditionally served throughout autumn on the Halloween, Thanksgiving, Christmas, and various New Year's Eve holidays, sometimes heated and mulled.",https://en.wikipedia.org/wiki/Apple_cider
Switzerland,71,absinthe,"An acquired taste is an appreciation for something unlikely to be enjoyed by a person who has not had substantial exposure to it. It is the opposite of innate taste, which is the appreciation for things that are enjoyable by most persons without prior exposure to them.",https://en.wikipedia.org/wiki/Acquired_taste
