0,1,2,3,4,5,6,7,8,
Afghanistan,4,Daily Afghanistan,http://www.wikidata.org/entity/Q3370273,wd:Q3370273,10745471,English-language newspaper of Afghanistan,"The Daily Afghanistan is one of the most popular of newspapers in Afghanistan. It covers national and international news with circulation of 4800. It is published by Afghanistan Group of Newspapers, an independent media group which also publishes The Daily Outlook Afghanistan, the largest English paper  in Afghanistan.",https://en.wikipedia.org/wiki/Daily_Afghanistan
Albania,13,Zëri i Popullit,http://www.wikidata.org/entity/Q26400,wd:Q26400,15865800,Albanian daily newspaper,"Zëri i Popullit (English: Voice of the People) is an Albanian online newspaper. It was the official press organ of the Party of Labour and, later, of the Socialist Party of Albania, but it later ceased print publication and became an independent online publication.",https://en.wikipedia.org/wiki/Z%C3%ABri_i_Popullit
Algeria,6,El Khabar,http://www.wikidata.org/entity/Q1324287,wd:Q1324287,8099848,periodical literature,"Elkhabar (Arabic: الخبر, lit. 'The News') is a daily newspaper in Algeria published seven days a week in the tabloid format. It is one of the most widely read Algerian newspapers.
El Khabar′s web service publishes selected news in Arabic and French, with a minor section in English, though often poorly translated.",https://en.wikipedia.org/wiki/El_Khabar
Andorra,3,Official Bulletin of the Principality of Andorra,http://www.wikidata.org/entity/Q8250524,wd:Q8250524,47418459,Government gazette of Andorra,"The Official Bulletin of the Principality of Andorra (BOPA; Catalan: Butlletí Oficial del Principat d'Andorra) is an official publication that by law must include all official documents issued by the government agencies of Andorra (municipalities, legislature, judicial system, etc...).  Typical documents include laws, regulations, administrative acts, and any other document that has a legal requirement to be published. The act of being published in the Official Bulletin validates and invests the documents with legal force. It was created on January 30, 1989, and is governed by four articles (A, B, C, D).",https://en.wikipedia.org/wiki/Official_Bulletin_of_the_Principality_of_Andorra
Angola,7,Jornal de Angola,http://www.wikidata.org/entity/Q1704026,wd:Q1704026,36603325,Angolan newspaper,"Jornal de Angola was the only daily newspaper in Angola until 2008 and after the independence of the country in 1975.
The newspaper's executive editor is Diogo Paixão. The organization uses wire feeds from ANGOP, Agence France-Presse, Reuters, EFE, and Prensa Latina. The newspaper is published in Luanda by Edições Novembro. In addition to the printed newspaper, it has an online edition.",https://en.wikipedia.org/wiki/Jornal_de_Angola
Antigua and Barbuda,1,Outlet,http://www.wikidata.org/entity/Q18392231,wd:Q18392231,42974156,Radical newspaper based in Antigua and Barbuda,"Outlet was a radical newspaper published from Saint John's, Antigua and Barbuda. Outlet was founded in 1968. The newspaper was edited by Tim Hector and James Knight. It functioned as a weekly organ of the Antigua Caribbean Liberation Movement (ACLM). For the ACLM the newspaper played a very important role. In its heyday Outlet claimed a circulation of around 5,000 copies, thus being the most widely read newspaper on Antigua. As of the early 1970s, Outlet and Standard (which appeared on irregular basis) were the sole opposition newspapers in the country.Outlet was outspoken against corruption in the country. It argued that the Vere Bird government was guilty of lax control of casino businesses, peddling passports to non-Antiguans, mismanaging foreign loans, and using Antigua and Barbuda to launder arms shipments to South Africa. Due to its criticisms, Outlet was often targeted by the government.In June 1978 Antigua Printing and Publishing Company ceased to print Outlet. The company claimed that the decision was motivated by fears that Outlet risked a libel lawsuit.In 1982 Outlet was pressured by the government to apply for a surety bond, following fresh criticism of government corruption in its articles. Then on 23 July 1982 around twenty police officers raided the Outlet office, seizing documents and mailing lists of subscribers. The police claimed that the seized materials were secret government documents and that the publishers would be charged under the Official Secrets Act (it later turned out that the documents were publications of UNESCO and documents from Barbados about the Space Research Corporation). The Commissioner of Police Edric Potter declared that publishing of Outlet would be banned as of 31 July 1982. On 26 July 1982, a break-in at the office occurred, and equipment worth 8,000 East Caribbean dollars was stolen. Copies of the 21 August 1982 issue of Outlet were seized by police. These events prompted the newspaper to bring the government in front of High Court, charging it with trying to deny the newspaper its ""constitutional right"" to publish. On 4 September 1982, the High Court ruled that Outlet was a legitimate newspaper with constitutional right to be published.In 1984 accusations of corruption and maladministration published by ACLM pressured the government to call fresh elections. In May 1985 Hector was charged with spreading 'false statements' about the government and the Commissioner of Police. In 1990 the Privy Council found the charges unconstitutional.The office the newspaper was targeted by arsonists, following a November 1998 article in Outlet charging the government with secretly having imported weaponry for half a million dollars. The attack on Outlet would affect the campaigning ahead of the 1999 general election.As of the early 2000s, the newspaper was published on Tuesdays and Thursdays.",https://en.wikipedia.org/wiki/Outlet_(Antigua_newspaper)
Argentina,29,Clarín,http://www.wikidata.org/entity/Q878108,wd:Q878108,2402129,Argentine newspaper,"Clarín (Spanish pronunciation: [klaˈɾin], meaning ""Bugle""), is the largest newspaper in Argentina and the second most circulated in the Spanish-speaking world. It was founded by Roberto Noble in 1945, published by the Clarín Group.For many years, its director was Ernestina Herrera de Noble, the founder's wife.Clarín is part of Periódicos Asociados Latinoamericanos (Latin American Newspaper Association), an organization of fourteen leading newspapers in South America.

",https://en.wikipedia.org/wiki/Clar%C3%ADn_(Argentine_newspaper)
Armenia,7,Aravot,http://www.wikidata.org/entity/Q13050928,wd:Q13050928,20148920,newspaper in Armenia,"Aravot (Armenian: «Առավոտ», ""Morning"") is a leading liberal and politically independent daily newspaper based in Yerevan, Armenia. It was founded in 1994. Its editor-in-chief is Aram Abrahamyan.",https://en.wikipedia.org/wiki/Aravot
Australia,32,The Sydney Morning Herald,http://www.wikidata.org/entity/Q390216,wd:Q390216,259082,Australian daily newspaper,"The Sydney Morning Herald (SMH) is a daily compact newspaper published in Sydney, New South Wales, Australia, and owned by Nine. Founded in 1831 as the Sydney Herald, the Herald is the oldest continuously published newspaper in Australia and claims to be the most widely-read masthead in the country. The newspaper is published in compact print form from Monday to Saturday as The Sydney Morning Herald and on Sunday as its sister newspaper, The Sun-Herald and digitally as an online site and app, seven days a week. It is considered a newspaper of record for Australia. The print edition of The Sydney Morning Herald is available for purchase from many retail outlets throughout the Sydney metropolitan area, most parts of regional New South Wales, the Australian Capital Territory and South East Queensland.",https://en.wikipedia.org/wiki/The_Sydney_Morning_Herald
Austria,22,Der Standard,http://www.wikidata.org/entity/Q128660,wd:Q128660,1145748,Austrian daily newspaper,"Der Standard (Austrian German: [deːɐ̯ ˈstandard]) is an Austrian daily newspaper published in Vienna.

",https://en.wikipedia.org/wiki/Der_Standard
