0,1,2,3,4
Afghanistan,41.0,Saur Revolution,"The Saur Revolution (pronounced like ""sour""; Dari: إنقلاب ثور or ۷ ثور (literally 7th Saur); Pashto: د ثور انقلاب), also romanized Sowr Revolution, and alternatively called the April Revolution or April Coup, was the process by which the People's Democratic Party of Afghanistan (PDPA) overthrew General Mohammed Daoud Khan on 27–28 April 1978, who had himself taken power in the 1973 Afghan coup d'état and established an autocratic one-party system in the country. Daoud Khan and most of his family were killed at the presidential palace by military officers in support of the PDPA. The revolution resulted in the creation of a Soviet-aligned government with Nur Muhammad Taraki as President (General Secretary of the Revolutionary Council). Saur or Sowr is the Dari (Persian) name of the second month of the Solar Hijri calendar, the month in which the uprising took place.The revolution was ordered by PDPA member Hafizullah Amin, who would become a significant figure in the revolutionary government; at a press conference in New York in June 1978, Amin claimed that the event was not a coup, but a revolution by the ""will of the people"". The coup involved heavy fighting and resulted in as many as 2,000 deaths, both military and civilian. The Saur Revolution was a significant event in Afghanistan's history, marking the onset of 43 years of conflict in the country.",https://en.wikipedia.org/wiki/Saur_Revolution
Albania,25.0,1997 rebellion in Albania,"The Albanian Civil War in 1997 was sparked by pyramid scheme failures in Albania soon after its transition to a market economy. The government was toppled and more than 2,000 people were killed. Various sources describe the violence that ensued as a rebellion, or a civil war, or a rebellion that gradually escalated into a civil war.
By January 1997, Albanian citizens, who had lost a total of $1.2 billion (an average of $400 per person countrywide), took their protest to the streets. Beginning in February, thousands of citizens launched daily protests demanding reimbursement by the government, which they believed was profiting from the schemes. On 1 March, Prime Minister Aleksandër Meksi resigned and on 2 March, President Sali Berisha declared a state of emergency.On 11 March the Socialist Party of Albania won a major victory when its leader, Bashkim Fino, was appointed prime minister. However, the transfer of power did not halt the unrest, and protests spread to northern Albania. Although the government quelled revolts in the north, the ability of the government and military to maintain order began to collapse, especially in the southern half of Albania, which fell under the control of rebels and criminal gangs.All major population centres were engulfed in demonstrations by 13 March and foreign countries began to evacuate their citizens. These evacuations included Operation Libelle, Operation Silver Wake and Operation Kosmas, by the German, American, and Greek militaries respectively. The United Nations Security Council, in Resolution 1101, authorised a force of 7,000 troops on 28 March to direct relief efforts and restore order in Albania. The UN feared the unrest would spread beyond Albania's borders and send refugees throughout Europe. On 15 April, a multi-national peacekeeping force launched Operation Alba which helped restore rule of law in the country by late July.After the unrest had ended, some of the weapons looted from Albanian army barracks and stockpiles were acquired by the Kosovo Liberation Army, with many making their way to the ensuing Kosovo War (1998–99).",https://en.wikipedia.org/wiki/Albanian_Civil_War
Algeria,20.0,1975 Algiers Agreement,"The 1975 Algiers Agreement (commonly known as the Algiers Accord, sometimes as the Algiers Declaration) was an agreement between Iran and Iraq to settle any disputes and conflicts concerning their common border (such as the Shatt al-Arab, known as Arvand Rud in Iran), and it served as basis for the bilateral treaties signed on 13 June and 26 December 1975. The agreement was intended to end disagreement between Iraq and Iran on their borders on the Shatt al-Arab waterway and in Khuzestan, but Iraq also wished to end the Kurdish rebellion. Less than six years after signing the treaty, on 17 September 1980, Iraq abrogated the treaty following a series of border clashes between the two countries and launched a full-scale invasion of Iran on 22 September 1980.
Friction continues on the border despite the treaty being binding under international law and its detailed boundary delimitation remaining in force since it was signed in 1975 and ratified in 1976 by both nations.",https://en.wikipedia.org/wiki/1975_Algiers_Agreement
Andorra,18.0,Andorra at the 2000 Summer Olympics,"Andorra competed at the 2000 Summer Olympics in Sydney, Australia.",https://en.wikipedia.org/wiki/Andorra_at_the_2000_Summer_Olympics
Angola,17.0,Cabinda Conflict,"The Cabinda War is an ongoing separatist insurgency, waged by the Front for the Liberation of the Enclave of Cabinda (FLEC) against the government of Angola. FLEC aims at the restoration of the self-proclaimed Republic of Cabinda, located within the borders of the Cabinda province of Angola.",https://en.wikipedia.org/wiki/Cabinda_War
Antigua & Barbuda,17.0,Antigua and Barbuda at the 2000 Summer Olympics,"Antigua and Barbuda competed at the 2000 Summer Olympics in Sydney, Australia.",https://en.wikipedia.org/wiki/Antigua_and_Barbuda_at_the_2000_Summer_Olympics
Argentina,33.0,1972 Andes flight disaster,"Uruguayan Air Force Flight 571, also known as Miracle Flight 571, was a chartered flight originating in Montevideo, Uruguay, bound for Santiago, Chile, that crashed high in the Andes mountains on 13 October 1972. The accident became known as the Andes flight disaster (Tragedia de los Andes) and the Miracle of the Andes (Milagro de los Andes).
While crossing the Andes during poor weather, the inexperienced co-pilot of the Fairchild FH-227D mistakenly believed they had reached Curicó, despite instrument readings that indicated otherwise. The aircraft began descending too early to reach Pudahuel Airport and struck a mountain, shearing off both wings and the tail section. The remaining portion of the fuselage slid down the mountain about 725 metres (2,379 ft) before striking ice and snow on a glacier. The flight was carrying 45 passengers and crew, including 19 members of the Old Christians Club rugby union team, along with their families, supporters, and friends.
The wreck was located at an elevation of 3,570 metres (11,710 ft) in the remote Andes of far western Argentina, just east of the border with Chile. Three crew members and eight passengers died immediately; several more died soon afterward due to the frigid temperatures and the severity of their injuries. Authorities flew over the crash site several times over the following days, searching for the aircraft, but could not see the white fuselage against the snow. Search efforts were canceled after eight days.During the following 72 days, the survivors suffered numerous hardships, including exposure, starvation, and an avalanche, and 13 more passengers died. Some resorted to cannibalism. As the weather improved with the Southern Hemisphere spring, two survivors, Nando Parrado and Roberto Canessa, climbed a 4,650-metre (15,260 ft) mountain peak without gear and hiked for 10 days into Chile to seek help, traveling 38 miles (61 km). On 23 December 1972, two months after the crash, the last of the 16 survivors were rescued.",https://en.wikipedia.org/wiki/Uruguayan_Air_Force_Flight_571
Armenia,44.0,1988 Spitak earthquake,"The 1988 Armenian earthquake, also known as the Spitak earthquake (Armenian: Սպիտակի երկրաշարժ, Spitaki yerkrasharj), occurred on December 7 at 11:41 local time with a surface wave magnitude of 6.8 and a maximum MSK intensity of X (Devastating). The shock occurred in the northern region of Armenia (then part of the Soviet Union) which is vulnerable to large and destructive earthquakes and is part of a larger active seismic belt that stretches from the Alps to the Himalayas. Activity in the area is associated with tectonic plate boundary interaction and the source of the event was slip on a thrust fault just to the north of Spitak. The complex incident ruptured multiple faults, with a strike-slip event occurring shortly after the initiation of the mainshock. Between 25,000 and 50,000 were killed and up to 130,000 were injured.
Seismologists thoroughly studied the effects of the Spitak event, including the mainshock and aftershock fault rupture mechanisms, and were on site setting up temporary seismometers before the end of 1988. Earthquake engineering experts scrutinized building construction styles and found fault in the poorly constructed apartments and other buildings that were built during the Era of Stagnation under the rule of Leonid Brezhnev. The cities of Spitak, Leninakan (Gyumri) and Kirovakan (Vanadzor) were greatly affected with large losses of life and devastating effects to buildings and other structures. A number of the smaller outlying villages away from the larger population centers were also severely affected.
Despite the tensions of the Cold War, Soviet leader Mikhail Gorbachev formally asked the United States for humanitarian help within a few days of the earthquake, the first such request since the late 1940s. One hundred and thirteen countries sent substantial amounts of humanitarian aid to the Soviet Union in the form of rescue equipment, search teams and medical supplies. Private donations and assistance from non-governmental organizations also had a large part of the international effort. While transporting some of these supplies to the region, a Soviet aircraft carrying 9 crew members and 69 military personnel, and a transport plane from Yugoslavia, were both destroyed in separate incidents. In support of the relief effort, recording artists united to produce several music-related contributions for the victims of the quake. A song was produced by a duo of French composers (including Charles Aznavour) and a studio album that featured songs donated by mainstream rock bands was released from the Rock Aid Armenia effort by the British music industry.",https://en.wikipedia.org/wiki/1988_Armenian_earthquake
Australia,36.0,2000 Summer Olympics medal table,"The 2000 Summer Olympics, officially known as the Games of the XXVII Olympiad, were a summer multi-sport event held in Sydney, New South Wales, Australia, from 15 September to 1 October 2000. A total of 10,651 athletes from 199 nations represented by National Olympic Committees (NOCs) (with four individual athletes from East Timor) competed in 300 events in 28 sports.Athletes from 80 countries won at least one medal. The United States won the most medals overall with 93, as well as the most gold (37) medals. Host nation Australia finished the Games with 58 medals overall (16 gold, 25 silver, and 17 bronze). Cameroon, Colombia, Latvia, Mozambique and Slovenia won a gold medal for the first time in their Olympic histories, while Vietnam, Barbados, Macedonia, Kuwait, Kyrgyzstan, and Saudi Arabia won their first ever Olympic medals.",https://en.wikipedia.org/wiki/2000_Summer_Olympics_medal_table
Austria,50.0,Vienna Convention on Diplomatic Relations,"The Vienna Convention on Diplomatic Relations of 1961 is an international treaty that defines a framework for diplomatic relations between independent countries. Its aim is to facilitate ""the development of friendly relations"" among governments through a uniform set of practices and principles; most notably, it codifies the longstanding custom of diplomatic immunity, in which diplomatic missions are granted privileges that enable diplomats to perform their functions without fear of coercion or harassment by the host country. The Vienna Convention is a cornerstone of modern international relations and international law and is almost universally ratified and observed; it is subsequently considered one of the most successful legal instruments drafted under the United Nations.

",https://en.wikipedia.org/wiki/Vienna_Convention_on_Diplomatic_Relations
Azerbaijan,52.0,Khojaly Massacre,"The Khojaly massacre was the mass killing  of Azerbaijanis — mostly civilians, but also armed troops — by local irregular Armenian forces and the 366th  Commonwealth of Independent States Guards Motor Rifle Regiment in the town of Khojaly on 26 February 1992.  It was one of the four events that defined the war in 1992, along with the Karabakh Armenian seizure of Shusha, the Karabakh Armenian capture of Lachin and the Lachin corridor between Nagorno-Karabakh and Armenia and the June 1992 Azerbaijani offensive against the Mardakert Province in Nagorno-Karabakh.Khojaly is a formerly Azerbaijani-populated town of some 6,300 people within the Nagorno-Karabakh Autonomous Oblast, it had the region's only airport in 1992. The town was subject to the mutual shelling and blockade by Armenian and Azerbaijani forces during the First Nagorno-Karabakh War. Without supply of electricity, gas, or water, it was defended by the local forces consisted of about 160 lightly armed men. The local Armenian and CIS forces  launched an offensive in early 1992, forcing almost the entire Azerbaijani population of the enclave to flee, and committing what was reported as ""unconscionable acts of violence against civilians"" as they were fleeing.On the night of 26 February 1992, the Armenian forces seized the town, taking prisoner or killing the civilians remaining in it. At the same time, a large number of Azerbaijani civilians, interspersed with armed troops, were trying to escape the town and moving towards the Azerbaijani-controlled territories. However, local Armenian forces fired upon the fleeing Azerbaijani refugees, resulting in hundreds of deaths.The massacre was one of the turning points in the First Nagorno-Karabakh War. The death toll claimed by the Azerbaijani authorities is 613 civilians, including 106 women and 63 children. According to Human Rights Watch, it resulted in death of at least 200 Azerbaijanis, though it is possible that as many as 500–1,000 may have died.",https://en.wikipedia.org/wiki/Khojaly_massacre
Bahrain,15.0,Bahrain at the 2000 Summer Olympics,"Bahrain sent a delegation to compete at the 2000 Summer Olympics in Sydney, Australia, which were held from 15 September to 1 October 2000. This was the fifth consecutive Summer Olympics the Kingdom took part in. The delegation consisted of four athletes: sprinter Mariam Mohamed Hadi Al Hilli, middle-distance runner Mohamed Saleh Naji Haidara and short-distance swimmers Dawood Yosuf Mohamed Jassim and Fatema Hameed Gerashi. Al Hilli and Gerashi's inclusion in the Bahraini delegation was the first time in history a Gulf Arab nation had sent female athletes to the Olympic Games. All four did not progress beyond the initial heats of their respective competitions. Bahrain's best performance came from Haidara and Jassim who placed seventh in the heats of the men's 800 metres and the men's 100 metres freestyle. Gerashi was disqualified for a false start in the women's 50 metres freestyle and Al Hilli came eighth in her heat in the women's 100 metres.",https://en.wikipedia.org/wiki/Bahrain_at_the_2000_Summer_Olympics
