0,1,2,3,4,5,6,7,8
Afghanistan,16,Rashid Khan,http://www.wikidata.org/entity/Q21621685,wd:Q21621685,48267567.0,Afghan cricketer,"Rashid Khan Arman (Pashto: راشد خان ارمان; born 20 September 1998) is an Afghan international cricketer and captain of the Afghanistan national team in T20I format. In franchise leagues, he plays for Gujarat Titans in the Indian Premier League (IPL), Adelaide Strikers in Australia's Big Bash League (BBL), Lahore Qalandars in the Pakistan Super League (PSL), and Band-e-Amir Dragons in Afghanistan's Shpageeza Cricket League. He bowls right-arm leg spin and bats right-handed.He was one of the eleven cricketers to play in Afghanistan's first ever Test match, against India, in June 2018. He returned the most expensive bowling figures by a debutant in a nation's maiden Test match. In September 2019, he led the team in the one-off Test against Bangladesh, and at the age of 20 years and 350 days, became the youngest cricketer to captain a Test match side.In June 2017, he took the best bowling figures for an associate nation in a One Day International (ODI) match. In February 2018, he became the youngest player to top the ICC Player Rankings for bowlers in ODIs. Later the same month, he also topped the ICC Player Rankings for bowlers in T20Is. In September 2018, he became the number one player in the ICC's all-rounder rankings, following his performance at the 2018 Asia Cup.In March 2018, during the 2018 Cricket World Cup Qualifier, he captained Afghanistan for the first time in an ODI match. At the age of 19 years and 165 days, he became the youngest player to captain an international side. In the final of the Cricket World Cup Qualifier, against the West Indies, Khan became the fastest and youngest bowler to take 100 wickets in ODIs when he dismissed Shai Hope. He took 44 matches to take his 100th dismissal, breaking the previous record of 52 matches, set by Mitchell Starc of Australia. In June 2018, he became the fastest bowler, in terms of time, to take 50 wickets in T20Is. He reached the milestone in two years and 220 days, in the first T20I against Bangladesh. In October 2021, he also became the fastest bowler, in terms of matches, to take 100 wickets in T20I cricket, in his 53rd match.In April 2019, the Afghanistan Cricket Board (ACB) named Khan as the team's new T20I captain, replacing Asghar Afghan. Khan was also appointed as the vice-captain of the ODI squad. In June 2019, during the 2019 Cricket World Cup, Khan played in his 100th international cricket match for Afghanistan. Following the World Cup, Khan was appointed as captain of the Afghanistan cricket team across all formats. However, in December 2019, the ACB reappointed Asghar Afghan as the captain of the Afghanistan cricket team across all formats. In December 2020, Khan was named the ICC Men's T20I Player of the Decade.By becoming a successful professional cricketer from a nation with no previous cricketing infrastructure, Khan created a path for others to do likewise, such as countrymen Mohammad Nabi and Mujeeb Ur Rahman, and Nepal's Sandeep Lamichhane.",https://en.wikipedia.org/wiki/Rashid_Khan
Albania,21,Marash Kumbulla,http://www.wikidata.org/entity/Q37282560,wd:Q37282560,54958197.0,Albanian association football player,"Marash Nikolin Kumbulla (born 8 February 2000) is an Albanian professional footballer who plays as a defender for Italian Serie A club Roma. Born in Italy, he represents the Albania national team.",https://en.wikipedia.org/wiki/Marash_Kumbulla
Algeria,24,Rayan Cherki,http://www.wikidata.org/entity/Q64736321,wd:Q64736321,62104208.0,French footballer,"Mathis Rayan Cherki (French pronunciation: ​[ʁajan ʃɛʁki]; Arabic: رايان شرقي; born 17 August 2003) is a French professional footballer who plays as attacking midfielder for Ligue 1 club Lyon.

",https://en.wikipedia.org/wiki/Rayan_Cherki
Andorra,12,Victoria Jiménez Kasintseva,http://www.wikidata.org/entity/Q67372349,wd:Q67372349,62993222.0,Andorran tennis player,"Victoria Jiménez Kasintseva (born 9 August 2005) is an Andorran tennis player. She won the 2020 Australian Open girls' singles title, defeating Weronika Baszak in the final. It was her junior Grand Slam debut, and she was the youngest player in the draw. She made her WTA Tour main-draw debut at the 2021 Madrid Open as a wildcard, also as the youngest and the first-ever player from Andorra to appear in a WTA tournament main draw, where she lost in the first round to Kiki Bertens. She recorded her first WTA main draw win at the 2022 Korea Open.
Jiménez Kasintseva has won nine singles titles on the ITF Junior Circuit, as well as one doubles title. She achieved a career-high ITF Junior ranking of No. 1, on 9 March 2020.
She began training with her father and coach in 2009, and admires fellow left-handers Rafael Nadal and Petra Kvitová.",https://en.wikipedia.org/wiki/Victoria_Jim%C3%A9nez_Kasintseva
Angola,54,Eduardo Camavinga,http://www.wikidata.org/entity/Q62960177,wd:Q62960177,60433163.0,French association football player,"Eduardo Celmi Camavinga (born 10 November 2002) is a French professional footballer who plays as a midfielder for La Liga club Real Madrid and the France national team.

",https://en.wikipedia.org/wiki/Eduardo_Camavinga
Antigua and Barbuda,5,Samantha Roberts,http://www.wikidata.org/entity/Q25419333,wd:Q25419333,51404898.0,Antiguan swimmer,"Samantha Roberts (born 21 April 2000) is an Antiguan swimmer. She competed in the women's 50 metre freestyle event at the 2016 Summer Olympics, where she ranked 57th with a time of 27.95 seconds. She did not advance to the semifinals. She was the youngest member of Antigua and Barbuda's 2016 Olympic team.She competed in the women's 50 metre freestyle event at the 2020 Summer Olympics.",https://en.wikipedia.org/wiki/Samantha_Roberts
Argentina,44,Julián Álvarez,http://www.wikidata.org/entity/Q59381180,wd:Q59381180,58930059.0,Argentinian association football player,"Julián Álvarez (born 31 January 2000) is an Argentine professional footballer who plays as a forward for Premier League club Manchester City and the Argentina national team. Nicknamed La Araña (""The Spider""), he is known for his pressing, dynamic scoring ability, and link-up play.

",https://en.wikipedia.org/wiki/Juli%C3%A1n_%C3%81lvarez_(footballer)
Armenia,28,Rosa Linn,http://www.wikidata.org/entity/Q111193171,wd:Q111193171,70053633.0,Armenian singer-songwriter and record producer,"Roza Kostandyan (Armenian: Ռոզա Կոստանդյան; born 20 May 2000), known professionally as Rosa Linn (Armenian: Ռոզա Լին), is an Armenian singer-songwriter. She started her career by getting signed by Nvak Collective and releasing her debut single ""King"" with Kiiara in 2021. In 2022, Linn represented her country in the Eurovision Song Contest 2022 in Turin, Italy with the song ""Snap"" and finished in 20th place. Following the contest, the song went viral on TikTok and charted globally; earning her a recording contract with Columbia Records.",https://en.wikipedia.org/wiki/Rosa_Linn
Australia,40,Tones and I,http://www.wikidata.org/entity/Q62887629,wd:Q62887629,60426038.0,"Australian singer, songwriter and record producer","Toni Watson, known professionally as Tones and I, is an Australian singer, songwriter, and record producer. Her breakout single, ""Dance Monkey"" (May 2019), reached number one in over 30 countries including Australia. In November 2019, it broke the ARIA record for the most weeks at number one on their singles chart (which commenced in mid-1983) by any artist with 16 weeks. In mid-January 2020, ""Dance Monkey""  ended its 24th and final week at number one, beating Bing Crosby's all-time Australian record for his version of ""White Christmas"", which spent an equivalent of 22 weeks at the top in 1943. ""Dance Monkey"" was certified 17× platinum by ARIA for shipments of over 1,190,000 units by mid-2022.
Tones was the most awarded artist at the ARIA Music Awards of 2019, winning four of eight nominations. She released her debut extended play, The Kids Are Coming, on 30 August 2019; it peaked at number three in Australia, and top 10 in several countries. Her debut album, Welcome to the Madhouse, was released via Bad Batch on 16 July 2021. It debuted at number one on the ARIA Albums Chart. The album's lead single ""Fly Away"" peaked at number four in Australia, number 11 in the UK and Denmark, and number 10 in Ireland.",https://en.wikipedia.org/wiki/Tones_and_I
Austria,31,Yusuf Demir,http://www.wikidata.org/entity/Q65552955,wd:Q65552955,62727065.0,Austrian association football player,Yusuf Demir (Turkish: [juˈsuf deˈmiɾ]; born 2 June 2003) is an Austrian professional footballer who plays as a winger for Turkish Süper Lig club Galatasaray and the Austria national team.,https://en.wikipedia.org/wiki/Yusuf_Demir
Azerbaijan,14,Gunay Mammadzada,http://www.wikidata.org/entity/Q18578182,wd:Q18578182,48315299.0,Azerbaijani chess player,"Gunay Vugar qizi Mammadzada (Azerbaijani: Günay Vüqar qızı Məmmədzadə; born June 19, 2000) is an Azerbaijani chess player who holds the titles of International Master (IM) and Woman Grandmaster (WGM) through the International Chess Federation (FIDE). She has been an under-10 girls' World Youth Champion, and both an under-8 and an under-14 girls' European Youth Champion. Mammadzada is a two-time Azerbaijani women's national champion, which she achieved in 2017 and 2019. She has represented Azerbaijan at the Chess Olympiad, the World Team Chess Championship, and the European Team Chess Championship, winning both team and individual bronze medals at the latter in 2019. Mammadzada has a peak FIDE rating of 2483 and has been ranked as high as No. 18 in the world among women.
Mammadzada began playing chess at five years old. After winning several medals at both the European Youth and World Youth Championships, she became the youngest Woman Grandmaster (WGM) in Azerbaijan history at 14 years old in 2014. She earned all of her norms for the International Master (IM) title by 2016 and was awarded the title in 2018 when she reached the required rating threshold of 2400. Among the highest-rated players she has defeated are Abhijeet Gupta with a rating of 2614 and Koneru Humpy, one of the leading female players, with a rating of 2577.",https://en.wikipedia.org/wiki/Gunay_Mammadzada
Bahrain,16,Hala Al Turk,http://www.wikidata.org/entity/Q12208559,wd:Q12208559,38242080.0,pop singer,"Hala Al Turk (Arabic: حلا الترك; born May 15, 2002) is a Jordanian-Syrian Bahraini singer. She become known for being a contestant on Arabs Got Talent in 2011. Al Turk then released many singles, including ""Bnayty El Habooba (2011)"" featuring singer Mashael, for which she become a popular child singer. ""Happy Happy"" released in 2013 is the first Arabic music video to cross 100 million views. She subsequently signed to Platinum Records and released other singles. In early 2015, she moved to her father's company, AlTurk Productions.",https://en.wikipedia.org/wiki/Hala_Al_Turk
Bangladesh,14,Sara Hossain,http://www.wikidata.org/entity/Q24060971,wd:Q24060971,50406739.0,Barrister at the Supreme Court of Bangladesh,"Sara Hossain is a leading Bangladeshi lawyer. She is a barrister in the Supreme Court of Bangladesh. Hossain is the honorary executive director of the Bangladesh Legal Aid and Services Trust (BLAST), a major legal aid provider. Hossain has been at the forefront of advocating for women's rights in Bangladeshi courts and played a key role in drafting legal reforms to protect women. She was the plaintiff's lawyer in the landmark case of Bangladesh National Women Lawyers Association (BNWLW) v. Bangladesh, in which the Supreme Court supported the judicial practice of referring to international human rights law in the absence of domestic legislation. She is known for her role in challenging fatwa violence when a fatwa is issued to mete out punishment to women and girls. Hossain co-edited 'Honour': Crimes, Paradigms and Violence Against Women with Lynn Welchman.
Hossain was awarded the International Women of Courage Award in 2016 by the United States Secretary of State.",https://en.wikipedia.org/wiki/Sara_Hossain
Barbados,12,Zane Maloney,http://www.wikidata.org/entity/Q86923950,wd:Q86923950,63265308.0,Barbadian racing driver,"Zane Maloney (born 2 October 2003) is a Barbadian racing driver who is set to compete in the 2023 FIA Formula 2 Championship for Carlin. He was the 2019 British F4 champion and finished as runner-up in the 2022 FIA Formula 3 Championship, racing for Trident. In December 2022, it was announced he was joining the Red Bull Junior Team and will be a reserve driver for the Red Bull team in 2023.",https://en.wikipedia.org/wiki/Zane_Maloney
Belarus,35,Zinaida Kupriyanovich,http://www.wikidata.org/entity/Q23039005,wd:Q23039005,60167198.0,"Belarusian singer, actress and television presenter","Zinaida Alexandrovna Kupriyanovich (born 17 September 2002), sometimes known professionally as Zina Kupriyanovich or Zena (stylized as ZENA), and now known as Zina Bless, is a Belarusian singer, actress, and television presenter. Kupriyanovich represented Belarus in the Eurovision Song Contest 2019 with the song ""Like It"", placing 24th in the final. She has additionally cohosted the Junior Eurovision Song Contest 2018 in Minsk, and voiced the Russian dub of the eponymous character in the film Moana (2016).",https://en.wikipedia.org/wiki/Zinaida_Kupriyanovich
Belgium,42,"Princess Elisabeth, Duchess of Brabant",http://www.wikidata.org/entity/Q830697,wd:Q830697,1769364.0,Belgian princess and heir apparent,"Princess Elisabeth, Duchess of Brabant (Dutch: Elisabeth Theresia Maria Helena; French: Élisabeth Thérèse Marie Hélène; born 25 October 2001) is the heir apparent to the Belgian throne. The eldest child of King Philippe and Queen Mathilde, she acquired her position after her grandfather King Albert II abdicated in favour of her father on 21 July 2013.","https://en.wikipedia.org/wiki/Princess_Elisabeth,_Duchess_of_Brabant"
Belize,13,Janet Gibson,http://www.wikidata.org/entity/Q6153359,wd:Q6153359,22746194.0,Belizean biologist,"Janet Patricia Gibson is a biologist and zoologist from Belize. She was awarded the Goldman Environmental Prize in 1990 for her efforts on conservation of the marine ecosystems along the Belizean coast, in particular the barrier reef system. The Belize Barrier Reef was granted UNESCO World Heritage status in 1996, through efforts of Gibson and others. She is the current director of the Belize Wildlife Conservation Society.",https://en.wikipedia.org/wiki/Janet_Gibson
Benin,12,Frédéric Dohou,http://www.wikidata.org/entity/Q556547,wd:Q556547,5543475.0,Beninese politician,"Frédéric Dohou (born 1961) is a political figure from Benin.
He holds a PhD in Development Economics (1986) and he held several ministerial posts under the chairmanship of Mathieu Kérékou.
Founder of the University of Science and Technology of Benin, it is currently the chairman of the board of the Network of Universities of Science and Technology of the Countries of Africa south of the Sahara (RUSTA).",https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Dohou
Bhutan,26,Jigme Namgyel Wangchuck,http://www.wikidata.org/entity/Q22985938,wd:Q22985938,49521700.0,elder son of King Jigme Khesar Namgyel Wangchuck of Bhutan and Queen Ashi Jetsun Pema,"Jigme Namgyel Wangchuck (Dzongkha: འཇིགས་མེད་རྣམ་རྒྱལ་དབང་ཕྱུག་, Wylie: jigs med rnam rgyal dbang phyug; born 5 February 2016) is the first child and heir apparent of King Jigme Khesar Namgyel Wangchuck of Bhutan and his wife, Queen Jetsun Pema. He has been the Crown Prince of Bhutan since his birth in 2016. His name was announced on 16 April 2016. Prior to the announcement, he was known only as The Gyalsey, which means ""prince"". Before his birth, his paternal uncle Prince Jigyel Ugyen of Bhutan was the heir presumptive to the throne. In honor of his birth, 108,000 trees were planted by thousands of volunteers in Bhutan. In 2017, in honor of his first birthday, a new damselfly species was named after the crown prince, Megalestes gyalsey. He is expected to become the sixth Druk Gyalpo (King of Bhutan).
He has a younger brother, Prince Dasho Jigme Ugyen Wangchuck. He is the youngest Crown Prince in the world.",https://en.wikipedia.org/wiki/Jigme_Namgyel_Wangchuck
Bolivia,9,Jairo Quinteros,http://www.wikidata.org/entity/Q60841947,wd:Q60841947,64937782.0,Bolivian footballer,"Jairo Quinteros Sierra (born 7 February 2001) is a Bolivian professional footballer who plays as a defender for Segunda División club Real Zaragoza and the Bolivia national team.

",https://en.wikipedia.org/wiki/Jairo_Quinteros
Bosnia and Herzegovina,22,Josip Šutalo,http://www.wikidata.org/entity/Q98592909,wd:Q98592909,69598324.0,Croation footballer,Josip Šutalo (born 28 February 2000) is a Croatian professional footballer currently playing as a defender for Prva HNL club Dinamo Zagreb and the Croatia national team.,https://en.wikipedia.org/wiki/Josip_%C5%A0utalo
Botswana,16,Letsile Tebogo,http://www.wikidata.org/entity/Q106832000,wd:Q106832000,68522686.0,Botswana sprinter,"Letsile Tebogo (born 7 June 2003) is a Botswana sprinter. He won the gold medal in the 100 metres and a silver in the 200 metres at both the 2021 and 2022 World Athletics Under-20 Championships. In 2021, Tebogo became the first Botswana athlete to take the 100 m title at the World Championship level. He is the 200 m 2022 African champion, becoming the youngest winner of this title in competition history.
Tebogo holds current world U20 and Botswana national record in the 100 m. He was the first man from Botswana to break 10 seconds at the event.",https://en.wikipedia.org/wiki/Letsile_Tebogo
Brazil,59,Vinícius Júnior works at theater,http://www.wikidata.org/entity/Q28973866,wd:Q28973866,53991642.0,"payaso y llorón ,clown and crybaby","Vinícius José Paixão de Oliveira Júnior (born 12 July 2000), commonly known as Vinícius Júnior or Vini Jr. (Brazilian Portuguese: [viˈnisjus ˈʒũɲoʁ]), is a Brazilian professional footballer who plays as a winger for La Liga club Real Madrid and the Brazil national team. Considered one of the best wingers in the world, he is known for his dribbling skills, high pace and playmaking.Born in São Gonçalo, Vinícius began his professional career at Flamengo, where he made his senior debut in 2017, at age 16. A few weeks later, Vinícius was the subject of a transfer to La Liga club Real Madrid, for whom he signed for in a £38 million deal, which was a national record for an U-18 player. The transfer was made effective after his 18th birthday, with Vinícius debuting for the club in 2018–19. By his fourth season, Vinícius had established himself as a prominent member in Real Madrid's squad, helping the club win the 2021–22 La Liga title and scoring the winning goal in Real Madrid's 2022 UEFA Champions League final win.

",https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior
Brunei,8,Abdul Muntaqim,http://www.wikidata.org/entity/Q4665575,wd:Q4665575,10229681.0,Bruneian royalty,"Prince 'Abdul Muntaqim (Malay: 'Abdul Muntaqim ibni Al-Muhtadee Billah; born 17 March 2007) is the oldest child and first son of Al-Muhtadee Billah, heir to the Sultan of Brunei, and his wife, Sarah, Crown Princess of Brunei. He has a younger sister, Princess Muneerah Madhul, who was born in 2011. The Prince is second-in-line to become Sultan of Brunei after his father Al-Muhtadee Billah. His father is heir to Abdul Muntaqim's grandfather Sultan Haji Hassanal Bolkiah of Brunei.

",https://en.wikipedia.org/wiki/Abdul_Muntaqim
Bulgaria,41,Kristian Kostov,http://www.wikidata.org/entity/Q21932286,wd:Q21932286,48306623.0,Bulgarian-Russian singer-songwriter and model,"Kristian Konstantinov Kostov (Bulgarian and Russian: Кристиан Константинов Костов; born 15 March 2000) is a Bulgarian-Russian singer. He was a finalist in season one of The Voice Kids Russia and a runner-up in the fourth season of X Factor Bulgaria. He represented Bulgaria in the Eurovision Song Contest 2017 with the song ""Beautiful Mess"", finishing in second place. In January 2018, Kostov won the EBBA Public Choice award. In January 2019, he was one of seven singers who performed in the seventh season of Singer (previously I Am a Singer).",https://en.wikipedia.org/wiki/Kristian_Kostov
Burkina Faso,24,Lassina Traoré,http://www.wikidata.org/entity/Q47015355,wd:Q47015355,56201513.0,Burkinabé footballer,Lassina Chamste Soudine Franck Traoré (born 12 January 2001) is a Burkinabé professional footballer who plays as a forward for Ukrainian Premier League club Shakhtar Donetsk and the Burkina Faso national team.,https://en.wikipedia.org/wiki/Lassina_Traor%C3%A9
Burundi,7,Mohamed Amissi,http://www.wikidata.org/entity/Q64617347,wd:Q64617347,61042904.0,Burundian association football player,"Mohamed Amissi (born 3 August 2000) is a professional footballer who plays as a winger. Born in Belgium, he represents the Burundi national team.",https://en.wikipedia.org/wiki/Mohamed_Amissi
Cambodia,6,Norodom Jenna,http://www.wikidata.org/entity/Q106729150,wd:Q106729150,67583591.0,princess of Cambodia,"Jenna Norodom (Khmer: នរោត្តម ជេនណា, Nôroŭttâm Chénna  [nɔroːɗɑm ceːnnaː]; born 11 March 2012) is a Cambodian princess & a member of the Cambodian royal family. She is the grandniece of King Norodom Sihamoni, the second daughter of Norodom Bupphary and great granddaughter of the former King Norodom Sihanouk. She is affectionately known as Princess Jenna. Jenna is also an actress, singer, dancer, model, and Cellcard's Royal Brand Ambassador.",https://en.wikipedia.org/wiki/Norodom_Jenna
Cameroon,32,Youssoufa Moukoko,http://www.wikidata.org/entity/Q41896054,wd:Q41896054,62898256.0,German association football player,Youssoufa Moukoko (born 20 November 2004) is a German professional footballer who plays as a striker for Bundesliga club Borussia Dortmund and the Germany national team. He is known for his scoring ability at younger age levels.,https://en.wikipedia.org/wiki/Youssoufa_Moukoko
Canada,50,Alphonso Davies,http://www.wikidata.org/entity/Q23540953,wd:Q23540953,49538223.0,Canadian association football player,"Alphonso Boyle Davies (born November 2, 2000) is a Canadian professional soccer player who plays as a left-back or winger for Bundesliga club Bayern Munich and the Canada national team. He is regarded as one of the best full-backs in the world due to his pace, dribbling and creativity.Davies was the first player born in the 2000s to play in a Major League Soccer match. He joined Bayern in January 2019 from MLS side Vancouver Whitecaps FC on a contract lasting until 2023 for a then-record MLS transfer fee. Davies was named the Bundesliga Rookie of the Season for 2019–20. In that season he also was part of the team winning the continental treble after Bayern won the Bundesliga, the UEFA Champions League and the DFB-Pokal.
In June 2017, Davies became the youngest player to appear for the Canadian men's national team. By scoring two goals in a 2017 CONCACAF Gold Cup match against French Guiana, he became the youngest player to score for the Canadian men's national team, the youngest to score at the CONCACAF Gold Cup, and first player born in the 2000s to score at a top level international tournament. He would go on to be named the 2021 CONCACAF Men's Player of the Year. He was called up to play in the 2022 FIFA World Cup, where he scored Canada's first ever World Cup goal. He is widely considered both the best player on and the face of the Canadian men's national team.Davies is the first soccer player, and first Canadian, to become an ambassador for the United Nations refugee agency, UNHCR.

",https://en.wikipedia.org/wiki/Alphonso_Davies
Cape Verde,11,Kenny Rocha Santos,http://www.wikidata.org/entity/Q28970917,wd:Q28970917,53534007.0,Cape Verdean association football player,Kenny Rocha Santos (born 3 January 2000) is a Cape Verdean professional footballer who plays as a midfielder for Belgian First Division A club Oostende.,https://en.wikipedia.org/wiki/Kenny_Rocha_Santos
Central African Republic,9,Chloe Sauvourel,http://www.wikidata.org/entity/Q26459660,wd:Q26459660,51376824.0,Central African swimmer,Chloé Marie Helene Sauvourel (born 18 June 2000) is a French-born Central African swimmer. She competed at the 2016 Summer Olympics in the women's 50 metre freestyle event; her time of 37.15 seconds in the heats did not qualify her for the semifinals. She was the flagbearer for her country at the Parade of Nations.,https://en.wikipedia.org/wiki/Chloe_Sauvourel
Chad,12,Sister Aïda Yazbeck,http://www.wikidata.org/entity/Q105761174,wd:Q105761174,67060475.0,Chadian nun,"Sister Aïda Yazbeck is a Catholic nun who is the Director of the Al-Mouna Cultural Center in N'Djaména, Chad. Her work focuses on educating international and domestic groups as well as NGOs about conflicts between different groups in Chad. By training people in conflict resolution, Sister Yazbeck's organization seeks to promote respect among culturally different groups and foster peace in all aspects of life.",https://en.wikipedia.org/wiki/A%C3%AFda_Yazbeck
Chile,24,Xiye Bastida,http://www.wikidata.org/entity/Q81646058,wd:Q81646058,61899597.0,Mexican-Chilean climate activist and member of the indigenous Mexican Otomi-Toltec nation,"Xiye Bastida Patrick (born 18 April 2002) is a Mexican climate activist and member of the Indigenous Otomi community. She is one of the major organizers of Fridays for Future New York City and has been a leading voice for indigenous and immigrant visibility in climate activism. She is on the administration committee of the People's Climate Movement and a former member of Sunrise Movement and Extinction Rebellion. She cofounded Re-Earth Initiative, an international nonprofit organization that is inclusive and intersectional “just as the climate movement should be.”",https://en.wikipedia.org/wiki/Xiye_Bastida
Colombia,30,Manuel Turizo,http://www.wikidata.org/entity/Q38460106,wd:Q38460106,55072660.0,Colombian singer and songwriter,"Manuel Turizo Zapata, better known as Manuel Turizo and by the acronym MTZ, is a Colombian singer. Born and raised in Montería, he started making music at 13. He first became popular with his song ""Una Lady Como Tú"" (2016). He made his debut album ADN on August 23, 2019. Turizo's music contains influences from pop music, trap, and vallenato and his vocal range has been classified as baritone. His most well known song is his 2022 single ""La Bachata"".",https://en.wikipedia.org/wiki/Manuel_Turizo
Comoros,10,Haribon Chebani,http://www.wikidata.org/entity/Q889112,wd:Q889112,8996584.0,Comorian politician; president for a day,"Haribou Chebani was chief of the Supreme Court of the Comoros in the 1980s. Although Said Mohamed Djohar had already become head of the Supreme Court in 1988, initial reports after the 1989 assassination of President Ahmed Abdallah suggested, apparently based on outdated information, that Chebani would succeed as head of state. Later reports correctly indicated that it was Djohar, yet the contradictory information led to a false synthesis in a Library of Congress country study that the coup leaders ousted Chebani.",https://en.wikipedia.org/wiki/Haribou_Chebani
Costa Rica,18,Jewison Bennette,http://www.wikidata.org/entity/Q108205209,wd:Q108205209,69799615.0,Costa Rican footballer,"Jewison Francisco Bennette Villegas (born 15 June 2004) is a Costa Rican professional footballer who plays as a left winger for Sunderland and the Costa Rica national team.

",https://en.wikipedia.org/wiki/Jewison_Bennette
Croatia,36,Joško Gvardiol,http://www.wikidata.org/entity/Q73400656,wd:Q73400656,62235661.0,Croatian football player,"Joško Gvardiol (Croatian pronunciation: [jôʃko ɡʋârdioːl]; born 23 January 2002) is a Croatian professional footballer who plays as a defender for Bundesliga club RB Leipzig and the Croatia national team. Gvardiol plays as a centre-back, though he has often been utilized as a left-back.

",https://en.wikipedia.org/wiki/Jo%C5%A1ko_Gvardiol
Cuba,12,Malu Trevejo,http://www.wikidata.org/entity/Q41671678,wd:Q41671678,55307073.0,Cuban-American dancer and singer-songwriter,"María Luisa ""Malu"" Trevejo (, born October 15, 2002) is a Cuban-Spanish singer. She became famous for her videos on the video sharing app Musical.ly. She is now also an Instagram personality with more than 10 million followers. On September 22, 2017, she released her debut single, ""Luna Llena"" with In-Tu Linea and Universal Music Latin. It has acquired over 100 million views on her YouTube channel as of November 2019. Not long after, she released another single ""En Mi Mente"" which has surpassed 10 million views.",https://en.wikipedia.org/wiki/Malu_Trevejo
Cyprus,11,Stelios Constantas,http://www.wikidata.org/entity/Q320254,wd:Q320254,324159.0,Cypriot musician,"Stylianos (Stelios) Constantas (Greek: Στέλιος Κωνσταντάς) is a Greek Cypriot singer. He participated in two Cypriot national finals for the Eurovision Song Contest, coming second in 1997 with I grammitis ntropi, and fourth in 1999 with Methysmeno feggari. In 2003, he performed the song ""Feeling Alive"" as the Cypriot entry for the Eurovision Song Contest, finishing 20th in the competition. He has released one album and a single through V2 Records.
Constantas was born in Larnaca. In 2002, he moved to Greece with his wife and three children.",https://en.wikipedia.org/wiki/Stelios_Constantas
Czech Republic,28,Adam Hložek,http://www.wikidata.org/entity/Q59782306,wd:Q59782306,59399867.0,Czech association football player,Adam Hložek (born 25 July 2002) is a Czech professional footballer who plays as a forward for Bundesliga club Bayer Leverkusen and the Czech Republic national team.,https://en.wikipedia.org/wiki/Adam_Hlo%C5%BEek
Democratic Republic of the Congo,16,Jonathan Kuminga,http://www.wikidata.org/entity/Q66391607,wd:Q66391607,61489321.0,Congolese basketball player,"Jonathan Malangu Kuminga (born October 6, 2002) is a Congolese professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). A consensus five-star recruit and the top small forward in the 2021 class, he chose to forgo his college eligibility and reclassify to the 2020 class to join the NBA G League Ignite. Kuminga finished his high school career at The Patrick School in Hillside, New Jersey.
The Warriors selected Kuminga with the seventh overall pick in the 2021 NBA draft. During his rookie season, he won an NBA championship with the team.",https://en.wikipedia.org/wiki/Jonathan_Kuminga
Denmark,37,Prince Christian of Denmark,http://www.wikidata.org/entity/Q160495,wd:Q160495,2915346.0,"eldest child of Frederik, Crown Prince of Denmark, and Mary, Crown Princess of Denmark","Prince Christian of Denmark, Count of Monpezat (Christian Valdemar Henri John; born 15 October 2005) is a member of the Danish royal family. He is the eldest child of Crown Prince Frederik and Crown Princess Mary. A grandson of Queen Margrethe II, he has been second in the line of succession to the Danish throne since birth, after his father.",https://en.wikipedia.org/wiki/Prince_Christian_of_Denmark
Djibouti,2,Sabri Ali,http://www.wikidata.org/entity/Q107616038,wd:Q107616038,68296355.0,Djiboutian association football player,Sabri Ali (born 20 September 2000) is a Djiboutian footballer who plays as a forward for Djibouti Premier League club FC Dikhil and the Djibouti national team.,https://en.wikipedia.org/wiki/Sabri_Ali
Dominica,7,Francine Baron,http://www.wikidata.org/entity/Q16937370,wd:Q16937370,48519323.0,Dominica politician,"Francine Baron is a Dominican politician, attorney, and the Minister of Foreign and CARICOM Affairs from 2014 to 2019. She previously served as Attorney General of Dominica from 2007 to 15 October 2010 (becoming the first woman in the position) and High Commissioner for Dominica to the UK from 31 August 2012 to December 2014. She is the child of Dominica's first Chief Minister Frank Baron who served as Chief Minister from 1960 to 1961. Her grandfather, A. A. Baron served on the Legislative Council from 1925 into the 1930s.",https://en.wikipedia.org/wiki/Francine_Baron
