0,1,2,3,4,5,6,7,8
Afghanistan,22,Aryana Sayeed,http://www.wikidata.org/entity/Q10944745,wd:Q10944745,40353524.0,afghan singer,"Aryana Sayeed (Dari/Pashto: آريانا سعيد, born 1985) is an Afghan pop singer and songwriter. She sings mostly in Dari but also has many songs in Pashto and some in Uzbek. Sayeed also had hosting roles in musical television shows for the 1TV and TOLO networks along with appearances on reality shows. Sayeed has established herself as one of Afghanistan's most famous contemporary musical artists, performing regularly in concerts and philanthropic festivals within and outside Afghanistan. 

",https://en.wikipedia.org/wiki/Aryana_Sayeed
Albania,93,Dua Lipa,http://www.wikidata.org/entity/Q21914464,wd:Q21914464,49002318.0,English and Albanian singer and songwriter,"Dua Lipa ( (listen) DOO-ə LEE-pə, Albanian: [ˈdua ˈlipa]; born (1995-08-22)22 August 1995) is a British and Albanian  singer and songwriter. Possessing a mezzo-soprano vocal range, she is known for her signature disco-pop sound. Lipa has received numerous accolades, including six Brit Awards, three Grammy Awards, two MTV Europe Music Awards, an MTV Video Music Award, two Billboard Music Awards, an American Music Award, and two Guinness World Records. ""No Lie"" and ""New Rules"", each have over 1 billion views on YouTube, with ""New Rules"" having reached over 2.8 billion views.
After working as a model, she signed with Warner Bros. Records in 2014 and released her eponymous debut album in 2017. The album peaked at number three on the UK Albums Chart and yielded eight singles, including ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"", which also peaked at number six in the US. The album has been certified platinum in numerous countries worldwide and won Lipa the Brit Awards for British Female Solo Artist and British Breakthrough Act in 2018.
Her 2018 single ""One Kiss"" peaked at number one in the UK and became the year's longest-running number-one single by a female artist, winning the 2019 Brit Award for Song of the Year. In 2019, she won the Grammy Award for Best New Artist, as well as the Grammy Award for Best Dance Recording for her Silk City collaboration ""Electricity"". Later that year, Lipa released ""Don't Start Now"" as the lead single from her second studio album, Future Nostalgia (2020). Reaching number two in the UK and US, and number four on the US year-end chart, it was the most commercially successful song by a female artist in the US in 2020. Its follow-up singles ""Physical"", ""Break My Heart"", and ""Levitating"" also charted in the top ten, with the lattermost reaching number one on the US year-end chart in 2021.
Future Nostalgia received critical acclaim and earned six Grammy nominations—including Album of the Year, Record of the Year and Song of the Year—and became her first UK number-one album. The album helped Lipa win British Female Solo Artist and British Album of the Year at the 2021 Brit Awards. She was included on the Time 100 Next list in 2021.",https://en.wikipedia.org/wiki/Dua_Lipa
Algeria,46,Khaled,http://www.wikidata.org/entity/Q312609,wd:Q312609,30873028.0,Algerian raï musician,"Khaled Hadj Ibrahim (Arabic: خالد حاج إبراهيم, [ˈxaːled ħaːd͡ʒ ɪbraːˈhiːm]; born 29 February 1960), better known by his mononym Khaled (Arabic: خالد), is an Algerian raï singer, musician and songwriter. He began recording in his early teens under the name Cheb Khaled (الشاب خالد, Arabic for ""Young"" Khaled, with ""Cheb"" as a common title for male Raï singers).
Khaled is one of the most important musicians in the history of Raï music in his native Algeria and is one the world's best-known Arab singers. To date, Khaled has sold over 80.5 million albums (10 diamond, platinum, and gold) worldwide, making him one of the bestselling Arabic-language singers in history. Among his most famous songs are ""Aïcha"", ""Didi"", ""El Arbi"", ""Abdel Kader"", ""La Poupée qui fait non"", ""Wahran Wahran"", ""Bakhta"", ""C'est la vie"", and ""Alech Taadi"".He holds the Guinness World Record for Best-selling artist of raï music.",https://en.wikipedia.org/wiki/Khaled_(musician)
Andorra,27,Susanne Georgi,http://www.wikidata.org/entity/Q236034,wd:Q236034,10936764.0,Danish singer,"Susanne Georgi Nielsen (born 27 July 1976 in Sjølund), commonly known as Susanne Georgi, is a Danish singer who lives and works in Andorra and represented the country in the Eurovision Song Contest 2009.",https://en.wikipedia.org/wiki/Susanne_Georgi
Angola,18,Pedro Fernando,http://www.wikidata.org/entity/Q30201990,wd:Q30201990,,,--,--
Antigua and Barbuda,8,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280.0,actor and calypso singer (1924-2003),"Vivian Bonnell (born Enid Mosier, May 23, 1924 – November 18, 2003) was an actress and calypso singer, originally from Antigua, British West Indies. In 1954, she starred opposite Pearl Bailey in the Broadway musical House of Flowers. She and her fellow cast members recorded calypso albums as ""Enid Mosier and her Trinidad Steel Band"". She later married one of those performers, Austin Stoker.After changing her name, Bonnell went on to appear in a number of films and television shows, including several American TV movies. She died of complications from diabetes in Los Angeles on November 18, 2003, at the age of 79.",https://en.wikipedia.org/wiki/Vivian_Bonnell
Argentina,59,Carlos Gardel,http://www.wikidata.org/entity/Q229613,wd:Q229613,252092.0,"Argentinian singer, songwriter, actor; the most prominent figure in the history of tango","Carlos Gardel (born Charles Romuald Gardès; 11 December 1890 – 24 June 1935) was a French-born Argentine singer, songwriter, composer and actor, and the most prominent figure in the history of tango. He was one of the most influential interpreters of world popular music in the first half of the 20th century. Gardel is the most famous popular tango singer of all time and is recognized throughout the world.  He was notable for his baritone voice and the dramatic phrasing of his lyrics. Together with lyricist and long-time collaborator Alfredo Le Pera, Gardel wrote several classic tangos.
Gardel died in an airplane crash at the height of his career, becoming an archetypal tragic hero mourned throughout Latin America. For many, Gardel embodies the soul of the tango style. He is commonly referred to as ""Carlitos"", ""El Zorzal"" (""The Song thrush""), ""The King of Tango"", ""El Mago"" (The Wizard), ""El Morocho del Abasto"" (The Brunette boy from Abasto), and ironically ""El Mudo"" (The Mute).
In 1967, a controversial theory was published by Uruguayan writer Erasmo Silva Cabrera, asserting that Gardel was born in Tacuarembó, Uruguay. Other authors expanded upon this theory, and a museum to Gardel was established in Tacuarembó. But Gardel's friends and family all knew him as a French immigrant from Toulouse. Scholarly researchers analyzed the contradictory evidence, especially French birth and baptismal records, and confirmed his birthplace as Toulouse.

",https://en.wikipedia.org/wiki/Carlos_Gardel
Armenia,95,Charles Aznavour,http://www.wikidata.org/entity/Q1785,wd:Q1785,91345.0,Armenian-French singer and diplomat,"Charles Aznavour ( AZ-nə-VOOR, French: [ʃaʁl aznavuʁ]; born Shahnour Vaghinag Aznavourian, Armenian: Շահնուր Վաղինակ Ազնավուրեան, Shahnur Vaghinak Aznavuryan; 22 May 1924 – 1 October 2018) was a French-Armenian singer, lyricist, actor and diplomat. Aznavour was known for his distinctive vibrato tenor voice: clear and ringing in its upper reaches, with gravelly and profound low notes. In a career as a composer, singer and songwriter, spanning over 70 years, he recorded more than 1,200 songs interpreted in 9 languages. Moreover, he wrote or co-wrote more than 1,000 songs for himself and others. Aznavour is regarded as one of the greatest songwriters of all time and an icon of 20th-century pop culture.One of France's most popular and enduring singers, he was dubbed France's Frank Sinatra, while music critic Stephen Holden described Aznavour as a ""French pop deity"". He was also arguably the most famous Armenian of his time. In 1998, Aznavour was named Entertainer of the Century by CNN and users of Time Online from around the globe. He was recognized as the century's outstanding performer, with nearly 18% of the total vote, edging out Elvis Presley and Bob Dylan. Jean Cocteau once said: ""Before Aznavour despair was unpopular"".Aznavour sang for presidents, popes and royalty, as well as at humanitarian events. In response to the 1988 Armenian earthquake, he founded the charitable organization Aznavour for Armenia along with his long-time friend impresario Levon Sayan. In 2008, he was granted Armenian citizenship, and was appointed ambassador of Armenia to Switzerland the following year, as well as Armenia's permanent delegate to the United Nations at Geneva.He started his last world tour in 2014. On 24 August 2017, Aznavour was awarded the 2,618th star on the Hollywood Walk of Fame. Later that year, he and his sister, Aida Aznavourian, were awarded the Raoul Wallenberg Award for sheltering Jews during World War II. His concert at the NHK Hall in Osaka, on 19 September 2018, would be his final performance.
Between 1974 and 2016, Charles Aznavour officially received around sixty gold and platinum records around the world, representing several million cumulative sales. He's one of the few French performers to hold a certification from the Recording Industry Association of America. At the time of his death, according to his record company, the total sales of the artist's recordings were over 180 million units.

",https://en.wikipedia.org/wiki/Charles_Aznavour
Australia,109,Kylie Minogue,http://www.wikidata.org/entity/Q11998,wd:Q11998,16894.0,Australian singer and actress,"Kylie Ann Minogue  (; born 28 May 1968) is an Australian singer, songwriter and actress. She is the highest-selling female Australian artist of all time, having sold over 80 million records worldwide. She has been recognised for reinventing herself in music and fashion, for which she is referred to by the European press as the ""Princess of Pop"" and a style icon. Her accolades include a Grammy Award, three Brit Awards and 17 ARIA Music Awards.
Born and raised in Melbourne, Minogue first achieved recognition starring in the Australian soap opera Neighbours, playing tomboy mechanic Charlene Robinson. She gained prominence as a recording artist in the late 1980s and released four bubblegum and dance-pop-influenced studio albums produced by Stock Aitken Waterman. By the early 1990s, she had amassed several top ten singles in the UK and Australia, including ""I Should Be So Lucky"", ""The Loco-Motion"", ""Hand on Your Heart"", and ""Better the Devil You Know"". Taking more creative control over her music, Minogue signed with Deconstruction Records in 1993 and released Kylie Minogue (1994) and Impossible Princess (1997), both of which received positive reviews. She returned to mainstream dance-oriented music with 2000's Light Years, including the number-one hits ""Spinning Around"" and ""On a Night Like This"". The follow-up, Fever (2001), was an international breakthrough for Minogue, becoming her best-selling album to date. Two of its singles, ""Love at First Sight"" and ""In Your Eyes"", became hits, but its lead single, ""Can't Get You Out of My Head"" became one of the most successful singles of the 2000s, selling over five million units.
Minogue continued reinventing her image and experimenting with a range of genres on her subsequent albums, which spawned successful singles such as ""Slow"", ""2 Hearts"", ""All the Lovers"", ""Santa Baby"", ""Timebomb"" and ""Dancing"". With her 2020 album Disco, she became the first female artist to have a chart-topping album in the UK for five consecutive decades. Minogue made her film debut in The Delinquents (1989) and portrayed Cammy in Street Fighter (1994). She has also appeared in the films Moulin Rouge! (2001), Jack & Diane, Holy Motors (2012) and San Andreas (2015). In 2014, she appeared as a judge on the third series of The Voice UK and The Voice Australia. Her other ventures include product endorsements, children's books, fashion, and charitable work.
Minogue was appointed an Officer of the Order of the British Empire in the 2008 New Year Honours for services to music. She was appointed by the French government as a Chevalier (knight) of the Ordre des Arts et des Lettres for her contribution to the enrichment of French culture. In 2005, while Minogue was on tour, she was diagnosed with breast cancer. She was awarded an honorary Doctor of Health Science (D.H.Sc.) degree by Anglia Ruskin University in 2011 for her work in raising awareness for breast cancer. At the 2011 ARIA Music Awards, she was inducted by the Australian Recording Industry Association into the ARIA Hall of Fame. She was appointed Officer of the Order of Australia (AO) in the 2019 Australia Day Honours. Net worth of Kylie Minogue is A$109 million (2020 estimate).

",https://en.wikipedia.org/wiki/Kylie_Minogue
Austria,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,wd:Q78516,2293506.0,Russian-born Austrian operatic soprano,"Anna Yuryevna Netrebko (Russian: Анна Юрьевна Нетребко; born 18 September 1971) is a Russian and Austrian operatic soprano with an active international career and performed prominently at the Salzburg Festival, Metropolitan Opera, Vienna State Opera, and The Royal Opera.
Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. She was noticed globally after playing Donna Anna in Mozart's Don Giovanni at the 2002 Salzburg Festival. She had been known for her rendition of lyric and coloratura soprano roles but proceeded into heavier 19th-century romantic roles, such as Leonora in Il trovatore and the role of Lady Macbeth in Macbeth. Since 2016, she has turned her focus to verismo repertoire. In 2015 she married Azerbaijani tenor Yusif Eyvazov, with whom she has been performing frequently since.
She has been an exclusive artist for Deutsche Grammophon since 2002. She has won multiple Echo Klassik Awards, and was included on the  Time 100 list in 2007. She was named a People's Artist of Russia in 2008, and an Austrian Kammersängerin in 2017.

",https://en.wikipedia.org/wiki/Anna_Netrebko
