0,1,2,3,4
United States,218,Marilyn Monroe,"Marilyn Monroe (; born Norma Jeane Mortenson; June 1, 1926 –  August 4, 1962) was an American actress, model, and singer. Famous for playing comic ""blonde bombshell"" characters, she became one of the most popular sex symbols of the 1950s and early 1960s, as well as an emblem of the era's sexual revolution. She was a top-billed actress for a decade, and her films grossed $200 million (equivalent to $2 billion in 2021) by the time of her death in 1962. Long after her death, Monroe remains a major icon of pop culture. In 1999, the American Film Institute ranked her sixth on their list of the greatest female screen legends from the Golden Age of Hollywood. Multiple film critics and media outlets have cited Monroe as one of the best actors never to have received an Academy Award nomination.Born and raised in Los Angeles, Monroe spent most of her childhood in a total of 12 foster homes and an orphanage; she married at age sixteen. She was working in a factory during World War II when she met a photographer from the First Motion Picture Unit and began a successful pin-up modeling career, which led to short-lived film contracts with 20th Century Fox and Columbia Pictures. After a series of minor film roles, she signed a new contract with Fox in late 1950. Over the next two years, she became a popular actress with roles in several comedies, including As Young as You Feel and Monkey Business, and in the dramas Clash by Night and Don't Bother to Knock. She faced a scandal when it was revealed that she had posed for nude photographs prior to becoming a star, but the story did not damage her career and instead resulted in increased interest in her films.
By 1953, Monroe was one of the most marketable Hollywood stars; she had leading roles in the film noir Niagara, which overtly relied on her sex appeal, and the comedies Gentlemen Prefer Blondes and How to Marry a Millionaire, which established her star image as a ""dumb blonde"". The same year, her nude images were used as the centerfold and on the cover of the first issue of Playboy. She played a significant role in the creation and management of her public image throughout her career, but she was disappointed when she was typecast and underpaid by the studio. She was briefly suspended in early 1954 for refusing a film project but returned to star in The Seven Year Itch (1955), one of the biggest box office successes of her career.
When the studio was still reluctant to change Monroe's contract, she founded her own film production company in 1954. She dedicated 1955 to building the company and began studying method acting under Lee Strasberg at the Actors Studio. Later that year, Fox awarded her a new contract, which gave her more control and a larger salary. Her subsequent roles included a critically acclaimed performance in Bus Stop (1956) and her first independent production in The Prince and the Showgirl (1957). She won a Golden Globe for Best Actress for her role in Some Like It Hot (1959), a critical and commercial success. Her last completed film was the drama The Misfits (1961).
Monroe's troubled private life received much attention. She struggled with addiction and mood disorders. Her marriages to retired baseball star Joe DiMaggio and to playwright Arthur Miller were highly publicized, but ended in divorce. On August 4, 1962, she died at age 36 from an overdose of barbiturates at her Los Angeles home. Her death was ruled a probable suicide.

",https://en.wikipedia.org/wiki/Marilyn_Monroe
Poland,213,Marie Curie,"Marie Salomea Skłodowska–Curie ( KURE-ee, French pronunciation: ​[maʁi kyʁi], Polish pronunciation: [ˈmarja skwɔˈdɔfska kʲiˈri]; born Maria Salomea Skłodowska, Polish: [ˈmarja salɔˈmɛa skwɔˈdɔfska]; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person and the only woman to win a Nobel Prize twice, and the only person to win a Nobel Prize in two scientific fields. Her husband, Pierre Curie, was a co-winner of her first Nobel Prize, making them the first-ever married couple to win the Nobel Prize and launching the Curie family legacy of five Nobel Prizes. She was, in 1906, the first woman to become a professor at the University of Paris.She was born in Warsaw, in what was then the Kingdom of Poland, part of the Russian Empire. She studied at Warsaw's clandestine Flying University and began her practical scientific training in Warsaw. In 1891, aged 24, she followed her elder sister Bronisława to study in Paris, where she earned her higher degrees and conducted her subsequent scientific work. In 1895 she married the French physicist Pierre Curie, and she shared the 1903 Nobel Prize in Physics with him and with the physicist Henri Becquerel for their pioneering work developing the theory of ""radioactivity""—a term she coined. In 1906 Pierre Curie died in a Paris street accident. Marie won the 1911 Nobel Prize in Chemistry for her discovery of the elements polonium and radium, using techniques she invented for isolating radioactive isotopes.
Under her direction, the world's first studies were conducted into the treatment of neoplasms by the use of radioactive isotopes. She founded the Curie Institute in Paris in 1920, and the Curie Institute in Warsaw in 1932; both remain major medical research centres. During World War I she developed mobile radiography units to provide X-ray services to field hospitals.
While a French citizen, Marie Skłodowska Curie, who used both surnames, never lost her sense of Polish identity. She taught her daughters the Polish language and took them on visits to Poland. She named the first chemical element she discovered polonium, after her native country.Marie Curie died in 1934, aged 66, at the Sancellemoz sanatorium in Passy (Haute-Savoie), France, of aplastic anemia likely from exposure to radiation in the course of her scientific research and in the course of her radiological work at field hospitals during World War I. In addition to her Nobel Prizes, she has received numerous other honours and tributes; in 1995 she became the first woman to be entombed on her own merits in the Paris Panthéon, and Poland declared 2011 the Year of Marie Curie during the International Year of Chemistry. She is the subject of numerous biographical works, where she is also known as Madame Curie.",https://en.wikipedia.org/wiki/Marie_Curie
France,213,Marie Curie,"Marie Salomea Skłodowska–Curie ( KURE-ee, French pronunciation: ​[maʁi kyʁi], Polish pronunciation: [ˈmarja skwɔˈdɔfska kʲiˈri]; born Maria Salomea Skłodowska, Polish: [ˈmarja salɔˈmɛa skwɔˈdɔfska]; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person and the only woman to win a Nobel Prize twice, and the only person to win a Nobel Prize in two scientific fields. Her husband, Pierre Curie, was a co-winner of her first Nobel Prize, making them the first-ever married couple to win the Nobel Prize and launching the Curie family legacy of five Nobel Prizes. She was, in 1906, the first woman to become a professor at the University of Paris.She was born in Warsaw, in what was then the Kingdom of Poland, part of the Russian Empire. She studied at Warsaw's clandestine Flying University and began her practical scientific training in Warsaw. In 1891, aged 24, she followed her elder sister Bronisława to study in Paris, where she earned her higher degrees and conducted her subsequent scientific work. In 1895 she married the French physicist Pierre Curie, and she shared the 1903 Nobel Prize in Physics with him and with the physicist Henri Becquerel for their pioneering work developing the theory of ""radioactivity""—a term she coined. In 1906 Pierre Curie died in a Paris street accident. Marie won the 1911 Nobel Prize in Chemistry for her discovery of the elements polonium and radium, using techniques she invented for isolating radioactive isotopes.
Under her direction, the world's first studies were conducted into the treatment of neoplasms by the use of radioactive isotopes. She founded the Curie Institute in Paris in 1920, and the Curie Institute in Warsaw in 1932; both remain major medical research centres. During World War I she developed mobile radiography units to provide X-ray services to field hospitals.
While a French citizen, Marie Skłodowska Curie, who used both surnames, never lost her sense of Polish identity. She taught her daughters the Polish language and took them on visits to Poland. She named the first chemical element she discovered polonium, after her native country.Marie Curie died in 1934, aged 66, at the Sancellemoz sanatorium in Passy (Haute-Savoie), France, of aplastic anemia likely from exposure to radiation in the course of her scientific research and in the course of her radiological work at field hospitals during World War I. In addition to her Nobel Prizes, she has received numerous other honours and tributes; in 1995 she became the first woman to be entombed on her own merits in the Paris Panthéon, and Poland declared 2011 the Year of Marie Curie during the International Year of Chemistry. She is the subject of numerous biographical works, where she is also known as Madame Curie.",https://en.wikipedia.org/wiki/Marie_Curie
United Kingdom,211,Elizabeth II,"Elizabeth II (Elizabeth Alexandra Mary; 21 April 1926 – 8 September 2022) was Queen of the United Kingdom and other Commonwealth realms from 6 February 1952 until her death in 2022. She was queen regnant of 32 sovereign states during her lifetime, and was head of state of 15 realms at the time of her death. Her reign of 70 years and 214 days was the longest of any British monarch and the longest verified reign of any female monarch in history.
Elizabeth was born in Mayfair, London, as the first child of the Duke and Duchess of York (later King George VI and Queen Elizabeth The Queen Mother). Her father acceded to the throne in 1936 upon the abdication of his brother Edward VIII, making the ten-year-old Princess Elizabeth the heir presumptive. She was educated privately at home and began to undertake public duties during the Second World War, serving in the Auxiliary Territorial Service. In November 1947, she married Philip Mountbatten, a former prince of Greece and Denmark, and their marriage lasted 73 years until his death in 2021. They had four children: Charles, Anne, Andrew, and Edward.
When her father died in February 1952, Elizabeth—then 25 years old—became queen of seven independent Commonwealth countries: the United Kingdom, Canada, Australia, New Zealand, South Africa, Pakistan, and Ceylon (known today as Sri Lanka), as well as head of the Commonwealth. Elizabeth reigned as a constitutional monarch through major political changes such as the Troubles in Northern Ireland, devolution in the United Kingdom, the decolonisation of Africa, and the United Kingdom's accession to the European Communities and withdrawal from the European Union. The number of her realms varied over time as territories gained independence and some realms became republics. As queen, Elizabeth was served by more than 170 prime ministers across her realms. Her many historic visits and meetings included state visits to China in 1986, to Russia in 1994, and to the Republic of Ireland in 2011, and meetings with five popes.
Significant events included Elizabeth's coronation in 1953 and the celebrations of her Silver, Golden, Diamond, and Platinum jubilees in 1977, 2002, 2012, and 2022, respectively. Although she faced occasional republican sentiment and media criticism of her family—particularly after the breakdowns of her children's marriages, her annus horribilis in 1992, and the death in 1997 of her former daughter-in-law Diana—support for the monarchy in the United Kingdom remained consistently high throughout her lifetime, as did her personal popularity. Elizabeth died at Balmoral Castle, Aberdeenshire, in 2022 at the age of 96, and was succeeded by her eldest son, Charles III.",https://en.wikipedia.org/wiki/Elizabeth_II
Germany,202,Angela Merkel,"Angela Dorothea Merkel  (German: [ˈaŋɡela doʁoˈteːa ˈmɛʁkl̩] (listen); née Kasner; born 17 July 1954) is a German former politician and scientist who served as Chancellor of Germany from 2005 to 2021. A member of the Christian Democratic Union (CDU), she previously served as Leader of the Opposition from 2002 to 2005 and as Leader of the Christian Democratic Union from 2000 to 2018. Merkel was the first female chancellor of Germany. During her tenure as Chancellor, Merkel was frequently referred to as the de facto leader of the European Union (EU), the most powerful woman in the world, and since 2016 the leader of the free world.Merkel was born in Hamburg in then-West Germany, moving to East Germany as an infant when her father, a Lutheran clergyman, received a pastorate in Perleberg. She obtained a doctorate in quantum chemistry in 1986 and worked as a research scientist until 1989. Merkel entered politics in the wake of the Revolutions of 1989, briefly serving as deputy spokeswoman for the first democratically elected Government of East Germany led by Lothar de Maizière. Following German reunification in 1990, Merkel was elected to the Bundestag for the state of Mecklenburg-Vorpommern. As the protégée of Chancellor Helmut Kohl, Merkel was appointed as Minister for Women and Youth in 1991, later becoming Minister for the Environment, Nature Conservation and Nuclear Safety in 1994. After the CDU lost the 1998 federal election, Merkel was elected CDU General Secretary, before becoming the party's first female leader and the first female Leader of the Opposition two years later, in the aftermath of a donations scandal that toppled Wolfgang Schäuble.
Following the 2005 federal election, Merkel was appointed to succeed Gerhard Schröder as Chancellor of Germany, leading a grand coalition consisting of the CDU, its Bavarian sister party the Christian Social Union (CSU) and the Social Democratic Party of Germany (SPD). Merkel was the first woman to be elected as Chancellor, and the first Chancellor since reunification to have been raised in the former East Germany. At the 2009 federal election, the CDU obtained the largest share of the vote, and Merkel was able to form a coalition government with the Free Democratic Party (FDP). At the 2013 federal election, Merkel's CDU won a landslide victory with 41.5% of the vote and formed a second grand coalition with the SPD, after the FDP lost all of its representation in the Bundestag. At the 2017 federal election, Merkel led the CDU to become the largest party for the fourth time; Merkel formed a third grand coalition with the SPD and was sworn in for a joint-record fourth term as Chancellor on 14 March 2018.In foreign policy, Merkel has emphasised international cooperation, both in the context of the EU and NATO, and strengthening transatlantic economic relations. In 2008, Merkel served as President of the European Council and played a central role in the negotiation of the Treaty of Lisbon and the Berlin Declaration. Merkel played a crucial role in managing the global financial crisis of 2007–2008 and the European debt crisis. She negotiated the 2008 European Union stimulus plan focusing on infrastructure spending and public investment to counteract the Great Recession. In domestic policy, Merkel's Energiewende program has focused on future energy development, seeking to phase out nuclear power in Germany, reduce greenhouse gas emissions, and increase renewable energy sources. Reforms to the Bundeswehr which abolished conscription, health care reform, and her government's response to the 2010s European migrant crisis and the COVID-19 pandemic in Germany were major issues during her chancellorship. She served as the senior G7 leader from 2011 to 2012 and again from 2014 to 2021. In 2014, she became the longest-serving incumbent head of government in the EU. In October 2018, Merkel announced that she would stand down as Leader of the CDU at the party convention, and would not seek a fifth term as chancellor in the 2021 federal election. In 2022, Merkel condemned the Russian invasion of Ukraine.",https://en.wikipedia.org/wiki/Angela_Merkel
North Macedonia,178,Mother Teresa,"Mary Teresa Bojaxhiu, MC (pronounced [bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), better known as Mother Teresa (Albanian: Nënë Tereza), was an Albanian-Indian Catholic nun who, in 1950, founded the Missionaries of Charity. Anjezë Gonxhe Bojaxhiu (pronounced [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]) was born in  Skopje—at the time, part of the Ottoman Empire. After eighteen years, she moved to Ireland and then to India, where she lived most of her life. Saint Teresa of Calcutta was canonised on 4 September 2016. The anniversary of her death is her feast day.
After Mother Teresa founded her religious congregation, it grew to have over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy, and tuberculosis. The congregation also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience and also profess a fourth vow: to give ""wholehearted free service to the poorest of the poor.""Mother Teresa received several honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. A controversial figure during her life and after her death, Mother Teresa was admired by many for her charitable work. She was praised and criticised on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of other books as well as films. On 6 September 2017, Mother Teresa and Saint Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
Albania,178,Mother Teresa,"Mary Teresa Bojaxhiu, MC (pronounced [bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), better known as Mother Teresa (Albanian: Nënë Tereza), was an Albanian-Indian Catholic nun who, in 1950, founded the Missionaries of Charity. Anjezë Gonxhe Bojaxhiu (pronounced [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]) was born in  Skopje—at the time, part of the Ottoman Empire. After eighteen years, she moved to Ireland and then to India, where she lived most of her life. Saint Teresa of Calcutta was canonised on 4 September 2016. The anniversary of her death is her feast day.
After Mother Teresa founded her religious congregation, it grew to have over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy, and tuberculosis. The congregation also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience and also profess a fourth vow: to give ""wholehearted free service to the poorest of the poor.""Mother Teresa received several honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. A controversial figure during her life and after her death, Mother Teresa was admired by many for her charitable work. She was praised and criticised on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of other books as well as films. On 6 September 2017, Mother Teresa and Saint Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
India,178,Mother Teresa,"Mary Teresa Bojaxhiu, MC (pronounced [bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), better known as Mother Teresa (Albanian: Nënë Tereza), was an Albanian-Indian Catholic nun who, in 1950, founded the Missionaries of Charity. Anjezë Gonxhe Bojaxhiu (pronounced [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]) was born in  Skopje—at the time, part of the Ottoman Empire. After eighteen years, she moved to Ireland and then to India, where she lived most of her life. Saint Teresa of Calcutta was canonised on 4 September 2016. The anniversary of her death is her feast day.
After Mother Teresa founded her religious congregation, it grew to have over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy, and tuberculosis. The congregation also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience and also profess a fourth vow: to give ""wholehearted free service to the poorest of the poor.""Mother Teresa received several honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. A controversial figure during her life and after her death, Mother Teresa was admired by many for her charitable work. She was praised and criticised on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of other books as well as films. On 6 September 2017, Mother Teresa and Saint Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
Mexico,170,Frida Kahlo,"Magdalena Carmen Frida Kahlo y Calderón (Spanish pronunciation: [ˈfɾiða ˈkalo]; 6 July 1907 – 13 July 1954) was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naïve folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist. She is known for painting about her experience of chronic pain.Born to a German father and a mestiza mother, Kahlo spent most of her childhood and adult life at La Casa Azul, her family home in Coyoacán – now publicly accessible as the Frida Kahlo Museum. Although she was disabled by polio as a child, Kahlo had been a promising student headed for medical school until being injured in a bus accident at the age of 18, which caused her lifelong pain and medical problems. During her recovery, she returned to her childhood interest in art with the idea of becoming an artist.
Kahlo's interests in politics and art led her to join the Mexican Communist Party in 1927, through which she met fellow Mexican artist Diego Rivera. The couple married in 1929 and spent the late 1920s and early 1930s travelling in Mexico and the United States together. During this time, she developed her artistic style, drawing her main inspiration from Mexican folk culture, and painted mostly small self-portraits that mixed elements from pre-Columbian and Catholic beliefs. Her paintings raised the interest of Surrealist artist André Breton, who arranged for Kahlo's first solo exhibition at the Julien Levy Gallery in New York in 1938; the exhibition was a success and was followed by another in Paris in 1939. While the French exhibition was less successful, the Louvre purchased a painting from Kahlo, The Frame, making her the first Mexican artist to be featured in their collection. Throughout the 1940s, Kahlo participated in exhibitions in Mexico and the United States and worked as an art teacher. She taught at the Escuela Nacional de Pintura, Escultura y Grabado (""La Esmeralda"") and was a founding member of the Seminario de Cultura Mexicana. Kahlo's always-fragile health began to decline in the same decade. She had her first solo exhibition in Mexico in 1953, shortly before her death in 1954 at the age of 47.
Kahlo's work as an artist remained relatively unknown until the late 1970s, when her work was rediscovered by art historians and political activists. By the early 1990s, not only had she become a recognized figure in art history, but she was also regarded as an icon for Chicanos, the feminism movement, and the LGBTQ+ community. Kahlo's work has been celebrated internationally as emblematic of Mexican national and indigenous traditions and by feminists for what is seen as its uncompromising depiction of the female experience and form.",https://en.wikipedia.org/wiki/Frida_Kahlo
Russia,167,Anna Netrebko,"Anna Yuryevna Netrebko (Russian: Анна Юрьевна Нетребко; born 18 September 1971) is a Russian and Austrian operatic soprano with an active international career and performed prominently at the Salzburg Festival, Metropolitan Opera, Vienna State Opera, and The Royal Opera.
Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. She was noticed globally after playing Donna Anna in Mozart's Don Giovanni at the 2002 Salzburg Festival. She had been known for her rendition of lyric and coloratura soprano roles but proceeded into heavier 19th-century romantic roles, such as Leonora in Il trovatore and the role of Lady Macbeth in Macbeth. Since 2016, she has turned her focus to verismo repertoire. In 2015 she married Azerbaijani tenor Yusif Eyvazov, with whom she has been performing frequently since.
She has been an exclusive artist for Deutsche Grammophon since 2002. She has won multiple Echo Klassik Awards, and was included on the  Time 100 list in 2007. She was named a People's Artist of Russia in 2008, and an Austrian Kammersängerin in 2017.

",https://en.wikipedia.org/wiki/Anna_Netrebko
