0,1
Norway,88.0
Switzerland,90.0
Australia,84.0
Ireland,63.0
Germany,85.0
Iceland,78.0
Sweden,77.0
Singapore,93.0
Netherlands,89.0
Denmark,90.0
Canada,77.0
United States,77.0
United Kingdom,75.0
Finland,79.0
New Zealand,82.0
Belgium,90.0
Liechtenstein,-1.0
Japan,71.0
Austria,87.0
Luxembourg,87.0
Israel,77.0
South Korea,70.0
France,77.0
Slovenia,79.0
Spain,66.0
Czech Republic,73.0
Italy,53.0
Malta,87.0
Estonia,58.0
Greece,35.0
Cyprus,54.0
Poland,55.0
United Arab Emirates,92.0
Andorra,-1.0
Lithuania,52.0
Qatar,-1.0
Slovakia,62.0
Brunei,-1.0
Saudi Arabia,80.0
Latvia,45.0
Portugal,65.0
Bahrain,80.0
Chile,33.0
Hungary,56.0
Croatia,60.0
Argentina,51.0
Oman,-1.0
Russia,35.0
Montenegro,41.0
Bulgaria,45.0
Romania,68.0
Belarus,42.0
Bahamas,-1.0
Uruguay,67.0
Kuwait,79.0
Malaysia,78.0
Barbados,-1.0
Kazakhstan,56.0
Iran,57.0
Palau,-1.0
Seychelles,-1.0
Costa Rica,63.0
Turkey,62.0
Mauritius,78.0
Panama,55.0
Serbia,53.0
Albania,50.0
Trinidad & Tobago,52.0
Antigua & Barbuda,-1.0
Georgia,53.0
Cuba,-1.0
Mexico,55.0
Grenada,-1.0
Sri Lanka,73.0
Bosnia and Herzegovina,54.0
Venezuela,26.0
Brazil,36.0
Azerbaijan,38.0
Lebanon,49.0
North Macedonia,53.0
Armenia,42.0
Thailand,84.0
Algeria,38.0
China,65.0
Ecuador,59.0
Ukraine,24.0
Peru,38.0
Colombia,40.0
Fiji,-1.0
Mongolia,36.0
Dominican Republic,52.0
Jordan,67.0
Tunisia,26.0
Jamaica,56.0
Tonga,-1.0
Suriname,78.0
Botswana,64.0
Maldives,-1.0
Dominica,-1.0
Samoa,-1.0
Uzbekistan,83.0
Belize,50.0
Marshall Islands,-1.0
Libya,42.0
Turkmenistan,-1.0
Gabon,21.0
Paraguay,52.0
Moldova,36.0
Philippines,82.0
South Africa,57.0
Egypt,36.0
Indonesia,78.0
Vietnam,62.0
Bolivia,44.0
Iraq,37.0
El Salvador,47.0
Kyrgyzstan,66.0
Morocco,27.0
Nicaragua,63.0
Cape Verde,-1.0
Guyana,-1.0
Guatemala,47.0
Tajikistan,80.0
Namibia,57.0
India,65.0
Micronesia,-1.0
Timor-Leste,-1.0
Honduras,61.0
Bhutan,86.0
Kiribati,-1.0
Bangladesh,63.0
Republic of the Congo,37.0
Vanuatu,-1.0
Laos,71.0
Ghana,52.0
Equatorial Guinea,-1.0
Kenya,51.0
São Tomé & Príncipe,-1.0
Eswatini,-1.0
Zambia,58.0
Cambodia,82.0
Angola,29.0
Myanmar,75.0
Nepal,63.0
Pakistan,46.0
Cameroon,43.0
Solomon Islands,-1.0
Papua New Guinea,-1.0
Tanzania,43.0
Syria,38.0
Zimbabwe,63.0
Nigeria,57.0
Rwanda,77.0
Lesotho,36.0
Mauritania,27.0
Madagascar,39.0
Uganda,39.0
Benin,40.0
Senegal,38.0
Comoros,24.0
Togo,37.0
Sudan,22.0
Afghanistan,32.0
Haiti,15.0
Côte d’Ivoire,35.0
Malawi,57.0
Djibouti,-1.0
Ethiopia,45.0
Gambia,49.0
Guinea,42.0
Democratic Republic of the Congo,42.0
Guinea-Bissau,-1.0
Yemen,22.0
Eritrea,-1.0
Mozambique,56.0
Liberia,37.0
Mali,44.0
Burkina Faso,40.0
Sierra Leone,45.0
Burundi,37.0
Chad,44.0
South Sudan,24.0
Central African Republic,28.0
Niger,43.0
Somalia,55.0
