0,1,2,3,4
Portugal,401000000.0,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro  (Portuguese pronunciation: [kɾiʃˈtjɐnu ʁɔˈnaɫdu]; born 5 February 1985) is a Portuguese professional footballer who plays as a forward for and captains both Saudi Professional League club Al Nassr and the Portugal national team. Widely regarded as one of the greatest players of all time, Ronaldo has won five Ballon d'Or awards and four European Golden Shoes, the most by a European player. He has won 34 trophies in his career, including seven league titles, five UEFA Champions Leagues, the UEFA European Championship and the UEFA Nations League. Ronaldo holds the records for most appearances (183), goals (140), and assists (42) in the Champions League, goals in the European Championship (14), international goals (118), and joint-most international appearances (196). He is one of the few players to have made over 1,100 professional career appearances, and has scored over 820 official senior career goals for club and country.
Ronaldo began his senior career with Sporting CP, before signing with Manchester United in 2003, winning the FA Cup in his first season. He would also go on to win three consecutive Premier League titles, the Champions League and the FIFA Club World Cup; at age 23, he won his first Ballon d'Or. Ronaldo was the subject of the then-most expensive association football transfer when he signed for Real Madrid in 2009 in a transfer worth €94 million (£80 million). He became a key contributor and formed an attacking trio with Karim Benzema and Gareth Bale which was integral to the team winning four Champions League wins from 2014 to 2018, including La Décima. During this period, he won back-to-back Ballons d'Or in 2013 and 2014, and again in 2016 and 2017, and was runner-up three times behind Lionel Messi, his perceived career rival. He also became the club's all-time top goalscorer and the all-time top scorer in the Champions League, and finished as the competition's top scorer for six consecutive seasons between 2012 and 2018. With Real, Ronaldo won two La Liga titles, two Copa del Rey, four Champions Leagues, three UEFA Super Cup and three Club World Cups. In 2018, he signed for Juventus in a transfer worth an initial €100 million (£88 million), the most expensive transfer for an Italian club and for a player over 30 years old. He won two Serie A titles, two Supercoppa Italiana trophies and a Coppa Italia, became the inaugural Serie A Most Valuable Player and the first footballer to finish as top scorer in the English, Spanish and Italian leagues, before returning to Manchester United in 2021. He left in 2022, after his contract with the club was terminated. In 2023, Ronaldo signed for Al Nassr.
Ronaldo made his international debut for Portugal in 2003 at the age of 18 and has since earned over 190 caps, making him Portugal's most-capped player. With more than 100 goals at international level, he is also the all-time top goalscorer. Ronaldo has played in and scored at 11 major tournaments; he scored his first international goal at Euro 2004, where he helped Portugal reach the final. He assumed captaincy of the national team in July 2008. In 2015, Ronaldo was named the best Portuguese player of all time by the Portuguese Football Federation. The following year, he led Portugal to their first major tournament title at Euro 2016, and received the Silver Boot as the second-highest goalscorer of the tournament. This achievement would see him receive his fourth Ballon d'Or. He also led them to a third-place finish at the 2017 FIFA Confederations Cup, to victory in the inaugural UEFA Nations League in 2019, receiving the top scorer award in the finals, and later received the Golden Boot as top scorer of Euro 2020.
One of the world's most marketable and famous athletes, Ronaldo was ranked the world's highest-paid athlete by Forbes in 2016 and 2017 and the world's most famous athlete by ESPN from 2016 to 2019. Time included him on their list of the 100 most influential people in the world in 2014. He is the first footballer and the third sportsman to earn US$1 billion in his career.

",https://en.wikipedia.org/wiki/Cristiano_Ronaldo
United States,288000000.0,Ariana Grande,"Ariana Grande-Butera ( AR-ee-AH-nə GRAHN-day; born June 26, 1993) is an American singer, songwriter, and actress. Her four-octave vocal range has received critical acclaim, and her personal life has been the subject of widespread media attention. She has received numerous accolades throughout her career, including two Grammy Awards, one Brit Award, one Bambi Award, two Billboard Music Awards, three American Music Awards, nine MTV Video Music Awards, and 30 Guinness World Records. 
Grande began her music career at age 15 in the 2008 Broadway musical 13. She rose to fame for playing Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and Sam & Cat (2013–2014). Grande signed with Republic Records in 2011 after label executives viewed YouTube videos of her covering songs. Her 1950s doo-wop-influenced pop and R&B debut album, Yours Truly (2013), topped the US Billboard 200, while its lead single, ""The Way"", reached the top ten of the US Billboard Hot 100. Grande's voice and whistle register on the album drew immediate comparisons to Mariah Carey.
She continued to explore pop and R&B in her second and third studio albums, My Everything (2014) and Dangerous Woman (2016). My Everything experimented with EDM and achieved global success with its singles ""Problem"", ""Break Free"" and ""Bang Bang"", while Dangerous Woman became her first of four consecutive number-one albums in the UK. Personal struggles influenced her trap-infused fourth and fifth studio albums, Sweetener (2018) and Thank U, Next (2019), both of which were critical and commercial successes. Sweetener won the Grammy Award for Best Pop Vocal Album, and Thank U, Next broke the record for the largest streaming week for a pop album and was nominated for Album of the Year. The singles ""Thank U, Next"", ""7 Rings"", and ""Break Up with Your Girlfriend, I'm Bored"" made Grande the first solo artist to hold the top three spots on the Hot 100 simultaneously and the first woman to succeed herself at the top of the UK Singles Chart. Her 2020 collaborations ""Stuck with U"" with Justin Bieber and ""Rain on Me"" with Lady Gaga helped her break the record for most number-one debuts on the Hot 100, the latter winning the Grammy Award for Best Pop Duo/Group Performance. Grande expanded on the trap genre with her sixth studio album, Positions (2020), which both the album and its title track debuted at number one in the UK and US. In 2021, she collaborated with The Weeknd on the remix of ""Save Your Tears"", garnering her sixth US number-one single.
Often regarded as a pop icon and triple threat entertainer, Grande is one of the world's best-selling music artists; she has sold more than 85 to 90 million records globally and all of her studio albums have been certified platinum or higher. Among her Billboard chart records, she is the first artist to have five number-one debuts, the first and only solo artist to chart three number one-debuts in one calendar year, and the only artist to debut the lead singles from each of her studio albums in the top ten, and to have their first five number one singles debut at top spot. Grande is the most streamed female artist of all time, the most streamed female artist on Spotify (2010s decade) and Apple Music, the most followed female artist on Spotify, and the most subscribed female solo artist on YouTube. Nine and seven of Grande's songs and music videos reached 1 billion streams and views on Spotify and Vevo, respectively. She is the female artist with the most one billion songs on the former platform. Grande has been included on Time's annual list of the 100 most influential people in the world (2016 and 2019) and the Forbes Celebrity 100 (2019–2020). Grande was named Woman of the Year (2018), the greatest pop star of 2019, and the most successful female artist to debut in the 2010s by Billboard. Furthermore, Rolling Stone placed her in their list of 200 Greatest Singers of all time (2023). Aside from her music career, she has worked with many charitable organizations and advocates for animal rights, mental health, and gender, racial, and LGBT equality. Grande has a large following on social media; she became the most followed woman on Instagram in 2019, and has over 350 million followers as of 2023. She has also ventured into the cosmetics and fashion industries. Her fragrance line, which was released in 2015, exceeded $1 billion in sales though 2022.",https://en.wikipedia.org/wiki/Ariana_Grande
India,177000000.0,Virat Kohli,"Virat Kohli (Hindi pronunciation: [ʋɪˈɾɑːʈ ˈkoːɦli] (listen); born 5 November 1988) is an Indian international cricketer and former captain of the Indian national team who plays as a right-handed batsman for Royal Challengers Bangalore in the IPL and for Delhi in Indian domestic cricket. Widely regarded as one of the greatest batsmen of all time,  Kohli holds the record for scoring most runs in both T20 internationals and in IPL. In 2020, the International Cricket Council named him as player of decade. Kohli has won Man of the Tournament award twice at the ICC World Twenty20, in 2014 and 2016. Playing for his franchise in IPL, he won the Orange Cap and Most-valuable Player Award in 2016 season. Furthermore has won most player of the match and series awards in T20I. With 40 wins in 68 Test matches, he is India's most successful Test captain. Kohli has also contributed to India's successes, including winning the 2011 World Cup and the 2013 Champions trophy.
Born and raised in Delhi, Kohli trained in West Delhi Cricket Academy; started his youth career with Delhi Under-15 team. Kohli made his international debut in 2008 and quickly became a key player in the ODI team. He made his Test debut in 2011. In 2013, Kohli reached the number one spot in the ICC rankings for ODI batsmen for the first time. During 2014 T20 World Cup, he set a record for the most runs scored in the tournament. In 2018, he achieved yet another milestone, becoming the world's top-ranked Test batsman, making him the only Indian cricketer to hold the number one spot in all three formats of the game. His form continued in 2019, where he became the first player to score 20,000 international runs in single decade. In 2021, Kohli made the decision to step down as the captain of the Indian national team for T20Is, following the T20 World Cup and in early 2022 he stepped down as the captain of the Test team as well.
Kohli has received many accolades for his performances on the cricket field. He was recognized as the ICC ODI Player of the Year in 2012 and has won Sir Garfield Sobers Trophy, given to the ICC Cricketer of the Year, on two occasions, in 2017 and 2018. Kohli also won ICC Test Player of the Year and ICC ODI Player of the Year awards in 2018, becoming the first player to win both awards in the same year. Additionally, Kohli was named the Wisden Leading Cricketer in the World for three consecutive years, from 2016 to 2018. At the national level, Kohli was honoured with the Arjuna Award in 2013, the Padma Shri under the sports category in 2017 and the Rajiv Gandhi Khel Ratna award, India's highest sporting honour, in 2018.
In 2016, he was ranked as one of the world's most famous athletes by ESPN and one of the most valuable athlete brands by Forbes. In 2018, Time magazine included him on its list of the 100 most influential people in the world. In 2020, he was ranked 66th in Forbes list of the top 100 highest-paid athletes in the world for the year 2020 with estimated earnings of over $26 million. Kohli has been deemed one of the most commercially viable cricketers, with estimated earnings of ₹165 crore (US$21 million) in the year 2022.

",https://en.wikipedia.org/wiki/Virat_Kohli
Trinidad & Tobago,168000000.0,Nicki Minaj,"Onika Tanya Maraj-Petty (née Maraj; born December 8, 1982), known professionally as Nicki Minaj ( min-AHZH), is a Trinidadian-born rapper, singer, and songwriter based in the United States. She is known for her musical versatility, animated flow in her rapping, alter egos and accents. Minaj first gained recognition after releasing three mixtapes between 2007 and 2009. Her debut album, Pink Friday (2010), topped the U.S. Billboard 200 chart. Its fifth single, ""Super Bass"", reached number three on the U.S. Billboard Hot 100 chart and was certified diamond by the RIAA. Minaj's follow-up album, Pink Friday: Roman Reloaded (2012) explored dance-pop. The lead single, ""Starships"", peaked in the top five worldwide.
Her third album, The Pinkprint (2014) explored more personal topics and marked a return to her hip hop roots. Its second single, ""Anaconda"" peaked at number two on the Hot 100 and became the first music video by a solo female rapper to reach one billion views on YouTube. She released her fourth album, Queen, in 2018 and it spawned the U.S. top ten single ""Chun-Li"". In 2019, her collaboration with Karol G, ""Tusa"", became the longest-running number-one single on the Argentina Hot 100 chart. Minaj achieved her first two Hot 100 number-one singles in 2020, ""Trollz"" and ""Say So"" and her third with the lead single of her forthcoming fifth studio album, ""Super Freaky Girl"". It became the first solo song by a female rapper to debut at number one in the U.S. since 1998.
Referred to as the ""Queen of Rap"", Minaj is one of the best-selling music artists, with more than 100 million records sold worldwide. Billboard ranked her as the top selling female rapper of the 2010s. She became the first female artist to have one hundred Billboard Hot 100 entries and has twenty one top 10 hits on the Hot 100, the most for any female rapper. Her various accolades include eight American Music Awards, five MTV Video Music Awards (including the 2022 Michael Jackson Video Vanguard Award), twelve BET Awards, four Billboard Music Awards, a Brit Award and three Guinness World Records. Outside of music, her film career has included voice roles in the animated films Ice Age: Continental Drift (2012) and The Angry Birds Movie 2 (2019) as well as supporting roles in the films The Other Woman (2014) and Barbershop: The Next Cut (2016). In 2016, Time included her on their annual list of the 100 most influential people in the world.  Throughout her career, Minaj's outspoken views and social media disputes have received significant media coverage.",https://en.wikipedia.org/wiki/Nicki_Minaj
Brazil,167000000.0,Neymar,"Neymar da Silva Santos Júnior (born 5 February 1992), known as Neymar, is a Brazilian professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and the Brazil national team. A prolific goalscorer and renowned playmaker, he is regarded as one of the best players in the world, as well as one of the greatest Brazilian footballers of all time. Neymar has scored at least 100 goals for three different clubs, making him one of three players to achieve this.Neymar came into prominence at Santos, where he made his professional debut aged 17. He helped the club win two successive Campeonato Paulista championships, a Copa do Brasil, and the 2011 Copa Libertadores; the latter being Santos' first since 1963. Neymar was twice named the South American Footballer of the Year, in 2011 and 2012, and soon relocated to Europe to join Barcelona. As part of Barcelona's attacking trio with Lionel Messi and Luis Suárez, dubbed MSN, he won the continental treble of La Liga, the Copa del Rey, and the UEFA Champions League. He then attained a domestic double in the 2015–16 season. Motivated to be a talisman at club level, Neymar transferred to PSG in 2017 in a move worth €222 million, making him the most expensive player ever. In France, he won four league titles, among other honours, and was voted Ligue 1 Player of the Year in his debut season. Notably, he helped PSG attain a domestic quadruple in the 2019–20 season, and led the club to its first ever Champions League Final.
With 77 goals in 124 matches for Brazil since debuting at age 18, Neymar is the joint-top goalscorer for his national team alongside Pelé. At his youth stage for Brazil, he was a key player in the victory at the 2011 South American Youth Championship, where he finished as leading goalscorer, and also attained a silver medal in men's football at the 2012 Summer Olympics. The following year, he won the 2013 FIFA Confederations Cup, winning the Golden Ball. His participation in the 2014 FIFA World Cup and 2015 Copa América was cut short by injury and a suspension, respectively, before captaining Brazil to their first Olympic gold medal in men's football at the 2016 Summer Olympics. Having renounced the captaincy, he featured at the 2018 World Cup, and after missing the 2019 Copa América through injury, helped Brazil to a runner-up finish at the 2021 tournament.
Neymar finished third for the FIFA Ballon d'Or in 2015 and 2017, has been awarded the FIFA Puskás Award, has been named in the FIFA FIFPro World11 twice, the UEFA Team of the Year twice, and the UEFA Champions League Squad of the Season three times. Off the pitch, he ranks among the world's most prominent sportsmen. SportsPro named him the most marketable athlete in the world in 2012 and 2013, and ESPN cited him as the world's fourth-most famous athlete in 2016. In 2017, Time included him in its annual list of the 100 most influential people in the world. In 2018, France Football ranked Neymar the world's third highest-paid footballer. The following year, Forbes ranked him the world's third highest-paid athlete, dropping a spot to fourth in 2020.

",https://en.wikipedia.org/wiki/Neymar
Senegal,124600000.0,Khaby Lame,"Khabane ""Khaby"" Lame ([kabɪ la:mɛː]; born 9 March 2000) is a Senegalese-born Italian social media personality. He is known for his TikTok videos in which he silently mocks overly complicated ""life hack"" videos. As of February  2023, Lame is the most-followed user on TikTok.

",https://en.wikipedia.org/wiki/Khaby_Lame
Barbados,116000000.0,Rihanna,"Robyn Rihanna Fenty  ( (listen) ree-AN-ə; born February 20, 1988) is a Barbadian singer, actress, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna auditioned for American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, Music of the Sun (2005) and A Girl Like Me (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US Billboard 200 chart.
Rihanna's third album, Good Girl Gone Bad (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&B genres on her next studio albums, Rated R (2009), Loud (2010), Talk That Talk (2011), and Unapologetic (2012), the latter of which became her first Billboard 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, Anti (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborated with many artists, such as Drake, Eminem, Jay-Z, Kanye West, Ne-Yo, and Shakira.
With sales of over 250 million records worldwide, Rihanna is the second-best-selling female music artist of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 Billboard Music Awards, six Guinness World Records, the NAACP's President's Award, and an Academy Award nomination. Time named her one of the 100 most influential people in the world in 2012 and 2018. Forbes ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2022, she is the wealthiest female musician, with an estimated net worth of $1.4 billion.Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organization Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in Battleship (2012), Home (2015), Valerian and the City of a Thousand Planets (2017), and Ocean's 8 (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018 and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.",https://en.wikipedia.org/wiki/Rihanna
Canada,114264755.0,Justin Bieber,"Justin Drew Bieber ( BEE-bər; born March 1, 1994) is a Canadian singer. Bieber is recognized for his genre-melding musicianship and global influence in modern-day popular music. He was discovered by American record executive Scooter Braun and signed with RBMG Records in 2008, gaining recognition with the release of his debut seven-track EP My World (2009) and soon establishing himself as a teen idol.
Bieber achieved commercial success with his teen pop-driven debut studio album, My World 2.0 (2010), which debuted atop the US Billboard 200, making him the youngest solo male act to top the chart in 47 years. The album spawned the internationally successful single ""Baby"" (featuring Ludacris), which became one of the best selling singles of all time in the US. His second studio album, Under the Mistletoe (2011), became the first Christmas album by a male artist to debut at number one in the US. Bieber experimented with dance-pop in his third studio album, Believe (2012), and went on to become the first artist in history with five US number-one albums by the age of 18. From 2013–14, Bieber was involved in multiple controversies and legal issues, which had a drastic impact on his public image.In 2015, Bieber explored EDM with Jack Ü as a lead vocalist on ""Where Are Ü Now"", which won the Grammy Award for Best Dance/Electronic Recording. The song's musical direction played an instrumental role in his fourth studio album, Purpose, which produced three US number-one singles: ""Love Yourself"", ""Sorry"", and ""What Do You Mean?"". He became the first artist in history to occupy the entire top three of the UK Singles Chart. Bieber diversified on numerous collaborations between 2016 and 2017, including ""I'm the One"" and his remix to ""Despacito""—both reaching number one on the US Billboard Hot 100 a week apart, making him the first artist in history to chart new number-one songs in consecutive weeks. ""Despacito"" was named the greatest Latin song of all time by Billboard and earned Bieber his career-first Latin Grammy Award. In 2019, he released a country collaboration with Dan + Shay, ""10,000 Hours"", which won the Grammy Award for Best Country Duo/Group Performance.In 2020, Bieber released his R&B-inspired fifth studio album, Changes, which debuted at number one in both the UK and US, and a standalone duet with Ariana Grande, ""Stuck with U"", which debuted atop the US Billboard Hot 100. Bieber returned to his pop roots on his sixth studio album, Justice (2021). It produced the worldwide hit ""Peaches"" (featuring Daniel Caesar and Giveon) and debuted atop the US Billboard 200, making him the youngest soloist to have eight US number-one albums, a record held previously by Elvis Presley since 1965. The same year, Bieber released ""Stay"" (with the Kid Laroi), which became his eighth US number-one single.Bieber is one of the best-selling music artists of all time, with estimated sales of over 150 million records worldwide. He is credited with three Diamond certifications from the RIAA for ""Baby"", ""Sorry"" and ""Despacito"". He has received numerous accolades, including two Grammy Awards, one Latin Grammy Award, eight Juno Awards, two Brit Awards, one Bambi Award, 26 Billboard Music Awards, 18 American Music Awards, 22 MTV Europe Music Awards (the most wins for any artist), 23 Teen Choice Awards (the most wins for a male individual), and 33 Guinness World Records. Time named Bieber one of the 100 most influential people in the world in 2011, and he was included on Forbes' list of the top ten most powerful celebrities in 2011, 2012, and 2013.

",https://en.wikipedia.org/wiki/Justin_Bieber
Sweden,110000000.0,PewDiePie,"Felix Arvid Ulf Kjellberg ( SHEL-burg, Swedish: [ˈfěːlɪks ˈǎrːvɪd ɵlf ˈɕɛ̂lːbærj] (listen); born 24 October 1989), better known as PewDiePie ( PEW-dee-py), is a Swedish YouTuber known for his Let's Play videos and comedic formatted videos and shows. Kjellberg's popularity on YouTube and extensive media coverage have made him one of the most noted online personalities and content creators. He has been portrayed in the media as a figurehead for YouTube, especially in the genre of gaming.
Born and raised in Gothenburg, Kjellberg registered his YouTube channel ""PewDiePie"" in 2010, primarily posting Let's Play videos of horror and action video games. His channel gained a substantial following and was one of the fastest growing channels in 2012 and 2013, before becoming the most-subscribed on YouTube on 15 August 2013. From 29 December 2014 to 14 February 2017, Kjellberg's channel was also the most-viewed on the platform. During this period, his content shifted focus from Let's Plays and diversified to include vlogs, comedy shorts, formatted shows, and music videos.
Kjellberg's content was already noted for its polarizing reception among general audiences online, but in the late 2010s, it became more controversial and attracted increased media scrutiny. In 2019, following a public competition with Indian record label T-Series, Kjellberg was overtaken as the most-subscribed YouTube channel. Subsequently, Kjellberg became more reserved online, uploading less consistently and taking frequent breaks from Internet use. He eventually semi-retired from YouTube, choosing to upload for fun, rather than as a career. Meanwhile, in his personal life, he moved to Japan with his wife, Italian Internet personality Marzia.
With over 111 million subscribers and 28.8 billion views, his channel still ranks as one of the most-subscribed and viewed on YouTube. His popularity online has been noted to boost sales for the video games he plays, and has allowed him to stir support for charity fundraising drives. In 2016, Time magazine named him as one of the world's 100 most influential people.

",https://en.wikipedia.org/wiki/PewDiePie
Colombia,109548855.0,Shakira,"Shakira Isabel Mebarak Ripoll ( shə-KEER-ə, Spanish: [(t)ʃaˈkiɾa]; born 2 February 1977) is a Colombian singer and songwriter. Born and raised in Barranquilla, she has been referred to as the ""Queen of Latin Music"" and is noted for her musical versatility. She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide. Buoyed by the international success of her singles ""Whenever, Wherever"" and ""Underneath Your Clothes"", the album propelled her reputation as a leading crossover artist. Broadcast Music, Inc., described Shakira as a ""pioneer"" who extended the global reach of Latino singers.Her success was further solidified with the Spanish albums Fijación Oral, Vol. 1 (2005), Sale el Sol (2010), and El Dorado (2017), all of which topped the Billboard Top Latin Albums chart and were certified diamond (Latin) by  the Recording Industry Association of America. Meanwhile, her English albums Oral Fixation, Vol. 2 (2005), She Wolf (2009) and Shakira (2014) were all certified gold, platinum, or multi-platinum in various countries worldwide. Some of her songs have charted at number one in multiple countries, including ""La Tortura"", ""Hips Don't Lie"", ""Beautiful Liar"", ""Waka Waka (This Time for Africa)"", ""Loca"", ""Chantaje"", and ""Bzrp Music Sessions, Vol. 53"". She served as a coach on two seasons of the American singing competition television series The Voice (2013–2014).
With a catalog of 145 songs, Shakira has sold over 85 million records, making her one of the best-selling music artists of all time. Forbes Colombia reported that as of 2018, she is the top-selling female Latin artist of all time. She is credited with opening the doors of the international market for other Latin artists. She has received numerous awards, including three Grammy Awards, twelve Latin Grammy Awards, four MTV Video Music Awards, seven Billboard Music Awards, thirty-nine Billboard Latin Music Awards, six Guinness World Records and a star on the Hollywood Walk of Fame. She was named the Top Female Latin Artist of the Decade by Billboard twice (2000s and 2010s). For her philanthropic work with her Barefoot Foundation and her contributions to music she received the Latin Recording Academy Person of the Year and Harvard Foundation Artist of the Year awards in 2011. She was appointed to the President's Advisory Commission on Educational Excellence for Hispanics in the US in 2011, and Chevalier of the Order of Arts and Letters by the French government in 2012.",https://en.wikipedia.org/wiki/Shakira
