0,1
Macau,"21,403"
Monaco,"18,149"
Singapore,"8,377"
Hong Kong,"7,135"
Gibraltar,"4,807"
Bahrain,"1,892"
Maldives,"1,737"
Malta,"1,672"
Bangladesh,"1,329"
Sint Maarten,"1,301"
Bermuda,"1,186"
Vatican City,"1,177"
Guernsey,"1,009"
Jersey,932
Mayotte,898
Palestine,892
Taiwan,661
Barbados,656
Saint Martin,642
Mauritius,641
Nauru,639
Aruba,590
Rwanda,571
San Marino,561
South Korea,531
Lebanon,523
Netherlands,523
Burundi,516
India,481
Comoros,458
Saint Barthelemy,440
Curacao,433
Haiti,425
Israel,424
Philippines,394
Reunion,391
Belgium,386
Tuvalu,380
Grenada,371
Puerto Rico,368
Sri Lanka,354
Japan,338
Martinique,325
Guam,320
Vietnam,315
Pakistan,312
El Salvador,307
Trinidad And Tobago,299
Saint Lucia,295
Cayman Islands,289
United States Virgin Islands,285
United Kingdom,280
Gambia,274
Saint Vincent And The Grenadines,266
Jamaica,261
Luxembourg,254
Liechtenstein,247
Nigeria,246
Guadeloupe,243
Uganda,242
Kuwait,242
Sao Tome And Principe,242
Germany,238
Qatar,236
Dominican Republic,235
Seychelles,234
Marshall Islands,233
Switzerland,223
Malawi,222
American Samoa,220
North Korea,217
Nepal,216
Antigua And Barbuda,214
British Virgin Islands,210
Italy,199
Tokelau,189
Saint Kitts And Nevis,184
Anguilla,175
Andorra,170
Guatemala,169
Togo,166
Kiribati,165
Micronesia,165
China,151
Ghana,150
Tonga,150
Isle Of Man,149
Cape Verde,148
Indonesia,148
Denmark,148
Thailand,141
Cyprus,136
Czech Republic,136
Poland,134
United Arab Emirates,134
Jordan,128
Syria,126
Azerbaijan,126
Sierra Leone,122
Benin,122
France,118
Slovakia,118
Egypt,113
Ethiopia,112
Portugal,112
Hungary,111
Turkey,110
Austria,109
Northern Mariana Islands,108
Cuba,108
Slovenia,105
Iraq,105
Moldova,104
Malaysia,104
Albania,103
Costa Rica,102
Armenia,98
Dominica,97
Kenya,97
Cambodia,96
Spain,95
Honduras,95
Senegal,92
Timor Leste,91
Ivory Coast,91
French Polynesia,89
Romania,86
Brunei,86
Burkina Faso,85
Morocco,85
Myanmar,84
North Macedonia,83
Serbia,82
Samoa,81
Greece,80
Tunisia,80
Uzbekistan,80
Lesotho,77
Guinea Bissau,76
Tanzania,76
Ireland,73
Ecuador,73
Tajikistan,73
Croatia,72
Cook Islands,71
Eswatini,70
Mexico,66
Yemen,65
Afghanistan,65
Ukraine,63
Bosnia And Herzegovina,63
Bulgaria,62
Equatorial Guinea,61
Cameroon,61
Panama,60
Nicaragua,59
Guinea,58
Liberia,56
Iran,55
Georgia,54
Madagascar,52
Fiji,51
South Africa,50
Djibouti,49
Turks And Caicos Islands,49
Colombia,47
Belarus,47
Montenegro,47
Dr Congo,45
Lithuania,43
Mozambique,43
Zimbabwe,43
Montserrat,43
Wallis And Futuna,42
Bahamas,41
Palau,39
Faroe Islands,39
United States,37
Kyrgyzstan,35
Laos,33
Venezuela,33
Eritrea,31
Estonia,31
Angola,29
Latvia,29
Somalia,29
Zambia,28
Vanuatu,27
Peru,27
Solomon Islands,26
Chile,26
Sweden,26
Brazil,26
Sudan,26
Saint Pierre And Miquelon,24
Papua New Guinea,23
Niger,21
Bhutan,21
New Zealand,20
Uruguay,20
Algeria,19
Mali,19
Finland,18
Belize,18
Republic Of The Congo,18
South Sudan,18
Paraguay,17
Saudi Arabia,17
Argentina,17
New Caledonia,16
Norway,15
Oman,15
Chad,15
Turkmenistan,14
Bolivia,11
Gabon,9
Central African Republic,9
Russia,9
Niue,7
Kazakhstan,7
Botswana,5
Mauritania,5
Canada,4
Guyana,4
Suriname,4
Libya,4
French Guiana,4
Iceland,4
Australia,3
Namibia,3
Mongolia,2
Western Sahara,2
Falkland Islands,0.31
Greenland,0.14
