0,1,2,3,4
United States,705749.0,"Washington, D.C.","Washington, D.C., formally the District of Columbia, also known as Washington, the District, or D.C., is the capital city and federal district of the United States. The city is located on the east bank of the Potomac River, which forms its southwestern border with Virginia, and it borders Maryland to its north and east. The city was named for George Washington, a Founding Father, commanding general of the Continental Army during the Revolutionary War, and the first president of the United States, and the district is named after Columbia, the female personification of the nation. 
Washington, D.C. represents the southern point of the Northeast megalopolis, a major cultural, political, and economic corridor along the northeastern coast of the United States running from Boston to Washington, D.C.. As the seat of the U.S. federal government and several international organizations, the city is an important world political capital. It is one of the most visited cities in the U.S. with over 20 million annual visitors as of 2016.The U.S. Constitution provides for a federal district under the exclusive jurisdiction of Congress; the district is not a part of any U.S. state (nor is it one itself). The signing of the Residence Act on July 16, 1790, approved the creation of the capital district located along the Potomac River near the country's East Coast. The City of Washington was founded in 1791, and Congress held its first session there in 1800. In 1801, the territory, formerly part of Maryland and Virginia and including the settlements of Georgetown and Alexandria, was officially recognized as the federal district. In 1846, Congress returned the land originally ceded by Virginia, including the city of Alexandria; in 1871, it created a single municipal government for the remaining portion of the district. There have been efforts to make the city into a state since the 1880s; a statehood bill passed the House of Representatives in 2021.The city is divided into quadrants centered on the Capitol. There are 131 neighborhoods. According to the 2020 census, D.C. has a population of 689,545, which makes it the 23rd most populous city in the U.S. as of 2020, the third most populous city in the Mid-Atlantic, and gives it a population larger than that of two U.S. states: Wyoming and Vermont. Commuters from the surrounding Maryland and Virginia suburbs raise the city's daytime population to more than one million during the workweek. Washington's metropolitan area, the country's sixth largest (including parts of Maryland, Virginia and West Virginia), had a 2020 estimated population of 6.3 million residents; and over 54 million people live within 250 mi (400 km) of the District.The three branches of the U.S. federal government are centered in the district: Congress (legislative), the president (executive), and the Supreme Court (judicial). Washington is home to many national monuments and museums, primarily situated on or around the National Mall. The city hosts 177 foreign embassies as well as the headquarters of many international organizations, trade unions, non-profits, lobbying groups, and professional associations, including the World Bank Group, the International Monetary Fund, the Organization of American States, AARP, the National Geographic Society, the American Red Cross, and others.
A locally elected mayor and a 13-member council have governed the district since 1973. Congress maintains supreme authority over the city and may overturn local laws. The District of Columbia does not have representation in Congress, although D.C. residents elect a single at-large congressional delegate to the House of Representatives who has no vote. District voters choose three presidential electors in accordance with the Twenty-third Amendment, ratified in 1961. The District of Columbia has been a member state of the Unrepresented Nations and Peoples Organization (UNPO) since 2015.","https://en.wikipedia.org/wiki/Washington,_D.C."
Germany,3748148.0,Berlin,"Berlin ( bur-LIN, German: [bɛɐ̯ˈliːn] (listen)) is the capital and largest city of Germany by both area and population. Its 3.7 million inhabitants make it the European Union's most populous city, according to population within city limits. One of Germany's sixteen constituent states, Berlin is surrounded by the State of Brandenburg and contiguous with Potsdam, Brandenburg's capital. Berlin's urban area, which has a population of around 4.5 million, is the second most populous urban area in Germany after the Ruhr. The Berlin-Brandenburg capital region has around 6.2 million inhabitants and is Germany's third-largest metropolitan region after the Rhine-Ruhr and Rhine-Main regions.Berlin straddles the banks of the Spree, which flows into the Havel (a tributary of the Elbe) in the western borough of Spandau. Among the city's main topographical features are the many lakes in the western and southeastern boroughs formed by the Spree, Havel and Dahme, the largest of which is Lake Müggelsee. Due to its location in the European Plain, Berlin is influenced by a temperate seasonal climate. About one-third of the city's area is composed of forests, parks, gardens, rivers, canals, and lakes. The city lies in the Central German dialect area, the Berlin dialect being a variant of the Lusatian-New Marchian dialects.
First documented in the 13th century and at the crossing of two important historic trade routes, Berlin became the capital of the Margraviate of Brandenburg (1417–1701), Kingdom of Prussia (1701–1918), German Empire (1871–1918), Weimar Republic (1919–1933), and Nazi Germany (1933–1945). Berlin has served as a scientific, artistic and philosophical hub of the Enlightenment, Neoclassicism, and liberal revolution. The Gründerzeitcode: deu promoted to code: de  era's 
industrialization-induced economic boom multiplied Berlin's population rapidly. Berlin in the roaring 1920s was the third-largest city in the world by population.After World War II and its subsequent occupation by the victorious countries, the devastated city was divided; West Berlin became a de facto exclave of West Germany, surrounded by the Berlin Wall (from August 1961 to November 1989) and East German territory. East Berlin was declared capital of East Germany, while Bonn became the West German capital. Following German reunification in 1990, Berlin once again became the capital of all of Germany.
Berlin is a world city of culture, politics, media and science. Its economy is based on high-tech firms and the service sector, encompassing a diverse range of creative industries, startup companies, research facilities, media corporations, and convention venues. Berlin serves as a continental hub for air and rail traffic and has a highly complex public transportation network. The metropolis is a popular tourist destination. Significant industries also include information technology, healthcare, biomedical engineering, biotechnology, automotive, construction, electronics, social economy and clean tech.
Berlin is home to world-renowned universities such as the Humboldt University, Technical University, Free University, University of the Arts, ESMT Berlin, Hertie School, and Bard College Berlin. Its Zoological Garden is the most visited zoo in Europe and one of the most popular worldwide. With Babelsberg being the world's first large-scale movie studio complex, Berlin is an increasingly popular location for international film productions. The city is well known for its festivals, diverse architecture, nightlife, contemporary arts, and a very high quality of life.Berlin is also home to three World Heritage Sites: Museum Island; the Palaces and Parks of Potsdam and Berlin; and the Modernism Housing Estates. Other landmarks include the Brandenburg Gate, Reichstag building, Potsdamer Platz, Memorial to the Murdered Jews of Europe, Berlin Wall Memorial, East Side Gallery, Berlin Victory Column, Berlin Cathedral, and Berlin Television Tower, the tallest structure in Germany. Berlin has numerous museums, galleries, libraries, orchestras, and sporting events including Museum Island, the German Historical Museum, Jewish Museum, Natural History Museum, State Library, State Opera, Philharmonic, and the Berlin Marathon.

",https://en.wikipedia.org/wiki/Berlin
Switzerland,121631.0,Bern,"Bern (Swiss Standard German: [bɛrn] (listen)) or Berne is the de facto capital of Switzerland, referred to as the ""federal city""  With a population of about 133,000 (as of 2022), Bern is the fifth-most populous city in Switzerland, behind Zurich, Geneva, Basel and Lausanne. The Bern agglomeration, which includes 36 municipalities, had a population of 406,900 in 2014. The metropolitan area had a population of 660,000 in 2000.Bern is also the capital of the canton of Bern, the second-most populous of Switzerland's cantons. The official language is German, but the main spoken language is the local variant of the Alemannic Swiss German dialect, Bernese German. In 1983, the historic old town (in German: Altstadt) in the centre of Bern became a UNESCO World Heritage Site. It is notably surrounded by the Aare, a major river of the Swiss Plateau.
Although fortified settlements were established since antiquity, the medieval city proper was founded by the Zähringer ruling family, probably in 1191 by Berthold V, Duke of Zähringen. Bern was made a free imperial city in 1218 and, in 1353, it joined the Swiss Confederacy, becoming one of its eight early cantons. Since then, Bern became a large city-state and a prominent actor of Swiss history by pursuing a policy of sovereign territorial expansion. Since the 15th century, the city was progressively rebuilt and acquired its current characteristics. Bern was made the Federal City in 1848. From about 5,000 inhabitants in the 15th century, the city passed the 100,000 mark in the 1920s.",https://en.wikipedia.org/wiki/Bern
United Kingdom,8908081.0,London,"The City of London is a city, ceremonial county and local government district that contains the historic centre and constitutes, alongside Canary Wharf, the primary central business district (CBD) of London. It constituted most of London from its settlement by the Romans in the 1st century AD to the Middle Ages, but the modern area named London has since grown far beyond the City of London boundary. The City is now only a small part of the metropolis of Greater London, though it remains a notable part of central London. Administratively, the City of London is not one of the London boroughs, a status reserved for the other 32 districts (including Greater London's only other city, the City of Westminster). It is also a separate ceremonial county, being an enclave surrounded by Greater London, and is the smallest ceremonial county in the United Kingdom.
The City of London is widely referred to simply as the City (differentiated from the phrase ""the city of London"" by capitalising City) and known as the Square Mile, as it is 1.12 sq mi (716.80 acres; 2.90 km2) in area. Both of these terms are also often used as metonyms for the United Kingdom's trading and financial services industries, which continue a notable history of being largely based in the City. The name London is now ordinarily used for a far wider area than just the city. London most often denotes the sprawling London metropolis, or the 32 Greater London boroughs, in addition to the City of London itself. This wider usage of London is documented as well-established in 1864, and the case of Lord Henry Seymour's Will.The local authority for the City, namely the City of London Corporation, is unique in the UK and has some unusual responsibilities for a local council, such as being the police authority. It is also unusual in having responsibilities and ownerships beyond its boundaries. The corporation is headed by the Lord Mayor of the City of London (an office separate from, and much older than, the Mayor of London). The Lord Mayor, as of November 2022, is Nicholas Lyons. The City is made up of 25 wards, with administration at the historic Guildhall.  Other historic sites include St Paul's Cathedral, Royal Exchange, Mansion House, Old Bailey, and Smithfield Market.  Although not within the City, the adjacent Tower of London is part of its old defensive perimeter. The City has responsibility for five bridges in its capacity as trustee of the Bridge House Estates: Blackfriars Bridge, Millennium Bridge, Southwark Bridge, London Bridge and Tower Bridge.
The City is a major business and financial centre, and the Bank of England is headquartered in the city.  Throughout the 19th century, the City was the world's primary business centre, and it continues to be a major meeting point for businesses. London came second (after New York) in the Global Financial Centres Index, published in 2022. The insurance industry is located in the eastern side of the city, around Lloyd's building. Since about the 1980s, a secondary financial district has existed outside the city, at Canary Wharf, 2.5 miles (4 km) to the east.
The City has a resident population of 9,401 (ONS estimate, mid-2016) but over 500,000 are employed there (2019 statistics), and some estimates put the number of workers in the City to be over 1 million. About three-quarters of the jobs in the City of London are in the financial, professional, and associated business services sectors. The legal profession forms a major component of the northern and western sides of the City, especially in the Temple and Chancery Lane areas where the Inns of Court are located, of which two—Inner Temple and Middle Temple—fall within the City of London boundary.",https://en.wikipedia.org/wiki/City_of_London
Egypt,9848576.0,Cairo,"Cairo ( KAIR-oh) is the southernmost city in Illinois and the county seat of Alexander County.
The city is located at the confluence of the Ohio and Mississippi rivers. Fort Defiance, a Civil War camp, was built here in 1862 by Union General Ulysses S. Grant to control strategic access to the rivers, and launch and supply his successful campaigns south. Cairo has the lowest elevation of any location in Illinois and is the only Illinois city to be surrounded by levees. It is in the area of Southern Illinois known as Little Egypt, for which the city is named after Egypt's capital.
Several blocks in the town comprise the Cairo Historic District, listed on the National Register of Historic Places (NRHP). The Old Customs House is also on the NRHP. The city is part of the Cape Girardeau–Jackson, MO–IL Metropolitan Statistical Area. Developed as a river port, Cairo was later bypassed by transportation changes away from the large expanse of low-lying land and water, which surrounds Cairo, and due to industrial restructuring, the population peaked at 15,203 in 1920, while in the 2020 census it was 1,733.
The entire city was evacuated during the 2011 Mississippi River Floods, after the Ohio River rose higher than the 1937 flood levels, with the possibility of 15 feet of water inundating Cairo. The United States Army Corps of Engineers breached levees in the Mississippi flood zone near Cairo in Missouri to prevent flooding in Cairo and other more populous areas further downstream along both the Ohio and Mississippi rivers.

","https://en.wikipedia.org/wiki/Cairo,_Illinois"
France,2241346.0,Paris,"Paris (French pronunciation: ​[paʁi] (listen)) is the capital and most populous city of France, with an estimated population of 2,165,423 residents in 2019 in an area of more than 105 km² (41 sq mi), making it the 30th most densely populated city in the world in 2020. Since the 17th century, Paris has been one of the world's major centres of finance, diplomacy, commerce, fashion, gastronomy, and science. For its leading role in the arts and sciences, as well as its very early system of street lighting, in the 19th century it became known as ""the City of Light"". Like London, prior to the Second World War, it was also sometimes called the capital of the world.
The City of Paris is the centre of the Île-de-France region, or Paris Region, with an estimated population of 12,262,544 in 2019, or about 19% of the population of France, making the region France's primate city. The Paris Region had a GDP of €739 billion ($743 billion) in 2019, which is the highest in Europe. According to the Economist Intelligence Unit Worldwide Cost of Living Survey, in 2022, Paris was the city with the ninth-highest cost of living in the world.Paris is a major railway, highway, and air-transport hub served by two international airports: Charles de Gaulle Airport (the second-busiest airport in Europe) and Orly Airport. Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily; it is the second-busiest metro system in Europe after the Moscow Metro. Gare du Nord is the 24th-busiest railway station in the world and the busiest located outside Japan, with 262 million passengers in 2015. Paris is especially known for its museums and architectural landmarks: the Louvre received 2.8 million visitors in 2021, despite the long museum closings caused by the COVID-19 virus. The Musée d'Orsay, Musée Marmottan Monet and Musée de l'Orangerie are noted for their collections of French Impressionist art. The Pompidou Centre Musée National d'Art Moderne has the largest collection of modern and contemporary art in Europe and Musée Rodin and Musée Picasso. The historical district along the Seine in the city centre has been classified as a UNESCO World Heritage Site since 1991; popular landmarks there include the Cathedral of Notre Dame de Paris on the Île de la Cité, now closed for renovation after the 15 April 2019 fire. Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur.Paris hosts several United Nations organisations including UNESCO, and other international organisations such as the OECD, the OECD Development Centre, the International Bureau of Weights and Measures, the International Energy Agency, the International Federation for Human Rights, along with European bodies such as the European Space Agency, the European Banking Authority or the European Securities and Markets Authority.
The football club Paris Saint-Germain and the rugby union club Stade Français are based in Paris. The 80,000-seat Stade de France, built for the 1998 FIFA World Cup, is located just north of Paris in the neighbouring commune of Saint-Denis. Paris hosts the annual French Open Grand Slam tennis tournament on the red clay of Roland Garros. The city hosted the Olympic Games in 1900, 1924 and will host the 2024 Summer Olympics. The 1938 and 1998 FIFA World Cups, the 2007 Rugby World Cup, as well as the 1960, 1984 and 2016 UEFA European Championships were also held in the city. Every July, the Tour de France bicycle race finishes on the Avenue des Champs-Élysées in Paris.",https://en.wikipedia.org/wiki/Paris
Lithuania,556723.0,Vilnius,"Vilnius ( VIL-nee-əs, Lithuanian: [ˈvʲɪlʲnʲʊs] (listen); previously known in English as Vilna, see also other names) is the capital and largest city of Lithuania, with a population of 625,349 (according to the state register) or 626,554 (according to the municipality of Vilnius) as of 2023. The population of Vilnius's functional urban area, which stretches beyond the city limits, is estimated at 718,507 (as of 2020), while according to the Vilnius territorial health insurance fund, there were 753,875 permanent inhabitants as of November 2022 in Vilnius city and Vilnius district municipalities combined. Vilnius is situated in southeastern Lithuania and is currently the second largest city in the Baltic states. It is the seat of Lithuania's national government and the Vilnius District Municipality.
Vilnius is known, among other things, for the architecture of its Old Town, one of the largest and best preserved old towns in Northern, Eastern, and Central Europe, declared a UNESCO World Heritage Site in 1994. The city was noted for its multicultural population already in the time of the Polish–Lithuanian Commonwealth, with contemporary sources comparing it to Babylon. Before World War II and the Holocaust, Vilnius was one of the most important Jewish centres in Europe. Its Jewish influence has led to its nickname ""the Jerusalem of Lithuania"". Napoleon called it ""the Jerusalem of the North"" as he was passing through in 1812.
In 2009, Vilnius was the European Capital of Culture, together with Linz, Austria. In 2021, Vilnius was named among top-25 fDi's Global Cities of the Future – one of the most forward-thinking cities with the greatest potential in the world.",https://en.wikipedia.org/wiki/Vilnius
Italy,2873104.0,Rome,"Rome (Italian and Latin: Roma [ˈroːma] (listen)) is the capital city of Italy. It is also the capital of the Lazio region, the centre of the Metropolitan City of Rome, and a special comune named Comune di Roma Capitale. With 2,860,009 residents in 1,285 km2 (496.1 sq mi), Rome is the country's most populated comune and the third most populous city in the European Union by population within city limits. The Metropolitan City of Rome, with a population of 4,355,725 residents, is the most populous metropolitan city in Italy. Its metropolitan area is the third-most populous within Italy. Rome is located in the central-western portion of the Italian Peninsula, within Lazio (Latium), along the shores of the Tiber. Vatican City (the smallest country in the world) is an independent country inside the city boundaries of Rome, the only existing example of a country within a city. Rome is often referred to as the City of Seven Hills due to its geographic location, and also as the ""Eternal City"". Rome is generally considered to be the ""cradle of Western civilization and Christian culture"", and the centre of the Catholic Church.Rome's history spans 28 centuries. While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer, making it a major human settlement for almost three millennia and one of the oldest continuously occupied cities in Europe. The city's early population originated from a mix of Latins, Etruscans, and Sabines. Eventually, the city successively became the capital of the Roman Kingdom, the Roman Republic and the Roman Empire, and is regarded by many as the first-ever Imperial city and metropolis. It was first called The Eternal City (Latin: Urbs Aeterna; Italian: La Città Eterna) by the Roman poet Tibullus in the 1st century BC, and the expression was also taken up by Ovid, Virgil, and Livy. Rome is also called ""Caput Mundi"" (Capital of the World). After the fall of the Empire in the west, which marked the beginning of the Middle Ages, Rome slowly fell under the political control of the Papacy, and in the 8th century, it became the capital of the Papal States, which lasted until 1870. Beginning with the Renaissance, almost all popes since Nicholas V (1447–1455) pursued a coherent architectural and urban programme over four hundred years, aimed at making the city the artistic and cultural centre of the world. In this way, Rome became first one of the major centres of the Renaissance, and then the birthplace of both the Baroque style and Neoclassicism. Famous artists, painters, sculptors, and architects made Rome the centre of their activity, creating masterpieces throughout the city. In 1871, Rome became the capital of the Kingdom of Italy, which, in 1946, became the Italian Republic.
In 2019, Rome was the 14th most visited city in the world, with 8.6 million tourists, the third most visited in the European Union, and the most popular tourist destination in Italy. Its historic centre is listed by UNESCO as a World Heritage Site. The host city for the 1960 Summer Olympics, Rome is also the seat of several specialised agencies of the United Nations, such as the Food and Agriculture Organization (FAO), the World Food Programme (WFP) and the International Fund for Agricultural Development (IFAD). The city also hosts the Secretariat of the Parliamentary Assembly of the Union for the Mediterranean (UfM) as well as the headquarters of many international businesses, such as Eni, Enel, TIM, Leonardo, and banks such as BNL. Numerous companies are based within Rome's EUR business district, such as the luxury fashion house Fendi located in the Palazzo della Civiltà Italiana. The presence of renowned international brands in the city has made Rome an important centre of fashion and design, and the Cinecittà Studios have been the set of many Academy Award–winning movies.",https://en.wikipedia.org/wiki/Rome
Belgium,148873.0,City of Brussels,"The City of Brussels (French: Ville de Bruxelles [vil də bʁysɛl] or alternatively Bruxelles-Ville [bʁysɛl vil]; Dutch: Stad Brussel [stɑd ˈbrʏsəl] or Brussel-Stad) is the largest municipality and historical centre of the Brussels-Capital Region, as well as the capital of the Flemish Region (from which it is separate) and Belgium. The City of Brussels is also the administrative centre of the European Union, as it hosts a number of principal EU institutions in its European Quarter.Besides the central historic town located within the Pentagon, the City of Brussels covers some of the city's immediate outskirts within the greater Brussels-Capital Region, namely Haren, Laeken, and Neder-Over-Heembeek to the north, as well as the Avenue Louise/Louizalaan and the Bois de la Cambre/Ter Kamerenbos park to the south-east, where it borders municipalities in Flanders.
As of 1 January 2017, the City of Brussels had a total population of 176,545. The total area is 32.61 km2 (12.59 sq mi) which gives a population density of 5,475 inhabitants per square kilometre (14,180/sq mi). As of 2007, there were approximately 50,000 registered non-Belgians in the City of Brussels. In common with all of Brussels' municipalities, it is legally bilingual (French–Dutch).",https://en.wikipedia.org/wiki/City_of_Brussels
Uzbekistan,2207850.0,Tashkent,"Tashkent (, Uzbek: Toshkent, Тошкент / تاشکند, US also , from Russian: Ташкент) or Toshkent (; IPA: [tɒʃˈkent]), historically known as Chach, is the capital and largest city of Uzbekistan. It is the most populous city in Central Asia, with a population of 2,909,500 (2022). It is located in northeastern Uzbekistan, near the border with Kazakhstan. Tashkent comes from the Turkic tash and kent, literally translated as ""Stone City"" or ""City of Stones"".
Before Islamic influence started in the mid-8th century AD, Tashkent was influenced by the Sogdian and Turkic cultures. After Genghis Khan destroyed it in 1219, it was rebuilt and profited from the Silk Road. From the 18th to the 19th century, the city became an independent city-state, before being re-conquered by the Khanate of Kokand. In 1865, Tashkent fell to the Russian Empire; it became the capital of Russian Turkestan. In Soviet times, it witnessed major growth and demographic changes due to forced deportations from throughout the Soviet Union. Much of Tashkent was destroyed in the 1966 Tashkent earthquake, but it was rebuilt as a model Soviet city. It was the fourth-largest city in the Soviet Union at the time, after Moscow, Leningrad and Kyiv.Today, as the capital of an independent Uzbekistan, Tashkent retains a multiethnic population, with ethnic Uzbeks as the majority. In 2009, it celebrated its 2,200 years of written history.",https://en.wikipedia.org/wiki/Tashkent
