0,1
Afghanistan,110854790
Africa (UN),3924420600
Albania,1097163
Algeria,67792980
American Samoa,12704
Andorra,60264
Angola,132901280
Anguilla,9556
Antigua and Barbuda,76521
Argentina,47561636
Armenia,1598832
Aruba,60209
Asia (UN),4674249000
Australia,38089396
Austria,7945559
Azerbaijan,8265204
Bahamas,402812
Bahrain,2046914
Bangladesh,176366050
Barbados,203031
Belarus,6469459
Belgium,11521158
Belize,562799
Benin,46617380
Bermuda,37001
Bhutan,654432
Bolivia,18861518
Bonaire Sint Eustatius and Saba,28989
Bosnia and Herzegovina,1739038
Botswana,4177616
Brazil,184547600
British Virgin Islands,31688
Brunei,404524
Bulgaria,2943539
Burkina Faso,61539296
Burundi,39388470
Cambodia,19118806
Cameroon,87093220
Canada,53903776
Cape Verde,667370
Cayman Islands,78731
Central African Republic,18793632
Chad,65152510
Chile,16798532
China,766673300
Colombia,45837092
Comoros,1570171
Congo,17181632
Cook Islands,16784
Costa Rica,4532994
Cote d'Ivoire,89367000
Croatia,2113907
Cuba,6478338
Curacao,193816
Cyprus,1337053
Czechia,11172301
Democratic Republic of Congo,432378400
Denmark,7093768
Djibouti,1676912
Dominica,52931
Dominican Republic,11908082
Ecuador,21448230
Egypt,205225090
El Salvador,4284252
Equatorial Guinea,3855781
Eritrea,8575295
Estonia,835711
Eswatini,1992793
Ethiopia,323741600
Europe (UN),586515460
Faeroe Islands,68529
Falkland Islands,2786
Fiji,1048160
Finland,5023924
France,60851680
French Guiana,928835
French Polynesia,281836
Gabon,5268090
Gambia,6667403
Georgia,2366910
Germany,68936100
Ghana,72826470
Gibraltar,23881
Greece,6380722
Greenland,40601
Grenada,115636
Guadeloupe,318693
Guam,183231
Guatemala,26170742
Guernsey,56467
Guinea,34178280
Guinea-Bissau,4765970
Guyana,632634
Haiti,16109404
High-income countries,1187754000
Honduras,15166662
Hong Kong,4852435
Hungary,6929829
Iceland,368491
India,1529850100
Indonesia,296623500
Iran,79906380
Iraq,111503540
Ireland,5722309
Isle of Man,88348
Israel,18410400
Italy,36874250
Jamaica,897065
Japan,73644056
Jersey,161405
Jordan,17625252
Kazakhstan,34093332
Kenya,112525080
Kiribati,238677
Kosovo,944536
Kuwait,4895800
Kyrgyzstan,11975368
Land-locked Developing Countries (LLDC),1446563600
Laos,9694234
Latin America and the Caribbean (UN),647399700
Latvia,954189
Least developed countries,3021883600
Lebanon,4745074
Lesotho,2967271
Less developed regions,9196978000
"Less developed regions, excluding China",8409179600
"Less developed regions, excluding least developed countries",6175095300
Liberia,13226145
Libya,8473049
Liechtenstein,41496
Lithuania,1503077
Low-income countries,2265048300
Lower-middle-income countries,4987888000
Luxembourg,879488
Macao,1031187
Madagascar,83316560
Malawi,58521720
Malaysia,39474470
Maldives,469445
Mali,87079530
Malta,386369
Marshall Islands,50993
Martinique,230367
Mauritania,15450986
Mauritius,846899
Mayotte,1356382
Mexico,115626620
Micronesia (country),115363
Moldova,2457141
Monaco,50879
Mongolia,5257220
Montenegro,429269
Montserrat,2590
More developed regions,1152344300
Morocco,43933296
Mozambique,106196950
Myanmar,52417690
Namibia,5018503
Nauru,12397
Nepal,33769508
Netherlands,16580147
New Caledonia,366574
New Zealand,6069343
Nicaragua,9138050
Niger,167008290
Nigeria,546091650
Niue,2239
North Korea,20473594
North Macedonia,1209749
Northern America (UN),448026100
Northern Mariana Islands,41462
Norway,7219859
Oceania (UN),68711950
Oman,7838996
Pakistan,487017400
Palau,14024
Palestine,12805188
Panama,6206165
Papua New Guinea,18548048
Paraguay,8605018
Peru,42102150
Philippines,180147660
Poland,23082364
Portugal,6885465
Puerto Rico,1274148
Qatar,4379299
Reunion,1113969
Romania,13105210
Russia,112068750
Rwanda,33811630
Saint Barthlemy,5174
Saint Helena,2821
Saint Kitts and Nevis,35962
Saint Lucia,121541
Saint Martin (French part),34485
Saint Pierre and Miquelon,3629
Saint Vincent and the Grenadines,72721
Samoa,441190
San Marino,26107
Sao Tome and Principe,531763
Saudi Arabia,50468332
Senegal,62054840
Serbia,3266066
Seychelles,103661
Sierra Leone,16965736
Singapore,5446427
Sint Maarten (Dutch part),26100
Slovakia,3854319
Slovenia,1666119
Small Island Developing States (SIDS),84580280
Solomon Islands,2003495
Somalia,66335736
South Africa,74559590
South Korea,24102932
South Sudan,23720026
Spain,30880752
Sri Lanka,14694777
Sudan,141996160
Suriname,705351
Sweden,13187843
Switzerland,10439543
Syria,43472704
Taiwan,15241964
Tajikistan,20398912
Tanzania,244819890
Thailand,44570984
Timor,1804542
Togo,26980356
Tokelau,2817
Tonga,129907
Trinidad and Tobago,1055539
Tunisia,13530733
Turkey,82549010
Turkmenistan,8814389
Turks and Caicos Islands,55698
Tuvalu,14222
Uganda,132127040
Ukraine,20432790
United Arab Emirates,14089001
United Kingdom,70485070
United States,394041150
United States Virgin Islands,37984
Upper-middle-income countries,1872078000
Uruguay,2409372
Uzbekistan,50794588
Vanuatu,1019378
Venezuela,35353216
Vietnam,91036740
Wallis and Futuna,9907
Western Sahara,1121876
World,10349323000
Yemen,74176030
Zambia,63604544
Zimbabwe,35633412
