0,1
Central African Republic,83.41
Rwanda,59.51
Malawi,58.68
Chad,56.89
Mozambique,55.27
Ethiopia,55.07
Guinea-Bissau,51.93
Tanzania,50.63
Angola,50.03
Guinea,47.15
Cameroon,44.83
Republic of the Congo,44.44
Pakistan,44.28
Afghanistan,44.01
Uganda,42.66
Burundi,42.52
Zambia,42.06
Côte d’Ivoire,41.82
Cambodia,41.7
Nauru,40.18
Togo,40.15
Madagascar,39.81
Burkina Faso,39.72
Eritrea,39.25
Benin,39.2
Mali,37.83
Nigeria,37.55
Zimbabwe,36.41
Niger,36.34
Senegal,36.32
Gambia,36.14
Papua New Guinea,35.52
Somalia,35.52
Bhutan,34.67
Mauritania,34.28
Haiti,33.41
Democratic Republic of the Congo,33.2
Lesotho,32.95
India,32.75
Kenya,30.65
Mongolia,30.38
South Africa,30.33
Samoa,30.24
Nicaragua,30.22
Bangladesh,30.05
Djibouti,29.37
Philippines,29.08
Iran,28.52
El Salvador,28.27
Sierra Leone,27.52
Ghana,27.25
Timor-Leste,26.95
Yemen,26.93
Morocco,26.8
Eswatini,26.6
Vanuatu,26.57
Mexico,26.55
Venezuela,25.68
Honduras,25.6
Kiribati,25.49
Solomon Islands,25.41
Syria,25.33
Kyrgyzstan,24.99
Jamaica,24.79
Gabon,24.53
United Arab Emirates,24.52
Ecuador,24.48
Algeria,24.32
Paraguay,24.16
Botswana,23.71
Egypt,23.68
Colombia,23.6
Equatorial Guinea,23.23
Guyana,23.16
Myanmar,23.05
Sri Lanka,22.93
Liberia,22.32
Tajikistan,22.3
Panama,21.96
Tonga,21.63
Uzbekistan,21.51
Russia,21.26
Cape Verde,21.07
Nepal,20.91
North Korea,20.3
Vietnam,20.28
Guatemala,20.26
Brazil,20.22
Belize,19.78
Fiji,19.74
Kazakhstan,19.64
Romania,19.33
Belarus,19.23
Bahamas,19.03
Czech Republic,18.93
Dominican Republic,18.92
Comoros,18.9
Bolivia,18.76
Jordan,18.54
France,18.18
Moldova,17.92
Australia,17.88
Chile,17.79
Bulgaria,17.61
Trinidad & Tobago,17.58
Albania,17.57
Canada,17.42
Peru,17.39
Argentina,17.23
Indonesia,17.03
Turkey,16.98
Iraq,16.96
Bosnia and Herzegovina,16.93
Libya,16.9
Tunisia,16.87
China,16.43
South Korea,16.29
Thailand,16.22
Mauritius,16.2
Grenada,16.18
Ireland,16.06
Cayman Islands,15.75
Palau,15.66
Japan,15.66
Tuvalu,15.58
Slovakia,15.54
Azerbaijan,15.43
Armenia,15.42
United Kingdom,15.13
New Zealand,14.92
St. Lucia,14.74
Singapore,14.69
Seychelles,14.49
North Macedonia,14.41
Serbia,14.29
United States,14.2
Barbados,13.99
Saudi Arabia,13.81
Slovenia,13.8
Finland,13.67
Puerto Rico,13.54
Lithuania,13.52
Croatia,13.51
Macao,13.5
Suriname,13.39
Hong Kong,13.35
Spain,13.13
Dominica,13.08
Malta,13.03
Ukraine,12.98
Lebanon,12.48
Antigua & Barbuda,12.41
Portugal,12.35
Germany,12.3
Sweden,12.23
Costa Rica,12.2
Qatar,12.17
Israel,12.07
Bahrain,11.92
Cyprus,11.92
Netherlands,11.81
Monaco,11.7
Malaysia,11.66
Italy,11.48
Latvia,11.33
Estonia,11.31
Belgium,11.28
Uruguay,11.02
Hungary,10.77
Denmark,10.74
Andorra,10.5
Poland,10.18
Iceland,10.14
Austria,10.02
Switzerland,9.93
Brunei,9.9
Oman,9.67
Greece,9.38
Cuba,9.16
Georgia,8.98
Kuwait,8.88
Norway,8.59
Luxembourg,8.3
Liechtenstein,7.68
San Marino,6.93
Maldives,10.9
Laos,24.2
Turkmenistan,9.0
Sudan,25.84
Namibia,25.09
Montenegro,17.6
