0,1,2
Australia,1967.0,"Main article: Capital punishment in Australia
Capital punishment was abolished in Queensland in 1922; Tasmania in 1968; the Northern Territory, the Australian Capital Territory and the Commonwealth in 1973; Victoria in 1975; South Australia in 1976; Western Australia in 1984; and New South Wales in 1985."
Micronesia,-9999.0,Abolished in 1986 by Constitution.
Fiji,-9999.0,Last execution when a colony of Britain was in 1964. The death penalty for crimes under the Republic of Fiji Military Forces Act was abolished in Feb 2015. Abolished for other crimes 1979.
Kiribati,-9999.0,
Marshall Islands,-9999.0,Abolished in 1986 by Constitution.
Nauru,-9999.0,"Main article: Capital punishment in Nauru
Death penalty abolished May 2016.[367] Despite having abolished capital punishment, Nauru voted against the UN Moratorium on the Death Penalty in 2018."
New Zealand,1957.0,"Main article: Capital punishment in New Zealand
Abolished in New Zealand in 1941 for most crimes, reinstated in 1950, abolished again in 1961 for most crimes, and formally abolished for treason in 1989.See also: Capital punishment in the Cook Islands
In 2007 the Cook Islands became the last of New Zealand's overseas territories to abolish capital punishment."
Palau,-9999.0,
Papua New Guinea,-9999.0,"Main article: Capital punishment in Papua New Guinea
Last execution when under Australian administration in November 1957. The death penalty was abolished in 1970, five years before independence. It was reinstated in 1991, but never applied. It was abolished again in 2022.[369]"
Samoa,-9999.0,
Solomon Islands,-9999.0,
Tonga,1982.0,"Main article: Capital punishment in Tonga
Hanging. Death penalty for treason, murder."
Tuvalu,-9999.0,
Vanuatu,-9999.0,
Algeria,1993.0,"Firing Squad, shooting. Death penalty for treason; espionage; aggravated murder; castration resulting in death; arson (or destruction using explosive devices) of buildings, vehicles or harvests resulting in death; intentional destruction of military equipment resulting in death; attempts to change the regime or actions aimed at incitement; destruction of territory; sabotage to public and economic utilities; massacres and slaughters; participation in armed bands or in insurrectionary movements; counterfeiting; terrorism; acts of torture or cruelty; kidnapping; aggravated theft; some military offences; poisoning; attempting a death-eligible offense; some cases of recidivism and perjury leading to a death sentence pronounced.[33] Currently under a moratorium. On 20 December 2012, Algeria co-sponsored and voted in favour of the Resolution on a Moratorium on the Use of the Death Penalty at the UN General Assembly.[34]"
Angola,1977.0,Abolished in 1992 by Constitution.
Benin,1987.0,"On 6 July 2012, Benin acceded to the Second Additional Protocol to the International Covenant on Civil and Political Rights which makes Benin abolitionist.[36] The decision was upheld by the Constitutional Court in January 2016 although the death penalty is still present in statutes.[9]"
Botswana,2021.0,"Main article: Capital punishment in Botswana
Hanging, and state also has power to determine method of execution by offense committed. Death penalty for murder; espionage; treason; attempt on the life of the head of state; mutiny; desertion in the face of the enemy, aggravated piracy and terrorism. Persons excused from capital punishment are pregnant women, teenagers who were younger than 18 at time of crime, and the mentally ill.[38]"
Burkina Faso,1988.0,Death penalty abolished for ordinary crimes in 2018; still retained for war crimes.[40]
Burundi,2000.0,"Death penalty abolished in revised 2009 criminal code. Extrajudicial executions are still commonplace.[43] Despite having abolished capital punishment, Burundi voted against the UN Moratorium on the Death Penalty in 2016."
Cameroon,1997.0,"Hanging, firing squad, shooting. Death penalty for secession; espionage; treason; terrorism; aggravated murder; premeditated murder; violent theft leading to death or causing grievous bodily harm; abduction of a minor resulting in the death of that minor; assault on a state employee with intent to kill; attempt of a death-eligible crime and conspiracy to commit a death-eligible crime; plundering by gangs using force during times of war and incitement to war.[45][46] In February 2014, the President of the Republic, Paul Biya, commuted all persons condemned to the death penalty to life in prison. The decree commuted their sentences to 25 years incarceration.[47] However, death sentences have continued to be handed down as of 2016.[48]"
Cape Verde,-9999.0,"Main article: Capital punishment in Cape Verde
Last execution when a colony of Portugal was 1835. Abolished in 1981 by Constitution."
