painter,painterLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q5878,Gabriel García Márquez,http://www.wikidata.org/entity/Q739,Colombia,184
http://www.wikidata.org/entity/Q12881,Paulo Coelho,http://www.wikidata.org/entity/Q155,Brazil,127
http://www.wikidata.org/entity/Q39803,Mario Vargas Llosa,http://www.wikidata.org/entity/Q419,Peru,114
http://www.wikidata.org/entity/Q83566,Isabel Allende,http://www.wikidata.org/entity/Q298,Chile,87
http://www.wikidata.org/entity/Q184440,Jorge Amado,http://www.wikidata.org/entity/Q155,Brazil,73
http://www.wikidata.org/entity/Q186630,Ernesto Sabato,http://www.wikidata.org/entity/Q414,Argentina,64
http://www.wikidata.org/entity/Q311145,Joaquim Maria Machado de Assis,http://www.wikidata.org/entity/Q155,Brazil,59
http://www.wikidata.org/entity/Q222744,César Vallejo,http://www.wikidata.org/entity/Q419,Peru,55
http://www.wikidata.org/entity/Q244997,José Sarney,http://www.wikidata.org/entity/Q155,Brazil,45
http://www.wikidata.org/entity/Q16285,Mario Benedetti,http://www.wikidata.org/entity/Q77,Uruguay,43
http://www.wikidata.org/entity/Q311401,Rómulo Gallegos,http://www.wikidata.org/entity/Q717,Venezuela,42
http://www.wikidata.org/entity/Q203623,Mário de Andrade,http://www.wikidata.org/entity/Q155,Brazil,39
http://www.wikidata.org/entity/Q188848,María Elena Walsh,http://www.wikidata.org/entity/Q414,Argentina,38
http://www.wikidata.org/entity/Q333632,Chico Buarque,http://www.wikidata.org/entity/Q155,Brazil,37
http://www.wikidata.org/entity/Q266816,José María Arguedas,http://www.wikidata.org/entity/Q419,Peru,35
http://www.wikidata.org/entity/Q13012,João Guimarães Rosa,http://www.wikidata.org/entity/Q155,Brazil,33
http://www.wikidata.org/entity/Q284560,Manuel Puig,http://www.wikidata.org/entity/Q414,Argentina,32
http://www.wikidata.org/entity/Q540219,Pedro Américo,http://www.wikidata.org/entity/Q155,Brazil,30
http://www.wikidata.org/entity/Q606389,Monteiro Lobato,http://www.wikidata.org/entity/Q155,Brazil,29
http://www.wikidata.org/entity/Q379745,Carlos Drummond de Andrade,http://www.wikidata.org/entity/Q155,Brazil,28
http://www.wikidata.org/entity/Q283964,Rachel de Queiroz,http://www.wikidata.org/entity/Q155,Brazil,26
http://www.wikidata.org/entity/Q468003,Ciro Alegría,http://www.wikidata.org/entity/Q419,Peru,26
http://www.wikidata.org/entity/Q290502,Cristina Peri Rossi,http://www.wikidata.org/entity/Q77,Uruguay,25
http://www.wikidata.org/entity/Q561169,Oswald de Andrade,http://www.wikidata.org/entity/Q155,Brazil,25
http://www.wikidata.org/entity/Q970649,Juan Gabriel Vásquez,http://www.wikidata.org/entity/Q739,Colombia,25
http://www.wikidata.org/entity/Q470133,Rubem Fonseca,http://www.wikidata.org/entity/Q155,Brazil,24
http://www.wikidata.org/entity/Q263552,Ana Maria Machado,http://www.wikidata.org/entity/Q155,Brazil,23
http://www.wikidata.org/entity/Q470334,Euclides da Cunha,http://www.wikidata.org/entity/Q155,Brazil,23
http://www.wikidata.org/entity/Q465907,Fernanda Torres,http://www.wikidata.org/entity/Q155,Brazil,22
http://www.wikidata.org/entity/Q712518,Juan José Saer,http://www.wikidata.org/entity/Q414,Argentina,22
http://www.wikidata.org/entity/Q1140743,João Ubaldo Ribeiro,http://www.wikidata.org/entity/Q155,Brazil,22
http://www.wikidata.org/entity/Q6915896,Moses Nagamootoo,http://www.wikidata.org/entity/Q734,Guyana,22
