country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388,wd:Q172388,404323,President of Afghanistan from 2014 to 2021 (born 1949)
United States of America,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388,wd:Q172388,404323,President of Afghanistan from 2014 to 2021 (born 1949)
Afghanistan,6,Habib Mangal,http://www.wikidata.org/entity/Q1566849,wd:Q1566849,27664378,Afghanistan Diplomat
Afghanistan,5,Ajmal Ahmady,http://www.wikidata.org/entity/Q105641732,wd:Q105641732,66799419,Afghan diplomat and politician
Afghanistan,3,Bernard van Praag,http://www.wikidata.org/entity/Q822826,wd:Q822826,30200213,Dutch economist
Afghanistan,1,Abdul Ghanie Ghaussy,http://www.wikidata.org/entity/Q66490716,wd:Q66490716,,
Albania,41,Fatos Nano,http://www.wikidata.org/entity/Q311596,wd:Q311596,393701,Albanian politician
Albania,30,Bashkim Fino,http://www.wikidata.org/entity/Q809978,wd:Q809978,3029444,Albanian politician
Albania,18,Mimi Kodheli,http://www.wikidata.org/entity/Q16855243,wd:Q16855243,31573456,Albanian politician
Albania,15,Mesila Doda,http://www.wikidata.org/entity/Q13560214,wd:Q13560214,31311948,Albanian politician
Albania,14,Shkëlqim Cani,http://www.wikidata.org/entity/Q75582,wd:Q75582,37709496,Albanian economist
Albania,12,Myfit bej Libohova,http://www.wikidata.org/entity/Q1051859,wd:Q1051859,19887890,"Albanian politician, diplomat and economist (1876-1927)"
Albania,12,Apostol Arsache,http://www.wikidata.org/entity/Q619962,wd:Q619962,27556506,Minister of Foreign Affairs and acting Prime Minister (1789-1874)
Romania,12,Apostol Arsache,http://www.wikidata.org/entity/Q619962,wd:Q619962,27556506,Minister of Foreign Affairs and acting Prime Minister (1789-1874)
Albania,11,Nako Spiru,http://www.wikidata.org/entity/Q836480,wd:Q836480,46912127,Albanian politician (1918-1947)
Albania,9,Dhimitër Pasko,http://www.wikidata.org/entity/Q3302469,wd:Q3302469,24652020,Albanian writer and translator
Albania,9,Senida Mesi,http://www.wikidata.org/entity/Q31965727,wd:Q31965727,56902677,Albanian politician
Albania,8,Gramoz Pashko,http://www.wikidata.org/entity/Q717050,wd:Q717050,6526806,Albanian economist and politician (1955-2006)
Albania,8,Ridvan Bode,http://www.wikidata.org/entity/Q981747,wd:Q981747,30680205,Albanian politician
