0,1,2
United States,313,Barack Obama
United Kingdom,302,William Shakespeare
Germany,287,Albert Einstein
Switzerland,287,Albert Einstein
Weimar Republic,287,Albert Einstein
Austria,286,Adolf Hitler
Greece,282,Aristotle 
China,282,Confucius
Italy,281,Leonardo Da Vinci
Russia,267,Vladimir Lenin
South Africa,263,Nelson Mandela
France,257,Napoleon
India,257,Mahatma Gandhi
Georgia,245,Joseph Stalin
Saudi Arabia,243,Muhammad
Nepal,240,Gautama Buddha
Spain,239,Pablo Picasso
Netherlands,238,Vincent van Gogh
Turkey,228,Mustafa Kemal Atatuerk
Denmark,223,Hans Christian Andersen
Poland,213,Marie Curie
Czech Republic,211,Franz Kafka
Argentina,207,Che Guevara
Cuba,207,Che Guevara
Ireland,206,Oscar Wilde
Sweden,200,Basshunter
Algeria,199,Augustine of Hippo
Coratia,191,Nikola Tesla
Vatican City,191,Benedict XVI
Japan,190,Naruhito
South Korea,189,Sung Jae-gi
Colombia,184,Gabriel Garcia Marquez
Mongolia,182,Genghis Khan
North Macedonia,178,Mother Teresa
Albania,178,Mother Teresa
Venezuela,175,Hugo Chavez
Kyrgyzstan,172,Li Bai
Mexico,170,Frida Kahlo
Ecuador,169,Guillermo Lasso
Portugal,169,Cristiano Ronaldo
Libya,167,Muammar Gaddafi
Uzbekistan,166,Avicenna
Tanzania,166,Freddie Mercury
Ukraine,166,Leon Trotsky
Norway,164,Roald Amundsen
Ghana,161,Kofi Annan
Canada,160,Justin Bieber
Israel,157,Virgin Mary
Bolivia,157,Bolivar
New Zealand,156,Ernest Rutherford
Iran,154,Omar Khayyam
Iraq,154,Saddam Hussein
Cambodia,154,Angelina Jolie
Brazil,153,Hebe Camargo
Jamaica,152,Bob Marley
North Korea,152,Kim Jong-un
Chile,151,Pablo Neruda
Myanmar,149,Aung San Suu Kyi
Bulgaria,148,Aesop
Pakistan,147,Akbar
Egypt,147,Najib Mahfouz
Indonesia,147,Agnez Mo
Serbia,145,Novak Djokovic
Lebanon,144,Kahlil Gibran
Thailand,142,Bhumibol Adulyadej
Finland,142,Linus Torvalds
Vietnam,141,Ho Chi Minh
Tunisia,140,Ibn Khaldun
Morocco,139,Ibn Battuta
Tajikistan,137,Rumi
Jordan,137,Yasser Arafat
Barbados,136,Rihanna
Philippines,132,Ferdinand Marcos
Belarus,132,Alexander Lukashenko
Zimbabwe,129,Robert Mugabe
Australia,129,Julian Assange
Taiwan,128,Chiang Kai-shek
