0,1
 People's Republic of China,"3,182,494"
 Japan,"1,250,228"
 Switzerland,"858,802"
 Russia,"601,000"
 India,"575,267"
 Taiwan,"557,140"
 Saudi Arabia,"470,727"
 Hong Kong,"423,200"
 South Korea,"414,006"
 Brazil,"331,122"
 Singapore,"289,484"
 Germany,"277,458"
 United States,"242,699"
 France,"238,277"
 Thailand,"225,486"
 Italy,"211,308"
 Israel,"201,000"
 Mexico,"200,997"
 United Kingdom,"182,790"
 Poland,"148,954"
 Czech Republic,"147,512"
 Indonesia,"130,782"
 United Arab Emirates,"129,320"
 Iraq,"115,000"
 Malaysia,"114,900"
 Turkey,"107,000"
 Canada,"106,462"
 Philippines,"99,724"
 Vietnam,"92,101"
 Spain,"87,222"
 Iran,"86,000"
 European Union (ECB),"85,602"
 Denmark,"73,922"
 Peru,"73,416"
 Norway,"70,287"
 Libya,"69,114"
 Algeria,"60,914"
 Romania,"60,698"
 Colombia,"58,161"
 Australia,"57,889"
 South Africa,"54,473"
 Sweden,"54,020"
 Netherlands,"54,016"
 Kuwait,"48,895"
 Chile,"42,593"
 Qatar,"42,341"
 Nigeria,"40,660"
 Argentina,"39,139"
 Egypt,"37,909"
 Hungary,"36,593"
 Morocco,"27,800"
 Kazakhstan,"35,438"
 Uzbekistan,"35,139"
 Bulgaria,"32,881"
 Bangladesh,"32,222"
 Belgium,"31,762"
 Ukraine,"29,922"
 Portugal,"29,050"
 Austria,"28,513"
 Croatia,"28,416"
 Macau,"25,849"
 Turkmenistan,"20,600"
 Cambodia,"19,500"
 Jordan,"19,044"
 Guatemala,"18,807"
 Serbia,"18,560"
 Oman,"18,000"
 Uruguay,"16,952"
 Finland,"16,552"
 Angola,"15,400"
 New Zealand,"14,544"
 Dominican Republic,"12,611"
 Lebanon,"12,500"
 Ghana,"11,403"
 Greece,"10,895"
 Paraguay,"9,880"
 Panama,"9,613"
 Afghanistan,"9,446"
   Nepal,"9,350"
 Bosnia and Herzegovina,"9,300"
 Tunisia,"8,840"
 Honduras,"8,462"
 Ecuador,"8,130"
 Slovakia,"8,100"
 North Korea,"8,000"
 Ireland,"7,717"
 Azerbaijan,"7,689"
 Mauritius,"7,461"
 Belarus,"7,277"
 Trinidad and Tobago,"7,000"
 Iceland,"6,860"
 Costa Rica,"6,814"
 Tanzania,"6,714"
 Myanmar,"6,700"
 Venezuela,"5,908"
 Latvia,"5,404"
 Botswana,"5,080"
 Georgia,"4,900"
 Lithuania,"4,848"
 Cuba,"4,847"
 Ivory Coast,"4,688"
 Albania,"4,345"
 Uganda,"4,300"
 Armenia,"4,100"
 Nicaragua,"4,000"
 Bolivia,"3,868"
 Jamaica,"3,905"
 Mozambique,"3,888"
 Mongolia,"3,697"
 Andorra,"3,678"
 Brunei,"3,664"
 Cameroon,"3,459"
 Moldova,"3,453"
 Bahrain,"3,415"
 Ethiopia,"2,993"
 Pakistan,"2,916"
 Kyrgyzstan,"2,910"
 El Salvador,"2,510"
 Papua New Guinea,"2,339"
 Haiti,"2,296"
 Estonia,"2,216"
 Namibia,"1,924"
 Sri Lanka,"1,896"
 Bahamas,"1,758"
 Kenya,"1,704"
 Madagascar,"1,693"
 Montenegro,"1,529"
 Mauritania,"1,493"
 Tajikistan,"1,466"
 Rwanda,"1,465"
 Zambia,"1,449"
 Guinea,"1,418"
 Gabon,"1,321"
 Cyprus,"1,271"
 Bhutan,"1,238"
 Slovenia,"1,217"
 Luxembourg,"1,191"
 Laos,"1,068"
 Curaçao,"1,055"
 Fiji,"1,043"
 Niger,"1,039"
 Aruba,"982"
 Kosovo,"965"
 Malta,"928"
 Lesotho,"774"
 Barbados,"772"
 Maldives,"762"
 Cape Verde,"737"
 Gambia,"692"
 Palestine,"683"
 Democratic Republic of the Congo,"665"
 Timor-Leste,"656"
 Suriname,"647"
 Mali,"624"
 Guyana,"573"
 Solomon Islands,"571"
 Seychelles,"566"
 Sierra Leone,"532"
 Vanuatu,"511"
 Djibouti,"501"
 San Marino,"473"
 Malawi,"471"
 Eswatini,"440"
 Republic of the Congo,"423"
 Syria,"407"
 Federated States of Micronesia,"397"
 Central African Republic,"361"
 Saint Kitts and Nevis,"351"
 Liberia,"349"
 Guinea-Bissau,"332"
 Antigua and Barbuda,"279"
 Belize,"277"
 Saint Lucia,"260"
 Yemen,"245"
 Grenada,"236"
 Tonga,"229"
 Togo,"215"
 Comoros,"202"
 Saint Vincent and the Grenadines,"193"
 Eritrea,"191"
 Samoa,"185"
 South Sudan,"183"
 Sudan,"177"
 Dominica,"166"
 Senegal,"152"
 Zimbabwe,"151"
 Chad,"147"
 Burundi,"111"
 São Tomé and Príncipe,"75"
 Benin,"60"
 Montserrat,"49"
 Equatorial Guinea,"48"
 Burkina Faso,"45"
 Somalia,"32"
 Kiribati,"6"
