0,1
 United States,"934,200"
 Russia,"701,700"
 Iran,"256,700"
 China,"209,200"
 Qatar,"177,000"
 Canada,"172,300"
 Australia,"147,200"
 Saudi Arabia,"117,300"
 Norway,"114,300"
 Algeria,"100,800"
 Turkmenistan,"79,300"
 Malaysia,"74,200"
 Egypt,"67,800"
 Indonesia,"59,300"
 United Arab Emirates,"57,000"
 Uzbekistan,"50,900"
 Nigeria,"45,900"
 Netherlands,"47,460"
 Trinidad and Tobago,"40,870"
 United Kingdom,"40,600"
 Mexico,"40,370"
 Argentina,"39,400"
 Pakistan,"39,300"
 Thailand,"37,700"
 Oman,"29,930"
 Azerbaijan,"29,370"
 India,"26,210"
 Bangladesh,"26,100"
 Venezuela,"26,000"
 Kazakhstan,"22,890"
 Bahrain,"21,070"
 Bolivia,"20,510"
 Brazil,"20,410"
 Ukraine,"19,000"
 Myanmar,"17,500"
 Kuwait,"16,910"
 Peru,"12,620"
 Brunei,"12,000"
 Libya,"11,600"
 Romania,"11,170"
 Colombia,"9,897"
 Vietnam,"9,890"
 Papua New Guinea,"9,800"
 Germany,"8,730"
 Israel,"8,500"
 Timor-Leste,"7,700"
 Equatorial Guinea,"6,200"
 Poland,"6,132"
 Italy,"5,785"
 Mozambique,"5,695"
 New Zealand,"4,954"
 Denmark,"4,618"
 Japan,"4,453"
 Syria,"4,300"
 Philippines,"3,942"
 Egypt,"3,610"
 Yemen,"2,850"
 Cote d'Ivoire,"2,063"
 Hungary,"1,772"
 Croatia,"1,691"
 Tunisia,"1,575"
" Congo, Republic of the","1,500"
 Cuba,"1,185"
 Austria,"1,124"
 South Africa,"1,100"
 Tanzania,"1,100"
 Chile,"1,008"
 Iraq,"1,002"
 Angola,773
 Cameroon,680
 Serbia,586
 Ghana,554
 Ecuador,497
 Turkey,381
 Gabon,378
 Taiwan,340
 Czech Republic,247
 South Korea,188
 Afghanistan,165
 Jordan,151
 Ireland,132
 Morocco,94
 Slovakia,94
 Bulgaria,79
 Spain,62
 Senegal,62
 Albania,35
 Kyrgyzstan,30
 Belarus,30
 France,28
 Switzerland,25
 Tajikistan,20
 Barbados,17
 Georgia,10
DR Congo,8
 Finland,8
 Luxembourg,6
 Greece,4
 Slovenia,4
