country,number,item,item_id,shortform,pageid,wikidata_description
Australia,102.0,Julia Gillard,http://www.wikidata.org/entity/Q41563,wd:Q41563,519437,Prime Minister of Australia from 2010 to 2013
Australia,89.0,Kevin Rudd,http://www.wikidata.org/entity/Q43135,wd:Q43135,380965,26th Prime Minister of Australia
Australia,87.0,Scott Morrison,http://www.wikidata.org/entity/Q7436908,wd:Q7436908,14521782,Prime Minister of Australia from 2018 to 2022
Australia,80.0,John Howard,http://www.wikidata.org/entity/Q51330,wd:Q51330,4689709,Prime Minister of Australia from 1996 to 2007
Australia,78.0,Tony Abbott,http://www.wikidata.org/entity/Q348577,wd:Q348577,556739,prime minister of Australia from 2013 to 2015
Australia,74.0,Malcolm Turnbull,http://www.wikidata.org/entity/Q927550,wd:Q927550,314742,Prime Minister of Australia from 2015 to 2018
Australia,62.0,Peter Singer,http://www.wikidata.org/entity/Q211539,wd:Q211539,23721,Australian philosopher
Australia,62.0,Howard Florey,http://www.wikidata.org/entity/Q137106,wd:Q137106,40494,Australian pathologist (1898-1968)
Australia,57.0,Gough Whitlam,http://www.wikidata.org/entity/Q23333,wd:Q23333,12454,"Australian politician, 21st Prime Minister of Australia (1916-2014)"
Australia,57.0,Bob Hawke,http://www.wikidata.org/entity/Q269372,wd:Q269372,4059,"Australian politician, 23rd Prime Minister of Australia (1929-2019)"
Australia,57.0,Anthony Albanese,http://www.wikidata.org/entity/Q335697,wd:Q335697,556745,Prime Minister of Australia since 2022
Australia,56.0,Edmund Barton,http://www.wikidata.org/entity/Q23342,wd:Q23342,146365,"Australian politician, first Prime Minister of Australia and founding justice of the High Court of Australia (1849-1920)"
Australia,55.0,Yanis Varoufakis,http://www.wikidata.org/entity/Q40688,wd:Q40688,33247894,Greek economist and politician
Greece,55.0,Yanis Varoufakis,http://www.wikidata.org/entity/Q40688,wd:Q40688,33247894,Greek economist and politician
Australia,53.0,Paul Keating,http://www.wikidata.org/entity/Q242654,wd:Q242654,23767,"Australian politician, 24th Prime Minister of Australia"
Azerbaijan,116.0,Ilham Aliyev,http://www.wikidata.org/entity/Q57371,wd:Q57371,22765442,4th president of the Republic of Azerbaijan
Azerbaijan,116.0,Attila,http://www.wikidata.org/entity/Q36724,wd:Q36724,841,5th-century ruler of the Hunnic Empire
Georgia,116.0,Attila,http://www.wikidata.org/entity/Q36724,wd:Q36724,841,5th-century ruler of the Hunnic Empire
Azerbaijan,113.0,Garry Kasparov,http://www.wikidata.org/entity/Q28614,wd:Q28614,12810,Russian chess grandmaster and activist
Croatia,113.0,Garry Kasparov,http://www.wikidata.org/entity/Q28614,wd:Q28614,12810,Russian chess grandmaster and activist
Azerbaijan,92.0,Serzh Sargsyan,http://www.wikidata.org/entity/Q612803,wd:Q612803,4829258,"Armenian politician, 3rd President of Armenia"
Azerbaijan,84.0,Heydar Aliyev,http://www.wikidata.org/entity/Q157451,wd:Q157451,399787,Soviet and Azerbaijani politician (1923–2003)
Azerbaijan,69.0,Robert Kocharyan,http://www.wikidata.org/entity/Q613051,wd:Q613051,313188,second President of Armenia
Azerbaijan,53.0,Ivan Bagramyan,http://www.wikidata.org/entity/Q48112,wd:Q48112,8900317,Marshal of the Soviet Union (1897-1982)
