0,1,2,3,4,5,6
 Afghanistan *,Asia,Southern Asia,6.7,"2,474",2018,NSO
 Albania *,Europe,Southern Europe,2.3,66,2018,NSO
 Algeria,Africa,Northern Africa,1.4,542,2015,CTS
 Andorra,Europe,Southern Europe,0,0,2015,CTS
 Angola,Africa,Middle Africa,4.8,"1,217",2012,NSO
 Anguilla,Americas,Caribbean,28.3,4,2014,SDG
 Antigua and Barbuda,Americas,Caribbean,11.1,10,2012,OAS
 Argentina *,Americas,South America,5.3,"2,362",2018,MoS
 Armenia *,Asia,Western Asia,1.7,50,2018,CTS
 Aruba,Americas,Caribbean,1.9,2,2014,MD
 Australia *,Oceania,"Australia, New Zealand",0.9,222,2018,CTS
 Austria *,Europe,Western Europe,1,86,2018,CTS
 Azerbaijan,Asia,Western Asia,2.2,219,2018,CTS
 Bahamas,Americas,Caribbean,32,122,2017,CTS
 Bahrain *,Asia,Western Asia,0.5,7,2014,MD
 Bangladesh *,Asia,Southern Asia,2.4,"3,830",2018,NP
 Barbados,Americas,Caribbean,9.8,28,2018,CTS
 Belarus,Europe,Eastern Europe,2.4,226,2018,CTS
 Belgium *,Europe,Western Europe,1.7,193,2017,CTS
 Belize *,Americas,Central America,37.8,142,2017,CTS
 Benin *,Africa,Western Africa,1.1,126,2017,CTS
 Bermuda,Americas,Northern America,8.1,5,2017,CTS
 Bhutan *,Asia,Southern Asia,1.2,9,2018,CTS
 Bolivia *,Americas,South America,6.2,686,2016,CTS
 Bosnia and Herzegovina,Europe,Southern Europe,1.2,39,2018,CTS
 Botswana,Africa,Southern Africa,15.2,303,2010,WHO
 Brazil *,Americas,South America,27.4,"57,358",2018,ABSP
 British Virgin Islands,Americas,Caribbean,8.3,2,2006,MD
 Brunei,Asia,South-Eastern Asia,0.5,2,2013,WHO
 Bulgaria *,Europe,Eastern Europe,1.3,92,2018,CTS
 Burkina Faso,Africa,Western Africa,1.3,240,2017,MoJ
 Burundi,Africa,Eastern Africa,6.1,635,2016,SDG
 Cape Verde *,Africa,Western Africa,6.8,37,2018,CTS
 Cambodia *,Asia,South-Eastern Asia,1.8,268,2011,WHO
 Cameroon,Africa,Middle Africa,1.4,341,2017,CTS
 Canada *,Americas,Northern America,1.8,651,2018,NP
 Cayman Islands,Americas,Caribbean,8.2,5,2014,NSO
 Central African Republic,Africa,Middle Africa,20.1,913,2016,CTS
 Channel Islands,Europe,Northern Europe,0,0,2010,NP
 Chile *,Americas,South America,4.4,825,2018,CTS
 China *,Asia,Eastern Asia,0.5,"7,525",2018,NSO
 Colombia *,Americas,South America,25.3,"12,586",2018,CTS
 Costa Rica *,Americas,Central America,11.3,563,2018,NSO
 Croatia,Europe,Southern Europe,0.6,24,2018,CTS
 Cuba *,Americas,Caribbean,5,572,2016,MoH
 Curaçao,Americas,Caribbean,19,26,2007,PAHO
 Cyprus,Asia,Western Asia,1.3,15,2018,CTS
 Czech Republic *,Europe,Eastern Europe,0.6,66,2017,CTS
 Denmark *,Europe,Northern Europe,1,58,2018,CTS
 Dominica,Americas,Caribbean,26.6,19,2017,CTS
 Dominican Republic *,Americas,Caribbean,10,"1,068",2018,CTS
 Ecuador *,Americas,South America,5.8,991,2018,NSO
 Egypt *,Africa,Northern Africa,2.6,"2,207",2012,CTS
 El Salvador *,Americas,Central America,52,"3,340",2018,NP
 England and Wales *,Europe,Northern Europe,1.2,726,2017,CTS
 Estonia *,Europe,Northern Europe,2.1,28,2018,CTS
 Eswatini,Africa,Southern Africa,11.6,130,2017,GSHRevision
 Ethiopia,Africa,Eastern Africa,8.8,"8,153",2012,GOV Adjusted
 Finland *,Europe,Northern Europe,1.6,90,2018,CTS
 France *,Europe,Western Europe,1.2,779,2018,CTS
 French Guiana,Americas,South America,13.2,30,2009,NP
 Georgia,Asia,Western Asia,2.2,89,2018,CTS
 Germany *,Europe,Western Europe,0.9,788,2018,CTS
 Ghana *,Africa,Western Africa,2.1,609,2017,NP
 Gibraltar *,Europe,Southern Europe,3,1,2010,NP
 Greece *,Europe,Southern Europe,0.9,99,2018,CTS
 Greenland,Americas,Northern America,5.3,3,2016,NSO
 Grenada,Americas,Caribbean,10.8,12,2017,CTS
 Guadeloupe,Americas,Caribbean,5.8,23,2016,GOV
 Guatemala *,Americas,Central America,22.5,"3,881",2018,NP
 Guinea-Bissau,Africa,Western Africa,1.1,21,2017,CTS
 Guyana *,Americas,South America,14.2,111,2018,CTS
 Haiti *,Americas,Caribbean,6.7,743,2018,DPKO
 Holy See,Europe,Southern Europe,0,0,2015,CTS
 Honduras *,Americas,Central America,38.9,"3,732",2018,CTS
 Hong Kong *,Asia,Eastern Asia,0.7,48,2018,NP
 Hungary *,Europe,Eastern Europe,2.5,242,2017,CTS
 Iceland,Europe,Northern Europe,0.9,3,2018,CTS
 India *,Asia,Southern Asia,3.1,"41,651",2018,MoI
 Indonesia *,Asia,South-Eastern Asia,0.4,"1,150",2017,CTS
 Iran *,Asia,Southern Asia,2.5,"1,936",2014,MD
 Iraq,Asia,Western Asia,10.1,"3,339",2013,CTS
 Iraq (excluding Kurdistan),Asia,Western Asia,10.1,"3,029",2014,CTS
 Ireland,Europe,Northern Europe,0.9,42,2018,CTS
 Isle of Man,Europe,Northern Europe,0,0,2016,NP
 Israel *,Asia,Western Asia,1.5,123,2017,NSO
 Italy *,Europe,Southern Europe,0.6,345,2018,CTS
 Jamaica *,Americas,Caribbean,43.9,"1,287",2018,NSO
 Japan *,Asia,Eastern Asia,0.3,334,2018,MoI
 Jordan,Asia,Western Asia,1.4,133,2017,CTS
 Kazakhstan,Asia,Central Asia,5.1,915,2017,CTS
 Kenya *,Africa,Eastern Africa,4.9,"2,533",2018,CTS
 Kosovo *,Europe,Southern Europe,2.4,44,2018,CTS
 Kurdistan Region (Iraq),Asia,Western Asia,2.2,111,2013,CTS
 Kuwait *,Asia,Western Asia,1.8,61,2012,CTS
 Kyrgyzstan,Asia,Central Asia,2.2,138,2018,CTS
 Latvia *,Europe,Northern Europe,4.4,84,2018,CTS
 Lebanon,Asia,Western Asia,2.5,171,2018,CTS
 Lesotho *,Africa,Southern Africa,43.6,897,2015,NSO
 Liberia *,Africa,Western Africa,3.3,135,2012,UNMIL
 Liechtenstein,Europe,Western Europe,2.6,1,2018,NSO
 Lithuania,Europe,Northern Europe,4.6,128,2018,CTS
 Luxembourg,Europe,Western Europe,0.3,2,2017,CTS
 Macau *,Asia,Eastern Asia,0.3,2,2018,CTS
 Malawi,Africa,Eastern Africa,1.8,279,2012,NP
 Malaysia *,Asia,South-Eastern Asia,2.1,627,2013,NP
 Maldives *,Asia,Southern Asia,0.7,3,2013,CTS
 Malta,Europe,Southern Europe,1.6,7,2018,NSO
 Martinique,Americas,Caribbean,2.8,11,2009,NP
 Mauritius *,Africa,Eastern Africa,2.9,37,2018,NSO
 Mayotte,Africa,Eastern Africa,5.9,12,2009,NP
 Mexico *,Americas,Central America,29.1,"36,685",2018,NSO
 Monaco,Europe,Western Europe,0,0,2015,CTS
 Mongolia,Asia,Eastern Asia,6.2,196,2018,CTS
 Montenegro *,Europe,Southern Europe,2.2,14,2018,CTS
 Montserrat,Americas,Caribbean,20.3,1,2012,MD
 Morocco,Africa,Northern Africa,1.4,510,2018,CTS
 Mozambique,Africa,Eastern Africa,3.5,849,2011,SDG
 Myanmar *,Asia,South-Eastern Asia,2.3,"1,198",2016,CTS
 Namibia *,Africa,Southern Africa,17.7,388,2012,NP
 Nepal *,Asia,Southern Asia,2.3,627,2016,CTS
 Netherlands,Europe,Western Europe,0.6,100,2018,CTS
 New Zealand *,Oceania,"Australia, New Zealand",0.7,35,2017,CTS
 Nicaragua,Americas,Central America,7.2,453,2016,NP
 Niger,Africa,Western Africa,4.4,788,2012,WHO
 Nigeria *,Africa,Western Africa,34.5,"64,201",2016,UNODC Estimate
 Northern Ireland *,Europe,Northern Europe,1.2,23,2018,CTS
 Norway *,Europe,Northern Europe,0.5,25,2018,CTS
 Oman *,Asia,Western Asia,0.3,13,2018,CTS
 Pakistan *,Asia,Southern Asia,3.9,"8,241",2018,NP
 Panama *,Americas,Central America,9.4,392,2018,CTS
 Paraguay *,Americas,South America,7.1,497,2018,CTS
 Peru *,Americas,South America,7.9,"2,487",2017,CTS
 Philippines *,Asia,South-Eastern Asia,6.5,"6,895",2018,CTS
 Poland *,Europe,Eastern Europe,0.7,277,2018,CTS
 Portugal *,Europe,Southern Europe,0.8,81,2018,CTS
 Puerto Rico *,Americas,Caribbean,21.1,641,2018,NSO
 Qatar *,Asia,Western Asia,0.4,9,2014,MD
 South Korea *,Asia,Eastern Asia,0.6,309,2018,CTS
 Moldova *,Europe,Eastern Europe,4.1,166,2018,NSO
 North Macedonia,Europe,Southern Europe,1.2,25,2018,CTS
 Réunion,Africa,Eastern Africa,1.8,15,2009,NP
