scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q937,Albert Einstein,287,http://www.wikidata.org/entity/Q41304,Weimar Republic
http://www.wikidata.org/entity/Q937,Albert Einstein,287,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q937,Albert Einstein,287,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q7416,Margaret Thatcher,189,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,116,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q47480,Paul Dirac,116,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q58978,Max Born,108,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7504,Irﾃｨne Joliot-Curie,101,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q185007,Rita Levi-Montalcini,89,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q104668,Vitaly Ginzburg,81,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q185832,Emmanuel Swedenborg,80,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q163415,William Shockley,80,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q101740,Benoit Mandelbrot,76,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q101740,Benoit Mandelbrot,76,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q103835,Peter Debye,75,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q181685,Nicolas Carnot,72,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q104104,Andre Geim,67,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q214475,Ayaan Hirsi Ali,67,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q104104,Andre Geim,67,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q154353,Franﾃｧois Arago,66,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q78481,Richard Adolf Zsigmondy,64,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q76616,Otto Diels,64,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q115490,Tadeusz Reichstein,63,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q115490,Tadeusz Reichstein,63,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q123089,Benjamin Constant,62,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q104607,Andrew Huxley,62,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q156379,Yury Luzhkov,62,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q57300,Bamir Topi,60,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q152298,Gherman Titov,55,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q110106,Julius Axelrod,54,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q268702,Mary Somerville,46,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q838076,Professor X,41,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q44645,Benjamin Thompson,40,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q83275,Ziya Gﾃｶkalp,39,http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q164824,Jean-Baptiste Dumas,39,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q25539274,Martinus Wilhelm Beijerinck,37,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q311594,Philippe Pinel,37,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q333265,Leon Theremin,36,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1622359,Abraham Van Helsing,35,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q78608,Carl Djerassi,32,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q78608,Carl Djerassi,32,http://www.wikidata.org/entity/Q219,Bulgaria
http://www.wikidata.org/entity/Q461624,Kristian Birkeland,29,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q364270,Gustaf de Laval,29,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q123371,Hans Albert Einstein,28,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q93592,Leo Kanner,28,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q61497,Kurt Tank,28,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q438507,Henry Darcy,27,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q323448,Abraham Abulafia,26,http://www.wikidata.org/entity/Q204920,Crown of Aragon
http://www.wikidata.org/entity/Q2320164,Victor Frankenstein,26,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q75797,Michael Maestlin,26,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q901070,Richard Kirwan,25,http://www.wikidata.org/entity/Q27,Republic of Ireland
http://www.wikidata.org/entity/Q275040,ﾃ・mile Couﾃｩ,25,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q551787,Thomas Corneille,25,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q669448,Kerim Kerimov,25,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q78714,Carl von Rokitansky,24,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q982047,Edward Granville Browne,24,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q62086,Fritz Mﾃｼller,24,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q559926,Maurice Bucaille,23,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2640587,Aﾓexey Uﾓyukaev,23,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q568506,Lennart Nilsson,22,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q707856,Ronald Syme,22,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q32257,Christoph Wilhelm Hufeland,22,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q382140,Stamen Grigorov,22,http://www.wikidata.org/entity/Q219,Bulgaria
http://www.wikidata.org/entity/Q272256,Virginia Henderson,21,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q465759,Jan Czochralski,20,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q708284,Paweﾅ・ Strzelecki,20,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q286285,ﾃ・mile Oustalet,20,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1063743,Charles Blagden,20,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1364884,Michael Fisher,20,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1701707,John Sealy Townsend,19,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q2719798,Robert W. Paul,19,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q948941,Vasily Mishin,19,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q62234,Theodor Curtius,19,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q731829,Christiaan Snouck Hurgronje,18,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
