country,number,item,item_id
Afghanistan,28,Registan Desert,http://www.wikidata.org/entity/Q2088454
Afghanistan,25,Dasht-e Margo,http://www.wikidata.org/entity/Q2356478
Afghanistan,10,Dasht-e Naomid,http://www.wikidata.org/entity/Q1025344
Afghanistan,4,Dasht-e Leili,http://www.wikidata.org/entity/Q21042291
Afghanistan,1,Dasht-e Tōbah,http://www.wikidata.org/entity/Q21740070
Afghanistan,1,Rēgistān-e Shōrō,http://www.wikidata.org/entity/Q21745438
Afghanistan,1,Shēr ‘Alī Khān Das̲h̲tah,http://www.wikidata.org/entity/Q21745081
Afghanistan,1,Yāsīn Das̲h̲tah,http://www.wikidata.org/entity/Q21740412
Afghanistan,1,Shōr Tepah,http://www.wikidata.org/entity/Q21745184
Afghanistan,1,Rēgistān-e Siyāh Kōh,http://www.wikidata.org/entity/Q21745281
Afghanistan,1,Rēgistān-e Siyāhtal,http://www.wikidata.org/entity/Q21745320
Afghanistan,1,Shamshēr Wastah,http://www.wikidata.org/entity/Q21746886
Afghanistan,1,Tāghazī Das̲h̲tah,http://www.wikidata.org/entity/Q21742925
Afghanistan,1,Dasht-e Razānī,http://www.wikidata.org/entity/Q21748089
Afghanistan,1,Sāḩah-ye Rēgī Mazanpaṯ,http://www.wikidata.org/entity/Q21748264
Afghanistan,1,Dasht-e Şāliyān,http://www.wikidata.org/entity/Q21748296
Afghanistan,1,Dasht-e Pōghadar,http://www.wikidata.org/entity/Q21750035
Afghanistan,1,Dasht-e Khāsh,http://www.wikidata.org/entity/Q21752346
Afghanistan,1,Kham-e Zarak,http://www.wikidata.org/entity/Q21753820
Afghanistan,1,Gondīn,http://www.wikidata.org/entity/Q21755851
Afghanistan,1,Bagat Das̲h̲t,http://www.wikidata.org/entity/Q21765248
Afghanistan,1,Bālā Dasht,http://www.wikidata.org/entity/Q21765307
Afghanistan,1,Dasht-e Arbū-ye Junūbī,http://www.wikidata.org/entity/Q21764975
Afghanistan,1,Dasht-e Pushtah,http://www.wikidata.org/entity/Q21769380
Afghanistan,1,Dāmān Dasht,http://www.wikidata.org/entity/Q21760723
Afghanistan,1,Chōl-e Ābdān,http://www.wikidata.org/entity/Q21766494
Afghanistan,1,Lanḏay Das̲h̲t,http://www.wikidata.org/entity/Q21752006
Afghanistan,1,Rēg Rawānkul,http://www.wikidata.org/entity/Q21820818
Afghanistan,1,Faqīr Das̲h̲t,http://www.wikidata.org/entity/Q21822721
Afghanistan,1,Dasht-e Deh-e Sabz,http://www.wikidata.org/entity/Q21825839
Algeria,207,Sahara,http://www.wikidata.org/entity/Q6583
Algeria,30,Algerian Desert,http://www.wikidata.org/entity/Q2338833
Algeria,28,Grand Erg Oriental,http://www.wikidata.org/entity/Q307143
Algeria,22,Grand Erg Occidental,http://www.wikidata.org/entity/Q1537020
Algeria,20,Tanezrouft,http://www.wikidata.org/entity/Q1384782
Algeria,13,Erg Iguidi,http://www.wikidata.org/entity/Q3056158
Algeria,13,Erg Chech,http://www.wikidata.org/entity/Q3056157
Algeria,12,Idehan Ubari,http://www.wikidata.org/entity/Q3457262
Algeria,9,Erg Admer,http://www.wikidata.org/entity/Q23827152
Algeria,6,Issaouane Erg,http://www.wikidata.org/entity/Q6088083
Algeria,4,Hammada du Guir,http://www.wikidata.org/entity/Q3126296
Algeria,4,Erg Tiffernine,http://www.wikidata.org/entity/Q80590725
Algeria,3,Q6743718,http://www.wikidata.org/entity/Q6743718
Algeria,3,Q20155858,http://www.wikidata.org/entity/Q20155858
Algeria,3,Erg Tihodaïne,http://www.wikidata.org/entity/Q23782808
Algeria,1,Areïgat Lemha,http://www.wikidata.org/entity/Q23779679
Algeria,1,Erg Zmeïla,http://www.wikidata.org/entity/Q23779788
Algeria,1,Draa ez Zmila,http://www.wikidata.org/entity/Q23779799
Algeria,1,Q23779801,http://www.wikidata.org/entity/Q23779801
Algeria,1,Sif ez Zorhba,http://www.wikidata.org/entity/Q23779816
Algeria,1,Rhourd Zotti,http://www.wikidata.org/entity/Q23779819
Algeria,1,Rhourd ez Zotti,http://www.wikidata.org/entity/Q23779820
Algeria,1,Erg ez Zouabi,http://www.wikidata.org/entity/Q23779824
Algeria,1,Rhoud ez Zoufara,http://www.wikidata.org/entity/Q23779851
Algeria,1,Q23779863,http://www.wikidata.org/entity/Q23779863
Algeria,1,Rhourd Zoukkeur,http://www.wikidata.org/entity/Q23779866
Algeria,1,Oued ez Zraïb,http://www.wikidata.org/entity/Q23779882
Algeria,1,Oued ez Zraïb,http://www.wikidata.org/entity/Q23779883
Algeria,1,Oued ez Zraïb,http://www.wikidata.org/entity/Q23779884
Algeria,1,Feïdjet ez Zrine,http://www.wikidata.org/entity/Q23779904
Algeria,1,Erg Zemilat Bou Ali,http://www.wikidata.org/entity/Q23779991
Algeria,1,Q23779992,http://www.wikidata.org/entity/Q23779992
Algeria,1,Erg Zemoul Djouad,http://www.wikidata.org/entity/Q23780004
Algeria,1,Chouchet ez Zerga,http://www.wikidata.org/entity/Q23780070
Algeria,1,Garet ez Zerga,http://www.wikidata.org/entity/Q23780103
Algeria,1,Q23780153,http://www.wikidata.org/entity/Q23780153
Algeria,1,Q23780192,http://www.wikidata.org/entity/Q23780192
Algeria,1,Foum ez Zgag,http://www.wikidata.org/entity/Q23780254
Algeria,1,Q23780265,http://www.wikidata.org/entity/Q23780265
Algeria,1,Q23780275,http://www.wikidata.org/entity/Q23780275
Algeria,1,Q23780277,http://www.wikidata.org/entity/Q23780277
Algeria,1,Q23780279,http://www.wikidata.org/entity/Q23780279
Algeria,1,Q23780336,http://www.wikidata.org/entity/Q23780336
Algeria,1,Draa ez Zina,http://www.wikidata.org/entity/Q23780344
Algeria,1,Rhourd ez Zina,http://www.wikidata.org/entity/Q23780346
Algeria,1,Q23780348,http://www.wikidata.org/entity/Q23780348
Algeria,1,Q23780350,http://www.wikidata.org/entity/Q23780350
Algeria,1,Feïdjet ez Zita,http://www.wikidata.org/entity/Q23780403
Algeria,1,Rhourd ez Zita,http://www.wikidata.org/entity/Q23780404
Algeria,1,Theïrat ez Zeïta,http://www.wikidata.org/entity/Q23780521
Angola,98,Kalahari Desert,http://www.wikidata.org/entity/Q47700
Angola,13,Kaokoveld,http://www.wikidata.org/entity/Q3889166
Angola,5,Moçâmedes Desert,http://www.wikidata.org/entity/Q10265560
Angola,1,Q21414738,http://www.wikidata.org/entity/Q21414738
Argentina,45,Patagonian Desert,http://www.wikidata.org/entity/Q1061324
Argentina,20,Monte Desert,http://www.wikidata.org/entity/Q1759314
Argentina,2,Puna,http://www.wikidata.org/entity/Q2118278
Argentina,1,Travesía del Zanjón,http://www.wikidata.org/entity/Q21828665
Argentina,1,Travesía de Mogna,http://www.wikidata.org/entity/Q21837464
Armenia,6,Goravan State Nature Reservation,http://www.wikidata.org/entity/Q4143453
Australia,71,Great Victoria Desert,http://www.wikidata.org/entity/Q145165
Australia,50,Great Sandy Desert,http://www.wikidata.org/entity/Q326896
Australia,44,Simpson Desert,http://www.wikidata.org/entity/Q211839
Australia,43,Gibson Desert,http://www.wikidata.org/entity/Q272577
Australia,35,Tanami Desert,http://www.wikidata.org/entity/Q674262
Australia,30,Little Sandy Desert,http://www.wikidata.org/entity/Q4076
Australia,24,Tirari Desert,http://www.wikidata.org/entity/Q1419579
Australia,22,Strzelecki Desert,http://www.wikidata.org/entity/Q1350167
Australia,21,Sturt Stony Desert,http://www.wikidata.org/entity/Q1430151
Australia,18,Pedirka Desert,http://www.wikidata.org/entity/Q1641514
Australia,16,Painted Desert,http://www.wikidata.org/entity/Q1517727
