country,number,item,item_id
Afghanistan,36.0,Kader Khan,http://www.wikidata.org/entity/Q3191765
Afghanistan,13.0,Marina Golbahari,http://www.wikidata.org/entity/Q276447
Afghanistan,13.0,Leena Alam,http://www.wikidata.org/entity/Q6516339
Afghanistan,12.0,Annet Mahendru,http://www.wikidata.org/entity/Q3464233
Afghanistan,9.0,Saba Sahar,http://www.wikidata.org/entity/Q1772399
Afghanistan,8.0,Azita Ghanizada,http://www.wikidata.org/entity/Q3631545
Afghanistan,8.0,Soosan Firooz,http://www.wikidata.org/entity/Q7562761
Afghanistan,8.0,Fahim Fazli,http://www.wikidata.org/entity/Q17385914
Afghanistan,8.0,Warina Hussain,http://www.wikidata.org/entity/Q55180724
Afghanistan,7.0,Hussain Sadiqi,http://www.wikidata.org/entity/Q10843545
Afghanistan,6.0,Yasmeena Ali,http://www.wikidata.org/entity/Q60578542
Afghanistan,6.0,Youssof Kohzad,http://www.wikidata.org/entity/Q2601393
Afghanistan,6.0,Arshi Khan,http://www.wikidata.org/entity/Q46999630
Afghanistan,5.0,Ahmad Khan Mahmidzada,http://www.wikidata.org/entity/Q400679
Afghanistan,5.0,Zekeria Ebrahimi,http://www.wikidata.org/entity/Q187226
Afghanistan,5.0,Anisa Wahab,http://www.wikidata.org/entity/Q5958785
Afghanistan,5.0,Najiba Faiz,http://www.wikidata.org/entity/Q37789237
Afghanistan,5.0,Sonia Nassery Cole,http://www.wikidata.org/entity/Q7561738
Afghanistan,4.0,Zohra Daoud,http://www.wikidata.org/entity/Q8073468
Afghanistan,4.0,Nikbakht Noruz,http://www.wikidata.org/entity/Q3608877
Albania,83.0,Masiela Lusha,http://www.wikidata.org/entity/Q37944
Albania,64.0,Bleona,http://www.wikidata.org/entity/Q22137038
Albania,54.0,Jim Belushi,http://www.wikidata.org/entity/Q107933
Albania,51.0,Eliza Dushku,http://www.wikidata.org/entity/Q210200
Albania,44.0,Eleni Foureira,http://www.wikidata.org/entity/Q4493489
Albania,40.0,Albano Carrisi,http://www.wikidata.org/entity/Q263621
Albania,29.0,Anna Oxa,http://www.wikidata.org/entity/Q238061
Albania,25.0,Breanne Benson,http://www.wikidata.org/entity/Q544838
Albania,21.0,Arta Dobroshi,http://www.wikidata.org/entity/Q462415
Albania,18.0,Tinka Kurti,http://www.wikidata.org/entity/Q2944077
Albania,13.0,Arben Bajraktaraj,http://www.wikidata.org/entity/Q629529
Albania,12.0,Marie Logoreci,http://www.wikidata.org/entity/Q659388
Albania,12.0,Elvana Gjata,http://www.wikidata.org/entity/Q462706
Albania,12.0,Francesca Romana Coluzzi,http://www.wikidata.org/entity/Q524528
Albania,12.0,Nik Xhelilaj,http://www.wikidata.org/entity/Q3299257
Albania,11.0,Esma Agolli,http://www.wikidata.org/entity/Q462752
Albania,11.0,"Elia, Crown Princess of Albania",http://www.wikidata.org/entity/Q3050902
Albania,10.0,Margarita Xhepa,http://www.wikidata.org/entity/Q390228
Albania,9.0,Rajmonda Bulku,http://www.wikidata.org/entity/Q7286316
Albania,9.0,Kristaq Dhamo,http://www.wikidata.org/entity/Q3174405
Algeria,52.0,Daniel Auteuil,http://www.wikidata.org/entity/Q106303
Algeria,51.0,Bernard-Henri Lévy,http://www.wikidata.org/entity/Q313509
Algeria,35.0,Patrick Bruel,http://www.wikidata.org/entity/Q171530
Algeria,33.0,Sofia Boutella,http://www.wikidata.org/entity/Q258777
Algeria,30.0,Jean-Claude Brialy,http://www.wikidata.org/entity/Q106326
Algeria,30.0,Edwige Fenech,http://www.wikidata.org/entity/Q266229
Algeria,29.0,Tony Gatlif,http://www.wikidata.org/entity/Q127481
Algeria,29.0,Marlène Jobert,http://www.wikidata.org/entity/Q272183
Algeria,28.0,Roger Hanin,http://www.wikidata.org/entity/Q945936
Algeria,28.0,Alain Chabat,http://www.wikidata.org/entity/Q448021
Algeria,27.0,Souad Massi,http://www.wikidata.org/entity/Q236370
Algeria,27.0,Valérie Benguigui,http://www.wikidata.org/entity/Q3554229
Algeria,26.0,Pierre Blanchar,http://www.wikidata.org/entity/Q958955
Algeria,26.0,Nicole Garcia,http://www.wikidata.org/entity/Q434060
Algeria,25.0,Cheb Mami,http://www.wikidata.org/entity/Q441266
Algeria,25.0,Warda Al-Jazairia,http://www.wikidata.org/entity/Q268615
Algeria,25.0,Kad Merad,http://www.wikidata.org/entity/Q983159
Algeria,24.0,Jean-Pierre Bacri,http://www.wikidata.org/entity/Q981203
Algeria,20.0,Françoise Fabian,http://www.wikidata.org/entity/Q456668
Algeria,18.0,Françoise Arnoul,http://www.wikidata.org/entity/Q451649
Andorra,23.0,Marta Roure,http://www.wikidata.org/entity/Q275912
Andorra,7.0,Merche Romero,http://www.wikidata.org/entity/Q3308054
Andorra,6.0,Isak Ferriz,http://www.wikidata.org/entity/Q5921023
Andorra,4.0,Claudia Riera,http://www.wikidata.org/entity/Q96757122
Andorra,2.0,Marc Cartes i Ivern,http://www.wikidata.org/entity/Q11935090
Andorra,2.0,Corina Randazzo,http://www.wikidata.org/entity/Q28146759
Andorra,2.0,Joel Pla,http://www.wikidata.org/entity/Q108830139
