country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388,wd:Q172388,404323,President of Afghanistan from 2014 to 2021
Afghanistan,76,Khaled Hosseini,http://www.wikidata.org/entity/Q193116,wd:Q193116,1398851,novelist
Afghanistan,75,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
Iran,75,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
Afghanistan,60,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
Uzbekistan,60,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
Afghanistan,60,Ahmed Shahe Durrani,http://www.wikidata.org/entity/Q46798,wd:Q46798,1560,"founder of the Durrani Empire, considered founder of the state of Afghanistan"
Afghanistan,49,Nur Muhammad Taraki,http://www.wikidata.org/entity/Q299559,wd:Q299559,917611,1st General Secretary of the People's Democratic Party of Afghanistan
Afghanistan,38,Nur Jahan,http://www.wikidata.org/entity/Q541530,wd:Q541530,455443,Padshah Begum of the Mughal Empire (1577-1645)
Afghanistan,36,Kader Khan,http://www.wikidata.org/entity/Q3191765,wd:Q3191765,2886006,"Indian-Canadian film actor, script and dialogue writer"
Afghanistan,33,Khwaja Abdullah Ansari,http://www.wikidata.org/entity/Q558205,wd:Q558205,3589304,Persian writer
Afghanistan,30,Malalai Joya,http://www.wikidata.org/entity/Q253378,wd:Q253378,4710604,Afghan politician
Afghanistan,29,Atiq Rahimi,http://www.wikidata.org/entity/Q179801,wd:Q179801,20390995,French-Afghan writer
Afghanistan,27,Sanai,http://www.wikidata.org/entity/Q1148049,wd:Q1148049,1833568,Persian poet
Afghanistan,26,Meena Keshwar Kamal,http://www.wikidata.org/entity/Q465872,wd:Q465872,1108867,Activist and social worker from Afghanistan (1956-1987)
Afghanistan,23,Anvari,http://www.wikidata.org/entity/Q11356,wd:Q11356,3273894,Persian poet
Afghanistan,22,Ali Hujwiri,http://www.wikidata.org/entity/Q2733487,wd:Q2733487,980538,Sufi mystic
Afghanistan,21,Ahmad Zahir,http://www.wikidata.org/entity/Q195522,wd:Q195522,974608,Afghan singer (1946-1979)
Afghanistan,21,Fatima Bhutto,http://www.wikidata.org/entity/Q4115693,wd:Q4115693,1328479,Pakistani writer
Afghanistan,19,Unsuri,http://www.wikidata.org/entity/Q32842,wd:Q32842,3201844,Persian poet
Afghanistan,17,Mahmud Tarzi,http://www.wikidata.org/entity/Q153640,wd:Q153640,47940257,Afghan writer (1865-1933)
Afghanistan,17,Mustafa Nayyem,http://www.wikidata.org/entity/Q2690181,wd:Q2690181,38144551,Ukrainian journalist
Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,"Albanian actress, writer, author"
Albania,73,Edi Rama,http://www.wikidata.org/entity/Q316901,wd:Q316901,277805,Albanian politician
Albania,70,Ismail Kadare,http://www.wikidata.org/entity/Q179695,wd:Q179695,256668,Albanian writer
Albania,54,Jim Belushi,http://www.wikidata.org/entity/Q107933,wd:Q107933,430546,"American actor, comedian, singer, and musician"
Albania,47,Naim Frashëri,http://www.wikidata.org/entity/Q47007,wd:Q47007,327509,Albanian poet and writer (1846-1900)
Albania,40,Albano Carrisi,http://www.wikidata.org/entity/Q263621,wd:Q263621,2643566,Italian singer and actor (1943)
