country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,4.146818,Kabul,http://www.wikidata.org/entity/Q5838,wd:Q5838,16826,capital of Afghanistan
Afghanistan,3.9553761,Herat,http://www.wikidata.org/entity/Q45313,wd:Q45313,14128,"capital of Herat Province, Afghanistan"
Afghanistan,3.6267514,Ghazni,http://www.wikidata.org/entity/Q173731,wd:Q173731,370315,city in Afghanistan
Afghanistan,2.2140677,Kandahar,http://www.wikidata.org/entity/Q45604,wd:Q45604,17260,"capital of Kandahar Province, Afghanistan"
Afghanistan,1.1393328,Jalalabad,http://www.wikidata.org/entity/Q183303,wd:Q183303,16274,"capital of Nangarhar, Afghanistan"
Afghanistan,0.93624777,Khost,http://www.wikidata.org/entity/Q386682,wd:Q386682,400068,"city in Khost Province, Afghanistan"
Afghanistan,0.8098081,Mazar-i-Sharif,http://www.wikidata.org/entity/Q130469,wd:Q130469,20517,"capital of Balkh, Afghanistan"
Afghanistan,0.49616465,Lashkar Gah,http://www.wikidata.org/entity/Q476800,wd:Q476800,1922847,city in Afghanistan
Afghanistan,0.17621145,Pul-e Khomri,http://www.wikidata.org/entity/Q477148,wd:Q477148,4620138,city
Afghanistan,0.037907507,Taloqan,http://www.wikidata.org/entity/Q477238,wd:Q477238,7714287,"the capital of Takhar Province, Afghanistan"
Albania,65.19648,Shkodër,http://www.wikidata.org/entity/Q131638,wd:Q131638,59736375,city in northwestern Albania
Albania,51.828575,Tirana,http://www.wikidata.org/entity/Q19689,wd:Q19689,31075,capital city of Albania
Albania,26.843504,Durrës,http://www.wikidata.org/entity/Q83285,wd:Q83285,263530,city in Albania
Albania,25.529898,Vlorë,http://www.wikidata.org/entity/Q159610,wd:Q159610,322031,city in Albania
Albania,7.376404,Fier,http://www.wikidata.org/entity/Q190897,wd:Q190897,541993,"town in Fier County, Albania"
Albania,0.15775733,Kamëz,http://www.wikidata.org/entity/Q605160,wd:Q605160,18030919,city in Albania
Algeria,18.325256,Tlemcen,http://www.wikidata.org/entity/Q185134,wd:Q185134,515053,city in Algeria
Algeria,15.1296425,Algiers,http://www.wikidata.org/entity/Q3561,wd:Q3561,1644,capital city of Algeria
Algeria,13.943662,Oran,http://www.wikidata.org/entity/Q131818,wd:Q131818,145335,city in Algeria
Algeria,12.846418,Constantine,http://www.wikidata.org/entity/Q187346,wd:Q187346,468607,city in Algeria
Algeria,11.922402,Bejaïa,http://www.wikidata.org/entity/Q59975,wd:Q59975,1738844,municipality of Algeria
Algeria,11.190594,Annaba,http://www.wikidata.org/entity/Q45942,wd:Q45942,1251502,municipality of Algeria
Algeria,9.429351,Sétif,http://www.wikidata.org/entity/Q244004,wd:Q244004,3968595,municipality of Algeria
Algeria,8.8408375,Mascara,http://www.wikidata.org/entity/Q545707,wd:Q545707,3972522,"city in Mascara Province, Algeria"
Algeria,7.864169,Chlef,http://www.wikidata.org/entity/Q849561,wd:Q849561,3972089,city in the north of Algeria
Algeria,5.7654295,Mostaganem,http://www.wikidata.org/entity/Q849524,wd:Q849524,1738954,city
Algeria,4.6023436,Sidi Bel Abbès,http://www.wikidata.org/entity/Q852276,wd:Q852276,3968229,"city in Sidi Bel Abbès Province, Algeria"
Algeria,4.592268,Skikda,http://www.wikidata.org/entity/Q2292517,wd:Q2292517,1492672,city in Algeria
Algeria,3.9577644,Biskra,http://www.wikidata.org/entity/Q312759,wd:Q312759,1738833,city in Algeria
Algeria,3.2853193,Blida,http://www.wikidata.org/entity/Q216990,wd:Q216990,1304276,City and commune in Algeria
Algeria,2.2626646,Tébessa,http://www.wikidata.org/entity/Q984575,wd:Q984575,3972595,"city in Tébessa Province, Algeria"
Algeria,2.240613,Médéa,http://www.wikidata.org/entity/Q1982137,wd:Q1982137,1657880,Algerian city
Algeria,2.01965,Bordj Bou Arréridj,http://www.wikidata.org/entity/Q544733,wd:Q544733,1738983,city in Algeria
Algeria,2.0121286,Tiaret,http://www.wikidata.org/entity/Q565568,wd:Q565568,2243530,city in Algeria
Algeria,1.8419598,Khenchela,http://www.wikidata.org/entity/Q1649570,wd:Q1649570,1492649,city in Algeria
Algeria,1.3785498,Aïn Beïda,http://www.wikidata.org/entity/Q2088349,wd:Q2088349,7012909,"commune and city in Oum El Bouaghi Province, Algeria"
Algeria,0.84527284,Béchar,http://www.wikidata.org/entity/Q638704,wd:Q638704,3968322,"City and capital of Béchar Province, maroc"
Algeria,0.75174403,Ouargla,http://www.wikidata.org/entity/Q852469,wd:Q852469,3968524,"city and capital of Ouargla Province, Algeria"
Algeria,0.6771168,Djelfa,http://www.wikidata.org/entity/Q2794758,wd:Q2794758,1738883,"city in Djelfa Province, Algeria"
Algeria,0.54,Batna,http://www.wikidata.org/entity/Q338844,wd:Q338844,1738916,"commune and city in Batna Province, Algeria"
Algeria,0.5196772,El Oued,http://www.wikidata.org/entity/Q1642636,wd:Q1642636,1738970,"city and capital of El Oued Province, Algeria"
Algeria,0.33333334,Ghardaia,http://www.wikidata.org/entity/Q622841,wd:Q622841,3968387,"City and capital of Ghardaïa Province, Algeria"
Algeria,0.27919313,Touggourt,http://www.wikidata.org/entity/Q852515,wd:Q852515,1245746,"City in Ouargla Province, Algeria"
Angola,10.492699,Luanda,http://www.wikidata.org/entity/Q3897,wd:Q3897,18402,capital of Angola
Angola,2.100485,Benguela,http://www.wikidata.org/entity/Q214248,wd:Q214248,1126618,city in Angola
Angola,1.7567568,M'banza-Kongo,http://www.wikidata.org/entity/Q500189,wd:Q500189,30861531,capital of Angola's northwestern Zaire Province
Angola,1.4901961,Moçâmedes,http://www.wikidata.org/entity/Q221914,wd:Q221914,448747,city in Angola
Angola,1.0817893,Huambo,http://www.wikidata.org/entity/Q207322,wd:Q207322,448688,city in Angola
Angola,0.9818182,Cabinda,http://www.wikidata.org/entity/Q459360,wd:Q459360,3459525,"city in Cabinda Province, Angola"
Angola,0.66144466,Lobito,http://www.wikidata.org/entity/Q223914,wd:Q223914,996399,town of Angola
Angola,0.6569343,Porto Amboim,http://www.wikidata.org/entity/Q1018592,wd:Q1018592,2271668,Angola
