country,number,nonsense,item,wikidata_id,wikidata_id_short,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,31,1,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535),"Kamāl ud-Dīn Behzād (c. 1450 – c. 1535), also known as Kamal al-din Bihzad or Kamaleddin Behzad (Persian: کمال‌الدین بهزاد), was a Persian painter and head of the royal ateliers in Herat and Tabriz during the late Timurid and early Safavid Persian periods. He is regarded as marking the highpoint of the great tradition of Islamic miniature painting.  He was very prominent in his role as a director of a workshop in the Herat Academy as well as his position in the Royal Library in the city of Herat. His art is unique in that it includes the common geometric attributes of Persian painting, while also inserting his own style, such as vast empty spaces to which the subject of the painting dances around. His art includes masterful use of value and individuality of character, with one of his most famous pieces being ""The Seduction of Yusuf”' from Sa'di's Bustan of 1488. Behzād’s fame and renown in his lifetime inspired many during, and after, his life to copy his style and works due to the wide praise they received. Due to the great number of copies and difficulty with tracing origin of works, there is a large amount of contemporary work into proper attribution.",https://en.wikipedia.org/wiki/Kam%C4%81l_ud-D%C4%ABn_Behz%C4%81d
Albania,20,1,Kolë Idromeno,http://www.wikidata.org/entity/Q1390711,wd:Q1390711,1455976,"Albanian painter, sculptor, photographer, architect and engineer (1860-1939)","Nikoll Idromeno (Albanian pronunciation: [ˌniˈkɔɫa kɔl ˈidɾɔˌmɛnɔ]; 15 August 1860 – 12 December 1939), better known as Kolë Idromeno, was an Albanian painter, sculptor, architect, photographer, cinematographer, composer and engineer during the Albanian Renaissance in the nineteenth century. He is widely regarded as a precursor of both realism and landscape art in Albania.Kolë Idromeno was born in Shkodër, which was at that time part of the Ottoman Empire. At age 16, he moved to Venice for six months and began his studies at the Accademia di Belle Arti di Venezia. Subsequently, he travelled throughout Europe and moved back to Shkodër and worked essentially in a variety of artistic fields. In addition, he made himself strongly committed for the Independence of Albania whereby he was forced to emigrate to Ulcinj.Among his important works are a series of paintings where he tried to depict the social aspects of everyday life, customs and religion exactly as it appears. He was also distinguished for its rich use of colours and decorative shades with certain ethnographic elements and landscapes depicting places in or near Shkodër.As an architect, he drew the plans for around fifty buildings either private and public. He also designed several industrial facilities, banks, the Rozafa cinema and Kafja e Madhe café. The coffered ceiling of the St. Stephen's Cathedral, which is one of the largest cathedrals in the Balkans, was also a design by Kolë Idromeno.

",https://en.wikipedia.org/wiki/Kol%C3%AB_Idromeno
Algeria,45,1,Édouard-Henri Avril,http://www.wikidata.org/entity/Q122427,wd:Q122427,11451056,French painter artist (1849-1928),"Édouard-Henri Avril  (21 May 1849 – 28 July 1928) was a French painter and commercial artist. Under the pseudonym Paul Avril, he was an illustrator of erotic literature. His career saw collaboration with influential people like Octave Uzanne, Henry Spencer Ashbee and Friedrich Karl Forberg.Avril was a soldier before starting his career in art. He was awarded with the Legion of Honour for his actions in the Franco-Prussian War.

",https://en.wikipedia.org/wiki/%C3%89douard-Henri_Avril
Angola,1,1,António Olé,http://www.wikidata.org/entity/Q27159914,wd:Q27159914,62753497,"Angolan sculptor, painter, and filmmaker, born 1951","António Ole (born 1951) is an Angolan artist, among the best known in the country. He represented Angola at the 2017 Venice Biennale.Ole's first international exhibition was in 1984 at the Los Angeles Museum of African American Art. He showed work at the Havana Biennial and Johannesburg Biennial. Ole participated in the African delegation to the 1992 International Exhibition of Seville. His photographs were displayed at the 2015 Venice Biennale and the following Biennale showed several of his films: Carnaval da Vitória (short film on Angola's post-independence carnival), Ritmo do N'Gola Ritmos (documentary on an Angolan band), No Caminho das Estrelas (documentary on Angolan president António Agostinho Neto), Conceição Tchiambula Um dia, Uma vida (documentary about a peasant), and Sem Título (poetic, ecological essay).",https://en.wikipedia.org/wiki/Ant%C3%B3nio_Ole
Argentina,26,1,Leonor Fini,http://www.wikidata.org/entity/Q464011,wd:Q464011,1159074,"Argentine painter, designer and writer","Leonor Fini (30 August 1907 – 18 January 1996) was an Argentinian and Italian surrealist painter, designer, illustrator, and author, known for her depictions of powerful and erotic women.

",https://en.wikipedia.org/wiki/Leonor_Fini
Armenia,33,1,Martiros Saryan,http://www.wikidata.org/entity/Q718409,wd:Q718409,2816324,Armenian painter,"Martiros Saryan (Armenian: Մարտիրոս Սարյան; Russian: Мартиро́с Сарья́н; 28 February [O.S. 16 February] 1880 – 5 May 1972) was a Soviet Armenian painter, the founder of a modern Armenian national school of painting.",https://en.wikipedia.org/wiki/Martiros_Saryan
Australia,29,1,Sidney Nolan,http://www.wikidata.org/entity/Q381031,wd:Q381031,38203112,Australian artist (1917-1992),"Sir Sidney Robert Nolan OM AC CBE RA Hon.RE (22 April 1917 – 28 November 1992) was one of Australia's leading artists of the 20th century. Working in a wide variety of mediums, his oeuvre is among the most diverse and prolific in all of modern art. He is best known for his series of paintings on legends from Australian history, most famously Ned Kelly, the bushranger and outlaw. Nolan's stylised depiction of Kelly's armour has become an icon of Australian art.",https://en.wikipedia.org/wiki/Sidney_Nolan
Austria,95,1,Gustav Klimt,http://www.wikidata.org/entity/Q34661,wd:Q34661,12425,Austrian symbolist painter (1862-1918),"Gustav Klimt (July 14, 1862 – February 6, 1918) was an Austrian symbolist painter and one of the most prominent members of the Vienna Secession movement. Klimt is noted for his paintings, murals, sketches, and other objets d'art. Klimt's primary subject was the female body, and his works are marked by a frank eroticism. Amongst his figurative works, which include allegories and portraits, he painted landscapes. Among the artists of the Vienna Secession, Klimt was the most influenced by Japanese art and its methods.Early in his artistic career, he was a successful painter of architectural decorations in a conventional manner. As he began to develop a more personal style, his work was the subject of controversy that culminated when the paintings he completed around 1900 for the ceiling of the Great Hall of the University of Vienna were criticized as pornographic. He subsequently accepted no more public commissions, but achieved a new success with the paintings of his ""golden phase"", many of which include gold leaf. Klimt's work was an important influence on his younger peer Egon Schiele.",https://en.wikipedia.org/wiki/Gustav_Klimt
Azerbaijan,26,1,Tahir Teimurovitsch Salakhov,http://www.wikidata.org/entity/Q2627373,wd:Q2627373,2904881,"Soviet, Azerbaijani and Russian artist (1928-2021)","Tahir Salahov (Azerbaijani, in full: Tahir Teymur oğlu Salahov, Russian: Таир Теймур Салахов; 29 November 1928 – 21 May 2021) was a Soviet, Azerbaijani and Russian painter and draughtsman. He was First Secretary of the Artists' Union of the USSR (1973–1992), Vice-President of the Russian Academy of Arts, member of over 20 academies and other creative organizations throughout the world, including academies of art of France, Spain, Germany, and Austria.",https://en.wikipedia.org/wiki/Tahir_Salahov
Bahrain,2,1,Alessandro Raho,http://www.wikidata.org/entity/Q4716407,wd:Q4716407,26518952,British artist,"Alessandro Raho (born 1971, Nassau, Bahamas) is a British artist. His work has been shown at the National Portrait Gallery in London.

",https://en.wikipedia.org/wiki/Alessandro_Raho
