0,1,2,3,4,5,6,7
1,United States,"May 15, 1940Franchise: April 13, 1955","San Bernardino, CaliforniaDes Plaines, Illinois (Franchise)","14,146[7]","(source: Investopedia November 15, 2018)",23130,See McDonald's USA
2,Canada (details),"June 3, 1967","Richmond, British Columbia","1,458[7]","(source: Investopedia November 15, 2018)",25560,This is the first McDonald's outside of the United States. See McDonald's Canada
3,Puerto Rico(territory of ﾂUnited States),"December 6, 1967",San Juan,108,(source: McDonald's 2013),29583,First McDonald's in Latin America and in the Caribbean and the first McDonald's in a Hispanophone area. See McDonald's Puerto Rico
4,U.S. Virgin Islands(territory of ﾂUnited States),"September 5, 1970",St. Croix,6,(source: McDonald's 2013),17878,
5,Costa Rica,"December 8, 1970","San Josﾃｩ, 4th street, between 1st and Central Avenue.",54,(source: McDonald's 2013),90852,Third country (not U.S. possession) and first outlet outside North America where McDonald's opened. See McDonald's Costa Rica
6,Australia,"May 30, 1971","Yagoona, New South Wales[8]",981[9],"(source: Investopedia November 15, 2018)",26739,First outlet in Oceania and first outlet outside the Americas. See McDonald's Australia. Locally known as Maccas.
7,Guam(territory of ﾂUnited States),"June 10, 1971",Dededo,6,(source: Statista 2016),27372,First outlet in Micronesia.
8,Japan,"July 21, 1971",Tokyo,"2,975[7]","(source: Investopedia November 15, 2018)",42622,"First outlet in Asia, McDonald's Holdings Company Japan, Inc.[10] locally known as makku (・・・・・・・・ｯ). The most McDonald's in a country besides the United States. See McDonald's Japan"
9,Netherlands,"August 21, 1971",Zaandam,254[11],(source: McDonald's 2019),69714,This was the first outlet in Europe. Opened in 1971 by European Master Franchisees Jan Sybesma McDonald's Europe ・・ Plan to open 15 more stores in the next 4 years. See McDonald's Netherlands
10,Panama,"September 1, 1971",Panama City,57,(source: McDonald's 2013),71912,See McDonald's Panama
11,Germany,"November 22, 1971(ﾂWest Germany)December 21, 1990(former ﾂEast Germany)[12]",Munich(ﾂWest Germany)Plauen(former ﾂEast Germany),"1,472[13][14]","(source: Investopedia November 15, 2018)",55939,First outlet in West Germany opened in Munich-Obergiesing in 1971. McDonald's is locally known as Megges. First outlet in the new states of Germany opened in Plauen in 1990 following reunification. See McDonald's Germany
12,France,"June 30, 1972",Crﾃｩteil,"1,485[15]","(source: Investopedia March 2, 2020)",47209,"First outlet in Creteil in 1972 even though McDonald's officially recognizes the first outlet in Strasbourg in 1979. In 2019, France was the largest European market for the hamburger chain per investopedia.com. See McDonald's France."
13,El Salvador,"July 20, 1972",San Salvador,19,(source: McDonald's 2019),318900,
14,Sweden,"October 27, 1973","Kungsgatan 4, Stockholm",191[16],(source: McDonald's 2019),44422,First outlet in Scandinavia. See McDonald's Sweden
15,Guatemala,"June 6, 1974",Guatemala City,95,(source: McDonald's 2019),179894,See McDonald's Guatemala
16,Netherlands,"August 16, 1974",Willemstad,5,(source: McDonald's 2013),32203,See McDonald's Aruba and Curaﾃｧao
17,United Kingdom,"England: November 13, 1974[17]Wales: December 3, 1984Scotland: November 23, 1987[18]Northern Ireland: October 12, 1991","Woolwich, London (England)Cardiff (Wales)Dundee (Scotland)Belfast (Northern Ireland)","1,274[7]","(source: Investopedia November 15, 2018)",51837,"Includes Isle of Man and Jersey (1 each)England: 1,038Scotland: 95Wales: 62Northern Ireland: 26See McDonald's UK"
18,Hong Kong(ﾂBritish Hong Kong at the time),"January 8, 1975","Paterson Street, Causeway Bay, Hong Kong Island. (CLOSED)[19]",237[16],"(source: World Atlas January 12, 2018)",31190,First outlet in a Chinese-speaking territory. Hong Kong was then a British Crown colony/Dependent Territory; McDonald's would open up a restaurant in China itself 15 years later. See McDonald's Hong Kong
19,Bahamas,"August 4, 1975",Nassau,3,(source: Dec. 2012),131787,First outlet in an independent country of the Caribbean.
20,New Zealand (details),"June 7, 1976","Porirua Central, Wellington[20]",166,(source: 2018),28880,"Founded in New Zealand by Wally and Hugh Morris[21]First South Island restaurants opened at Linwood and Merivale, both Christchurch, on November 3, 1987.[22] See McDonald's New Zealand."
21,Switzerland,"October 20, 1976",Geneva,167,(source: McDonald's 2019),50419,See McDonald's Switzerland
22,Ireland,"May 9, 1977","Grafton Street, Dublin",89,(source: McDonald's 2013),53753,"First drive-thru in Europe opened in Nutgrove, Dublin and first McCafﾃｩ in Europe Grafton Street, Dublin. See McDonald's Ireland"
23,Austria,"July 21, 1977","Schwarzenbergplatz, Vienna",195,(source: McDonald's 2019),45456,See McDonald's Austria
24,Belgium,"March 21, 1978",Brussels,85,(source: McDonald's 2019),153378,See McDonald's Belgium
25,Brazil,"February 13, 1979","Copacabana, Rio de Janeiro","1,031","(source: McDonald's, 2021)",203828,"First outlet opened in Copacabana, Rio de Janeiro, in 1979. First outlet opened in South America and first outlet in a lusophone country. Locally known as Mﾃｩqui. See McDonald's Brazil"
26,Singapore,"October 20, 1979","Liat Towers, Orchard Road",136,(source: December 2012),41265,First outlet in Southeast Asia. All Singaporean McDonald's locations are certified halal. See McDonald's Singapore[23]
27,Spain,"March 10, 1981","Gran Vﾃｭa, Madrid",520[24],"(source: Verdict April 18, 2018)",91788,First outlet in the Iberian Peninsula. See McDonald's Spain
28,Denmark,"April 15, 1981","Vesterbrogade 2D, Copenhagen",89,(source: 2018),64596,See McDonald's Denmark
29,Philippines (details),"September 27, 1981","Nicanor Reyes Street, Morayta, Sampaloc, Manila",655[25],"(source: BusinessWorld February 9, 2021)",163938,See McDonald's Philippines.
