0,1
Uruguay,1.95
United Kingdom,1.92
Israel,1.87
Argentina,1.75
Finland,1.74
Japan,1.74
Iceland,1.72
Netherlands,1.69
Denmark,1.66
Burundi,1.66
Zambia,1.64
France,1.62
Central African Republic,1.62
Italy,1.59
Belgium,1.57
Sweden,1.54
South Korea,1.51
Brazil,1.51
Germany,1.49
Rwanda,1.46
North Korea,1.46
Turkey,1.44
Group of 7 countries (G7) average,1.44
Uganda,1.41
Guinea,1.39
Zimbabwe,1.39
High income OECD countries average,1.35
Sierra Leone,1.34
Morocco,1.34
Austria,1.34
Eurozone average,1.34
European Union average,1.33
Hungary,1.33
Bolivia,1.31
Peru,1.31
NATO countries average,1.3
Switzerland,1.28
Portugal,1.26
Czech Republic,1.26
Madagascar,1.25
Republic of Macedonia,1.25
Cote d'Ivoire,1.25
Croatia,1.25
Poland,1.25
Tanzania,1.23
Non-religious countries average,1.23
Norway,1.21
Senegal,1.2
Spain,1.2
Ireland,1.18
Greece,1.18
Paraguay,1.18
Dominica,1.16
Kenya,1.16
Mali,1.15
Bulgaria,1.15
Slovakia,1.13
Malawi,1.13
Cold countries average,1.11
Burkina Faso,1.11
Bosnia and Herzegovina,1.11
Chad,1.11
Niger,1.11
El Salvador,1.1
Mauritania,1.1
Latvia,1.1
Lithuania,1.8
Sri Lanka,1.8
Costa Rica,1.7
Burma,1.6
Gambia,1.05
Chile,1.5
Haiti,1.5
Guinea-Bissau,1.5
Former Spanish colonies average,1.3
Nepal,1.3
Slovenia,1.3
Jamaica,1.02
Nicaragua,1.02
Honduras,1.2
Former French colonies average,1
Mexico,1
Cambodia,1
Cuba,1
Somalia,0.99
Estonia,0.98
India,0.98
failed states average,965
Canada,0.95
Bhutan,0.95
Australia,0.93
Albania,0.93
Emerging markets average,927
Cameroon,0.92
Liberia,0.92
Azerbaijan,0.92
Mozambique,0.92
Armenia,0.9
South Asia average,887
Panama,0.87
Lebanon,0.87
Papua New Guinea,0.87
Guatemala,0.87
Pakistan,0.87
Gabon,0.87
Republic of the Congo,0.87
South Africa,0.82
Colombia,0.8
Tunisia,0.8
New Zealand,0.79
Benin,0.79
Togo,0.79
United States,0.77
Namibia,0.77
South and Central Asia average,767
Ethiopia,0.75
Bangladesh,0.75
Romania,0.75
Muslim countries average,748
Tajikistan,0.74
Moldova,0.74
Jordan,0.74
Former Soviet republics average,738
Syria,0.72
Kyrgyzstan,0.72
Uzbekistan,0.7
Botswana,0.69
Belarus,0.68
Laos,0.67
China,0.66
Thailand,0.64
Trinidad & Tobago,0.64
Middle Eastern and North Africa average,627
Mongolia,0.62
Vietnam,0.62
Philippines,0.61
Ukraine,0.61
Kazakhstan,0.59
Russia,0.54
Ecuador,0.51
Oman,0.51
Angola,0.49
Malaysia,0.46
Sudan,0.46
Nigeria,0.44
Algeria,0.44
Egypt,0.43
Libya,0.41
United Arab Emirates,0.41
Saudi Arabia,0.39
Kuwait,0.34
Ghana,0.33
OPEC countries average,325
Indonesia,0.28
Venezuela,0.2
Iran,0.08
Iraq,0.05
Turkmenistan,0.03
