Rank,Country,Value,Year
1,France,86861000,2017
2,Spain,81786000,2017
3,United States,76941000,2017
4,China,60740000,2017
5,Italy,58253000,2017
6,Mexico,39291000,2017
7,United Kingdom,37651000,2017
8,Turkey,37601000,2017
9,Germany,37452000,2017
10,Thailand,35592000,2017
11,Austria,29460000,2017
12,Japan,28691000,2017
13,"Hong Kong SAR, China",27884000,2017
14,Greece,27194000,2017
15,Malaysia,25948000,2017
16,Russia,24390000,2017
17,Canada,20798000,2017
18,Poland,18258000,2017
19,Netherlands,17924000,2017
20,"Macao SAR, China",17255000,2017
21,Saudi Arabia,16109000,2017
22,Croatia,15593000,2017
23,India,15543000,2017
24,Portugal,15432000,2017
25,Ukraine,14230000,2017
26,Indonesia,14040000,2017
27,Singapore,13903000,2017
28,Korea,13336000,2017
29,Vietnam,12922000,2017
30,Denmark,11743000,2017
31,Bahrain,11370000,2017
32,Morocco,11349000,2017
33,Belarus,11060200,2017
34,Romania,10926000,2017
35,Ireland,10338000,2017
36,South Africa,10285000,2017
37,Czech Republic,10160000,2017
38,Switzerland,9889000,2017
39,Bulgaria,8883000,2017
40,Australia,8815000,2017
41,Belgium,8385000,2017
42,Egypt,8157000,2017
43,Kazakhstan,7701000,2017
44,United Arab Emirates,7126000,2005
45,Sweden,7054000,2017
46,Tunisia,7052000,2017
47,Argentina,6720000,2017
48,Philippines,6621000,2017
49,Brazil,6589000,2017
50,Georgia,6483000,2017
51,Chile,6450000,2017
52,Norway,6252000,2017
53,Dominican Republic,6188000,2017
54,Hungary,5650000,2017
55,Cambodia,5602000,2017
56,Syrian Arab Republic,5070000,2011
57,Iran,4867000,2017
58,Albania,4643000,2017
59,Cuba,4594000,2017
60,Kyrgyz Republic,4568000,2017
61,Colombia,4113000,2017
62,Peru,4032000,2017
63,Jordan,3843500,2017
64,Puerto Rico,3797000,2017
65,Uruguay,3674000,2017
66,Cyprus,3652000,2017
67,Israel,3613000,2017
68,Slovenia,3586000,2017
69,New Zealand,3555000,2017
70,Myanmar,3443000,2017
71,Lao PDR,3257000,2017
72,Estonia,3245000,2017
73,Finland,3180000,2017
74,Costa Rica,2960000,2017
75,Andorra,2831000,2016
76,Uzbekistan,2690000,2017
77,Lithuania,2523000,2017
78,Azerbaijan,2454000,2017
79,Algeria,2451000,2017
80,Zimbabwe,2423000,2017
81,Oman,2372000,2017
82,Jamaica,2353000,2017
83,Malta,2274000,2017
84,Qatar,2256500,2017
85,Iceland,2225000,2017
86,Slovak Republic,2162000,2017
87,Sri Lanka,2116400,2017
88,Guatemala,2113000,2017
89,Latvia,1949000,2017
90,Nigeria,1889000,2016
91,Montenegro,1877000,2017
92,Lebanon,1857000,2017
93,Panama,1843000,2017
94,Côte d'Ivoire,1800000,2017
95,Nicaragua,1787000,2017
96,Ecuador,1608000,2017
97,Paraguay,1584000,2017
98,Botswana,1574000,2016
99,El Salvador,1556000,2017
100,Namibia,1499000,2017
101,Serbia,1497000,2017
102,Armenia,1495000,2017
103,Mozambique,1447000,2017
104,The Bahamas,1439000,2017
105,Uganda,1402000,2017
106,Senegal,1365000,2017
107,Kenya,1364000,2017
108,Mauritius,1342000,2017
109,Tanzania,1275000,2017
110,Lesotho,1137000,2017
111,Bolivia,1134000,2017
112,Zambia,1083000,2017
113,Luxembourg,1046000,2017
114,Cameroon,994000,2016
115,Pakistan,966000,2012
116,Nepal,940000,2017
117,Ethiopia,933000,2017
118,Rwanda,932000,2016
119,Bosnia and Herzegovina,923000,2017
120,Eswatini,921000,2017
121,Ghana,897000,2015
122,Iraq,892000,2013
123,Honduras,851000,2017
124,Fiji,843000,2017
125,Malawi,837000,2017
126,Sudan,813000,2017
127,Cabo Verde,668000,2017
128,Barbados,664000,2017
129,North Macedonia,631000,2017
130,Togo,496000,2017
131,Mongolia,469000,2017
132,Haiti,467000,2017
133,Tajikistan,431000,2017
134,Belize,427000,2017
134,Venezuela,427000,2017
136,Cayman Islands,418000,2017
137,Trinidad and Tobago,395000,2017
138,St. Lucia,386000,2017
139,Yemen,366700,2015
140,Monaco,355000,2017
141,Dem. Rep. Congo,351000,2016
142,Seychelles,350000,2017
143,Kuwait,307000,2013
144,Burundi,299000,2017
145,Benin,281000,2017
146,Suriname,278000,2017
147,Gabon,269000,2005
148,Angola,261000,2017
149,Brunei,259000,2017
150,Bhutan,255000,2017
150,Madagascar,255000,2017
152,Antigua and Barbuda,247000,2017
152,Guyana,247000,2017
154,Congo,206000,2017
155,Mali,193300,2017
156,Papua New Guinea,179000,2016
157,Grenada,168000,2017
158,Niger,164000,2017
159,The Gambia,162000,2017
160,Samoa,146000,2017
161,Moldova,145000,2017
162,Burkina Faso,143000,2017
163,Eritrea,142000,2016
164,Bangladesh,125000,2014
165,Palau,123000,2017
166,St. Kitts and Nevis,122000,2015
167,New Caledonia,121000,2017
168,Central African Republic,120500,2015
169,Vanuatu,109000,2017
170,Chad,87000,2017
171,San Marino,78000,2017
172,St. Vincent and the Grenadines,76000,2017
173,Timor-Leste,74000,2017
174,Dominica,72000,2017
175,Liechtenstein,69000,2017
176,Djibouti,63000,2013
177,Tonga,62500,2017
178,Guinea,60000,2016
179,Sierra Leone,55000,2016
180,Guinea-Bissau,43800,2015
181,Libya,34000,2008
182,Mauritania,30000,2000
183,São Tomé and Principe,29000,2016
184,Comoros,28000,2017
185,Solomon Islands,25700,2017
186,Turkmenistan,8200,2007
187,Kiribati,5800,2017
188,Tuvalu,2500,2017
