0,1
British Virgin Islands,16.5
Luxembourg,15.5
Qatar,14.6
Cayman Islands,13.8
Singapore,13.1
,-1
Anguilla,11.7
South Sudan,10.6
United Arab Emirates,10.5
Turks and Caicos Islands (UK),9.5
Aruba,8.7
Cyprus,8.7
Spain,7.8
San Marino,7.5
Sint Maarten,6.3
Isle of Man,6
Norway,5.9
Canada,5.7
Monaco,5.7
Djibouti,5.7
Australia,5.5
Belgium,5.4
Sweden,5.3
Liechtenstein,5
Austria,4.8
Switzerland,4.7
Ireland,4
Iceland,4
United States,3.9
New Caledonia,3.9
Italy,3.7
Macao,3.3
Jersey,3.2
Botswana,3
Finland,2.9
South Korea,2.5
United Kingdom,2.5
Portugal,2.5
Brunei,2.4
Greece,2.3
Czech Republic,2.3
Antigua & Barbuda,2.2
Israel,2.2
New Zealand,2.2
Guernsey,2.2
Denmark,2.1
Malta,2
Libya,1.9
Netherlands,1.9
Bermuda,1.8
Hong Kong,1.7
Russia,1.7
Germany,1.5
Hungary,1.3
Saint Kitts and Nevis,1.2
France,1.1
Seychelles,1
Taiwan,0.9
Palau,0.8
Costa Rica,0.8
Belarus,0.7
Suriname,0.6
Kazakhstan,0.4
Yemen,0.4
Slovenia,0.4
Chile,0.3
Angola,0.2
Rwanda,0.2
Slovakia,0.1
Andorra,0
Zambia,0
Bahamas,0
Belize,0
Benin,0
Bhutan,0
Burkina Faso,0
Burundi,0
Central African Republic,0
C√¥te dÅEÄÅEIvoire,0
Ecuador,0
Equatorial Guinea,0
Eswatini,0
Faroe Islands,0
Guinea,0
Guinea-Bissau,0
India,0
Japan,0
Jordan,0
North Korea,0
Madagascar,0
Malawi,0
Mauritius,0
Montserrat,0
Namibia,0
Papua New Guinea,0
"Saint Helena, Ascension and Tristan da Cunha (UK)",0
Serbia,0
Thailand,0
Togo,0
Ukraine,0
Azerbaijan,0
Argentina,-0.1
Cameroon,-0.1
Brazil,-0.1
Paraguay,-0.1
Nigeria,-0.2
Kenya,-0.2
Panama,-0.2
Romania,-0.2
Democratic Republic of the Congo,-0.2
Iran,-0.2
Ethiopia,-0.2
Cambodia,-0.3
Bulgaria,-0.3
Vietnam,-0.3
Barbados,-0.3
Malaysia,-0.3
Poland,-0.4
Bosnia and Herzegovina,-0.4
Oman,-0.4
China,-0.4
North Macedonia,-0.5
Egypt,-0.5
Tanzania,-0.5
Saudi Arabia,-0.5
Bolivia,-0.5
Niger,-0.5
Cape Verde,-0.6
Colombia,-0.6
Uganda,-0.7
French Polynesia,-0.8
Mauritania,-0.8
Mongolia,-0.8
Afghanistan,-0.9
Algeria,-0.9
South Africa,-0.9
Uruguay,-0.9
Laos,-1.1
Indonesia,-1.1
Tajikistan,-1.1
Honduras,-1.1
Iraq,-1.2
Venezuela,-1.21
Pakistan,-1.3
Sri Lanka,-1.3
Cura√ßao,-1.3
Vanuatu,-1.4
Myanmar,-1.5
Senegal,-1.5
Georgia,-1.6
Croatia,-1.7
Tunisia,-1.7
Solomon Islands,-1.7
Turkmenistan,-1.8
Ghana,-1.8
Mexico,-1.8
Guatemala,-1.9
Dominican Republic,-1.9
Gambia,-1.9
Mozambique,-1.9
Gabon,-2
Philippines,-2
Haiti,-2
Sierra Leone,-2.1
Uzbekistan,-2.2
Peru,-2.2
Nepal,-2.2
Kuwait,-2.4
Comoros,-2.4
Saint Lucia,-2.5
Nicaragua,-2.7
Kiribati,-2.9
Grenada,-2.9
Bangladesh,-3.1
Estonia,-3.2
Chad,-3.2
Morocco,-3.2
Albania,-3.3
Gibraltar,-3.3
Republic of the Congo,-3.8
Mali,-3.9
Timor-Leste,-3.9
Sudan,-4.1
Jamaica,-4.3
Turkey,-4.5
West Bank,-4.5
Marshall Islands,-4.7
Wallis and Futuna (France),-4.7
Guyana,-4.8
Cuba,-4.9
Gaza Strip,-5.1
Kyrgyzstan,-5.1
Dominica,-5.4
Liberia,-5.7
Armenia,-5.7
Trinidad & Tobago,-5.9
Greenland,-6
Lithuania,-6.1
Latvia,-6.1
Fiji,-6.5
Somalia,-6.5
Tuvalu,-6.7
Lesotho,-6.8
U.S. Virgin Islands,-7.5
El Salvador,-8
Saint Pierre and Miquelon (France),-8
S√£o Tom√© & Pr√≠ncipe,-8.3
Saint Vincent and the Grenadines,-8.4
Zimbabwe,-8.5
Samoa,-9.1
Moldova,-9.4
Guam,-11.1
Maldives,-12.7
Nauru,-12.8
Eritrea,-13.9
Northern Mariana Islands,-15.2
Puerto Rico,-16.9
Tonga,-17.8
Lebanon,-20.3
Micronesia,-20.9
American Samoa,-26.7
