0,1,2
Belgium,150319,Alexander De Croo
Chad,76599,Idriss Dﾃｩby
Croatia,44876,Andrej Plenkoviﾄ・
New Zealand,787318,Jacinda Ardern
Indonesia,15162095,Joko Widodo
Iceland,38340,Katrﾃｭn Jakobsdﾃｳttir
Turkey,17441971,Recep Tayyip Erdoﾄ・an
Cyprus,101770,Nikos Anastasiades
Finland,198224,Sanna Marin
Brazil,7262828,Jair Bolsonaro
Switzerland,175824,Alain Berset
Estonia,12815,Kaja Kallas
Poland,345468,Mateusz Morawiecki
Fiji,47729,Frank Bainimarama
Argentina,1989792,Alberto Fernﾃ｡ndez
Hungary,38062,Viktor Orbﾃ｡n
Paraguay,590620,Mario Abdo Benﾃｭtez
Lithuania,3497,Ingrida ﾅimonytﾄ・
Spain,1525927,Pedro Sﾃ｡nchez
Czech Republic,82137,Petr Fiala
Greece,291270,Kyriakos Mitsotakis
Bosnia and Herzegovina,4916,Denis Zvizdiﾄ・
Cuba,51472,Manuel Marrero Cruz
Latvia,22287,Kriﾅ｡jﾄ・nis Kariﾅ・ﾅ｡
India,74221173,Narendra Modi
Barbados,18735,Mia Mottley
Colombia,2392610,Ivﾃ｡n Duque
Slovenia,93373,Janez Janﾅ｡a
Singapore,777813,Lee Hsien Loong
Ireland,152773,Micheﾃ｡l Martin
Georgia,5032,Mamuka Bakhtadze
Ethiopia,581980,Abiy Ahmed Ali
Albania,357586,Edi Rama
Peru,382849,Pedro Castillo
Serbia,37616,Ana Brnabiﾄ・
Australia,510414,Scott Morrison
Austria,12114,Alexander Schallenberg
Armenia,143573,Nikol Pashinyan
Portugal,180966,Antﾃｳnio Costa
France,247673,Jean Castex
Uruguay,386502,Luis Lacalle Pou
Chile,2500979,Sebastiﾃ｡n Piﾃｱera
Venezuela,2630004,Juan Guaidﾃｳ
Andorra,3062,Xavier Espot Zamora
United States,29300000,Joe Biden
Ecuador,627693,Guillermo Lasso
Germany,111682,Olaf Scholz
Venezuela,4030603,Nicolﾃ｡s Maduro
South Africa,1743830,Matamela Cyril Ramaphosa
Japan,11500,Fumio Kishida
Japan,21447,Fumio Kishida
Sweden,2810,Magdalena Andersson
Mexico,8454836,Andrﾃｩs Manuel Lﾃｳpez Obrador
United States of America,7246958,Joe Biden
Luxembourg,97088,Xavier Bettel
Ghana,1821948,Nana Akufo-Addo
Tuvalu,862000,Elizabeth II
United Kingdom,4364350,Elizabeth II
Tuvalu,4364350,Elizabeth II
New Zealand,862000,Elizabeth II
Moldova,8034,Maia Sandu
New Zealand,4364350,Elizabeth II
Slovenia,84328,Borut Pahor
Cuba,574911,Miguel Dﾃｭaz-Canel
Armenia,39253,Armen Sarkissian
Slovakia,121305,Zuzana ﾄ・aputovﾃ｡
Kazakhstan,180791,Kassym-Jomart Tokayev
Mongolia,311001,Khaltmaagiin Battulga
Malta,3936,George William Vella
Lithuania,17958,Gitanas Nausﾄ・da
Serbia,352439,Aleksandar Vuﾄ・iﾄ・
Australia,862000,Elizabeth II
Solomon Islands,862000,Elizabeth II
Australia,4364350,Elizabeth II
Papua New Guinea,862000,Elizabeth II
Solomon Islands,4364350,Elizabeth II
Canada,862000,Elizabeth II
Austria,229459,Alexander Van der Bellen
Czech Republic,7832,Miloﾅ｡ Zeman
Papua New Guinea,4364350,Elizabeth II
Belize,862000,Elizabeth II
Canada,4364350,Elizabeth II
Albania,20175,Ilir Meta
Belize,4364350,Elizabeth II
United Kingdom,862000,Elizabeth II
North Macedonia,13141,Stevo Pendarovski
Haiti,392188,Jovenel Moﾃｯse
Afghanistan,775995,Ashraf Ghani
Zambia,116842,Edgar Lungu
Libya,67277,Abdulhamid Dbeibeh
Islamic Republic of Afghanistan,804492,Abdullah Abdullah
Gambia,27716,Adama Barrow
Republic of the Congo,17729,Fﾃｩlix Tshisekedi
Saudi Arabia,9443848,Salman of Saudi Arabia
Zimbabwe,653250,Emmerson Mnangagwa
Niger,59012,Mohamed Bazoum
Nigeria,3897848,Muhammadu Buhari
El Salvador,3310300,Nayib Bukele
Panama,299498,Laurentino Cortizo
Iraq,754906,Mustafa Al-Kadhimi
Jamaica,182924,Andrew Holness
Islamic Republic of Afghanistan,597584,Amrullah Saleh
Madagascar,106208,Andry Rajoelina
Bolivia,184710,Luis Arce
Uganda,267298,Ruhakana Rugunda
Mauritius,15873,Pravind Jugnauth
Botswana,106899,Mokgweetsi Masisi
Maldives,120992,Ibrahim Mohamed Solih
Rwanda,2241844,Paul Kagame
Iraq,1014782,Barham Salih
Israel,41500,Naftali Bennett
Senegal,1584920,Macky Sall
Pakistan,2949779,Arif Alvi
Gabon,210216,Ali Bongo Ondimba
Dominica,741832,Danilo Medina
Lebanon,370750,Michel Aoun
Somalia,505278,Mohamed Abdullahi Farmajo
Rwanda,17206,ﾃ・douard Ngirente
Israel,286756,Naftali Bennett
Israel,74778,Isaac Herzog
Dominican Republic,538645,Luis Abinader
Jordan,2234,Bisher Al-Khasawneh
Pakistan,13117509,Imran Khan
Philippines,186280,Rodrigo Duterte
Honduras,433664,Juan Orlando Hernﾃ｡ndez Alvarado
Cﾃｴte d・・Ivoire,1025484,Alassane Ouattara
Islamic Republic of Afghanistan,185315,Hamid Karzai
Kyrgyzstan,268000,Sadyr Zhaparov
Taiwan,26800,Su Tseng-chang
Taiwan,111106,Su Tseng-chang
Egypt,86800,Abdel Fattah el-Sisi
Romania,172958,Klaus Johannis
France,6547254,Emmanuel Macron
Georgia,24381,Salome Zurabishvili
Poland,1234853,Andrzej Duda
Andorra,6547254,Emmanuel Macron
Ukraine,389086,Volodymyr Zelenskyi
Estonia,53262,Kersti Kaljulaid
Taiwan,389000,Tsai Ing-wen
Saint Lucia,4364350,Elizabeth II
Togo,167374,Faure Essozimna Gnassingbﾃｩ Eyadﾃｩma
Yemen,613212,Abdrabbuh Mansour Hadi
Uganda,2494788,Yoweri Museveni
South Korea,1833359,Moon Jae-in
Grenada,862000,Elizabeth II
Bahamas,862000,Elizabeth II
Jordan,1887929,Abdullah II of Jordan
Taiwan,1456093,Tsai Ing-wen
Grenada,4364350,Elizabeth II
The Bahamas,4364350,Elizabeth II
Antigua & Barbuda,2466,Gaston Browne
Jamaica,862000,Elizabeth II
Iran,1142693,Hassan Rouhani
Jamaica,4364350,Elizabeth II
Saint Vincent and the Grenadines,862000,Elizabeth II
Liberia,113275,George Weah
Saint Kitts and Nevis,862000,Elizabeth II
Saint Vincent and the Grenadines,4364350,Elizabeth II
Saint Kitts and Nevis,4364350,Elizabeth II
Antigua and Barbuda,862000,Elizabeth II
Cameroon,758666,Paul Biya
Saint Lucia,862000,Elizabeth II
Antigua and Barbuda,4364350,Elizabeth II
Uzbekistan,106000,Shavkat Mirziyoyev
Uzbekistan,43850,Shavkat Mirziyoyev
Azerbaijan,663369,Ilham Aliyev
Finland,295287,Sauli Niinistﾃｶ
Argentina,5993033,Cristina Fernﾃ｡ndez de Kirchner
Republic of Ireland,139981,Michael D. Higgins
Russia,3449110,Vladimir Putin
Malaysia,288665,Ismail Sabri Yaakob
Haiti,25344,Claude Joseph
Nepal,679730,Khadga Prasad Sharma Oli
Algeria,1038691,Abdelmadjid Tebboune
Angola,108.024,Joﾃ｣o Lourenﾃｧo
Bahrain,0,Prince Salman Bin Hamad Bin Isa Al Khalifa
Bangladesh,63550,Sheikh Hasina
Belarus,0,Alexander Lukaschenko
Benin,25000,Patrice Talon
Bhutan,93000,Lotay Tshering
Brunei,0,Hassanal Bolkiah
Bulgaria,10149,Rumen Radew
Burkina Faso,400000,Roch KABORE
Burundi,88900,SE Evariste Ndayishimiye
Cambodia,4711,Hun Sen
Central African Republic,1800,Faustin Archange Touadﾃｩra
China,0,Xi Jinping
Costa Rica,200000,Carlos Alvarado Quesada
Denmark,66000,Mette Frederiksen
Djibouti,92000,"Ismail Omar Guelleh"
Equatorial Guinea,838,Teodoro Obiang Nguema Mbasogo
Eritrea,0,Isaias Afwerki
Eswatini,0,Mswati III
Guatemala,330000,Alejandro Giammattei
Guinea,200000,Alpha Conde
Guinea-Bissau,2500,Umaro Sissoco Embalﾃｳ
Guyana,862,Dr. Mohamed Irfaan Ali
Hong Kong,0,Carrie Lam
Italy,0,Mario Draghi
Kenya,3000000,Raila Odinga
Kuwait,107000,Khaled A. Al Sabah
Laos,0,Thongloun Sisoulith
Malawi,90000,Lazarus Chakwera
Mali,0,Bah Ndaw
