0,1
Switzerland,27.34
Iceland,19.69
French Polynesia,19.12
Norway,18.57
Reunion,16.39
Guernsey,16.07
Faroe Islands,16.01
Grenada,15.06
France,14.42
Bahamas,14.08
Finland,13.92
Belgium,13.59
Bermuda,13.45
Burundi,13.33
Luxembourg,13.19
Venezuela,13.08
New Zealand,13.07
Denmark,13.02
Ireland,12.57
Sweden,12.23
Jersey,11.64
United Kingdom,11.54
Cyprus,11.54
Austria,11.51
Canada,11.23
Monaco,10.92
Italy,10.71
Barbados,10.64
Djibouti,10.64
Andorra,10.58
Gibraltar,10.38
Papua New Guinea,10.27
Fiji,10
British Virgin Islands,10
Liberia,10
Falkland Islands,9.96
Australia,9.93
Senegal,9.78
Greece,9.73
Germany,9.59
Cayman Islands,9.41
Croatia,9.16
Slovenia,9.1
New Caledonia,9.06
South Korea,9.05
Netherlands,8.93
Jamaica,8.91
Greenland,8.84
Israel,8.6
Republic of the Congo,8.6
Argentina,8.48
Japan,8.47
Equatorial Guinea,8.4
Dominica,8.39
Spain,8.31
Malta,8.09
Ethiopia,7.85
Curaçao,7.84
Costa Rica,7.8
Lebanon,7.74
Estonia,7.67
Angola,7.67
Uruguay,7.64
United States,7.56
Ghana,7.47
Uzbekistan,7.38
Singapore,7.37
Portugal,7.36
Czech Republic,7.34
Suriname,7.28
Slovakia,7.2
Nigeria,7.19
Qatar,7.11
Somalia,7
Bahrain,6.9
Tanzania,6.8
Montenegro,6.8
Panama,6.77
Lithuania,6.73
Aruba,6.67
El Salvador,6.64
Guam,6.53
Cameroon,6.5
Sudan,6.5
Guatemala,6.37
Hungary,6.33
Madagascar,6.33
United Arab Emirates,6.32
Latvia,6.31
Haiti,6.31
Syria,6.29
Mozambique,6.28
Serbia,6.27
Malawi,6.22
Puerto Rico,6.2
Bulgaria,6.16
Dominican Republic,6.04
Hong Kong,5.93
Cambodia,5.83
Namibia,5.8
Seychelles,5.8
Taiwan,5.77
Yemen,5.75
Chile,5.75
Bosnia and Herzegovina,5.73
Maldives,5.73
Azerbaijan,5.73
Kuwait,5.72
Romania,5.63
Mexico,5.61
Egypt,5.56
Gabon,5.54
Belarus,5.53
Zambia,5.5
Oman,5.49
Belize,5.47
Ecuador,5.44
Jordan,5.36
Kenya,5.34
Afghanistan,5.31
Russia,5.3
Kazakhstan,5.28
Chad,5.28
Peru,5.23
Myanmar,5.22
Poland,5.2
Zimbabwe,5.1
Tajikistan,5.06
Saudi Arabia,5.05
Mauritius,5.04
Laos,5
Albania,4.92
Republic of Macedonia,4.9
Tunisia,4.89
Armenia,4.73
Iraq,4.71
Trinidad & Tobago,4.7
Georgia,4.66
Brunei,4.63
South Africa,4.62
Cape Verde,4.58
Libya,4.56
Colombia,4.54
Algeria,4.52
Rwanda,4.41
Sri Lanka,4.39
Turkey,4.36
Paraguay,4.34
Brazil,4.3
Mongolia,4.28
Morocco,4.22
China,4.19
Iran,4.19
Moldova,4.08
Honduras,4.07
Kyrgyzstan,4
Turkmenistan,4
Nicaragua,3.98
Ukraine,3.96
Gambia,3.9
Botswana,3.72
Bolivia,3.66
Uganda,3.61
Philippines,3.4
Vietnam,3.38
Bhutan,3.38
Indonesia,3.29
Bangladesh,3.27
Nepal,3.27
Guyana,3.17
Malaysia,3.09
Thailand,3.03
Eswatini,3.01
Lesotho,2.96
Pakistan,2.93
India,2.92
Cuba,2.91
Saint Lucia,2.41
Samoa,2.38
Vanuatu,1.37
Mali,1
