0,1
Zambia,225
Venezuela,163.13
Greenland,146.39
Iceland,144.05
Denmark,143.96
Norway,139.06
Faroe Islands,137.24
Jersey,133.02
Sweden,132.26
Switzerland,131.7
Luxembourg,125.63
France,117.97
Italy,117.75
Netherlands,117.55
Austria,114.09
Cyprus,113.9
Finland,113.38
Portugal,113.38
Slovenia,112.25
Estonia,112.17
Uruguay,112.12
Greece,110.93
Spain,109.41
Israel,108.19
Malta,105.49
Germany,105.1
China,102.16
Monaco,101.44
Belgium,101.05
Mali,100
Russia,98.56
Lithuania,97.24
Brunei,96.09
Croatia,95.23
Argentina,94.65
Belarus,94.22
Qatar,93.72
Singapore,93.52
Ireland,93.11
Australia,92.1
Czech Republic,91.93
United Kingdom,91.09
New Zealand,90.77
Serbia,90.42
South Korea,89.46
Equatorial Guinea,89.03
Uzbekistan,87.95
Mongolia,87.39
Slovakia,86.83
Poland,86.58
Montenegro,85.84
Bosnia and Herzegovina,84.69
Brazil,84.69
Latvia,83.53
Aruba,83.33
Gabon,83.26
Hong Kong,83.16
Guernsey,83.14
Hungary,83.04
Reunion,81.93
Cayman Islands,81.28
Albania,80.7
Andorra,80.57
Suriname,80
British Virgin Islands,80
Lebanon,79.46
Japan,79.21
Senegal,78.68
Taiwan,78.65
Jordan,76.67
Azerbaijan,76.06
Ecuador,73.44
Colombia,73.39
Romania,73.02
Haiti,72.5
United Arab Emirates,71.96
Kazakhstan,71.78
Mozambique,70.24
Paraguay,70.17
Malaysia,70.1
Kuwait,69.85
Ukraine,69.81
Tunisia,69.4
Egypt,69.36
Gibraltar,69.28
Papua New Guinea,69.24
Armenia,68.71
Bermuda,68.33
Bulgaria,68.06
Moldova,67.97
Uganda,66.65
Georgia,65.36
Jamaica,65.17
Nicaragua,65
Curaçao,64.01
Samoa,63.82
Algeria,63.47
Saudi Arabia,63.27
Costa Rica,63.14
Sudan,62.5
Bahrain,62.33
Morocco,61.88
Namibia,61.81
Oman,61.69
Republic of Macedonia,61.19
Nigeria,61.14
Iran,60.35
Trinidad & Tobago,60.32
Mauritius,59.96
Syria,59.91
New Caledonia,59.86
Republic of the Congo,59.8
Tajikistan,58.96
Eswatini,58.63
Bahamas,57.5
Turkey,56.92
South Africa,56.32
El Salvador,56.17
Botswana,55.63
Philippines,55.3
Libya,54.58
Canada,53.31
Chile,53.11
Vietnam,52.72
Lesotho,50.92
Dominican Republic,50.82
Zimbabwe,50
Kyrgyzstan,50
Barbados,50
Malawi,50
Peru,49.85
Dominica,49.54
Mexico,49.37
Thailand,48.12
Bolivia,47.5
Turkmenistan,47.5
Burma,47.01
Panama,47
Indonesia,46.9
Maldives,46.06
Guatemala,45.07
Grenada,44.44
Cameroon,44
Guam,43
Guyana,42.5
Kenya,41.09
United States,40.58
Laos,40
Puerto Rico,39.8
Cuba,37.65
Bangladesh,36.48
Honduras,35.3
Belize,35
India,34.15
Iraq,33.86
Tanzania,33.02
Saint Lucia,32.01
Somalia,30
Rwanda,29.74
Sri Lanka,28.07
Gambia,28
Afghanistan,27.9
Burundi,27.34
Pakistan,26.97
Ethiopia,26.76
Ghana,26.31
Nepal,23.91
Fiji,22.44
Yemen,21.01
Cambodia,18.17
Madagascar,16.27
Seychelles,2.88
