0,1
Japan,192
Singapore,192
Germany,190
South Korea,190
Finland,189
Italy,189
Luxembourg,189
Spain,189
Austria,188
Denmark,188
France,187
Ireland,187
Netherlands,187
Portugal,187
Sweden,187
Belgium,186
New Zealand,186
Switzerland,186
Czech Republic,185
Greece,185
Malta,185
Norway,185
United Kingdom,185
United States,185
Australia,184
Canada,184
Hungary,183
Lithuania,182
Poland,182
Slovakia,182
Estonia,181
Latvia,181
Slovenia,181
Iceland,180
Malaysia,179
Liechtenstein,178
Cyprus,176
Chile,174
Monaco,174
Romania,174
United Arab Emirates,174
Bulgaria,173
Croatia,172
Hong Kong,171
Argentina,170
Brazil,170
San Marino,169
Andorra,168
Brunei,166
Barbados,161
Israel,158
Mexico,158
Saint Kitts and Nevis,157
Bahamas,155
Uruguay,153
Vatican City,153
Seychelles,152
Saint Vincent and the Grenadines,151
Antigua and Barbuda,150
Trinidad & Tobago,150
Costa Rica,149
Mauritius,146
Saint Lucia,146
Taiwan,145
Grenada,144
Macao,144
Dominica,143
Panama,141
Paraguay,141
Ukraine,136
Serbia,135
Vanuatu,135
Peru,134
El Salvador,133
Guatemala,132
Honduras,132
Samoa,131
Solomon Islands,131
Colombia,129
Tonga,129
Venezuela,129
Tuvalu,127
Nicaragua,126
North Macedonia,125
Kiribati,123
Montenegro,123
Marshall Islands,122
Moldova,120
Palau,119
Russia,118
Micronesia,117
Bosnia and Herzegovina,116
Georgia,115
Albania,113
Turkey,110
South Africa,103
Belize,101
Qatar,97
Kuwait,95
Timor-Leste,93
Ecuador,91
Nauru,89
Fiji,88
Guyana,87
Maldives,87
Botswana,86
Jamaica,85
Bahrain,84
Papua New Guinea,82
Oman,80
Bolivia,79
China,79
Saudi Arabia,79
Thailand,79
Belarus,78
Namibia,78
Lesotho,77
Suriname,77
Kazakhstan,74
Eswatini,74
Malawi,73
Kenya,72
Tanzania,72
Indonesia,71
Tunisia,71
Zambia,71
Dominican Republic,69
Azerbaijan,68
Gambia,68
Uganda,67
Cape Verde,66
Philippines,65
Zimbabwe,65
Armenia,64
Ghana,64
Cuba,63
Morocco,63
Sierra Leone,63
Kyrgyzstan,62
Mozambique,62
Benin,61
Mongolia,61
Rwanda,61
S√£o Tom√© & Pr√≠ncipe,60
Mauritania,59
Burkina Faso,58
India,58
Tajikistan,58
Gabon,57
C√¥te dÅEÄÅEIvoire,56
Senegal,56
Uzbekistan,56
Equatorial Guinea,55
Madagascar,55
Guinea,54
Mali,54
Togo,54
Cambodia,53
Chad,53
Comoros,53
Niger,53
Vietnam,53
Algeria,52
Bhutan,52
Central African Republic,52
Guinea-Bissau,52
Turkmenistan,52
Burundi,51
Egypt,51
Angola,50
Cameroon,50
Jordan,50
Laos,49
Liberia,49
Republic of the Congo,48
Haiti,48
Djibouti,47
Myanmar,46
Ethiopia,45
Nigeria,45
South Sudan,44
Eritrea,43
Democratic Republic of the Congo,42
Iran,41
Lebanon,41
Sri Lanka,41
Sudan,41
Bangladesh,40
Kosovo,40
Libya,40
North Korea,39
Nepal,37
Palestinian Territories,37
Somalia,34
Yemen,33
Pakistan,31
Syria,29
Iraq,28
Afghanistan,26
