0,1,2,3,4,5
"Country or territory
(Territories without full sovereignty in italics)ﾂ[2]",Total length of land borders,Total length of land borders,No. of distinct land borders,No. of distinct land neighbours,"Land border neighboursand border length
(Territories without full sovereignty in italics)ﾂ[2](#) = No. of distinct land boundaries with that country or territory"
"Country or territory
(Territories without full sovereignty in italics)ﾂ[2]",km[3],No. of distinct land borders,No. of distinct land neighbours,"Land border neighboursand border length
(Territories without full sovereignty in italics)ﾂ[2](#) = No. of distinct land boundaries with that country or territory",mi
Abkhazia,382,237,2,2,Russia: 241ﾂkm (150ﾂmi)ﾂGeorgia: 141ﾂkm (88ﾂmi)
Afghanistan,"5,529","3,436",6,6,"People's Republic of China: 76ﾂkm (47ﾂmi)ﾂIran: 935ﾂkm (581ﾂmi)ﾂPakistan: 2,430ﾂkm (1,510ﾂmi)ﾂTajikistan: 1,206ﾂkm (749ﾂmi)ﾂTurkmenistan: 744ﾂkm (462ﾂmi)ﾂUzbekistan: 137ﾂkm (85ﾂmi)."
Albania,720,450,4,4,Greece: 282ﾂkm (175ﾂmi)ﾂKosovo:[4] 112ﾂkm (70ﾂmi)ﾂNorth Macedonia: 151ﾂkm (94ﾂmi)ﾂMontenegro: 172ﾂkm (107ﾂmi)
Algeria,"6,470","4,020",7,7,"Libya: 982ﾂkm (610ﾂmi)ﾂMali: 1,376ﾂkm (855ﾂmi)ﾂMauritania: 463ﾂkm (288ﾂmi)ﾂMorocco: 1,559ﾂkm (969ﾂmi)ﾂNiger: 956ﾂkm (594ﾂmi)ﾂTunisia: 1,010ﾂkm (630ﾂmi)ﾂWestern Sahara:[5] 42ﾂkm (26ﾂmi)"
Andorra,120,75,2,2,France: 56.6ﾂkm (35.2ﾂmi)ﾂSpain: 63.7ﾂkm (39.6ﾂmi)
Angola,"5,198","3,230",5,4,"Democratic Republic of the Congo (2): 2,511ﾂkm (1,560ﾂmi)[6]ﾂRepublic of the Congo: 201ﾂkm (125ﾂmi)ﾂNamibia: 1,376ﾂkm (855ﾂmi)ﾂZambia: 1,110ﾂkm (690ﾂmi)"
Antigua and Barbuda,0,0,0,0,
Argentina,"9,665","6,006",6,5,"Bolivia: 832ﾂkm (517ﾂmi)ﾂBrazil: 1,224ﾂkm (761ﾂmi)ﾂChile (2): 5,300ﾂkm (3,300ﾂmi)[7]ﾂParaguay: 1,880ﾂkm (1,170ﾂmi)ﾂUruguay: 579ﾂkm (360ﾂmi)"
Armenia,"1,254",779,5,4,Azerbaijan (6): 787ﾂkm (489ﾂmi)[8]ﾂGeorgia: 164ﾂkm (102ﾂmi)ﾂIran: 35ﾂkm (22ﾂmi)ﾂTurkey: 268ﾂkm (167ﾂmi)
Australia,0,0,0,0,
