0,1
Niger,6.824
Somalia,5.978
DR Congo,5.819
Mali,5.785
Chad,5.649
Angola,5.442
Burundi,5.321
Niger,5.317
Gambia,5.154
Burkina Faso,5.109
Tanzania,4.832
Uganda,4.824
Mozambique,4.783
Benin,4.767
Central African Republic,4.645
Guinea,4.625
Sudan,4.619
Ivory Coast,4.593
Zambia,4.559
Senegal,4.556
Cameroon,4.506
Mauritania,4.503
Guinea,4.429
Guinea,4.402
Congo,4.374
Solomon Islands,4.361
Sudan,4.347
Afghanistan,4.321
Sﾃ｣o Tomﾃｩ and Prﾃｭncipe,4.267
Togo,4.259
Liberia,4.247
Sierra Leone,4.169
Ethiopia,4.146
Comoros,4.138
Malawi,4.127
Madagascar,4.026
Eritrea,3.997
Rwanda,3.99
East Timor,3.947
Gabon,3.922
Samoa,3.83
Ghana,3.816
Vanuatu,3.774
Yemen,3.7
Iraq,3.597
Palestine (Gaza Strip and West Bank),3.56
Tajikistan,3.556
Zimbabwe,3.531
Kiribati,3.53
Guinea,3.52
Tonga,3.518
Pakistan,3.454
Kenya,3.423
Namibia,3.344
Kyrgyzstan,3.3
Egypt,3.28
Lesotho,3.108
Micronesia,3.01
Israel,3.01
Algeria,2.988
Eswatini,2.958
Kazakhstan,2.9
Haiti,2.887
Mongolia,2.867
Oman,2.842
Botswana,2.836
Guatemala,2.822
Uzbekistan,2.785
Syria,2.771
Fiji,2.754
Turkmenistan,2.74
Jordan,2.691
Bolivia,2.688
Djibouti,2.676
Laos,2.626
Philippines,2.526
Cambodia,2.478
Guyana,2.44
Panama,2.437
Honduras,2.427
Paraguay,2.405
Ecuador,2.403
World,2.403
Denmark,2.4
Suriname,2.394
Morocco,2.382
South Africa,2.381
Nicaragua,2.377
Seychelles,2.34
Dominica,2.323
Guam,2.293
Indonesia,2.288
Saudi Arabia,2.275
Belize,2.274
Venezuela,2.25
Argentina,2.247
Cape Verde,2.242
Peru,2.233
Libya,2.206
India,2.202
Sri Lanka,2.188
Tunisia,2.174
Iran,2.146
Myanmar (Burma),2.138
Mexico,2.103
Population Replacement,2.1
Denmark,2.08
Kuwait,2.077
Lebanon,2.075
Turkey,2.055
Georgia,2.055
U.S. Virgin Islands,2.05
Vietnam,2.05
Grenada,2.042
El Salvador,2.021
Bangladesh,2.011
Antigua and Barbuda,1.987
Malaysia,1.983
Kosovo,1.97
Jamaica,1.965
Bahrain,1.964
Uruguay,1.963
Bhutan,1.954
France,1.94
France,1.927
Aruba,1.901
North Korea,1.896
Nepal,1.876
Saint Vincent and the Grenadines,1.872
France,1.87
Qatar,1.846
Maldives,1.84
Brunei,1.819
France,1.8
Azerbaijan,1.8
Colombia,1.789
Romania,1.76
Armenia,1.758
Iceland,1.75
Montenegro,1.748
Bahamas,1.743
Costa Rica,1.737
New Zealand,1.72
Trinidad and Tobago,1.711
Czech Republic,1.71
United States,1.705
Ireland,1.7
Denmark,1.7
Sweden,1.7
China,1.696
Estonia,1.66
Australia,1.657
United Kingdom,1.65
Brazil,1.648
Chile,1.627
Barbados,1.623
Latvia,1.61
Slovenia,1.61
Lithuania,1.61
Cuba,1.602
Curaﾃｧao,1.6
Albania,1.597
Bermuda,1.59
Bulgaria,1.58
Netherlands,1.57
Belgium,1.57
Slovakia,1.56
Germany,1.54
Norway,1.53
Serbia,1.52
Thailand,1.514
Guernsey,1.51
Russia,1.504
Hungary,1.49
North Macedonia,1.489
Switzerland,1.48
Liechtenstein,1.58
Croatia,1.47
Canada,1.468
Austria,1.46
Saint Lucia,1.424
Poland,1.42
Portugal,1.42
Mauritius,1.4
United Arab Emirates,1.387
Belarus,1.382
Japan,1.36
Finland,1.35
Greece,1.35
Luxembourg,1.34
Cyprus,1.321
Italy,1.27
Moldova,1.269
Bosnia and Herzegovina,1.254
Spain,1.24
Ukraine,1.228
China,1.2
Singapore,1.14
Malta,1.1
China,1.072
Puerto Rico,1.035
South Korea,0.864
Sovereign States: 185,-1
Dependent Territories: 15,-1
World,-1
World,2.377
Major Regions,-1
Sub-Saharan Africa (excluding high income),4.6
Sub-Saharan Africa,4.6
Arab world,3.2
Middle East and North Africa (excluding high income),2.9
Middle East and North Africa,2.8
South Asia,2.4
Latin America and Caribbean,2
Latin America and Caribbean (excluding high income),1.9
Europe and Central Asia (excluding high income),1.9
East Asia and Pacific (excluding high income),1.9
East Asia and Pacific,1.8
Europe and Central Asia,1.7
North America,1.7
Central Europe and the Baltics,1.6
States・E・E Size,-1
Pacific Island small states,3.5
Other small states,3
Small states,2.8
Caribbean small states,2
International Organizations,-1
OECD members,1.7
European Union,1.5
Security Situation,-1
Fragile and conflict affected situations,4.5
Economic Areas,-1
Euro area,1.5
Economic Situation,-1
Heavily indebted poor countries (HIPC),4.6
Least Developed Countries: UN classification,3.9
Income,-1
Low income countries,4.5
Lower middle income countries,2.7
Low and middle income countries,2.5
Middle income countries,2.3
Upper middle income countries,1.9
High income countries,1.6
Not Ranked (no data or data from other years),-1
Samoa,-1
Andorra,1.3
British Virgin Islands,-1
Cayman Islands,-1
Dominica,1.9
France,-1
Gibraltar,-1
France,-1
Isle of Man,1.6
Marshall Islands,4
France,-1
Monaco,-1
Nauru,-1
Northern Mariana Islands,-1
Palau,2.2
San Marino,1.3
Netherlands,2
Saint Kitts and Nevis,2.1
Turks and Caicos Islands,-1
Tuvalu,-1
Vatican City,-1
Western Sahara,-1
