0,1
Romania,96.1
Hungary,91.3
Slovakia,90.9
Lithuania,90.3
Cuba,90
Vietnam,90
Croatia,89.7
China,89.68
Mauritius,89
North Macedonia,88.7
Nepal,88.3
Singapore,87.9
Russia,87.3
India,86.6
Myanmar,85.5
Serbia,83.3
Poland,84.2
Bulgaria,84.3
Indonesia,84
Taiwan,83.9
Oman,83
Estonia,81.4
Norway,80.3
Latvia,80.2
Mexico,80
Thailand,80
Malta,79.8
Czech Republic,78.6
Malaysia,76.9
Spain,76.2
Egypt,76
Trinidad & Tobago,76
Greece,74.6
Kenya,75
Slovenia,74.6
Portugal,73.9
Brazil,74.4
Iceland,73.6
Italy,72.4
Belgium,72.3
Luxembourg,70.9
Finland,70.7
Ireland,68.7
Netherlands,69
Argentina,68.9
Canada,68.5
Cyprus,67.9
Israel,67.3
Australia,65.5
United States,65.3
France,64.1
Brunei,65
Sweden,64.5
New Zealand,63.2
United Kingdom,63
Saudi Arabia,62.08
Japan,61.2
Denmark,60.8
Iran,60.5
Turkey,58.8
South Korea,56.8
Austria,55.3
South Africa,54.3
Germany,51.1
Hong Kong,51.2
Timor-Leste,49.9
Switzerland,41.6
United Arab Emirates,28
Nigeria,25
Fiji,10
North Korea,0
