0,1
Afghanistan,87
Albania,164
Algeria,153
American Samoa,345
Andorra,55
Angola,93
Anguilla,367
Antigua and Barbuda,302
Argentina,230
Armenia,74
Aruba,165
Australia,160
Austria,95
Azerbaijan,208
Bahamas,442
Bahrain,234
Bangladesh,48
Barbados,296
Belarus,345
Belgium,95
Belize,307
Benin,70
Bermuda,278
Bhutan,145
Bolivia,164
Bosnia and Herzegovina,83
Republika Srpska,64
Botswana,208
Brazil,357
Brunei,186
Bulgaria,109
Burkina Faso,37
Burundi,96
Cambodia,220
Cameroon,124
Canada,104
Cape Verde,296
Cayman Islands,312
Central African Republic,16
Chad,59
Chile,210
China,121
Colombia,194
Comoros,27
Republic of the Congo,27
Cook Islands,224
Costa Rica,374
Cﾃｴte d・E・EIvoire,82
Croatia,84
Cuba,510
Curaﾃｧao,236
Cyprus,86
Czech Republic,179
Democratic Republic of the Congo,29
Denmark,68
Djibouti,71
Dominica,262
Dominican Republic,243
Ecuador,224
Egypt,116
El Salvador,572
United Kingdom,130
Equatorial Guinea,63
Eritrea,-1
Estonia,173
Eswatini,278
Ethiopia,99
Faroe Islands,21
Fiji,274
Finland,53
France,93
French Guiana,196
French Polynesia,211
Gabon,241
Gambia,31
Georgia,245
Germany,69
Ghana,43
Gibraltar,139
Greece,107
Greenland,225
Grenada,413
Guadeloupe,168
Guam,411
Guatemala,139
Guernsey,132
Guinea,28
Guinea-Bissau,10
Guyana,239
Haiti,97
Honduras,237
Hong Kong,90
Hungary,169
Iceland,33
India,35
Indonesia,93
Iran,228
Iraq,126
Ireland,74
Isle of Man,125
Israel,234
Italy,89
Jamaica,137
Japan,38
Jersey,129
Jordan,198
Kazakhstan,157
Kenya,81
Kiribati,113
Kosovo・Eｯ*,103
Kuwait,117
Kyrgyzstan,161
Laos,130
Latvia,175
Lebanon,205
Lesotho,92
Liberia,54
Libya,139
Liechtenstein,23
Lithuania,216
Luxembourg,83
Macao,232
Madagascar,102
Malawi,71
Malaysia,212
Maldives,499
Mali,33
Malta,153
Marshall Islands,66
Martinique,186
Mauritania,53
Mauritius,218
Mayotte,127
Mexico,166
Micronesia,127
Moldova,182
Monaco,21
Mongolia,154
Montenegro,172
Morocco,238
Mozambique,63
Myanmar,171
Namibia,295
Nauru,140
Nepal,86
Netherlands,63
New Caledonia,154
New Zealand,188
Nicaragua,332
Niger,47
Nigeria,32
North Korea,-1
North Macedonia,105
Northern Ireland・Eｯ* [Note],74
Northern Mariana Islands,313
Norway,49
Oman,45
Pakistan,38
Palau,522
Panama,420
Papua New Guinea,62
Paraguay,241
Peru,290
Philippines,200
Poland,181
Portugal,111
Puerto Rico,278
Qatar,53
South Korea,105
Rﾃｩunion,118
Romania,116
Russia,328
Rwanda,511
Samoa,204
San Marino,6
Sﾃ｣o Tomﾃｩ & Prﾃｭncipe,116
Saudi Arabia,207
Scotland [Note],134
Senegal,68
Serbia,158
Seychelles,324
Sierra Leone,60
Singapore,185
Sint Maarten,153
Slovakia,190
Slovenia,53
Solomon Islands,77
Somalia,-1
South Africa,248
South Sudan,50
Spain,122
Sri Lanka,135
Saint Kitts and Nevis・Eｯ*,393
Saint Lucia・Eｯ*,263
Saint Vincent and the Grenadines,369
Sudan,52
Suriname,183
Sweden,68
Switzerland,80
Syria,60
Taiwan,241
Tajikistan,121
Tanzania,59
Thailand,449
Timor-Leste,52
Togo,67
Tonga,166
Trinidad and Tobago・Eｯ*,292
Tunisia,194
Turkey,335
Turkmenistan,552
Tuvalu,110
Uganda,124
Ukraine,148
United Arab Emirates,104
United States,639
Uruguay,337
Uzbekistan,68
Vanuatu,72
Venezuela,134
Vietnam,128
British Virgin Islands,447
U.S. Virgin Islands,394
Yemen,53
Zambia,123
Zimbabwe,127
